otu	statistic	p.value	parameter	method	WM	C	WMR	p.value.adj
Lachnospiraceae (OTU 845)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lachnospiraceae (OTU 886)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Turicibacter (OTU 900)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Blautia (OTU 970)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lactobacillaceae (OTU 1035)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Paraprevotella (OTU 1529)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Succiniclasticum (OTU 1572)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Bacteroides (OTU 1958)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lachnospiraceae (OTU 2595)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lachnospiraceae (OTU 2701)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Ruminococcaceae (OTU 2717)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Bacteria (OTU 3690)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Bacteria (OTU 3739)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Pasteurellaceae (OTU 3951)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lachnospiraceae (OTU 5388)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lachnospiraceae (OTU 150)	3.072553576039233	0.2151807754663836	2	Kruskal-Wallis rank sum test	0	0	0	0.3204065392933514
Coriobacteriaceae (OTU 260)	2.921918767507091	0.23201357786375792	2	Kruskal-Wallis rank sum test	0	0	0	0.3435829486397727
Lachnospiraceae (OTU 123)	2.759918705774257	0.25158877920942907	2	Kruskal-Wallis rank sum test	0	0	0	0.3705465172051917
Lachnospiraceae (OTU 68)	2.4960097982959355	0.28707697340968563	2	Kruskal-Wallis rank sum test	0	0	0	0.42052897185959354
