otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	WMC	WMN	p.value.adj
Lachnospiraceae (OTU 4)	47.24260496983689	5.005632496860665e-8	7	Kruskal-Wallis rank sum test	0	0.068	0.033	0	0	0	0	0	9.934255263000398e-7
Lachnospiraceae (OTU 30)	46.76201414427158	6.21150051580813e-8	7	Kruskal-Wallis rank sum test	0	0.002	0.0035	0	0	0	0	0	1.1446908093417838e-6
Lachnospiraceae (OTU 41)	46.272738601053945	7.736071788801196e-8	7	Kruskal-Wallis rank sum test	0	0.002	0	0	0	0	0	0	1.3306043476738056e-6
Lachnospiraceae (OTU 20)	46.07865196574468	8.439237872832185e-8	7	Kruskal-Wallis rank sum test	0	0.005	0.0045000000000000005	0	0	0	0	0	1.36082710699419e-6
Oscillibacter (OTU 45)	45.88648980611987	9.198013371824e-8	7	Kruskal-Wallis rank sum test	0	0.006	0	0	0	0	0	0	1.3959337940768187e-6
Porphyromonadaceae (OTU 14)	45.6789569829445	1.0093834412886228e-7	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0485	0	0	1.4467829325136926e-6
Butyricicoccus (OTU 56)	44.384577539776856	1.8002247201312262e-7	7	Kruskal-Wallis rank sum test	0	0.002	0.004	0	0	0	0	0	2.4099383039302096e-6
Lachnospiraceae (OTU 73)	44.30155024364151	1.8681692278528756e-7	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	2.4099383039302096e-6
Ruminococcaceae (OTU 59)	44.090423972203844	2.052644890383424e-7	7	Kruskal-Wallis rank sum test	0	0.004	0	0	0	0	0	0	2.521820865328207e-6
Acetatifactor (OTU 55)	43.2982739966973	2.9211874425541526e-7	7	Kruskal-Wallis rank sum test	0	0.004	0	0	0	0	0	0	3.425756182631688e-6
Clostridium (OTU 51)	42.336184375156414	4.479577545625599e-7	7	Kruskal-Wallis rank sum test	0	0.002	0	0	0	0	0	0	5.024917420745237e-6
Lachnospiraceae (OTU 34)	41.6802065291984	5.991668898960127e-7	7	Kruskal-Wallis rank sum test	0	0.004	0	0	0	0	0	0	6.183402303726851e-6
Bacteria (OTU 108)	41.707465419705045	5.919755841527771e-7	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	6.183402303726851e-6
Lachnospiraceae (OTU 11)	41.16199995969451	7.536316235821174e-7	7	Kruskal-Wallis rank sum test	0	0.006	0.0045000000000000005	0	0	0	0	5e-4	7.4783445724687035e-6
Lachnospiraceae (OTU 29)	40.63675789815641	9.505274204448621e-7	7	Kruskal-Wallis rank sum test	0	0.007	0	0	0	0	0	0	9.082817573139794e-6
Lactobacillus (OTU 23)	40.40432145066589	1.053228262759201e-6	7	Kruskal-Wallis rank sum test	0	0.007	0.003	0.0055	0.001	0.0015	0	5e-4	9.704746135424066e-6
Lactobacillus (OTU 13)	40.241355600763264	1.1317322065443826e-6	7	Kruskal-Wallis rank sum test	0	0.019	0.006	0.0135	0.002	0.004	0	5e-4	1.0068514113394852e-5
Porphyromonadaceae (OTU 15)	39.18472671005324	1.8021055389197834e-6	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.007	0	0	1.5498107634710135e-5
Lachnospiraceae (OTU 63)	39.085265403475475	1.8826180810819274e-6	7	Kruskal-Wallis rank sum test	0	0.003	0	0	0	0	0	0	1.5668240803843137e-5
Lachnospiraceae (OTU 16)	38.74846145848975	2.1826982902140217e-6	7	Kruskal-Wallis rank sum test	0	0.007	0.001	0.002	0.002	0.001	0	0	1.759800496485055e-5
Ruminococcaceae (OTU 92)	38.160776868435	2.824190297478478e-6	7	Kruskal-Wallis rank sum test	0	0.002	0	0	0	0	0	0	2.208003323483174e-5
Porphyromonadaceae (OTU 48)	37.910363694882484	3.1514131909474654e-6	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0025	0	0	2.3913664801895472e-5
Porphyromonadaceae (OTU 10)	37.5835854341737	3.6355700376444777e-6	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.106	0	0	2.6054918603118757e-5
Clostridiales (OTU 97)	37.63723364717541	3.551303091152531e-6	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	2.6054918603118757e-5
Clostridiales (OTU 91)	37.51859346527112	3.7403151118677343e-6	7	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	0	2.6081116185456092e-5
Peptostreptococcaceae (OTU 12)	37.29880464280835	4.117212026567933e-6	7	Kruskal-Wallis rank sum test	0.001	0	0	0.0095	0.008	0.0055	0.001	0	2.7953702706698075e-5
Ruminococcaceae (OTU 52)	36.253379977102135	6.493213053315529e-6	7	Kruskal-Wallis rank sum test	0	0.001	0.001	0	0	0	0	0	4.295510173731811e-5
Porphyromonadaceae (OTU 8)	36.16881583070211	6.73642958595512e-6	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.026000000000000002	0	0	4.3449970829410525e-5
Turicibacter (OTU 5)	35.123082515448935	1.0604166608999944e-5	7	Kruskal-Wallis rank sum test	0	0.013	0.03	0.040499999999999994	0.027	0.0215	0	0.0085	6.672865817370697e-5
Bifidobacterium (OTU 28)	34.87167877393062	1.1822882452695048e-5	7	Kruskal-Wallis rank sum test	0	0.001	0	5e-4	0.003	0.010499999999999999	0	0	7.262627792369815e-5
Porphyromonadaceae (OTU 40)	34.43917068718216	1.4252420397569163e-5	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.006	0	0	7.993748831680095e-5
Porphyromonadaceae (OTU 80)	34.443661971830984	1.422481249399841e-5	7	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0	0	7.993748831680095e-5
Porphyromonadaceae (OTU 175)	34.43917068718216	1.4252420397569163e-5	7	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0	0	7.993748831680095e-5
Porphyromonadaceae (OTU 194)	34.443661971830984	1.422481249399841e-5	7	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0	0	7.993748831680095e-5
Clostridiales (OTU 35)	34.368430646699224	1.4694322552517377e-5	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	8.066245145849965e-5
Lachnospiraceae (OTU 32)	33.85331615669932	1.834805050675054e-5	7	Kruskal-Wallis rank sum test	0	0.002	0.0055	0	0	5e-4	0	0	9.862077147378415e-5
Lachnospiraceae (OTU 17)	33.157756522914674	2.4743532933913193e-5	7	Kruskal-Wallis rank sum test	0	0.004	0.001	0.0155	5e-4	0	0	0	1.302822754479511e-4
Lachnospiraceae (OTU 66)	32.00620071839702	4.050854288095e-5	7	Kruskal-Wallis rank sum test	0	0.002	0.0025	0	0	0	0	0	2.09024081265702e-4
Bacteria (OTU 43)	31.35423315186783	5.348294169359818e-5	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	2.653576722490064e-4
Lachnospiraceae (OTU 71)	31.380474140875855	5.2889112456556865e-5	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	2.653576722490064e-4
Lachnospiraceae (OTU 46)	31.182120617772288	5.754440533163103e-5	7	Kruskal-Wallis rank sum test	0	0.002	0.0015	0	0	0	0	0	2.8012182218039254e-4
Lachnospiraceae (OTU 77)	30.81229758747003	6.733005121088545e-5	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	3.2168802245200823e-4
Lachnospiraceae (OTU 49)	30.579762386775105	7.430632675661947e-5	7	Kruskal-Wallis rank sum test	0	0	0.0025	0	0	0	0	0	3.4856422369468766e-4
Ruminococcaceae (OTU 60)	30.488560006922246	7.723322089427447e-5	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	3.5582448197719305e-4
Clostridium (OTU 22)	30.305546616987073	8.345404977064269e-5	7	Kruskal-Wallis rank sum test	0	0.004	0	0.0025	0	0	0	0	3.777393831723827e-4
Lachnospiraceae (OTU 81)	29.370892540232568	1.238004961804916e-4	7	Kruskal-Wallis rank sum test	0	0.001	0.0015	0	0	0	0	0	5.50698758871842e-4
Anaerostipes (OTU 159)	29.07870275506229	1.3998275933169813e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	6.121279984335274e-4
Lachnospiraceae (OTU 70)	28.811912009476913	1.5656937727790966e-4	7	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	0	6.732483222950115e-4
Lachnospiraceae (OTU 36)	27.68280843526871	2.509727135591209e-4	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	0.0010614911491516916
Pseudoflavonifractor (OTU 69)	27.344209179362156	2.8892409560752003e-4	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	0.0012022970430119382
Ruminococcaceae (OTU 37)	26.396468074885895	4.2776051376297645e-4	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	0.0017517811516007606
Clostridiales (OTU 115)	26.299322087898414	4.452494411794466e-4	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	0.0017949118097546441
Bacteroides (OTU 1)	25.854227369247365	5.3478146126335e-4	7	Kruskal-Wallis rank sum test	0.562	0.008	0.551	0.007	0.6755	0.41200000000000003	0.569	0.364	0.0021226710308606817
Clostridium (OTU 126)	25.69538958320874	5.708314497368702e-4	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	0.0022314320307895833
Lachnospiraceae (OTU 85)	25.109813961426866	7.255236889205015e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.0027938076379326778
Lachnospiraceae (OTU 62)	25.035207358349474	7.479718029406907e-4	7	Kruskal-Wallis rank sum test	0	0.001	0.0015	0	0	0	0	0	0.0028378930170396793
Ruminococcaceae (OTU 118)	24.935035445655696	7.791855978241631e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.0029134765831686097
Coriobacteriaceae (OTU 158)	24.75652323029085	8.380043099221269e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.0030886444565701244
Lachnospiraceae (OTU 110)	24.59515957148476	8.949009398413581e-4	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	0.003251893556043245
Lachnospiraceae (OTU 88)	24.52500724591007	9.208006482934741e-4	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	0.0032995356563849487
Enterorhabdus (OTU 109)	23.959636668644226	0.0011581129413077837	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	0.004093056696676824
Lachnospiraceae (OTU 47)	23.67439578523836	0.0012995857048154836	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	0.004530987997870199
Lachnospiraceae (OTU 75)	22.957999930601357	0.0017335531260568705	7	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	0	0.005963422753635634
Porphyromonadaceae (OTU 87)	22.64788732394361	0.0019626272324255035	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.006662602973233947
Ruminococcaceae (OTU 98)	21.855343648794484	0.0026904372401746015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.008688498197352576
Ruminococcaceae (OTU 101)	21.851903487666075	0.0026941079681713415	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.008688498197352576
Ruminococcaceae (OTU 106)	21.855343648794484	0.0026904372401746015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.008688498197352576
Lachnospiraceae (OTU 125)	21.858784893267604	0.002686770224756713	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.008688498197352576
Lachnospiraceae (OTU 94)	21.60080449640968	0.0029756064622278393	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	0.009477857620429414
Lachnospiraceae (OTU 102)	20.952016391915777	0.0038418208619375636	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	0.012087680272925505
Lachnospiraceae (OTU 86)	20.74736403417382	0.004162622811878971	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.012939237174274391
Lachnospiraceae (OTU 82)	20.46202842086475	0.0046535758403575146	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	0.014293125795383796
Erysipelotrichaceae (OTU 39)	20.065970802655603	0.0054289364932899944	7	Kruskal-Wallis rank sum test	0	0	0.002	0.001	0	0.001	0	5e-4	0.016478419003162572
Acetatifactor (OTU 79)	19.702855555335052	0.006248568396524569	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.018745705189573705
Oscillibacter (OTU 119)	19.30361743708373	0.0072875867595729605	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.021611464183561194
Ruminococcaceae (OTU 65)	19.05582501616185	0.00801425012239202	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	0.023496324222467512
Lachnospiraceae (OTU 112)	18.847617921740103	0.008678333760694915	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.02487789011399209
Acetatifactor (OTU 138)	18.868808805254698	0.008608396072517451	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.02487789011399209
Porphyromonadaceae (OTU 6)	18.4080114449213	0.010258677964720813	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.1215	0	0	0.02908504302085681
Lachnospiraceae (OTU 76)	18.105700294159817	0.011502097320960839	7	Kruskal-Wallis rank sum test	0	0	0.002	0	0	0	0	0	0.03225588161747713
Lachnospiraceae (OTU 68)	17.87882506230149	0.012528846508021645	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.03475744515128586
Lachnospiraceae (OTU 74)	17.46519881923944	0.014630622044601522	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.040156388164970136
Ruminococcaceae (OTU 61)	17.365499627329235	0.015185461389656952	7	Kruskal-Wallis rank sum test	0	0	5e-4	0	0	0	0	0	0.041240516195068355
Lachnospiraceae (OTU 90)	17.19928910899002	0.016155349801774556	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.04341750259226912
Olsenella (OTU 114)	16.522705386025798	0.020747125974050363	7	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0	0	0.05518307733304117
Lachnospiraceae (OTU 95)	16.114182024663247	0.024093406081510386	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.06278887645484525
Lachnospiraceae (OTU 117)	16.12532888641831	0.02399568070141455	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.06278887645484525
Firmicutes (OTU 96)	15.930057702395484	0.02576310201676463	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.06453281864393472
Lachnospiraceae (OTU 131)	15.93872830122656	0.025682081057549558	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.06453281864393472
Clostridium (OTU 145)	15.939812789782131	0.0256719641852962	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.06453281864393472
Clostridiales (OTU 154)	15.933308071239066	0.025732701243897003	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.06453281864393472
Dorea (OTU 134)	15.67957746478883	0.028210557143504872	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.06998388214446401
Akkermansia (OTU 3)	15.600520443635123	0.02902746481479805	7	Kruskal-Wallis rank sum test	0.001	0.066	0.0115	0.3615	0.14300000000000002	0.062	0.172	0.1655	0.07132462783064665
Lachnospiraceae (OTU 26)	15.468877809090287	0.030437364576583165	7	Kruskal-Wallis rank sum test	0	0	0.002	0	0	0	0	0	0.07408339679960808
Lachnospiraceae (OTU 84)	15.426267324724538	0.03090735773760216	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.07452428314300334
Porphyromonadaceae (OTU 7)	15.028859216624031	0.035631246133221724	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.08511908798491856
Lachnospiraceae (OTU 111)	14.055698667369773	0.05019952032629192	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.11882088297415887
Blautia (OTU 132)	13.608546947677613	0.058598178203586475	7	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0	0	0	0.13743936342295734
Lactobacillus (OTU 9)	13.471114361053882	0.061428488610320055	7	Kruskal-Wallis rank sum test	0.012	0.012	0.003	0.003	0.0035	0.005	0.004	0.007	0.1427797302834466
Firmicutes (OTU 155)	13.109243697479146	0.0694910024349858	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.15783275708285155
Lachnospiraceae (OTU 167)	13.09868875086282	0.06974005545521347	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.15783275708285155
Clostridiales (OTU 179)	13.09868875086282	0.06974005545521347	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.15783275708285155
Lachnospiraceae (OTU 72)	12.966364548438087	0.07293216559592025	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.1636217280325863
Lachnospiraceae (OTU 140)	12.774999999999617	0.07778396702439437	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.17007002959570972
Lachnospiraceae (OTU 152)	12.774999999999617	0.07778396702439437	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.17007002959570972
Clostridiales (OTU 226)	12.774999999999617	0.07778396702439437	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.17007002959570972
Lachnospiraceae (OTU 128)	12.618957601944363	0.08195488970552477	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.17768371045399486
Lachnospiraceae (OTU 160)	12.430576708295183	0.0872589553437337	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.18760675398902743
Lachnospiraceae (OTU 116)	12.338699208978326	0.08995643008082993	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.19180792529631505
Bacteroidales (OTU 38)	11.16666666666681	0.1315125183368901	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.26100176716090495
Lachnospiraceae (OTU 83)	11.168010486743094	0.1314565326022126	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.26100176716090495
Enterococcus (OTU 187)	11.16666666666681	0.1315125183368901	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.26100176716090495
Porphyromonadaceae (OTU 190)	11.16666666666681	0.1315125183368901	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.26100176716090495
Porphyromonadaceae (OTU 212)	11.16666666666681	0.1315125183368901	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.26100176716090495
Alistipes (OTU 289)	11.16666666666681	0.1315125183368901	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.26100176716090495
Escherichia/Shigella (OTU 342)	11.16666666666681	0.1315125183368901	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.26100176716090495
Porphyromonadaceae (OTU 410)	11.16666666666681	0.1315125183368901	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.26100176716090495
Porphyromonadaceae (OTU 807)	11.16666666666681	0.1315125183368901	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.26100176716090495
Firmicutes (OTU 129)	10.785126456214057	0.1482702014436018	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.2920130684919791
Acetatifactor (OTU 78)	10.554096067153774	0.15928634843255066	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3113324082999854
Clostridium_sensu (OTU 53)	10.307870370370349	0.17178764924333312	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3307553246625369
Lachnospiraceae (OTU 164)	10.309859154929557	0.171683443389934	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3307553246625369
Lachnospiraceae (OTU 123)	9.924696002099418	0.19288119785645358	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3686174003478891
Lachnospiraceae (OTU 103)	9.862880692486383	0.19647798730453908	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3727302994453756
Ruminococcaceae (OTU 143)	9.699443413729036	0.20625508495391143	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.38842198480371637
Pseudoflavonifractor (OTU 240)	9.428571428572328	0.22333257809420617	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.4029357003377985
Lactobacillales (OTU 242)	9.428571428572328	0.22333257809420617	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.4029357003377985
Lachnospiraceae (OTU 255)	9.428571428572328	0.22333257809420617	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.4029357003377985
Blautia (OTU 273)	9.428571428572328	0.22333257809420617	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.4029357003377985
Lachnospiraceae (OTU 827)	9.428571428572328	0.22333257809420617	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.4029357003377985
Bifidobacteriaceae (OTU 1839)	9.428571428572328	0.22333257809420617	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.4029357003377985
Lachnospiraceae (OTU 120)	9.322772777637475	0.2303054052791925	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.4126305177918866
Lachnospiraceae (OTU 113)	9.169367984007339	0.2407238297876842	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.4283224005877415
Erysipelotrichaceae (OTU 142)	9.120116949565457	0.24414684010447119	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.4314375667599559
Lachnospiraceae (OTU 148)	9.076713819368862	0.24719515032025524	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.43385271280697857
Lachnospiraceae (OTU 149)	9.01142857142868	0.25183656302413987	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.439012386893433
Firmicutes (OTU 198)	8.85140845070397	0.26350115453712897	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.4562637440978475
Clostridiales (OTU 137)	8.519047619047576	0.2890535776207552	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.4971721535076989
Ruminococcaceae (OTU 153)	8.291359528886105	0.30760461646772314	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.5255760996600832
Lachnospiraceae (OTU 58)	7.911313458338943	0.3404791803750322	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.5741413629853485
Ruminococcaceae (OTU 147)	7.9180786569251564	0.33987309955108563	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.5741413629853485
Lachnospiraceae (OTU 144)	7.811732229123636	0.34948770522459655	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.585505376285363
Anaeroplasma (OTU 89)	7.636831026581836	0.36570373095855324	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6048177088929919
Lachnospiraceae (OTU 183)	7.637826961770488	0.36560997935335704	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6048177088929919
Lachnospiraceae (OTU 64)	7.5639766038574585	0.372605466779944	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6098303946292262
Clostridiales (OTU 141)	7.554997585707317	0.3734620246178982	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6098303946292262
Lachnospiraceae (OTU 104)	7.38973645129121	0.3894584350207331	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6268569191863363
Lachnospiraceae (OTU 150)	7.41611179683154	0.38687617233957544	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6268569191863363
Bacteroides (OTU 256)	7.37223340040213	0.3911781549961246	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6268569191863363
Blautia (OTU 639)	7.111111111112085	0.4174035167824864	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.652667317150797
Akkermansia (OTU 849)	7.111111111112085	0.4174035167824864	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.652667317150797
Bacteroides (OTU 1896)	7.111111111112085	0.4174035167824864	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.652667317150797
Lachnospiraceae (OTU 3309)	7.111111111112085	0.4174035167824864	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.652667317150797
Lachnospiraceae (OTU 133)	7.064496110851254	0.42219561360674734	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6561835440394025
Lachnospiraceae (OTU 121)	6.7063609404965385	0.46008019329426475	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.710782574071379
Lachnospiraceae (OTU 42)	6.536649046662109	0.4786607797027223	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7350861974006093
Lachnospiraceae (OTU 127)	6.5064935064935225	0.4820021497820175	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7358376014423699
Bacteria (OTU 168)	6.30000000000086	0.5051889407556349	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7363771000844848
Lachnospiraceae (OTU 276)	6.30000000000086	0.5051889407556349	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7363771000844848
Akkermansia (OTU 306)	6.344064386318366	0.5001973999148561	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7363771000844848
