otu	statistic	p.value	parameter	method	WM	WMR	CWM	RM	FRM	WMC	M1	1RM1	p.value.adj
Lachnospiraceae (OTU 20)	38.87675632707788	2.063171498016877e-6	7	Kruskal-Wallis rank sum test	5e-4	0.0055	0	0	0	0	0.002	0.0035	2.970053516659572e-5
Lachnospiraceae (OTU 33)	38.99846186730504	1.9557951982169193e-6	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0.002	2.970053516659572e-5
Lachnospiraceae (OTU 73)	38.80620292273275	2.1280757284476684e-6	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.003	0.0015	2.970053516659572e-5
Lachnospiraceae (OTU 46)	38.16461756656537	2.8194434827983248e-6	7	Kruskal-Wallis rank sum test	0	0.002	0	0	0	0	0	0.001	3.7710056582427596e-5
Porphyromonadaceae (OTU 99)	37.714095451032314	3.433939067652379e-6	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0	4.4091777628656545e-5
Porphyromonadaceae (OTU 7)	37.2368110065482	4.230168675365584e-6	7	Kruskal-Wallis rank sum test	0	0.0925	0	0	0	0.001	0.029500000000000002	0.0735	5.222631326124433e-5
Lachnospiraceae (OTU 11)	36.41843467615861	6.043292925629829e-6	7	Kruskal-Wallis rank sum test	0	0.010499999999999999	0	0	0	0	0	5e-4	6.734925123758012e-5
Lachnospiraceae (OTU 47)	36.402814970790544	6.084511794049295e-6	7	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	0.0035	0.002	6.734925123758012e-5
Lachnospiraceae (OTU 70)	36.50217437027323	5.826986333752848e-6	7	Kruskal-Wallis rank sum test	0.0035	0.002	0	0	0	0	0.0015	0.001	6.734925123758012e-5
Oscillibacter (OTU 57)	35.66890662069989	8.370095863857074e-6	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.0015	0.0035	8.956002574327069e-5
Porphyromonadaceae (OTU 80)	35.47313236119122	9.111906627693476e-6	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.002	0.0015	9.435232346740664e-5
Lactobacillus (OTU 23)	35.28100602272204	9.903130081875115e-6	7	Kruskal-Wallis rank sum test	0.001	0.0035	0.008	0	0.001	0	0.0025	0.009	9.934077363380975e-5
Lachnospiraceae (OTU 4)	34.578411119421055	1.3420688822013453e-5	7	Kruskal-Wallis rank sum test	5e-4	0.037000000000000005	0	0	0	0.001	0.0225	0.0095	1.305467003595854e-4
Lachnospiraceae (OTU 62)	34.422389271699785	1.43560458866598e-5	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.005	0.0045000000000000005	1.3553796263581752e-4
Lachnospiraceae (OTU 29)	34.022290678555144	1.7059973680304888e-5	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.003	0.0035	1.5646433003936767e-4
Porphyromonadaceae (OTU 212)	33.95652173913041	1.7550324464963398e-5	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	1.5649039314592363e-4
Lactobacillus (OTU 13)	33.671352739022	1.984288694830275e-5	7	Kruskal-Wallis rank sum test	0.001	0.0095	0.009	0	0.003	0	0.006500000000000001	0.013500000000000002	1.721504516325725e-4
Porphyromonadaceae (OTU 40)	32.828895383265625	2.8491834782482437e-5	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.006500000000000001	0	2.406810253993911e-4
Akkermansia (OTU 3)	31.57833966357522	4.86163135386588e-5	7	Kruskal-Wallis rank sum test	0.0025	0.006	0.208	0.001	0.002	0.11499999999999999	0.0155	0.0245	4.001496575874224e-4
Ruminococcaceae (OTU 98)	31.334978871509293	5.392284739408569e-5	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0	4.327308503375377e-4
Clostridium (OTU 22)	28.793350866946422	1.5779284643923773e-4	7	Kruskal-Wallis rank sum test	0	0	0.002	0	0	0	0.0045000000000000005	0.0035	0.0012257112663883964
Ruminococcaceae (OTU 52)	28.754661561077878	1.603734367237154e-4	7	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	0.0015	0	0.0012257112663883964
Ruminococcaceae (OTU 101)	27.66011042097992	2.5335562169727166e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0	0.0018913291759261443
Porphyromonadaceae (OTU 190)	27.585637798752593	2.613314025615695e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0	0.001901291456276547
Porphyromonadaceae (OTU 254)	27.53823529411762	2.66536185459329e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.001901291456276547
Porphyromonadaceae (OTU 175)	27.30455107564502	2.937227276075797e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0	0	0	0.002049673816565937
Lachnospiraceae (OTU 151)	26.894779411764524	3.4812884159202286e-4	7	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	0	0	0.00237764591810722
Turicibacter (OTU 5)	26.673675359585935	3.814818829070156e-4	7	Kruskal-Wallis rank sum test	0.008	0.024	0.038	0.012	0.007	0	0.026000000000000002	0.016	0.002527810259546242
Lachnospiraceae (OTU 75)	26.646041358579737	3.858651175008282e-4	7	Kruskal-Wallis rank sum test	0	0.0015	0	0	0	0	0.001	0.002	0.002527810259546242
Erysipelotrichaceae (OTU 39)	25.758269991442102	5.562835240043977e-4	7	Kruskal-Wallis rank sum test	5e-4	0.0025	0	0	0	0	0	0.001	0.003571340224108233
Lachnospiraceae (OTU 26)	25.606553686719277	5.92022463136477e-4	7	Kruskal-Wallis rank sum test	5e-4	0.001	0.001	0	0	0	0.003	0.004	0.0037262590326825316
Bacteroides (OTU 1)	25.09121090067046	7.310585106703658e-4	7	Kruskal-Wallis rank sum test	0.6965	0.569	0.455	0.6685000000000001	0.298	0.5575	0.20900000000000002	0.11	0.00451288042163822
Lachnospiraceae (OTU 74)	24.814144185926633	8.185583813610746e-4	7	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	5e-4	5e-4	0.004957683781451037
Porphyromonadaceae (OTU 21)	24.05011502221535	0.0011164699261384894	7	Kruskal-Wallis rank sum test	0	0	0	0	0.007	0	5e-4	0	0.006636793449823243
Acetatifactor (OTU 79)	23.76467433982143	0.0012530742903210817	7	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	0	5e-4	0.007313397221692131
Lachnospiraceae (OTU 81)	23.713402786233257	0.0012792858927039808	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.007333049492106747
Lachnospiraceae (OTU 84)	23.52224352731109	0.0013818200183432338	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.007781828524354001
Acetatifactor (OTU 55)	23.348603731815277	0.0014818878364158837	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.0015	5e-4	0.008201482680853425
Lachnospiraceae (OTU 83)	22.97517776341314	0.0017216572123045107	7	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	0	0	0.00936698246016522
Clostridiales (OTU 35)	22.309859154929658	0.0022459522944997773	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.010760458007976545
Porphyromonadaceae (OTU 67)	22.309859154929658	0.0022459522944997773	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.010760458007976545
Lachnospiraceae (OTU 180)	22.314285714285784	0.002241996534275395	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.010760458007976545
Prevotella (OTU 191)	22.309859154929658	0.0022459522944997773	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.010760458007976545
Porphyromonadaceae (OTU 278)	22.314285714285784	0.002241996534275395	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.010760458007976545
Porphyromonadaceae (OTU 280)	22.314285714285784	0.002241996534275395	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.010760458007976545
Porphyromonadaceae (OTU 508)	22.314285714285784	0.002241996534275395	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.010760458007976545
Porphyromonadaceae (OTU 517)	22.314285714285784	0.002241996534275395	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.010760458007976545
Lachnospiraceae (OTU 150)	22.23417210131919	0.0023146508383072445	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	0.010926513516126845
Lachnospiraceae (OTU 103)	21.964361859700016	0.0025766002681407146	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	5e-4	0.011986792551785063
Lachnospiraceae (OTU 24)	21.588369061365764	0.002990266581202161	7	Kruskal-Wallis rank sum test	0	0.005	0	0	0	0	5e-4	0	0.013712508179512767
Lachnospiraceae (OTU 16)	21.515029364024933	0.0030781654972057734	7	Kruskal-Wallis rank sum test	0.003	0.002	0.002	0.009	0.002	0	0.002	0.0015	0.013916776402859904
Lachnospiraceae (OTU 17)	21.276091017443367	0.003382305092294983	7	Kruskal-Wallis rank sum test	0.0015	0.0015	0.004	0.002	0	0	0.001	0.0035	0.014804799406150114
Lachnospiraceae (OTU 64)	21.312455533356044	0.0033342029569069275	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0	0.014804799406150114
Lachnospiraceae (OTU 127)	21.25318910256413	0.0034129444113866307	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0	0.014804799406150114
Clostridiales (OTU 97)	21.098047334203716	0.0036277135245990585	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0	0.015526613885283971
Lachnospiraceae (OTU 76)	20.83656732061218	0.004019720094208137	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.0015	0	0.016978028292642264
Lachnospiraceae (OTU 90)	20.518127533249793	0.004552818261682765	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0	0.01897993067532685
Lachnospiraceae (OTU 88)	20.14427269691337	0.005266343773107476	7	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	0	0	0.021673030143173073
Oscillibacter (OTU 119)	19.941262975778365	0.005697960751889971	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.023152473434894693
Lachnospiraceae (OTU 121)	19.831583407153275	0.005945180650217943	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	5e-4	0.0238550373589995
Porphyromonadaceae (OTU 194)	19.77367149758461	0.0060798646207386444	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.024094278311816108
Ruminococcaceae (OTU 37)	19.156117239660585	0.0077120994952645985	7	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	0	0	0.03019004802414556
Ruminococcaceae (OTU 65)	18.679932120265303	0.009251365257598124	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.0357793764781807
Clostridiales (OTU 141)	18.388338224791053	0.010335505886410102	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.039496397494495745
Lachnospiraceae (OTU 63)	18.35600912929377	0.010462958650067094	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	5e-4	0.03951305560790044
Lachnospiraceae (OTU 113)	17.690288095914685	0.013448307993463306	7	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	5e-4	0	0.050196591463973504
Ruminococcaceae (OTU 27)	17.517956910717388	0.01434490346022368	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.05164791520520849
Bacteria (OTU 108)	17.492753623188378	0.01448072388931079	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.05164791520520849
Acetatifactor (OTU 138)	17.492753623188378	0.01448072388931079	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.05164791520520849
Porphyromonadaceae (OTU 246)	17.492753623188378	0.01448072388931079	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.05164791520520849
Lachnospiraceae (OTU 68)	17.44354390367528	0.014749463581008506	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.001	0.052028327576964066
Lachnospiraceae (OTU 117)	17.338689789641386	0.015338054460845199	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0	0.053516472629688144
Blautia (OTU 132)	17.116682738669134	0.016659086118424603	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.057500716602304276
Lactobacillus (OTU 9)	16.835384459287148	0.018489053308478713	7	Kruskal-Wallis rank sum test	0.005	0.0045000000000000005	0.007	0.006	0.017	0.002	0.001	0.009	0.06313815012789008
Akkermansia (OTU 200)	16.46376811594203	0.021201088238310923	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.07163736131050322
Ruminococcaceae (OTU 61)	16.373036011545448	0.021918408221335284	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0	0.07328967749008986
Lachnospiraceae (OTU 42)	16.225352112675957	0.023135395292521895	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.07426461888899528
Lachnospiraceae (OTU 152)	16.228571428571318	0.023108197386028723	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.07426461888899528
Coriobacteriaceae (OTU 204)	16.228571428571318	0.023108197386028723	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.07426461888899528
Bacteroides (OTU 296)	16.225352112675957	0.023135395292521895	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.07426461888899528
Ruminococcaceae (OTU 118)	16.18418381845495	0.023485881910882512	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.07464324844943848
Ruminococcaceae (OTU 60)	15.28784369323512	0.03248167568909945	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.10122929996311576
Lachnospiraceae (OTU 94)	15.297353548132739	0.03237115324194054	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0	0.10122929996311576
Ruminococcaceae (OTU 147)	14.82949701619779	0.038248181511138325	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.11805448331803273
Lachnospiraceae (OTU 66)	14.796847789046982	0.03869350364891401	7	Kruskal-Wallis rank sum test	0	0.0015	0	0	0	0	0	5e-4	0.11829156829810854
Ruminococcaceae (OTU 106)	14.767420040290249	0.03909903143669285	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.11840367067149438
Lachnospiraceae (OTU 111)	14.523405223723783	0.04261773238485198	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.12785319715455595
Clostridium (OTU 51)	14.213291421616313	0.04751522376859958	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.1412258039788932
Lachnospiraceae (OTU 86)	13.7957977437551	0.05493479246183971	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0	0.1617804438555096
Lachnospiraceae (OTU 102)	13.454820576724002	0.061772241952013654	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.17417515924531543
Lachnospiraceae (OTU 140)	13.429960317460267	0.06230012616652956	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.17417515924531543
Lachnospiraceae (OTU 205)	13.399999999999325	0.06294180209488034	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.17417515924531543
Porphyromonadaceae (OTU 288)	13.399999999999325	0.06294180209488034	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.17417515924531543
Porphyromonadaceae (OTU 615)	13.399999999999325	0.06294180209488034	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.17417515924531543
Comamonadaceae (OTU 684)	13.399999999999325	0.06294180209488034	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.17417515924531543
Porphyromonadaceae (OTU 982)	13.399999999999325	0.06294180209488034	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.17417515924531543
Enterococcus (OTU 187)	13.001399707887082	0.07207429475811897	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.1977422958748392
Clostridiales (OTU 115)	12.974861017861409	0.07272327164399468	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.19783195082815502
Lachnospiraceae (OTU 167)	12.775086505190183	0.07778170914091119	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.20981452633808817
Lachnospiraceae (OTU 34)	12.590830449826962	0.082727882922324	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.22047241584095878
Veillonella (OTU 192)	12.57714285714257	0.08310642466279132	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.22047241584095878
Ruminococcaceae (OTU 92)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Firmicutes (OTU 96)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Lachnospiraceae (OTU 110)	11.568236714975836	0.1156818405268788	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Lachnospiraceae (OTU 120)	11.425404626905287	0.1211094499161955	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Lachnospiraceae (OTU 125)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Firmicutes (OTU 129)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Ruminococcaceae (OTU 153)	12.323520531400971	0.09040921502208539	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Clostridiales (OTU 154)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Lachnospiraceae (OTU 157)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Acetatifactor (OTU 165)	11.485294117647095	0.11880696560025814	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Clostridiales (OTU 173)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Lachnospiraceae (OTU 183)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Firmicutes (OTU 188)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Clostridium (OTU 201)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Clostridiales (OTU 208)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Ruminococcaceae (OTU 216)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Lachnospiraceae (OTU 220)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Firmicutes (OTU 235)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Bacteroides (OTU 237)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Lachnospiraceae (OTU 241)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Acetatifactor (OTU 247)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Porphyromonadaceae (OTU 253)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Lachnospiraceae (OTU 259)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Lachnospiraceae (OTU 295)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Porphyromonadaceae (OTU 300)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Porphyromonadaceae (OTU 318)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Porphyromonadaceae (OTU 321)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Porphyromonadaceae (OTU 330)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Bacteroidales (OTU 334)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Porphyromonadaceae (OTU 362)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Porphyromonadaceae (OTU 372)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Clostridiales (OTU 399)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Lachnospiraceae (OTU 401)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Ruminococcaceae (OTU 407)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Porphyromonadaceae (OTU 438)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Porphyromonadaceae (OTU 470)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Bacteroides (OTU 474)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Porphyromonadaceae (OTU 514)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Porphyromonadaceae (OTU 537)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Porphyromonadaceae (OTU 544)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Porphyromonadaceae (OTU 545)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Porphyromonadaceae (OTU 554)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Porphyromonadaceae (OTU 570)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Porphyromonadaceae (OTU 577)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Porphyromonadaceae (OTU 589)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Porphyromonadaceae (OTU 595)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Porphyromonadaceae (OTU 599)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Porphyromonadaceae (OTU 610)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
Porphyromonadaceae (OTU 616)	10.999999999999673	0.1386190208733097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23055287927633375
