otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	WMC	M1	1RM1	p.value.adj
Lactobacillus (OTU 627)	7.146019582801272	0.5209634554615304	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.7109618921592651
Clostridiales (OTU 173)	7.015151515151688	0.534998817600809	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.725846349025659
Bacteroidales (OTU 38)	6.754823529411883	0.5633016890017054	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.7598022781883468
Clostridium (OTU 145)	6.693631846705108	0.5700190177845043	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.7644185672023409
Porphyromonadaceae (OTU 80)	6.486936548952268	0.5928570094452255	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.7828893184236169
Clostridiales (OTU 638)	6.416666666667085	0.6006650805146715	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.7828893184236169
Ruminococcaceae (OTU 1688)	6.416666666667085	0.6006650805146715	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.7828893184236169
Clostridiales (OTU 1771)	6.416666666667085	0.6006650805146715	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.7828893184236169
Lactobacillaceae (OTU 3138)	6.416666666667085	0.6006650805146715	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.7828893184236169
Lachnospiraceae (OTU 127)	5.97382350569969	0.6501641753657782	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.8426708865076008
Lachnospiraceae (OTU 29)	5.748627450980216	0.6753656456146047	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.870471276569935
Lachnospiraceae (OTU 125)	5.643697961527109	0.6870727418782523	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.8806678238439477
Oscillibacter (OTU 57)	5.512878787878012	0.7016127185608036	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.8943634654181672
Lachnospiraceae (OTU 33)	5.171619812583686	0.739085598841364	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9097698372456237
Bacteria (OTU 108)	4.933333333334532	0.7646772338917958	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9097698372456237
Lactobacillus (OTU 221)	4.933333333334532	0.7646772338917958	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9097698372456237
Bacteroides (OTU 237)	4.933333333334532	0.7646772338917958	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9097698372456237
Alistipes (OTU 277)	4.933333333334532	0.7646772338917958	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9097698372456237
Blautia (OTU 369)	4.933333333334532	0.7646772338917958	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9097698372456237
Dorea (OTU 467)	4.933333333334532	0.7646772338917958	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9097698372456237
Clostridium (OTU 598)	4.933333333334532	0.7646772338917958	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9097698372456237
Lachnospiraceae (OTU 1083)	4.933333333334532	0.7646772338917958	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9097698372456237
Pectinatus (OTU 1136)	4.933333333334532	0.7646772338917958	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9097698372456237
Clostridiales (OTU 1182)	4.933333333334532	0.7646772338917958	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9097698372456237
Devosia (OTU 1748)	4.933333333334532	0.7646772338917958	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9097698372456237
Lachnospiraceae (OTU 5275)	4.933333333334532	0.7646772338917958	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9097698372456237
Bacteria (OTU 105)	4.645381013197351	0.7947181435612636	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9406867821745569
Oscillibacter (OTU 45)	4.480204342273248	0.8114103192993668	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9555695130835182
Clostridiales (OTU 35)	4.145253299276223	0.8437860581195038	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Ruminococcaceae (OTU 50)	2.296296296296419	0.9705543521476908	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Clostridium (OTU 51)	4.145253299276223	0.8437860581195038	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Ruminococcaceae (OTU 54)	2.296296296296419	0.9705543521476908	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Lachnospiraceae (OTU 71)	2.296296296296419	0.9705543521476908	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Acetatifactor (OTU 79)	2.296296296296419	0.9705543521476908	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Lachnospiraceae (OTU 90)	2.296296296296419	0.9705543521476908	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Ruminococcaceae (OTU 92)	2.296296296296419	0.9705543521476908	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Lachnospiraceae (OTU 94)	2.296296296296419	0.9705543521476908	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Ruminococcaceae (OTU 118)	2.296296296296419	0.9705543521476908	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Ruminococcaceae (OTU 143)	4.145253299276223	0.8437860581195038	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Ruminococcaceae (OTU 147)	3.395061728394529	0.9071795687795599	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Coriobacteriaceae (OTU 182)	3.4594399277327463	0.9023146161941124	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Enterococcus (OTU 187)	2.6448701575136977	0.9546328771556221	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Veillonella (OTU 192)	3.7749206349206563	0.8768384610306591	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Lachnospiraceae (OTU 211)	2.296296296296419	0.9705543521476908	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Lachnospiraceae (OTU 249)	2.296296296296419	0.9705543521476908	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Faecalibacterium (OTU 262)	3.395061728394529	0.9071795687795599	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Parasutterella (OTU 356)	2.296296296296419	0.9705543521476908	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Bacteroides (OTU 361)	2.296296296296419	0.9705543521476908	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Lachnospiraceae (OTU 441)	2.296296296296419	0.9705543521476908	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Clostridium_sensu (OTU 462)	2.296296296296419	0.9705543521476908	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Odoribacter (OTU 465)	2.296296296296419	0.9705543521476908	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Phascolarctobacterium (OTU 642)	2.296296296296419	0.9705543521476908	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Escherichia/Shigella (OTU 717)	2.296296296296419	0.9705543521476908	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Peptostreptococcaceae (OTU 753)	2.296296296296419	0.9705543521476908	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Prevotella (OTU 1110)	2.296296296296419	0.9705543521476908	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Lactobacillaceae (OTU 1535)	2.296296296296419	0.9705543521476908	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Escherichia/Shigella (OTU 1746)	2.296296296296419	0.9705543521476908	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Clostridium (OTU 2027)	2.296296296296419	0.9705543521476908	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Clostridium (OTU 2569)	2.296296296296419	0.9705543521476908	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Ruminococcaceae (OTU 2593)	2.296296296296419	0.9705543521476908	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Ruminococcaceae (OTU 3307)	2.296296296296419	0.9705543521476908	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Lactobacillus (OTU 3775)	2.296296296296419	0.9705543521476908	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Dysgonomonas (OTU 4978)	2.296296296296419	0.9705543521476908	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9705543521476908
Lachnospiraceae (OTU 34)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 63)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 85)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Anaeroplasma (OTU 89)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 95)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Firmicutes (OTU 96)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 97)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 98)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 99)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 100)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 101)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 112)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 116)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 117)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Oscillibacter (OTU 119)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 122)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 124)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Firmicutes (OTU 129)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 130)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 131)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 135)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 136)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Acetatifactor (OTU 138)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Alistipes (OTU 139)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 144)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 146)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 152)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 154)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Firmicutes (OTU 155)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Staphylococcus (OTU 156)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 157)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Anaerostipes (OTU 159)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 161)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 162)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 163)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 164)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Acetatifactor (OTU 165)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Streptococcus (OTU 166)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 167)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 170)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 171)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Clostridium (OTU 172)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 174)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 175)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 177)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 179)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 180)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 181)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 183)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 185)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Firmicutes (OTU 188)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 190)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Prevotella (OTU 191)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 194)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 195)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 196)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 197)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Clostridium (OTU 201)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Actinobacillus (OTU 202)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 203)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Acetatifactor (OTU 206)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 208)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 209)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Firmicutes (OTU 210)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Corynebacterium (OTU 213)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 214)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 215)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 216)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 217)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 219)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 220)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 222)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 223)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 224)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Listeria (OTU 228)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Dorea (OTU 229)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Streptococcus (OTU 230)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Fusobacterium (OTU 231)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 232)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Pasteurellaceae (OTU 233)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Anaerotruncus (OTU 234)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Firmicutes (OTU 235)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Oscillibacter (OTU 236)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 238)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Pseudoflavonifractor (OTU 240)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 241)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 243)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 244)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Parabacteroides (OTU 245)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Acetatifactor (OTU 247)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 248)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Akkermansia (OTU 250)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 251)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Coriobacteriaceae (OTU 252)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 253)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 254)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 255)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Streptococcus (OTU 257)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 258)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 259)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Coriobacteriaceae (OTU 260)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Bacteroides (OTU 261)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Acetatifactor (OTU 263)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Akkermansia (OTU 264)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Coriobacteriaceae (OTU 265)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 266)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Acidaminococcus (OTU 267)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 269)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Firmicutes (OTU 270)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 271)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Blautia (OTU 273)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Olsenella (OTU 274)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 276)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 278)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Firmicutes (OTU 279)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 280)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Aerococcus (OTU 281)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Bacteroides (OTU 282)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 283)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Clostridiales_Incertae_Sedis_XIII (OTU 284)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 285)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Veillonellaceae (OTU 286)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 287)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 288)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 290)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 291)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 292)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 293)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lactobacillus (OTU 294)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 295)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Bacteroides (OTU 296)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 297)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Turicibacter (OTU 299)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 300)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 301)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Anaeroplasma (OTU 302)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 303)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Bacteroidetes (OTU 304)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Akkermansia (OTU 306)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 307)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 308)	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
