otu	method	C	WMR	CWM	RM	FRM	WMR-C	CWM-C	CWM-WMR	RM-C	RM-WMR	RM-CWM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM
Lachnospiraceae (OTU 16)	Kruskal-Wallis rank sum test	0.008	5e-4	0.002	0.009	0.003	0.0028894278913744824	0.26807911104541493	0.10432886488567113	0.6913022890496785	0.0028894278913744824	0.2607431324590959	0.14670373902245526	0.26807911104541493	0.601380513364381	0.09738731184588043
Lachnospiraceae (OTU 17)	Kruskal-Wallis rank sum test	0.0025	0.002	0.006	0.019	0.005	0.3279049594811999	0.05169993245442406	0.011360530825043302	0.0074943666857583795	0.0062684139441248	0.3378502095768209	0.4480179658240387	0.16738868838955476	0.33061055827283337	0.05169993245442406
Lachnospiraceae (OTU 20)	Kruskal-Wallis rank sum test	0.010499999999999999	0.005	0.004	0.001	0	0.2989121191773286	0.24296049396436048	0.6193219044280404	0.022401185079226747	0.06722819744754295	0.3662602582289636	0.022401185079226747	0.03169903396141662	0.24296049396436048	0.4263195794496368
Porphyromonadaceae (OTU 21)	Kruskal-Wallis rank sum test	0	0	0	0	0.0075	NA	NA	NA	NA	NA	NA	0.0012337333969834159	0.0012337333969834159	0.0012337333969834159	0.0012337333969834159
Lactobacillus (OTU 23)	Kruskal-Wallis rank sum test	0.006500000000000001	0.003	0.005	0.0055	0.0035	0.02788997001699134	0.3214435757415685	0.02788997001699134	0.3721039153338242	0.13070733469589618	0.7226904015648308	0.12645601033851328	0.3308366189653067	0.22947249894608573	0.32816480170765433
Lachnospiraceae (OTU 24)	Kruskal-Wallis rank sum test	0.010499999999999999	0.0035	0.004	0	0	0.07322972095374676	0.09779204979060102	0.7966617569404044	0.0019246047652890627	0.07322972095374676	0.07195377167797472	0.0038264114453789595	0.0910026791514637	0.07322972095374676	0.8504362683123465
Porphyromonadaceae (OTU 25)	Kruskal-Wallis rank sum test	0	0	0	0	0.012	NA	NA	NA	NA	NA	NA	2.362298751934296e-4	2.362298751934296e-4	2.362298751934296e-4	2.362298751934296e-4
Ruminococcaceae (OTU 27)	Kruskal-Wallis rank sum test	0.009999999999999998	0	0	0	0	0.0021168178608901482	1.28994977179034e-4	0.0381353300418632	1.28994977179034e-4	0.040813612476141084	NA	0.0015972152688465658	0.10127947350472816	NA	NA
Lachnospiraceae (OTU 29)	Kruskal-Wallis rank sum test	0.004	0	0.013	0.01	0	0.0017181543020645322	0.23015481983972808	0.0017181543020645322	0.09845492041357438	0.0017181543020645322	0.7507860201081898	0.03002936359021994	0.2725312408964143	0.02476696665272761	0.009393354748959132
Lachnospiraceae (OTU 30)	Kruskal-Wallis rank sum test	0.0025	0.0025	0	0	0	1	0.013732655397661822	0.014938350354445375	0.001126415758037802	0.001126415758037802	0.13367506795927836	0.009872892019677663	0.013732655397661822	0.6540862385636957	0.30659764600846606
Lachnospiraceae (OTU 31)	Kruskal-Wallis rank sum test	0.002	0	0	0	0	0.05447904291694744	0.00594785343858921	0.05447904291694744	0.3896087663382878	0.668168108463678	0.05447904291694744	0.05447904291694744	0.3896087663382878	0.3639244842765029	0.3896087663382878
Lachnospiraceae (OTU 33)	Kruskal-Wallis rank sum test	0.003	0	0	0.0035	0.004	0.0011412509628653006	0.02424261833804732	0.2704473913230539	0.9358002397169009	0.0011412509628653006	0.02424261833804732	0.9624356185560475	0.004112444656611387	0.10527253887974992	0.9358002397169009
Lachnospiraceae (OTU 34)	Kruskal-Wallis rank sum test	0.004	0	0	0	0	0.020506736829137576	0.04320746770319137	0.4559662693273224	0.020506736829137576	NA	0.4559662693273224	0.04995513745465631	NA	0.5382526579885007	NA
Clostridiales (OTU 35)	Kruskal-Wallis rank sum test	0.007	0	0	0	0	0.0012843249806714931	0.0012843249806714931	0.4396817597084895	0.0012843249806714931	NA	0.4396817597084895	0.015385485906774715	0.36791717521015926	0.719166283306752	0.36791717521015926
Lachnospiraceae (OTU 36)	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	0.027044856055148548	0.3690118411024059	0.2632642108397556	0.048915430919994965	0.5428024537573732	0.3875458598389263	0.03913966263422801	0.5428024537573732	0.2632642108397556	0.3875458598389263
Bacteroidales (OTU 38)	Kruskal-Wallis rank sum test	0	0	0	0	0.025	NA	NA	NA	NA	NA	NA	0.0012337333969834159	0.0012337333969834159	0.0012337333969834159	0.0012337333969834159
Porphyromonadaceae (OTU 40)	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	NA	NA	NA	NA	NA	NA	0.021048347301721608	0.021048347301721608	0.021048347301721608	0.021048347301721608
Lachnospiraceae (OTU 41)	Kruskal-Wallis rank sum test	0.003	0	0	0	0	0.00425690271613209	0.00425690271613209	1	0.0032521784642751024	0.586242346277986	0.586242346277986	0.0085487343492721	0.6055342402370634	0.6055342402370634	NA
Bacteria (OTU 43)	Kruskal-Wallis rank sum test	0.0085	0	0	0	0	1.6155061641757483e-4	1.6155061641757483e-4	NA	1.6155061641757483e-4	NA	NA	0.0016835460620354867	NA	NA	NA
Porphyromonadaceae (OTU 44)	Kruskal-Wallis rank sum test	0	0	0	0	0.0225	NA	NA	NA	NA	NA	NA	2.362298751934296e-4	2.362298751934296e-4	2.362298751934296e-4	2.362298751934296e-4
Lachnospiraceae (OTU 46)	Kruskal-Wallis rank sum test	0.0015	0.002	0	0	0	0.5602046118767258	0.08090105374811701	0.026264474805488172	0.07962322259898297	0.026264474805488172	1	0.03887577612533378	0.0256924478845261	0.4046187026517787	0.4046187026517787
Porphyromonadaceae (OTU 48)	Kruskal-Wallis rank sum test	0	0	0	0	0.017	NA	NA	NA	NA	NA	NA	0.0054587833456686725	0.0054587833456686725	0.0054587833456686725	0.0054587833456686725
Lachnospiraceae (OTU 49)	Kruskal-Wallis rank sum test	0.001	0.0025	0.003	0	0	0.1268702424324212	0.38368631973119327	0.5207722483781896	0.006988116367962614	0.006376805996023034	0.006376805996023034	0.021612583510940607	0.01437099642330596	0.01838790002762005	NA
Ruminococcaceae (OTU 50)	Kruskal-Wallis rank sum test	0.0045000000000000005	0	0	0	0	0.01662229444093981	0.08377837722098345	0.6296865442717442	0.013068740404410206	0.8520519248014127	0.6296865442717442	0.013068740404410206	0.6296865442717442	0.4307234921683067	0.6296865442717442
Ruminococcaceae (OTU 54)	Kruskal-Wallis rank sum test	0.0045000000000000005	0	0	0	0	4.219279916226622e-4	0.002883204163319163	0.4559662693273224	4.219279916226622e-4	NA	0.4559662693273224	0.002928876788825213	NA	0.5382526579885007	NA
Acetatifactor (OTU 55)	Kruskal-Wallis rank sum test	0.008	0	0	0	0	0.0024021080581891506	0.11542381381291057	0.3650722038213296	0.0018298043444425999	0.16701800317214519	0.11542381381291057	0.005644952239795935	0.14220692642987914	0.11761366429399125	0.5186050164287257
Oscillibacter (OTU 57)	Kruskal-Wallis rank sum test	0.004	0	0	0	0	0.06963093169308415	5.28862998800938e-4	0.251233133362282	5.28862998800938e-4	0.251233133362282	NA	0.05538435987226841	0.8110701293339075	0.27593788140761943	0.27593788140761943
Lachnospiraceae (OTU 58)	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	0.2505095815223681	0.11730165684145631	0.602784415784676	0.05328519416280105	0.3025409742629466	0.5024934396668451	0.11730165684145631	0.44954091069957314	0.602784415784676	NA
Ruminococcaceae (OTU 59)	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	0.009673553884659182	0.2392748084232161	0.17445973902064538	0.011543217634285476	0.5827782179740376	0.2738776027323272	0.15813182317125005	0.37802316726226953	0.5827782179740376	0.5827782179740376
Lachnospiraceae (OTU 63)	Kruskal-Wallis rank sum test	0.005	0	0	0	0	0.0021768022916344113	0.02632745736940757	0.7081489764964702	0.0021768022916344113	1	0.7081489764964702	0.0021768022916344113	0.4281342006662601	0.3980195594211736	0.4281342006662601
Lachnospiraceae (OTU 70)	Kruskal-Wallis rank sum test	0	0.001	0	0.0015	0	0.023398268186206495	0.493827749323524	0.012130000921641498	0.012130000921641498	0.9066672911853356	0.012130000921641498	0.625151014068144	0.0428256026452022	NA	0.02400644627632169
Lachnospiraceae (OTU 71)	Kruskal-Wallis rank sum test	0.002	0	0	0	0	0.0012990257600893778	0.0012990257600893778	NA	0.0012990257600893778	NA	NA	0.007827932526845601	NA	NA	NA
Lachnospiraceae (OTU 73)	Kruskal-Wallis rank sum test	0.0025	0	0	0	0.001	0.002934514081136264	0.01532150312607168	0.9590462896837747	0.00116330948410358	0.23664146740767217	0.23664146740767217	0.20561652249402057	0.23664146740767217	0.35332294366060646	0.052113172186756554
Acetatifactor (OTU 78)	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.22766413887269893	0.02065012282682006	0.04819334005554429	0.02065012282682006	0.04819334005554429	NA	0.04819334005554429	0.11613565658440131	NA	NA
Porphyromonadaceae (OTU 80)	Kruskal-Wallis rank sum test	0	0	0	0	0.008	NA	NA	NA	0.368120250693519	0.368120250693519	0.368120250693519	0.0026589118853842355	0.0028787112596279705	0.0026589118853842355	0.0058979549831896785
Lachnospiraceae (OTU 84)	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.22889121485390637	0.02000917669610129	0.10861661647918411	0.02000917669610129	0.10861661647918411	NA	0.06487230466974318	0.2048053566795824	NA	NA
Porphyromonadaceae (OTU 87)	Kruskal-Wallis rank sum test	0	0	0	0	0.0115	NA	NA	NA	NA	NA	NA	0.0012186361313822147	0.0012186361313822147	0.0012186361313822147	0.0012186361313822147
Anaeroplasma (OTU 89)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.07472397721956545	0.07472397721956545	NA	0.07472397721956545	NA	NA	0.1391789362347769	NA	NA	NA
Lachnospiraceae (OTU 90)	Kruskal-Wallis rank sum test	0.0015	0	0	0.0015	5e-4	0.020497395896594425	0.02147459456697422	0.643666679699099	0.643666679699099	0.06922900506788615	0.15815505099800686	0.33669794170906564	0.20169213729216764	0.33669794170906564	0.643666679699099
Ruminococcaceae (OTU 92)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.03686431283293818	0.03686431283293818	NA	0.03686431283293818	NA	NA	0.08515166497102145	NA	NA	NA
Clostridiales (OTU 97)	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	0.0012076663889027124	0.013941189791726632	0.22086536958049402	0.0012076663889027124	NA	0.22086536958049402	0.008409612983840575	NA	0.32369496212142296	NA
Ruminococcaceae (OTU 98)	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	0.007649465809218938	0.007649465809218938	NA	0.007649465809218938	NA	NA	0.027908221290566054	NA	NA	NA
Ruminococcaceae (OTU 101)	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	0.00436587454800644	0.025422439120335413	0.27593788140761943	0.00436587454800644	NA	0.27593788140761943	0.0459087332085778	0.27593788140761943	0.9396923861369328	0.27593788140761943
Bacteria (OTU 108)	Kruskal-Wallis rank sum test	0.002	0	0	0	0	0.0257260843235588	0.0257260843235588	NA	0.04190853166499098	0.368120250693519	0.368120250693519	0.368120250693519	0.1318305659987246	0.1318305659987246	0.368120250693519
Lachnospiraceae (OTU 110)	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.12534467108358016	0.052261944445370946	0.6491650590857928	0.052261944445370946	0.6491650590857928	0.9449220180996891	0.052261944445370946	0.5993878809327642	0.6491650590857928	0.6491650590857928
Ruminococcaceae (OTU 118)	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	0.008300529395996077	0.008300529395996077	0.5583260440742723	0.20725018982104748	0.33615663806994067	0.5652971027757913	0.06610244040243067	0.4087968613446214	0.7990736481186134	0.8113636638523745
Lachnospiraceae (OTU 128)	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.025999198682340335	0.025999198682340335	NA	0.14401149325093898	0.251233133362282	0.251233133362282	0.251233133362282	0.27593788140761943	0.27593788140761943	1
Firmicutes (OTU 129)	Kruskal-Wallis rank sum test	0.002	0	0	0	0	0.0013154174267397463	0.0013154174267397463	NA	0.0013154174267397463	NA	NA	0.007938158351648976	NA	NA	NA
Lachnospiraceae (OTU 133)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0.1462579855802396	0.04474241541450584	0.19540354817066377	0.04474241541450584	0.19540354817066377	NA	0.1148392803040596	0.2986176744488101	NA	NA
Lachnospiraceae (OTU 135)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0.017545034450751576	0.017545034450751576	NA	0.017545034450751576	NA	NA	0.050738064961828	NA	NA	NA
Firmicutes (OTU 155)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.035997604157193316	0.035997604157193316	NA	0.035997604157193316	NA	NA	0.08308118696647389	NA	NA	NA
Porphyromonadaceae (OTU 175)	Kruskal-Wallis rank sum test	0	0	0	0	0.0015	NA	NA	NA	NA	NA	NA	0.005399710333129621	0.005399710333129621	0.005399710333129621	0.005399710333129621
Lachnospiraceae (OTU 183)	Kruskal-Wallis rank sum test	0	0	0	0	0	NA	NA	NA	NA	NA	NA	0.07323920333262478	0.07323920333262478	0.07323920333262478	0.07323920333262478
