otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	p.value.adj
Dorea (OTU 229)	4.000000000000091	0.5494159513527671	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 244)	3.5603448275861456	0.6142770068138615	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Bacteria (OTU 248)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 249)	4.000000000000091	0.5494159513527671	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Streptococcus (OTU 257)	4.000000000000091	0.5494159513527671	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Akkermansia (OTU 264)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 266)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Parabacteroides (OTU 275)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 276)	4.000000000000091	0.5494159513527671	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Anaeroplasma (OTU 302)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 305)	4.000000000000091	0.5494159513527671	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 351)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Clostridiales (OTU 395)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Clostridium_sensu (OTU 397)	4.000000000000091	0.5494159513527671	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Ruminococcaceae (OTU 420)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Porphyromonadaceae (OTU 425)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Ruminococcaceae (OTU 450)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Acetatifactor (OTU 452)	4.000000000000091	0.5494159513527671	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Firmicutes (OTU 471)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 478)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 490)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Clostridia (OTU 529)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Bacteria (OTU 582)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 586)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Porphyromonadaceae (OTU 595)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 607)	4.000000000000091	0.5494159513527671	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 623)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Porphyromonadaceae (OTU 700)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 722)	4.000000000000091	0.5494159513527671	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Bacteria (OTU 792)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Ruminococcaceae (OTU 819)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lactobacillus (OTU 882)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Turicibacter (OTU 900)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Clostridiales (OTU 905)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 979)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 1049)	4.000000000000091	0.5494159513527671	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Porphyromonadaceae (OTU 1108)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Porphyromonadaceae (OTU 1212)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Turicibacter (OTU 1352)	4.000000000000091	0.5494159513527671	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 1383)	4.000000000000091	0.5494159513527671	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 1423)	4.000000000000091	0.5494159513527671	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 1495)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Porphyromonadaceae (OTU 1595)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 1623)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Clostridiales (OTU 1645)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 1705)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 1710)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lactobacillus (OTU 1965)	4.000000000000091	0.5494159513527671	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 2504)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 2505)	4.000000000000091	0.5494159513527671	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Veillonella (OTU 2935)	4.000000000000091	0.5494159513527671	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 3458)	4.000000000000091	0.5494159513527671	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 3653)	4.000000000000091	0.5494159513527671	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 4034)	4.000000000000091	0.5494159513527671	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 4036)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 4060)	4.000000000000091	0.5494159513527671	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Clostridia (OTU 4151)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Porphyromonadaceae (OTU 5020)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Ruminococcaceae (OTU 5082)	4.000000000000091	0.5494159513527671	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 5367)	4.000000000000091	0.5494159513527671	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 5823)	4.000000000000091	0.5494159513527671	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 239)	3.2266343825666546	0.6650912656873305	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6949057017353832
Ruminococcaceae (OTU 147)	3.1970443349752364	0.6696371759319637	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6972510800941066
Lachnospiraceae (OTU 167)	3.1477072310405116	0.6772257507755854	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.7003392576279945
Firmicutes (OTU 198)	3.1477072310405116	0.6772257507755854	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.7003392576279945
Lachnospiraceae (OTU 103)	3.116710686767532	0.6819980206619782	5	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0.7028755110904061
Streptococcus (OTU 166)	3.051724137931108	0.69201157879867925	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.7107779944949146
Lachnospiraceae (OTU 189)	2.688423645320199	0.7478884122745606	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.760436875567758
Clostridiales (OTU 199)	2.688423645320199	0.7478884122745606	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.760436875567758
Lachnospiraceae (OTU 343)	2.688423645320199	0.7478884122745606	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.760436875567758
Lachnospiraceae (OTU 86)	2.6702941595525154	0.7506579291749925	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.7607001757191396
Lactobacillus (OTU 9)	2.5514331010485467	0.7687300038649858	5	Kruskal-Wallis rank sum test	0.002	0.004	0.006	0.0045000000000000005	0.0045000000000000005	0.003	0.7764173039036356
Lachnospiraceae (OTU 120)	2.402015455304947	0.7911739417384779	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.796430911451026
Enterorhabdus (OTU 109)	1.8983276593488017	0.8630269177364969	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.8658846227621143
Clostridium (OTU 172)	1.8237259816207194	0.8729584287236527	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.8729584287236527
Clostridium_sensu (OTU 53)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 67)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 100)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bacteria (OTU 105)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 124)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Clostridiales (OTU 130)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Clostridiales (OTU 136)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Alistipes (OTU 139)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 146)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Staphylococcus (OTU 156)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Anaerostipes (OTU 159)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Clostridiales (OTU 170)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Clostridiales (OTU 173)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Enterobacteriaceae (OTU 176)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 177)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Coriobacteriaceae (OTU 182)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Clostridium (OTU 186)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Enterococcus (OTU 187)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Prevotella (OTU 191)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 196)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Clostridiales (OTU 197)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Actinobacillus (OTU 202)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 205)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Firmicutes (OTU 210)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Corynebacterium (OTU 213)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 217)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bacillus (OTU 218)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Lactobacillus (OTU 221)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Clostridiales (OTU 224)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Listeria (OTU 228)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Streptococcus (OTU 230)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Fusobacterium (OTU 231)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bacteria (OTU 232)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Pasteurellaceae (OTU 233)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Oscillibacter (OTU 236)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bacteroides (OTU 237)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 238)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Pseudoflavonifractor (OTU 240)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 241)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Lactobacillales (OTU 242)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 243)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Parabacteroides (OTU 245)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 246)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Acetatifactor (OTU 247)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 254)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 255)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 259)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bacteroides (OTU 261)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Faecalibacterium (OTU 262)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Acetatifactor (OTU 263)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Coriobacteriaceae (OTU 265)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Acidaminococcus (OTU 267)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Clostridiales (OTU 269)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Firmicutes (OTU 270)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 271)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 272)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Olsenella (OTU 274)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Alistipes (OTU 277)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 278)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Aerococcus (OTU 281)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bacteria (OTU 283)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Clostridiales_Incertae_Sedis_XIII (OTU 284)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 285)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Veillonellaceae (OTU 286)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Alistipes (OTU 289)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 290)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bacteria (OTU 291)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 292)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bacteria (OTU 293)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Lactobacillus (OTU 294)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bacteroides (OTU 296)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 297)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Pseudomonas (OTU 298)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Turicibacter (OTU 299)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 300)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 303)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bacteroidetes (OTU 304)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Akkermansia (OTU 306)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 307)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 308)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bacteroides (OTU 309)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bacteria (OTU 310)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 311)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 313)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 314)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bradyrhizobium (OTU 315)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 316)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 318)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Roseburia (OTU 319)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Dialister (OTU 320)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 321)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Clostridia (OTU 323)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Akkermansia (OTU 324)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 325)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 326)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Streptococcus (OTU 327)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 328)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Clostridiales (OTU 329)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 330)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Phascolarctobacterium (OTU 331)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Phenylobacterium (OTU 332)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bacteroidales (OTU 333)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bacteroidales (OTU 334)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 335)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Blautia (OTU 336)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bacteria (OTU 337)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bilophila (OTU 339)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 340)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Clostridiales (OTU 341)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Escherichia/Shigella (OTU 342)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Erysipelotrichaceae (OTU 344)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Clostridium_sensu (OTU 345)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Butyrivibrio (OTU 346)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Akkermansia (OTU 347)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Akkermansia (OTU 348)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 349)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Fusobacterium (OTU 350)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Akkermansia (OTU 352)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 353)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Streptococcus (OTU 354)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 355)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Parasutterella (OTU 356)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 357)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Enterorhabdus (OTU 358)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 359)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Akkermansia (OTU 360)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bacteroides (OTU 361)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Terrisporobacter (OTU 363)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 364)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 365)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Clostridiales (OTU 366)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bacteroides (OTU 367)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Veillonella (OTU 368)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Blautia (OTU 369)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 370)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Oscillibacter (OTU 371)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 372)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 373)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Turicibacter (OTU 374)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 375)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 376)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Clostridiales (OTU 377)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 378)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 379)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Atopostipes (OTU 380)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bacteria (OTU 381)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Clostridiales (OTU 382)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
