otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	p.value.adj
Acetatifactor (OTU 79)	11.61685329662324	0.04043215152797629	5	Kruskal-Wallis rank sum test	0	0.002	0	0	0	0	0.12010727365663544
Lachnospiraceae (OTU 26)	11.517752662889043	0.04202776561333792	5	Kruskal-Wallis rank sum test	5e-4	0.005	0.003	0.012	0.001	0	0.12363507748389697
Ruminococcaceae (OTU 52)	11.331665034963974	0.04518646282341558	5	Kruskal-Wallis rank sum test	0	0.001	0.002	0.001	0	0	0.13039522129042783
Ruminococcaceae (OTU 59)	11.348735129391672	0.04488760591314693	5	Kruskal-Wallis rank sum test	0	0.002	0	5e-4	0	0	0.13039522129042783
Ruminococcaceae (OTU 65)	11.249057594036236	0.046659501409041626	5	Kruskal-Wallis rank sum test	0	0	0	0.0015	5e-4	0	0.13337574459376994
Lachnospiraceae (OTU 68)	10.83876117464277	0.05467227298253465	5	Kruskal-Wallis rank sum test	0	0	0	0.0025	0.001	5e-4	0.15481961414680376
Turicibacter (OTU 5)	10.787399002444209	0.05576203441571402	5	Kruskal-Wallis rank sum test	0.0065	0.016	0.034	0.0495	0.006500000000000001	0.027999999999999997	0.15644348544408654
Lachnospiraceae (OTU 47)	10.622359705036876	0.05940345804465352	5	Kruskal-Wallis rank sum test	0.003	0.0035	0	0	0	0	0.1651307136470644
Lachnospiraceae (OTU 104)	10.54785029298371	0.06111950002777675	5	Kruskal-Wallis rank sum test	0	0	0	0.001	5e-4	0	0.16835644098560323
Clostridium (OTU 22)	10.475274166588978	0.06283558043302363	5	Kruskal-Wallis rank sum test	0.0045000000000000005	0.007	0	0.014499999999999999	0.0045000000000000005	0.0025	0.1715241519928483
Lachnospiraceae (OTU 140)	10.301587301587292	0.06712721840261618	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18160309978564912
Blautia (OTU 19)	10.169491525423673	0.07057277688569588	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.1827653965501355
Anaeroplasma (OTU 89)	10.197044334975425	0.0698407644947298	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.1827653965501355
Lachnospiraceae (OTU 152)	10.172413793103399	0.0704948016018434	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.1827653965501355
Clostridiales (OTU 214)	10.197044334975425	0.0698407644947298	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.1827653965501355
Bacteria (OTU 223)	10.197044334975425	0.0698407644947298	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.1827653965501355
Clostridium (OTU 51)	9.808079474452633	0.08085949679797941	5	Kruskal-Wallis rank sum test	0	0.001	0	0	5e-4	0	0.20763074177786237
Lachnospiraceae (OTU 112)	9.673652201294733	0.08502823267678844	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.21650045799215878
Ruminococcaceae (OTU 61)	9.557863778638625	0.08877726074510207	5	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0.22269710792763803
Lachnospiraceae (OTU 75)	9.55318685789851	0.0889318483803439	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.22269710792763803
