otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	1RM1	WMN	CN	p.value.adj
Ruminococcaceae (OTU 52)	30.366780341960208	8.131948875708755e-5	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0.001	4.954465148348482e-4
Ruminococcaceae (OTU 60)	30.318907720838343	8.298362539036517e-5	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0.001	4.963929591532753e-4
Lachnospiraceae (OTU 62)	29.97319941503666	9.60406013051245e-5	7	Kruskal-Wallis rank sum test	0	0	0.001	0	0.001	0.004	0	5e-4	5.642385326676064e-4
Ruminococcaceae (OTU 61)	29.508598708953567	1.1682771673600838e-4	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0.0015	6.743213825639782e-4
Ruminococcaceae (OTU 59)	28.43364506695005	1.834520344348357e-4	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	5e-4	0.0010406158505010508
Porphyromonadaceae (OTU 67)	27.66666666666695	2.5266504948567273e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.001154538906677588
Clostridiales (OTU 107)	27.66666666666695	2.5266504948567273e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.001154538906677588
Porphyromonadaceae (OTU 122)	27.66666666666695	2.5266504948567273e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.001154538906677588
Porphyromonadaceae (OTU 175)	27.66666666666695	2.5266504948567273e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.001154538906677588
Clostridiales (OTU 226)	27.66666666666695	2.5266504948567273e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.001154538906677588
Lachnospiraceae (OTU 292)	27.66666666666695	2.5266504948567273e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.001154538906677588
Porphyromonadaceae (OTU 314)	27.66666666666695	2.5266504948567273e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.001154538906677588
Lachnospiraceae (OTU 316)	27.66666666666695	2.5266504948567273e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.001154538906677588
Porphyromonadaceae (OTU 338)	27.66666666666695	2.5266504948567273e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.001154538906677588
Porphyromonadaceae (OTU 353)	27.66666666666695	2.5266504948567273e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.001154538906677588
Lachnospiraceae (OTU 492)	27.66666666666695	2.5266504948567273e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.001154538906677588
Lactobacillaceae (OTU 652)	27.66666666666695	2.5266504948567273e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.001154538906677588
Lachnospiraceae (OTU 928)	27.66666666666695	2.5266504948567273e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.001154538906677588
Lachnospiraceae (OTU 2650)	27.66666666666695	2.5266504948567273e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.001154538906677588
Porphyromonadaceae (OTU 10)	27.576945778366575	2.622782387769226e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.128	0	0	0.0011820485007891443
Lachnospiraceae (OTU 88)	27.107057370815284	3.188112925685252e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.0015	0.0014174177737168213
Firmicutes (OTU 210)	26.984126984127002	3.354794678457712e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.0014716365989501164
Ruminococcaceae (OTU 106)	26.936243228930966	3.4220135334958016e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.001	0.0014813716480527876
Lachnospiraceae (OTU 110)	26.278691601528337	4.490529081864384e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	0	0.0019186806077056912
Lachnospiraceae (OTU 47)	26.072453087358884	4.888726869940259e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	0	0.0020620399233465966
Turicibacter (OTU 5)	25.986043642477494	5.065687303030355e-4	7	Kruskal-Wallis rank sum test	0.016	0.011	0.025	0.0275	0.049	0.007	0.069	0.0935	0.002109634332527831
Porphyromonadaceae (OTU 6)	25.499863389944363	6.18494119812023e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0.227	0	0	0.0025435570677269444
Bacteria (OTU 108)	25.254220331486042	6.839340637399462e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0	0	5e-4	0.002777954407042498
Lachnospiraceae (OTU 66)	24.985119161954685	7.634230897227551e-4	7	Kruskal-Wallis rank sum test	0	0	0.001	0	0.003	0.001	0	5e-4	0.003063002396570566
Lachnospiraceae (OTU 75)	24.45202774177823	9.485227913048448e-4	7	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0.001	0.0025	0	0.003759807208907156
Pseudoflavonifractor (OTU 69)	24.36530503048101	9.825289958340048e-4	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0.001	0.0038482385670165183
Firmicutes (OTU 129)	24.162096531424567	0.001066954209610484	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.0041297404113158735
Lachnospiraceae (OTU 95)	23.304497527930284	0.0015084127486344775	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.00577055574768306
Lachnospiraceae (OTU 102)	22.450252584165902	0.00212374331588838	7	Kruskal-Wallis rank sum test	0	0	0	0	0.002	0	0	0	0.008031167252037667
Lachnospiraceae (OTU 74)	22.368948382552954	0.0021937036087335987	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	0	0.008201460082651749
Lactobacillus (OTU 13)	22.19825113644016	0.0023479670903797326	7	Kruskal-Wallis rank sum test	0.0035	0.016	0.006	0.006	0.017	0.005	0.010499999999999999	0.029	0.008679563738594742
Lachnospiraceae (OTU 116)	22.11143054713113	0.00243043221319729	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.002	0	0	0.008884579979354537
