otu	statistic	p.value	parameter	method	C	CWM	FRM	RM	p.value.adj
Lachnospiraceae (OTU 102)	18.414676358601586	3.6118869921732187e-4	3	Kruskal-Wallis rank sum test	0.001	0	0	0	0.002347726544912592
Lachnospiraceae (OTU 4)	18.22198117370201	3.958303381023515e-4	3	Kruskal-Wallis rank sum test	0.0645	0	0	0	0.0024949306159178517
Lachnospiraceae (OTU 47)	17.93155339805824	4.5438029755227936e-4	3	Kruskal-Wallis rank sum test	0.0015	0	0	0	0.002779738290908062
Lachnospiraceae (OTU 46)	17.346696362286572	5.99684140813418e-4	3	Kruskal-Wallis rank sum test	0.003	0	0	0	0.0033711973321402956
Porphyromonadaceae (OTU 48)	17.401842948717956	5.842095423500426e-4	3	Kruskal-Wallis rank sum test	0	0	0.0025	0	0.0033711973321402956
Lachnospiraceae (OTU 66)	17.40605339780585	5.830444962242483e-4	3	Kruskal-Wallis rank sum test	0.0025	0	0	0	0.0033711973321402956
Clostridiales (OTU 115)	17.180664062500007	6.48777036719888e-4	3	Kruskal-Wallis rank sum test	0.001	0	0	0	0.0035512006220457027
Lachnospiraceae (OTU 34)	16.645996225397692	8.356562004707035e-4	3	Kruskal-Wallis rank sum test	0.0035	0	0	0	0.004345412242447658
Lachnospiraceae (OTU 110)	16.645996225397692	8.356562004707035e-4	3	Kruskal-Wallis rank sum test	0.001	0	0	0	0.004345412242447658
Clostridiales (OTU 35)	16.36563220957058	9.541157164012102e-4	3	Kruskal-Wallis rank sum test	0.0015	0	0	0	0.004840391927108579
Porphyromonadaceae (OTU 40)	15.873460246360569	0.00120377260977648	3	Kruskal-Wallis rank sum test	0	0	0.006	0	0.005564104507411285
Porphyromonadaceae (OTU 80)	15.882352941176459	0.0011987318409853497	3	Kruskal-Wallis rank sum test	0	0	5e-4	0	0.005564104507411285
Porphyromonadaceae (OTU 175)	15.873460246360569	0.00120377260977648	3	Kruskal-Wallis rank sum test	0	0	5e-4	0	0.005564104507411285
Porphyromonadaceae (OTU 194)	15.882352941176459	0.0011987318409853497	3	Kruskal-Wallis rank sum test	0	0	5e-4	0	0.005564104507411285
Lachnospiraceae (OTU 33)	15.470794333735919	0.0014554802614455914	3	Kruskal-Wallis rank sum test	0.006	0	0	0	0.006441274348525171
Lachnospiraceae (OTU 36)	15.495726495726492	0.0014384799697939208	3	Kruskal-Wallis rank sum test	0.0025	0	0	0	0.006441274348525171
Porphyromonadaceae (OTU 15)	15.23505513639001	0.001626406897772423	3	Kruskal-Wallis rank sum test	0	0	0.007	0	0.007047763223680499
Clostridium (OTU 126)	14.495614035087726	0.002302586252339767	3	Kruskal-Wallis rank sum test	0.001	0	0	0	0.00977424368340146
Lachnospiraceae (OTU 29)	13.878645995233652	0.0030750773557581945	3	Kruskal-Wallis rank sum test	0.006500000000000001	0	0	0	0.012108342382127974
Lachnospiraceae (OTU 71)	13.871559633027523	0.003085298780061455	3	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.012108342382127974
Ruminococcaceae (OTU 101)	13.871559633027523	0.003085298780061455	3	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.012108342382127974
Coriobacteriaceae (OTU 158)	13.935483870967742	0.0029942985733840775	3	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.012108342382127974
Ruminococcaceae (OTU 60)	13.06666666666667	0.004494630696505149	3	Kruskal-Wallis rank sum test	0.001	0	0	0	0.017312651571723535
Lactobacillus (OTU 23)	12.4888859832636	0.005883001938646856	3	Kruskal-Wallis rank sum test	0.0055	0.0055	0.0015	0.001	0.022118060208300965
Ruminococcaceae (OTU 37)	12.439853132099973	0.006018720101815029	3	Kruskal-Wallis rank sum test	0.001	0	0	0	0.022118060208300965
Lachnospiraceae (OTU 62)	12.424730529216312	0.006061199191697861	3	Kruskal-Wallis rank sum test	0.001	0	0	0	0.022118060208300965
Bifidobacterium (OTU 28)	12.269224367509983	0.006515576739596862	3	Kruskal-Wallis rank sum test	0.0015	5e-4	0.010499999999999999	0.003	0.022970168844680464
Lachnospiraceae (OTU 32)	12.294100467289713	0.00644069185744061	3	Kruskal-Wallis rank sum test	0.003	0	5e-4	0	0.022970168844680464
Clostridium (OTU 22)	11.955391450528344	0.007537543216061577	3	Kruskal-Wallis rank sum test	0.0035	0.0025	0	0	0.026130149815680136
Pseudoflavonifractor (OTU 69)	11.750392464678177	0.008289006602141592	3	Kruskal-Wallis rank sum test	0.001	0	0	0	0.028264153659761492
Lachnospiraceae (OTU 94)	11.70776715316223	0.00845430895730036	3	Kruskal-Wallis rank sum test	0.0015	0	0	0	0.028362842953523787
Lachnospiraceae (OTU 86)	11.418750000000001	0.009664220877933396	3	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.03190726893031978
Lachnospiraceae (OTU 81)	11.225944404846745	0.010564793251546615	3	Kruskal-Wallis rank sum test	0	0	0	0	0.0320243127715188
Ruminococcaceae (OTU 92)	11.225944404846745	0.010564793251546615	3	Kruskal-Wallis rank sum test	0	0	0	0	0.0320243127715188
Ruminococcaceae (OTU 98)	11.225944404846745	0.010564793251546615	3	Kruskal-Wallis rank sum test	0	0	0	0	0.0320243127715188
Ruminococcaceae (OTU 118)	11.21395514417941	0.010623449909782678	3	Kruskal-Wallis rank sum test	0	0	0	0	0.0320243127715188
Firmicutes (OTU 129)	11.22994652406416	0.010545284345625324	3	Kruskal-Wallis rank sum test	0	0	0	0	0.0320243127715188
Lachnospiraceae (OTU 131)	11.225944404846745	0.010564793251546615	3	Kruskal-Wallis rank sum test	0	0	0	0	0.0320243127715188
Porphyromonadaceae (OTU 7)	11.173469387755105	0.010823907123633139	3	Kruskal-Wallis rank sum test	0.0105	0	0	0	0.03216246688165276
Akkermansia (OTU 3)	10.967921066185934	0.011900609215890189	3	Kruskal-Wallis rank sum test	0.033	0.3615	0.062	0.14300000000000002	0.03486375657612901
Lachnospiraceae (OTU 88)	10.542510121457498	0.014475282003531788	3	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.04181748134353628
Porphyromonadaceae (OTU 87)	10.294117647058862	0.016224572919358082	3	Kruskal-Wallis rank sum test	0	0	0	0	0.04622892009899289
Porphyromonadaceae (OTU 6)	10.227797241686122	0.016725792943395528	3	Kruskal-Wallis rank sum test	0	0	0.1215	0	0.04701303962467932
Bacteroides (OTU 1)	9.938480550182673	0.019096377352524715	3	Kruskal-Wallis rank sum test	0.123	0.007	0.41200000000000003	0.6755	0.05296061985766855
Lachnospiraceae (OTU 17)	9.802330173775669	0.020323339371100868	3	Kruskal-Wallis rank sum test	0.003	0.0155	0	5e-4	0.05562177091038133
Enterorhabdus (OTU 109)	8.991987179487174	0.029397611269562234	3	Kruskal-Wallis rank sum test	0.001	0	0	0	0.07941172914375252
Lachnospiraceae (OTU 84)	8.727272727272736	0.03314555170077382	3	Kruskal-Wallis rank sum test	0	0	0	0	0.0845084464057199
Oscillibacter (OTU 119)	8.750000000000007	0.03280623110689086	3	Kruskal-Wallis rank sum test	0	0	0	0	0.0845084464057199
Lachnospiraceae (OTU 128)	8.715953307393002	0.03331582983302419	3	Kruskal-Wallis rank sum test	0	0	0	0	0.0845084464057199
Acetatifactor (OTU 138)	8.727272727272736	0.03314555170077382	3	Kruskal-Wallis rank sum test	0	0	0	0	0.0845084464057199
Clostridiales (OTU 154)	8.715953307393002	0.03331582983302419	3	Kruskal-Wallis rank sum test	0	0	0	0	0.0845084464057199
Lachnospiraceae (OTU 74)	8.21856211148477	0.0417041825847863	3	Kruskal-Wallis rank sum test	0	0	0	0	0.10451168647753677
Lactobacillus (OTU 13)	7.8546116504854435	0.04911397763346746	3	Kruskal-Wallis rank sum test	0.012	0.0135	0.004	0.002	0.1216155636638242
Olsenella (OTU 114)	7.7934272300469445	0.050479547647700046	3	Kruskal-Wallis rank sum test	0	0	5e-4	0	0.12352642247907777
Lachnospiraceae (OTU 117)	7.647895335608635	0.0538777136122215	3	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.13030888873653573
Lachnospiraceae (OTU 160)	7.506272401433692	0.05739750599429374	3	Kruskal-Wallis rank sum test	0	0	0	0	0.13722622122773676
Lachnospiraceae (OTU 90)	7.435413354530996	0.059241389509647246	3	Kruskal-Wallis rank sum test	0.001	0	0	0	0.14002510247734803
Blautia (OTU 19)	6.349384098544203	0.09579547743716954	3	Kruskal-Wallis rank sum test	0	0	0	0	0.1954416010956748
Ruminococcaceae (OTU 65)	6.616262855150768	0.08518844155111363	3	Kruskal-Wallis rank sum test	0.001	0	0	0	0.1954416010956748
Acetatifactor (OTU 78)	6.349384098544203	0.09579547743716954	3	Kruskal-Wallis rank sum test	0	0	0	0	0.1954416010956748
Acetatifactor (OTU 79)	6.348287976801258	0.09584155438345592	3	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.1954416010956748
Anaeroplasma (OTU 89)	6.349384098544203	0.09579547743716954	3	Kruskal-Wallis rank sum test	0	0	0	0	0.1954416010956748
Clostridiales (OTU 91)	6.349384098544203	0.09579547743716954	3	Kruskal-Wallis rank sum test	0	0	0	0	0.1954416010956748
Firmicutes (OTU 96)	6.352941176470559	0.09564609736784675	3	Kruskal-Wallis rank sum test	0	0	0	0	0.1954416010956748
Ruminococcaceae (OTU 106)	6.352941176470559	0.09564609736784675	3	Kruskal-Wallis rank sum test	0	0	0	0	0.1954416010956748
Lachnospiraceae (OTU 112)	6.352941176470559	0.09564609736784675	3	Kruskal-Wallis rank sum test	0	0	0	0	0.1954416010956748
Dorea (OTU 134)	6.352941176470559	0.09564609736784675	3	Kruskal-Wallis rank sum test	0	0	0	0	0.1954416010956748
Lachnospiraceae (OTU 135)	6.352941176470559	0.09564609736784675	3	Kruskal-Wallis rank sum test	0	0	0	0	0.1954416010956748
Clostridium (OTU 145)	6.352941176470559	0.09564609736784675	3	Kruskal-Wallis rank sum test	0	0	0	0	0.1954416010956748
Firmicutes (OTU 155)	6.363636363636332	0.09519829740078085	3	Kruskal-Wallis rank sum test	0	0	0	0	0.1954416010956748
Clostridiales (OTU 179)	6.352941176470559	0.09564609736784675	3	Kruskal-Wallis rank sum test	0	0	0	0	0.1954416010956748
Lachnospiraceae (OTU 113)	6.174595141700407	0.10341796974571318	3	Kruskal-Wallis rank sum test	0	0	0	0	0.20775709230694425
Lachnospiraceae (OTU 116)	6.164433617539588	0.10387854615347213	3	Kruskal-Wallis rank sum test	0	0	0	0	0.20775709230694425
Ruminococcaceae (OTU 61)	6.066167735804219	0.10843502425531575	3	Kruskal-Wallis rank sum test	0	0	0	0	0.21480461947719692
Lachnospiraceae (OTU 58)	5.7201554527115395	0.1260480540465287	3	Kruskal-Wallis rank sum test	0	0	0	0	0.24733957775167895
Lachnospiraceae (OTU 16)	5.217977137392971	0.15651415702018406	3	Kruskal-Wallis rank sum test	0.006	0.002	0.001	0.002	0.3042518192541896
Bacteroidales (OTU 38)	4.99999999999998	0.17179714429673462	3	Kruskal-Wallis rank sum test	0	0	0	0	0.30541714541641707
Lachnospiraceae (OTU 148)	5.112359550561794	0.16375210609420587	3	Kruskal-Wallis rank sum test	0	0	0	0	0.30541714541641707
Enterococcus (OTU 187)	4.99999999999998	0.17179714429673462	3	Kruskal-Wallis rank sum test	0	0	0	0	0.30541714541641707
Porphyromonadaceae (OTU 190)	4.99999999999998	0.17179714429673462	3	Kruskal-Wallis rank sum test	0	0	0	0	0.30541714541641707
Lachnospiraceae (OTU 203)	4.99999999999998	0.17179714429673462	3	Kruskal-Wallis rank sum test	0	0	0	0	0.30541714541641707
Porphyromonadaceae (OTU 212)	4.99999999999998	0.17179714429673462	3	Kruskal-Wallis rank sum test	0	0	0	0	0.30541714541641707
Alistipes (OTU 289)	4.99999999999998	0.17179714429673462	3	Kruskal-Wallis rank sum test	0	0	0	0	0.30541714541641707
Escherichia/Shigella (OTU 342)	4.99999999999998	0.17179714429673462	3	Kruskal-Wallis rank sum test	0	0	0	0	0.30541714541641707
Porphyromonadaceae (OTU 410)	4.99999999999998	0.17179714429673462	3	Kruskal-Wallis rank sum test	0	0	0	0	0.30541714541641707
Porphyromonadaceae (OTU 807)	4.99999999999998	0.17179714429673462	3	Kruskal-Wallis rank sum test	0	0	0	0	0.30541714541641707
Lachnospiraceae (OTU 49)	4.560524974515787	0.20695471747521832	3	Kruskal-Wallis rank sum test	0	0	0	0	0.36480153588852043
Lachnospiraceae (OTU 72)	4.530023547880689	0.2096278386953804	3	Kruskal-Wallis rank sum test	0	0	0	0	0.36640832309780774
Lachnospiraceae (OTU 111)	4.49898063200816	0.21238123068204068	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3681274665155372
Erysipelotrichaceae (OTU 39)	4.394889481109897	0.22185971908045507	3	Kruskal-Wallis rank sum test	0	0.001	0.001	0	0.3782526358093004
Lachnospiraceae (OTU 82)	4.406659495403865	0.22076869111013137	3	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.3782526358093004
Clostridium_sensu (OTU 53)	4.1142857142856935	0.24938484703195388	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3842373939455289
Lachnospiraceae (OTU 133)	4.1142857142856935	0.24938484703195388	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3842373939455289
Clostridiales (OTU 141)	4.117647058823509	0.24903740025766563	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3842373939455289
Ruminococcaceae (OTU 147)	4.117647058823509	0.24903740025766563	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3842373939455289
Lachnospiraceae (OTU 151)	4.1142857142856935	0.24938484703195388	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3842373939455289
Lachnospiraceae (OTU 164)	4.117647058823509	0.24903740025766563	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3842373939455289
Lachnospiraceae (OTU 167)	4.1142857142856935	0.24938484703195388	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3842373939455289
Lachnospiraceae (OTU 180)	4.117647058823509	0.24903740025766563	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3842373939455289
Lachnospiraceae (OTU 183)	4.1142857142856935	0.24938484703195388	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3842373939455289
Lachnospiraceae (OTU 185)	4.1142857142856935	0.24938484703195388	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3842373939455289
Akkermansia (OTU 200)	4.117647058823509	0.24903740025766563	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3842373939455289
Clostridium (OTU 201)	4.117647058823509	0.24903740025766563	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3842373939455289
Lachnospiraceae (OTU 220)	4.1142857142856935	0.24938484703195388	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3842373939455289
Lachnospiraceae (OTU 85)	3.999855887015407	0.26147969196825976	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3999101171279267
Lachnospiraceae (OTU 83)	3.910353535353515	0.2713084586566632	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4059867582775967
Lachnospiraceae (OTU 120)	3.910353535353515	0.2713084586566632	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4059867582775967
Ruminococcaceae (OTU 153)	3.910353535353515	0.2713084586566632	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4059867582775967
Clostridium (OTU 172)	3.8281249999999822	0.28063162677991194	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4169384169301549
Lachnospiraceae (OTU 75)	3.6865002161694886	0.2973669432680699	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4386689659557343
Lachnospiraceae (OTU 103)	3.0791666666666573	0.37957956218538796	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5527328874347779
Blautia (OTU 132)	3.0763419836473527	0.3800038601114098	3	Kruskal-Wallis rank sum test	0	0	0	0.001	0.5527328874347779
Lachnospiraceae (OTU 68)	3.0359050301029304	0.3861223876957614	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5538859078670233
Lachnospiraceae (OTU 150)	3.0468749999999876	0.3844542871030571	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5538859078670233
Alistipes (OTU 18)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Lachnospiraceae (OTU 64)	2.326895692417214	0.5073879967699032	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Lachnospiraceae (OTU 95)	2.199164144689419	0.5321130274069107	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Clostridiales (OTU 107)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Lachnospiraceae (OTU 123)	2.121212121212111	0.5476333412578204	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Clostridiales (OTU 137)	2.186868686868699	0.5345394596332373	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Erysipelotrichaceae (OTU 142)	2.242497972424974	0.5236261747024932	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Ruminococcaceae (OTU 143)	2.18749999999999	0.5344146763130726	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Lachnospiraceae (OTU 149)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Lachnospiraceae (OTU 161)	2.0604575163398873	0.5599538040392914	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Acetatifactor (OTU 165)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Streptococcus (OTU 166)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Ruminococcaceae (OTU 169)	2.1903372243839323	0.5338541436628144	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Lachnospiraceae (OTU 174)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Lachnospiraceae (OTU 181)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Coriobacteriaceae (OTU 182)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Lachnospiraceae (OTU 189)	2.121212121212111	0.5476333412578204	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Lachnospiraceae (OTU 193)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Firmicutes (OTU 198)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Coriobacteriaceae (OTU 204)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Clostridiales (OTU 208)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Ruminococcaceae (OTU 219)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Lachnospiraceae (OTU 222)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Lachnospiraceae (OTU 238)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Lachnospiraceae (OTU 244)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Bacteria (OTU 248)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Akkermansia (OTU 250)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Coriobacteriaceae (OTU 252)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Lachnospiraceae (OTU 266)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Parabacteroides (OTU 275)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Clostridiales_Incertae_Sedis_XIII (OTU 284)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Lachnospiraceae (OTU 287)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Bacteria (OTU 293)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Lactobacillus (OTU 294)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Lachnospiraceae (OTU 295)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Anaeroplasma (OTU 302)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Akkermansia (OTU 306)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Akkermansia (OTU 347)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Akkermansia (OTU 348)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Lachnospiraceae (OTU 349)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Lachnospiraceae (OTU 351)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Butyricicoccus (OTU 402)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Ruminococcaceae (OTU 420)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Clostridiales (OTU 436)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Ruminococcaceae (OTU 450)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Akkermansia (OTU 504)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Clostridium (OTU 536)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Clostridiales (OTU 874)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Prevotella (OTU 996)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
Firmicutes (OTU 1187)	1.9999999999999918	0.5724067044708816	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6074520129078744
