otu	method	WM	C	WMR	CWM	RM	FRM	M1	1RM1	C-WM	WMR-WM	WMR-C	CWM-WM	CWM-C	CWM-WMR	RM-WM	RM-C	RM-WMR	RM-CWM	FRM-WM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM	M1-WM	M1-C	M1-WMR	M1-CWM	M1-RM	M1-FRM	1RM1-WM	1RM1-C	1RM1-WMR	1RM1-CWM	1RM1-RM	1RM1-FRM	1RM1-M1
Lachnospiraceae (OTU 11)	Kruskal-Wallis rank sum test	0	5e-4	0.003	0	0	0.003	0	0	0.0757113496473701	0.05790258936463827	0.35949188249966635	0.35949188249966635	0.011028654975092922	0.00198447921933096	0.19734925654186727	0.375948613262557	0.06252820388392517	0.03973772463191479	0.047713754757786705	0.2847346995765479	1	0.00198447921933096	0.06252820388392517	0.7979932947926096	0.23576273830242536	0.1515439276706205	NA	0.33452620491992235	0.1515439276706205	0.35949188249966635	0.4038072087265607	0.098634123652487	0.06608477721871316	0.9491042906470933	0.098634123652487	0.42385400753802993
Peptostreptococcaceae (OTU 12)	Kruskal-Wallis rank sum test	0.0135	0.01	0	0.093	0.011	0.062	0.002	0	0.4778772850632916	0.06231954071965141	0.011480420064145853	0.008062510381762115	0.01123802732979303	0.01123802732979303	0.648720616213933	0.7586237781820555	0.028327027281191592	0.008062510381762115	0.02298575892364296	0.09565906139512598	0.02469290744640262	0.337034410076837	0.05007541478129714	0.40364607962373794	0.18938851207910037	0.1537219383356118	0.04358297048832713	0.3391490619780143	0.06231954071965141	0.030763366044014494	0.008062510381762115	0.8922951180849767	0.008062510381762115	0.012602484695907645	0.017092789390852636	0.09565906139512598
Porphyromonadaceae (OTU 14)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.0275	0.7029175632453667	0.688155245835621	0.7029175632453667	0.5028326374639133	0.5888874855783673	NA	0.688155245835621	0.5028326374639133	0.5825645722824618	0.2673518414747717	0.688155245835621	0.7029175632453667	NA	NA	0.5825645722824618	0.5028326374639133	0.25400593886696066	0.5028326374639133	0.10851007848777677	0.6175666771494339	0.5028326374639133	0.0012975618879417976	3.562947037453799e-5	0.02289212864846335	1.0173148869303437e-4	0.0016236639598744985	0.02289212864846335	0.1619431057253175
Lachnospiraceae (OTU 20)	Kruskal-Wallis rank sum test	0	0	0.004	0	0	0	0	5e-4	0.6037915614814992	0.03445227545756275	2.5128318713780253e-4	0.5688903576097437	0.7758288201456464	5.37530992142011e-4	0.346301231517404	0.5221466812934299	9.369923805281124e-4	0.5934429252388559	0.5839235478836108	0.6451228333179266	0.0364517904576782	0.7137412328935397	NA	0.6451228333179266	0.7137412328935397	0.07848791328297638	0.7758288201456464	NA	NA	0.5221466812934299	0.05859210505453124	0.04229880373886265	0.05859210505453124	0.04229880373886265	0.23361133141835322	0.41739213030181155
Clostridium (OTU 22)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.06451746786251117	0.09514801081236175	0.9329649867867609	NA	0.06022365730510665	0.07518240489012944	0.08005495405258586	0.5791444001367735	0.9329649867867609	0.06451746786251117	NA	0.17609871104939642	0.34560095169038435	NA	0.2355640152597844	0.16688253792408628	0.8505991038232329	1	0.09514801081236175	1	0.5028326374639133	0.13387191633799445	0.6432748151725445	0.9329649867867609	0.09115794809608012	1	0.3940560034282979	0.9970119955274358
Lachnospiraceae (OTU 24)	Kruskal-Wallis rank sum test	0	0.004	0.006	0	0.0035	0.006	0	0	0.0042531064082669675	0.13224052169918823	0.9451124882174494	0.30914406500564234	3.2013546943924766e-4	0.018187462635212464	0.009329957692961247	0.9855452886633552	0.9855452886633552	7.475800702067394e-4	0.009329957692961247	0.6562276478008143	0.8694337417700034	7.475800702067394e-4	0.6562276478008143	0.5802083238299348	0.060909268766507825	0.29000925966847385	0.8694337417700034	0.06744458836952925	0.06744458836952925	0.3298075659430543	0.009329957692961247	0.09335446555399891	0.748432689962882	0.01167146202805666	0.01167146202805666	NA
Porphyromonadaceae (OTU 25)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.0015	NA	NA	NA	0.4700067967891739	0.41330232731363215	0.6858980291623189	NA	NA	NA	0.4700067967891739	0.28523063761902945	0.12445275201139562	0.4700067967891739	0.4700067967891739	0.28523063761902945	0.14685663337319593	0.04285653858319637	0.4148369259077284	0.2924826497086757	0.14685663337319593	0.6962703401140229	0.002563180559574426	1.072525180476783e-4	0.06083368277236237	0.002563180559574426	0.002563180559574426	0.12445275201139562	0.4148369259077284
Lachnospiraceae (OTU 26)	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0.002	0.0045000000000000005	0.017337031920221155	0.5859580671491355	0.0016826902486558474	0.10800009574461095	0.3287632149085711	0.02072061549879937	0.07055277489965063	NA	0.017337031920221155	0.5086653644904479	0.2478740415372439	NA	0.12000942925916337	0.6820008812693511	NA	0.3287632149085711	0.0016691866240855216	0.6820008812693511	0.02072061549879937	0.017337031920221155	0.12341028009966093	0.07055277489965063	1.2187786141781625e-4	0.2412294563434245	0.0018449145715999829	0.00233016414506766	0.03770682816468742	0.7945723486232792
Bifidobacterium (OTU 28)	Kruskal-Wallis rank sum test	0.001	0.0125	0	0.018	0.006500000000000001	0.017	0	0.0045000000000000005	7.687559654356541e-5	0.055535596458538554	0.005676147543254068	1.136535971176324e-4	0.028893227620816177	0.005676147543254068	0.015220201689290811	0.03974537357569958	0.015220201689290811	0.005676147543254068	0.015220201689290811	0.267190529465708	0.015220201689290811	0.5347941230382984	0.11958782377389424	0.12778658678230714	0.015220201689290811	NA	0.015220201689290811	0.04441784187004502	0.04441784187004502	0.015220201689290811	0.015220201689290811	0.015220201689290811	0.005925276741941874	0.4125950424831745	0.11958782377389424	0.03974537357569958
Lachnospiraceae (OTU 30)	Kruskal-Wallis rank sum test	0	0	0.008	0	0	0	0	0	0.5673190278461375	0.041330022075590896	0.00185700527821346	0.3349425074335982	0.7571410528864724	0.00185700527821346	0.7969164411574389	0.7987699582333713	0.021896506965213263	0.6341279845712813	0.7571410528864724	0.7987699582333713	0.11883053979045073	NA	0.7987699582333713	0.7969164411574389	0.8391047798619728	0.2879473666119385	NA	0.8031333482212253	NA	0.9425378416084825	0.7225449557745137	0.11883053979045073	0.34940673510816656	0.7987699582333713	0.7753480307535695	0.7987699582333713
Lachnospiraceae (OTU 31)	Kruskal-Wallis rank sum test	0	0.003	0	0	0	0.005	0	0	0.001123158862300715	NA	0.028987004140829324	NA	2.7167785464838706e-4	NA	0.14037274328528473	0.01043163470966563	0.3508107740459234	0.08776560210240711	0.0054611067113144954	0.6724285018086408	0.07595705494144374	0.0012380035188089733	0.07595705494144374	0.1283711830185279	0.14775575897726337	0.3771244780979349	0.07595705494144374	0.9257689051861331	0.24489414633024825	0.27062590084565197	0.03138245609014263	0.5538200219668353	0.19654128849834368	0.7516455469678233	0.0819662377403666	0.7516455469678233
Lachnospiraceae (OTU 32)	Kruskal-Wallis rank sum test	0	0	0.004	0	0	0	0	0.001	0.08608090913358235	0.0022243214496460184	9.350381092082057e-6	0.14807178912448896	NA	1.1463018609314508e-4	0.1865519483812469	NA	5.135806032362403e-4	NA	0.41944649204337253	NA	0.01686365441310431	NA	NA	0.5408689571465413	NA	0.058451976586925344	NA	NA	NA	0.0568348582191527	3.760900763425311e-4	0.1865519483812469	0.0019959129754661205	0.006394415199409122	0.07183962332670017	0.1516392454983626
Lachnospiraceae (OTU 33)	Kruskal-Wallis rank sum test	0	0.004	0	0	0.0015	0.006	0	0	6.576892566897734e-4	NA	0.01556731792353285	NA	1.7610951735078003e-4	NA	6.576892566897734e-4	0.5651108297900224	0.01556731792353285	1.7610951735078003e-4	0.015256588089794616	0.949713131337379	0.10560829774806375	0.006331335628149594	0.949713131337379	0.10489759526656851	0.10489759526656851	0.36874393414020307	0.06076564395315499	0.1205445933036528	0.39439850663979986	NA	0.011387766188976738	NA	NA	0.011387766188976738	0.0887443684896039	0.30876719088009297
Ruminococcaceae (OTU 37)	Kruskal-Wallis rank sum test	0	0.006500000000000001	0	0	0.002	0.006	0	0	2.9777579300780397e-4	0.936490249583841	0.011270263347690795	0.1572657891028069	4.123205234829143e-5	0.14614455107670807	0.0024578597001382583	0.17735081097765878	0.030872143463587836	1.3636483603351e-4	0.0024578597001382583	0.7117664731075222	0.022047238791430914	1.3636483603351e-4	0.348081395548205	0.6146238149392514	0.03473675452163008	0.65823545253842	NA	0.0541222005434494	0.0541222005434494	0.43013146253116513	0.004522645333524184	0.43013146253116513	NA	0.010806909285237648	0.010806909285237648	NA
Erysipelotrichaceae (OTU 39)	Kruskal-Wallis rank sum test	0.002	0	0.003	0	0	0	0	0.006500000000000001	0.0011211740950414298	0.4883357496305502	0.001590017801046499	7.248448728750328e-4	0.2495932651108905	7.248448728750328e-4	8.037157542889933e-4	0.13173764344529248	8.037157542889933e-4	0.4806887694434733	0.0183967139052047	0.3283229100398258	0.0183967139052047	0.6799024170192917	NA	0.11264571309875825	0.7787743609862482	0.10349403887029769	0.2802308971530925	0.11264571309875825	0.35416907508327805	0.11264571309875825	0.002537759606688573	0.2998248946044772	0.0011211740950414298	0.001590017801046499	0.037995139852498985	0.13173764344529248
Lachnospiraceae (OTU 42)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NA	0.05328288605492258	0.021937642645594252	NA	NA	0.042102146738472485	NA	NA	0.05328288605492258	NA	NA	NA	0.20966457735883318	NA	NA	NA	NA	0.3291139859786081	NA	NA	NA	NA	NA	0.1909323018901049	NA	NA	NA	NA
Porphyromonadaceae (OTU 44)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.0015	0.5980847085605583	0.3500557825324453	0.4439390993307419	NA	0.5870755240842801	0.3121865395022561	NA	0.5980847085605583	0.3500557825324453	NA	NA	0.7442656552009765	0.5870755240842801	NA	NA	NA	0.8055405886674939	0.6812736933772647	NA	NA	NA	0.05238844142225227	0.03918809393743094	0.4406700980670787	0.03918809393743094	0.05238844142225227	0.3121865395022561	0.4395369590043223
Lachnospiraceae (OTU 46)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.39239532582532227	0.6411987702374257	0.165682991956846	0.43334873365663806	NA	0.26758846243050527	0.4975163146101749	NA	0.3500557825324453	NA	0.6411987702374257	NA	0.5447710249287343	NA	NA	0.7388826803635273	NA	0.6411987702374257	NA	NA	NA	0.165682991956846	0.012669673899886179	0.43334873365663806	0.03333102386768774	0.0698512552296697	0.26758846243050527	0.3955832631038901
Lachnospiraceae (OTU 47)	Kruskal-Wallis rank sum test	0	0	0.003	0	0	0	0	0	0.8127709483998802	0.24585404181705287	0.044078896572746086	0.6820398767388891	0.8127709483998802	0.03165667814074797	1	0.8127709483998802	0.24520201729954802	0.6820398767388891	0.8127709483998802	0.8127709483998802	0.26402074437015943	NA	0.8127709483998802	0.8127709483998802	0.843899664318327	0.5401230656259407	NA	0.8127709483998802	NA	0.8127709483998802	0.8127709483998802	0.24585404181705287	NA	0.8127709483998802	NA	NA
Porphyromonadaceae (OTU 48)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.010499999999999999	0.6479251009406048	NA	0.7614940268491472	NA	0.6479251009406048	NA	NA	0.6479251009406048	NA	NA	NA	0.7614940268491472	NA	NA	NA	NA	0.8055405886674939	NA	NA	NA	NA	0.008160847879854457	0.0036326069837292617	0.09652640154028617	0.0036326069837292617	0.008160847879854457	0.09652640154028617	0.2224762993624197
Ruminococcaceae (OTU 52)	Kruskal-Wallis rank sum test	0	5e-4	0.002	0	0	0	0	0	0.2502237417115737	0.04639828416076559	0.13287232432394416	0.2502237417115737	0.015833478700150713	3.359813205621411e-4	0.49496443776871657	0.6114986325595153	0.04639828416076559	0.04639828416076559	0.5331197996064098	0.7638005189749518	0.2502237417115737	0.04639828416076559	0.939378212697642	0.6361472112891555	0.2502237417115737	0.10235728900154921	NA	0.3763419805349127	0.4936709789679121	0.9425378416084825	0.2502237417115737	0.04639828416076559	0.2502237417115737	0.48946163421238004	0.5331197996064098	0.7170208742631792
Butyricicoccus (OTU 56)	Kruskal-Wallis rank sum test	0	5e-4	0.001	0	0	0	0	0	0.19800286779605544	0.08047639078770055	0.24890390093373865	0.24890390093373865	0.015402323399397755	0.00396895843866192	0.9653670509834341	0.24890390093373865	0.14126054075933844	0.24890390093373865	0.5278196581594992	0.679910338618881	0.24890390093373865	0.08047639078770055	0.6650629936204807	0.6650629936204807	0.24890390093373865	0.24890390093373865	NA	0.6650629936204807	0.5147892864385714	1	0.24890390093373865	0.19800286779605544	0.24890390093373865	0.9787892970549628	0.6650629936204807	0.7170208742631792
Ruminococcaceae (OTU 61)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NA	0.2528180651623216	0.17355783944104974	NA	NA	0.20265377749303515	NA	NA	0.2528180651623216	NA	NA	NA	0.4590200302640261	NA	NA	0.17355783944104974	0.12662159126853473	0.8436689495519663	0.17355783944104974	0.17355783944104974	0.39220945722185235	NA	NA	0.4270032337127567	NA	NA	NA	0.3446340867904068
Lachnospiraceae (OTU 62)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NA	0.2528180651623216	0.1263156204007319	NA	NA	0.20265377749303515	NA	NA	0.2528180651623216	NA	NA	NA	0.5007491239243922	NA	NA	NA	NA	0.6560413343632919	NA	NA	NA	0.1263156204007319	0.09149694485524695	0.8157081115126099	0.1263156204007319	0.1263156204007319	0.32210224443856955	0.4897868531550568
Lachnospiraceae (OTU 64)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.3906790339624956	0.6755400453544783	0.2036499578368292	0.45657214889132247	NA	0.2643145349761939	0.4975163146101749	NA	0.3500557825324453	NA	0.6755400453544783	NA	0.5447710249287343	NA	NA	0.7388826803635273	NA	0.6755400453544783	NA	NA	NA	0.2575069915014234	0.012595579144920765	0.4975163146101749	0.033086826127164036	0.06923993094155384	0.2643145349761939	0.3906790339624956
Ruminococcaceae (OTU 65)	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	0	0	0.050212935958120236	0.3535916995277225	0.3747127857862874	NA	0.030872720989624243	0.3119403935920939	0.08213344907041302	0.6032548367314194	0.6033212249151017	0.050212935958120236	0.12686401441648235	0.692813963980158	0.6482562705359072	0.07518240489012944	0.9528741928651119	NA	0.35113219747398977	0.692813963980158	NA	0.4078190792577375	0.5142406030915752	0.3747127857862874	0.3119403935920939	0.9294740813385175	0.34940673510816656	0.43866859719626045	0.5190759322882418	0.692813963980158
Lachnospiraceae (OTU 66)	Kruskal-Wallis rank sum test	0	0	0.002	0	0	0	0	0	0.32105072112980915	0.06608477721871316	0.0036073087515107963	0.386330279831119	NA	0.012825915096235105	0.45211094137389857	NA	0.031672019372970095	NA	0.6411987702374257	NA	0.15907757594846192	NA	NA	0.7388826803635273	NA	0.32105072112980915	NA	NA	NA	0.32105072112980915	0.031672019372970095	0.4762000969845642	0.06608477721871316	0.12492753666006454	0.33449079230159146	0.45211094137389857
Porphyromonadaceae (OTU 67)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	NA	NA	NA	0.5554625780235691	0.4273921793811424	0.709280916520125	NA	NA	NA	0.5554625780235691	NA	NA	NA	0.709280916520125	NA	NA	NA	NA	0.7728299926844475	NA	NA	0.05044812877698367	0.009150320038806685	0.22546805630718497	0.0599079466942328	0.05044812877698367	0.22546805630718497	0.40814146193258505
Lachnospiraceae (OTU 70)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0.001	0.12650400454513822	0.5048432828659738	0.016175781662169087	0.1813842501794255	NA	0.03308025815165695	0.26121007177312755	NA	0.07442688845766963	NA	0.4853053486854898	NA	0.2633843237194904	NA	NA	0.2949063374539787	0.0028984744781927717	0.8702827722810359	0.008296393796700796	0.018002334742292438	0.1518539259651153	0.2633843237194904	0.0076972983663404675	0.8702827722810359	0.016175781662169087	0.03308025815165695	0.1813842501794255	0.8640442218301897
Lachnospiraceae (OTU 72)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.001	0.3292459147452981	0.8074354884471285	0.9711750736425017	0.2178961404247823	0.8074354884471285	0.8074354884471285	0.4429766911110162	0.9711750736425017	0.9711750736425017	0.8074354884471285	0.8074354884471285	0.9711750736425017	1	0.8074354884471285	0.9711750736425017	0.5768054657790128	0.8074354884471285	0.8074354884471285	0.9711750736425017	0.8074354884471285	0.8074354884471285	0.3768847164572561	0.01911109208939001	0.2178961404247823	0.01911109208939001	0.05503013460168391	0.2178961404247823	0.2178961404247823
Lachnospiraceae (OTU 73)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.9707546842762633	0.6661342779688811	0.6551727569984769	0.4808861686121698	0.4808861686121698	NA	0.49406134020315984	0.4808861686121698	NA	NA	0.6661342779688811	0.6551727569984769	NA	NA	NA	0.4808861686121698	0.4808861686121698	0.4808861686121698	0.16710552087117622	0.2447610556219932	0.4808861686121698	0.2447610556219932	0.16710552087117622	0.272140423553366	0.07910354394181023	0.12360544238586514	0.272140423553366	0.8020513641860385
Lachnospiraceae (OTU 74)	Kruskal-Wallis rank sum test	0	0	0.002	0	0	0	0	0	NA	0.009594495739021939	0.0014028422922541988	NA	NA	0.004987855870758096	NA	NA	0.009594495739021939	NA	NA	NA	0.0824846690103136	NA	NA	NA	NA	0.1684934678424104	NA	NA	NA	NA	NA	0.06661469333337333	NA	NA	NA	NA
Lachnospiraceae (OTU 75)	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	0.0035	0.306558848301033	0.1390118346669601	0.0024757195313814596	0.8701360285360036	0.386780252833613	0.028486890891655136	0.44914667291196353	NA	0.02284403747386176	0.5086653644904479	0.688155245835621	NA	0.1472940518041314	0.7116530934984533	NA	0.43141701729560694	0.030437882516474692	1	0.306558848301033	0.1472940518041314	0.41902719788659437	0.010700001890389702	1.2269588548729983e-4	0.2665882305363994	0.0024757195313814596	0.0029444774093453684	0.046907580064813555	0.306558848301033
Lachnospiraceae (OTU 81)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NA	0.09895393124485621	0.040741336341817896	NA	NA	0.07818970108573461	NA	NA	0.09895393124485621	NA	NA	NA	0.2814509368794781	NA	NA	NA	NA	0.42784818177219053	NA	NA	NA	0.2814509368794781	0.17570088394526345	0.49003941175942717	0.2725372533843699	0.2814509368794781	0.5039762199898201	0.6373518882339371
Lachnospiraceae (OTU 83)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NA	0.05328288605492258	0.021937642645594252	NA	NA	0.042102146738472485	NA	NA	0.05328288605492258	NA	NA	NA	0.20966457735883318	NA	NA	NA	NA	0.3291139859786081	NA	NA	NA	NA	NA	0.1909323018901049	NA	NA	NA	NA
Porphyromonadaceae (OTU 87)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.0025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1838676837544157	0.09805368340291776	0.4590200302640261	0.1519903331197764	0.1838676837544157	NA	NA	NA	NA	NA	0.6055766163353464	0.008160847879854457	0.00081996996592187735	0.09805368340291776	0.0036326069837292617	0.008160847879854457	0.1519903331197764	0.17303712172632643
Clostridiales (OTU 91)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.001	0.0386357979427185	0.4028407322490657	0.011282216217734188	0.06845695638959143	NA	0.030932189440510398	0.11702731875661679	NA	0.05480525422792037	NA	0.3402208505360426	NA	0.24883268521707672	NA	NA	0.4295677234862764	NA	0.3949367831743297	NA	NA	NA	0.010155387371663573	5.434208407442132e-6	0.5090185538321437	6.652220286093053e-5	3.9709459281185404e-4	0.013170779137165592	0.03907330421980123
Clostridiales (OTU 97)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.08502012911587725	0.049267585691286815	0.26015950512346003	0.07709890675516534	0.08502012911587725	0.26015950512346003	0.37675911781158217
Ruminococcaceae (OTU 98)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.12660878103869036	NA	0.27276043127157845	NA	0.10826266304178639	NA	0.4619794349951625	0.2629604949184438	0.6812736933772647	0.4185244698170456	0.1370131355698009	0.9422244513068057	0.3234824907821997	0.10826266304178639	0.27276043127157845	NA	0.3989414771046216	NA	NA	0.7823463674437349	0.45569628827807274	NA	0.27276043127157845	NA	NA	0.6668277483393535	0.27276043127157845	NA
Lachnospiraceae (OTU 103)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.001	0.3133982283193091	0.28523063761902945	0.6799552107675016	NA	0.28523063761902945	0.2286350310177833	NA	0.3133982283193091	0.28523063761902945	NA	NA	0.47277479957351154	0.47277479957351154	NA	NA	0.1835707917164949	0.47277479957351154	1	0.13368441669694098	0.1835707917164949	0.4424927209682436	0.018058694394632313	0.030437010731145582	0.47277479957351154	0.012100057287902087	0.018058694394632313	0.15860329336618453	0.45924760175524715
