otu	statistic	p.value	parameter	method	C	WMR	CWM	RM	FRM	p.value.adj
Lachnospiraceae (OTU 205)	7.965957446808326	0.0928332065539337	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.26345475816470104
Lachnospiraceae (OTU 225)	7.96249999999982	0.09296156633667314	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.26345475816470104
Lachnospiraceae (OTU 62)	7.54084070995956	0.10992181603404619	4	Kruskal-Wallis rank sum test	0.004	0.0015	0.001	0	0.0015	0.265620042393423
Lachnospiraceae (OTU 72)	7.769025247682971	0.10041505695832365	4	Kruskal-Wallis rank sum test	0	0	0.001	0.001	0	0.265620042393423
Lachnospiraceae (OTU 83)	7.244144616190705	0.12353519891865454	4	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0.265620042393423
Olsenella (OTU 114)	7.724916082135338	0.10219076562172627	4	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0.265620042393423
Lachnospiraceae (OTU 117)	7.468825733392667	0.11309182876675496	4	Kruskal-Wallis rank sum test	5e-4	0	0.001	0	0	0.265620042393423
Porphyromonadaceae (OTU 122)	7.1666666666667735	0.12733844728973087	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.265620042393423
Lachnospiraceae (OTU 127)	7.406703772418097	0.1158943284840684	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.265620042393423
Blautia (OTU 132)	7.3526070100482315	0.11838709510196817	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.265620042393423
Erysipelotrichaceae (OTU 142)	7.1666666666667735	0.12733844728973087	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.265620042393423
Ruminococcaceae (OTU 169)	7.604743083004017	0.10717827875238409	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.265620042393423
Bacteroides (OTU 178)	7.1666666666667735	0.12733844728973087	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.265620042393423
Porphyromonadaceae (OTU 190)	7.1666666666667735	0.12733844728973087	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.265620042393423
Porphyromonadaceae (OTU 194)	7.1666666666667735	0.12733844728973087	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.265620042393423
Akkermansia (OTU 200)	7.1666666666667735	0.12733844728973087	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.265620042393423
Bacteria (OTU 223)	7.1666666666667735	0.12733844728973087	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.265620042393423
Porphyromonadaceae (OTU 312)	7.1666666666667735	0.12733844728973087	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.265620042393423
Akkermansia (OTU 348)	7.1666666666667735	0.12733844728973087	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.265620042393423
Porphyromonadaceae (OTU 438)	7.1666666666667735	0.12733844728973087	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.265620042393423
Porphyromonadaceae (OTU 483)	7.1666666666667735	0.12733844728973087	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.265620042393423
Akkermansia (OTU 512)	7.1666666666667735	0.12733844728973087	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.265620042393423
Porphyromonadaceae (OTU 631)	7.1666666666667735	0.12733844728973087	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.265620042393423
Dorea (OTU 699)	7.1666666666667735	0.12733844728973087	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.265620042393423
Porphyromonadaceae (OTU 700)	7.1666666666667735	0.12733844728973087	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.265620042393423
Lachnospiraceae (OTU 914)	7.1666666666667735	0.12733844728973087	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.265620042393423
Porphyromonadaceae (OTU 922)	7.1666666666667735	0.12733844728973087	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.265620042393423
Porphyromonadaceae (OTU 1108)	7.1666666666667735	0.12733844728973087	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.265620042393423
Porphyromonadaceae (OTU 1152)	7.1666666666667735	0.12733844728973087	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.265620042393423
Porphyromonadaceae (OTU 1545)	7.1666666666667735	0.12733844728973087	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.265620042393423
Lachnospiraceae (OTU 1548)	7.1666666666667735	0.12733844728973087	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.265620042393423
Lachnospiraceae (OTU 1661)	7.1666666666667735	0.12733844728973087	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.265620042393423
Porphyromonadaceae (OTU 2161)	7.1666666666667735	0.12733844728973087	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.265620042393423
Lachnospiraceae (OTU 2205)	7.1666666666667735	0.12733844728973087	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.265620042393423
Ruminococcaceae (OTU 147)	7.056092843326755	0.13295350096688635	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.27518282758262524
Clostridium (OTU 145)	7.032859112770371	0.13416192730546414	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.27554795838891477
Lachnospiraceae (OTU 185)	6.989726182394288	0.13643214669509016	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.27807162723350437
Lachnospiraceae (OTU 47)	6.749043988269794	0.14975947995555008	4	Kruskal-Wallis rank sum test	0.003	0	0	0	0	0.2918670156797947
Clostridium (OTU 51)	6.802118208690971	0.14672225710221204	4	Kruskal-Wallis rank sum test	0.0015	0	0	0.001	0.001	0.2918670156797947
Pseudoflavonifractor (OTU 69)	6.764864467015775	0.14884818891290996	4	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.2918670156797947
Lachnospiraceae (OTU 112)	6.79776021080373	0.146969511515186	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.2918670156797947
Lachnospiraceae (OTU 131)	6.751811594202871	0.1495996939273432	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.2918670156797947
Lachnospiraceae (OTU 140)	6.769333333333369	0.14859169144797046	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.2918670156797947
Bifidobacterium (OTU 28)	6.698172891851955	0.15272434712254876	4	Kruskal-Wallis rank sum test	0	0	0	0	0.0015	0.29517837013217363
Clostridium (OTU 126)	6.6821427223669065	0.15366963838341624	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.29517837013217363
Lachnospiraceae (OTU 85)	6.524479403015229	0.16325450298162178	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.30983865947230915
Clostridiales (OTU 141)	6.518592592592558	0.1636226628673992	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.30983865947230915
Lactobacillus (OTU 9)	6.294650783182946	0.1781976860655066	4	Kruskal-Wallis rank sum test	0.007	0.0035	0.002	0.0075	0.006999999999999999	0.31719188119660174
Lachnospiraceae (OTU 163)	6.295138888888968	0.17816468535221022	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.31719188119660174
Clostridiales (OTU 179)	6.295138888888968	0.17816468535221022	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.31719188119660174
Lachnospiraceae (OTU 184)	6.297872340425607	0.1779799788549654	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.31719188119660174
Firmicutes (OTU 188)	6.297872340425607	0.1779799788549654	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.31719188119660174
Clostridiales (OTU 208)	6.295138888888968	0.17816468535221022	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.31719188119660174
Clostridiales (OTU 214)	6.295138888888968	0.17816468535221022	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.31719188119660174
Lachnospiraceae (OTU 220)	6.297872340425607	0.1779799788549654	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.31719188119660174
Lachnospiraceae (OTU 259)	6.297872340425607	0.1779799788549654	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.31719188119660174
Lachnospiraceae (OTU 88)	6.119613152804698	0.19039179611132054	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.33665304345511643
Lachnospiraceae (OTU 26)	5.957562437562444	0.20234003144075485	4	Kruskal-Wallis rank sum test	0	0.002	0.004	0.002	0	0.35382973404159646
Lachnospiraceae (OTU 81)	5.95207076799355	0.20275636445080245	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.35382973404159646
Lachnospiraceae (OTU 121)	5.803573009107182	0.2143056572281188	4	Kruskal-Wallis rank sum test	0	0	0	5e-4	0	0.37155591220719303
Lachnospiraceae (OTU 74)	5.547607777623086	0.235576304600304	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.4057991827631043
Enterorhabdus (OTU 109)	5.449321679043901	0.24422019023494626	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.41584374596293344
Lachnospiraceae (OTU 113)	5.440767236347367	0.24498535835476917	4	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0.41584374596293344
Clostridiales (OTU 137)	5.428571428571407	0.24607981970840256	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.41584374596293344
Clostridiales (OTU 199)	5.391304347826127	0.24945041192291223	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.41888842756866396
Ruminococcaceae (OTU 106)	5.261712846347669	0.26148251198834943	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.4363489418805581
Lachnospiraceae (OTU 152)	5.107246376811596	0.2764693016545378	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.45849256858237014
Lachnospiraceae (OTU 42)	5.083990868806064	0.27878757027576495	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.45948321767672373
Ruminococcaceae (OTU 37)	4.93249635691066	0.29429418402033436	4	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0.48206470634005694
Lachnospiraceae (OTU 82)	4.8770349888882985	0.30014875510575406	4	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0.48865681471485567
Turicibacter (OTU 5)	4.799322370589034	0.30851481625794247	4	Kruskal-Wallis rank sum test	0.027000000000000003	0.0205	0.051	0.0375	0.0085	0.49811000710484166
Lachnospiraceae (OTU 149)	4.771541501976361	0.31155195200939534	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.49811000710484166
Dorea (OTU 229)	4.771541501976361	0.31155195200939534	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.49811000710484166
Coriobacteriaceae (OTU 158)	4.639249639249628	0.3263538524806163	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5186695155495509
Lachnospiraceae (OTU 76)	4.584553728730555	0.33263899275501907	4	Kruskal-Wallis rank sum test	5e-4	0.001	0	0	0	0.5255302429916574
Alistipes (OTU 18)	3.9000000000001442	0.4197085111801951	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.531100343531337
Acetatifactor (OTU 79)	3.9389113149847366	0.41433643022069094	4	Kruskal-Wallis rank sum test	0.001	0	0	0	5e-4	0.531100343531337
Clostridiales (OTU 107)	4.128472222222184	0.3888981470440242	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.531100343531337
Oscillibacter (OTU 119)	4.4827418790759275	0.3445987543241043	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.531100343531337
Dorea (OTU 134)	3.973605085258758	0.40958979866847384	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.531100343531337
Acetatifactor (OTU 138)	4.298936170212589	0.3670583292029418	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.531100343531337
Ruminococcaceae (OTU 143)	4.14173553719005	0.38716373554848527	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.531100343531337
Lachnospiraceae (OTU 151)	4.3900089605734545	0.35578950888389566	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.531100343531337
Staphylococcus (OTU 156)	3.9000000000001442	0.4197085111801951	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.531100343531337
Enterobacteriaceae (OTU 176)	3.9000000000001442	0.4197085111801951	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.531100343531337
Lachnospiraceae (OTU 181)	3.9000000000001442	0.4197085111801951	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.531100343531337
Enterococcus (OTU 187)	3.9000000000001442	0.4197085111801951	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.531100343531337
Prevotella (OTU 191)	4.2127659574468455	0.3779762338601014	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.531100343531337
Firmicutes (OTU 198)	3.9000000000001442	0.4197085111801951	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.531100343531337
Coriobacteriaceae (OTU 204)	3.9000000000001442	0.4197085111801951	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.531100343531337
Lachnospiraceae (OTU 211)	3.9000000000001442	0.4197085111801951	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.531100343531337
Lachnospiraceae (OTU 227)	3.9000000000001442	0.4197085111801951	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.531100343531337
Akkermansia (OTU 250)	4.402321083172011	0.35428729461437053	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.531100343531337
Akkermansia (OTU 264)	3.9000000000001442	0.4197085111801951	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.531100343531337
