otu	method	C	WMR	CWM	RM	FRM	M1	1RM1	WMR-C	CWM-C	CWM-WMR	RM-C	RM-WMR	RM-CWM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM	M1-C	M1-WMR	M1-CWM	M1-RM	M1-FRM	1RM1-C	1RM1-WMR	1RM1-CWM	1RM1-RM	1RM1-FRM	1RM1-M1
Lachnospiraceae (OTU 75)	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0.0015	5e-4	0.12834913877056126	0.32495333436767665	0.015129832754578933	0.9411901974214429	0.12834913877056126	0.4936709789679121	0.9411901974214429	0.1912895383994478	0.6217496657837557	1	0.12834913877056126	1	0.015129832754578933	0.1329817384796875	0.1912895383994478	0.32187859696050064	0.7477962530767097	0.08299622837347899	0.32187859696050064	0.34633961097027066	0.8333146508565896
Lachnospiraceae (OTU 77)	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0	0.002	0.2999249678280305	0.1000515352242701	0.7029999874153433	0.1000515352242701	0.5155304525181902	0.7029999874153433	0.2999249678280305	0.71566993511436094	0.9590216952870976	0.80861117727147	0.6988243261868472	0.8292121119744529	0.6425682815730939	0.46291641006526013	0.7029999874153433	0.5155304525181902	0.08299598947798523	0.02626740762251605	0.02626740762251605	0.1000515352242701	0.30487923425850205
Acetatifactor (OTU 79)	Kruskal-Wallis rank sum test	0.002	0	0	0	0	0	0.001	0.029645906772451276	0.029645906772451276	0.7072311352535151	0.008075028458452586	0.4603566697289015	0.28154738326787393	0.03083683101718946	0.6101235487396773	0.4603566697289015	NA	0.05589379581845931	0.8951960719077331	0.959042826789865	0.3247510810147824	0.5058209524091075	0.4603566697289015	0.10017534513795322	0.11170872541108064	0.024146489137588475	0.07681574815259454	0.20069649292458158
Porphyromonadaceae (OTU 80)	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0.006	0.002	NA	0.4953963988537722	0.5318840693228845	NA	NA	0.510958843055445	0.01306366747719332	0.03157252095258241	0.019401715723670415	0.019401715723670415	0.005404535901174236	0.012282262527754512	0.005404535901174236	0.007533090350634883	0.38834996298462643	0.005404535901174236	0.012282262527754512	0.005404535901174236	0.007533090350634883	0.5604106478408556	0.47456690199115187
Lachnospiraceae (OTU 81)	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0.005	0.3212951292309927	0.020617970540912436	0.002355581927476295	0.03935721305664399	0.010630498257480067	NA	0.13020553919722833	0.03935721305664399	NA	NA	0.13020553919722833	0.03935721305664399	NA	NA	NA	0.03935721305664399	0.13020553919722833	4.423349769700334e-4	0.002355581927476295	0.020617970540912436	0.020617970540912436
Lachnospiraceae (OTU 82)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0.001	0.0015	0.05070994842111617	0.50809350748832	0.1832201790600128	0.0798438526092945	0.50809350748832	0.3021721576749729	1	0.1832201790600128	0.8354292477726027	0.3021721576749729	0.8354292477726027	0.0365723640804294	0.3938170846413018	0.05070994842111617	0.8354292477726027	0.2099346074165449	0.01818050316770657	0.1573187728562095	0.01818050316770657	0.34133003800060924	0.3609817214218133
Lachnospiraceae (OTU 84)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0	0.002	0.9231370577159161	0.00908662829155305	0.022059676686842472	0.022059676686842472	0.0636549843131666	NA	0.10351034654756834	0.166706277607474	NA	NA	0.23751986087367757	0.3484442880577025	0.166706277607474	0.2697932057661269	0.42846010086418523	0.30491983082859114	0.35603076132897554	0.004686517077203552	0.014487893482553084	0.06913417333733508	0.11713913965058165
Porphyromonadaceae (OTU 87)	Kruskal-Wallis rank sum test	0	0	0	0	0.0025	0.001	0.0025	NA	NA	NA	NA	NA	NA	5.526420008788148e-4	0.0018506000954751239	1.4744499232334447e-4	8.833432228036106e-4	0.0018506000954751239	0.006749637916412027	5.703400947794057e-4	0.0033909777572624124	0.7980698121594512	1.4744499232334447e-4	5.703400947794057e-4	4.092071835901475e-5	2.7732299089810113e-4	0.8081974613229053	0.5382193245249324
Lachnospiraceae (OTU 90)	Kruskal-Wallis rank sum test	0.0015	0	0	0.0015	0	0	0	0.016874873825435857	3.6245794144289587e-4	0.34910675658802637	0.8327539142605197	0.016874873825435857	3.6245794144289587e-4	0.19449065720871966	0.3704627039170241	0.052458104540672464	0.1868387953377378	0.11930848100241262	0.780406135026079	0.19449065720871966	0.1160834529265605	0.780406135026079	0.37259593902127097	0.34910675658802637	0.052458104540672464	0.34910675658802637	0.848518937078283	0.6511102584809588
Ruminococcaceae (OTU 92)	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0	0	0.013267399280150296	0.0016883124686543406	NA	0.008681666745054436	NA	NA	0.04049301702770735	NA	NA	NA	0.20413241173283833	0.10985880499893716	0.04049301702770735	0.09109299548129705	0.20277038728179822	0.16973052142386633	0.10985880499893716	0.04049301702770735	0.09109299548129705	0.20277038728179822	0.9233418401809065
Clostridiales (OTU 97)	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0.0025	0.1236859667478569	0.1244915455576217	0.41001146494720736	0.13588866320045673	0.5141422397203238	0.8828365529166843	0.17810216388755545	NA	0.5224787107426518	0.6174331003142163	0.925651964081577	0.08096228230830993	0.1244915455576217	0.1244915455576217	0.128241543881622	0.33250732607577616	0.008024407233153704	0.006030909665903295	0.008024407233153704	0.04654853106805911	0.10718899312827962
Ruminococcaceae (OTU 98)	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.0035	0	0.010481812862156686	0.0017087870397162839	NA	0.006047233093742783	NA	NA	0.030808669246648258	NA	NA	NA	0.08138868361905667	0.0033512493613010903	3.218199706875509e-4	0.0017087870397162839	0.013014481065360784	0.030808669246648258	NA	NA	NA	NA	0.013014481065360784
Porphyromonadaceae (OTU 99)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0015	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00349929198461308	0.008099565499694431	0.0015969522653823361	0.004973434043984872	0.028049190581667365	NA	NA	NA	NA	NA	0.028049190581667365
Ruminococcaceae (OTU 101)	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0	0	0.1358920955602201	0.026731641932234155	0.7069464038541696	0.026731641932234155	0.5732771856031736	0.6055808510286755	0.1358920955602201	0.6482562705359072	0.700475001706545	NA	0.43300144135304325	0.7069464038541696	0.6055808510286755	0.43300144135304325	0.6055808510286755	0.6055808510286755	0.5292324341671774	0.27240917432886447	0.1943317236934337	0.43300144135304325	0.700475001706545
Ruminococcaceae (OTU 106)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0	0	0.38706440073446674	0.014866370939293447	0.18093355287992485	0.0449907966985118	0.2756062909133646	NA	0.16868349037704844	0.38706440073446674	NA	NA	0.16868349037704844	0.38706440073446674	NA	NA	NA	0.3182505731617967	0.8113636638523745	0.25469014634475196	0.3247510810147824	0.4335608163506636	0.4335608163506636
Clostridiales (OTU 107)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.09716586184671686	0.10985880499893716	0.08992817921258137	0.09716586184671686	0.17573433564422514	0.17573433564422514
Bacteria (OTU 108)	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0	5e-4	0.007401782026385464	0.0012524630147729698	NA	0.006453603478602652	NA	NA	0.025834836647756414	NA	NA	NA	0.025834836647756414	NA	NA	NA	NA	0.6372689000493228	0.02894147753986721	0.007401782026385464	0.025612126917545556	0.08141096698485821	0.08141096698485821
Lachnospiraceae (OTU 110)	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	0	0.001	0.015698577113137394	1.708322487535592e-4	0.12062236858661657	0.0015086133423670447	0.17808406489786632	NA	0.015698577113137394	0.3596327285596585	NA	NA	0.05838466285866985	1	0.166706277607474	0.2505222624971179	0.4552388571681968	0.6776185686307161	0.12534437740586007	0.0015969522653823361	0.011190226598965961	0.06311067880875157	0.17808406489786632
Lachnospiraceae (OTU 116)	Kruskal-Wallis rank sum test	0.002	0	0	0	0	0	0.002	0.0011295730005623607	6.63815844782652e-4	0.23435503213988895	6.63815844782652e-4	NA	0.2141747687203767	0.00895218127917277	NA	0.36440687232438784	NA	0.02042004153146429	0.11880153728174843	0.5077060117273625	0.0867490017870204	0.22364359302845446	0.5877819014233675	0.016199130999388862	0.03169903251918742	0.00895218127917277	0.05609838116333473	0.21332710177515596
Ruminococcaceae (OTU 118)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.11557735204793596	0.04261350694980341	NA	0.10036469439759949	NA	NA	0.25469014634475196	NA	NA	NA	0.30659764600846606	0.30659764600846606	0.25469014634475196	0.30659764600846606	0.4335608163506636	0.30659764600846606	0.30659764600846606	0.25469014634475196	0.30659764600846606	0.4335608163506636	1
Porphyromonadaceae (OTU 122)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.006999999999999999	0	NA	NA	NA	NA	NA	NA	0.21282172286133208	0.2830132117001225	0.15281408780685116	0.2435633107610868	0.001381605002197037	0.0046265002386878095	4.423349769700334e-4	0.002355581927476295	0.06569689761237821	0.0698161410254522	0.12206533888770797	0.04496408960629068	0.09109299548129705	0.4619504545877914	0.30050889992858
Lachnospiraceae (OTU 125)	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0	0	0.02367713022732927	0.002011966871066205	NA	0.18021505533931909	0.14332312074389494	0.05778740116571475	0.05778740116571475	NA	NA	0.22648778318487103	0.13647553324980743	0.339615854040147	0.1833769053682214	0.494026861369766	0.48558811431274324	0.3798022620008968	0.16478820749840575	0.05778740116571475	0.955354481936032	0.2636015034663377	0.5580945072693932
Clostridium (OTU 126)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0	5e-4	0.13385139793603096	0.13385139793603096	0.4736009454383633	0.13385139793603096	0.5556723172050393	0.849737018875797	0.16253288813090874	NA	0.5556723172050393	0.6174331003142163	0.5556723172050393	0.16253288813090874	0.4668120180191626	0.3966753921823148	0.347890033599818	1	0.13385139793603096	0.16253288813090874	0.16253288813090874	0.16253288813090874	0.6150784163753985
Lachnospiraceae (OTU 128)	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0	0.001	0.07134187188260029	0.0021995169958715947	0.3418628017223421	0.02731962460622617	0.9419742521801251	0.38060542073255194	0.07134187188260029	0.6914733552383009	NA	0.6946122378534934	0.15505526809689674	0.9419742521801251	0.20375211707580154	0.7853724076741165	0.5780810884675516	0.9655844792020323	0.19038542122737087	0.021024020396701808	0.13147431982227042	0.18284949914727233	0.3294604099825265
Firmicutes (OTU 129)	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0	0	0.009701648365157028	0.0012352373358531783	NA	0.0063492397625199756	NA	NA	0.09222999637434875	0.2997843649860557	0.16009094913098693	0.26791964183719547	0.03552727574124551	NA	NA	NA	0.40465676192728606	0.03552727574124551	NA	NA	NA	0.40465676192728606	NA
Lachnospiraceae (OTU 131)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.15434341755326333	0.11172280222568054	NA	0.15434341755326333	NA	NA	0.17152025118824468	NA	NA	NA	0.17152025118824468	NA	NA	NA	NA	0.17152025118824468	NA	NA	NA	NA	NA
Lachnospiraceae (OTU 140)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0.11034525496229994	NA	0.06747957434854368	NA	0.13303995025002105	NA	NA	0.2643483603172644	NA	NA	0.26011543905273926	0.5580514621879261	0.19101760975856394	0.26570542992118557	0.4669116483776377	0.048597648171685263	0.66112750951630606	0.031536030595052715	0.05769994245129487	0.15672814212623343	0.31026634873740455
Ruminococcaceae (OTU 147)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	NA	0.3484454680763354	0.37624963998714417	NA	NA	0.3580155170073363	NA	NA	0.44453785376403143	NA	NA	NA	0.44453785376403143	NA	NA	0.06180272119293257	0.0742154254492841	0.18304050456211615	0.06180272119293257	0.15517226809676266	0.15517226809676266
Lachnospiraceae (OTU 148)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0.6247473428259143	0.09458651864181714	0.15033782479835434	0.15033782479835434	0.23305966087098903	NA	0.6247473428259143	0.9361862934730594	0.20375211707580154	0.2997702286290299	0.9247297684223521	0.6247473428259143	0.09458651864181714	0.15033782479835434	0.6247473428259143	0.24481721417129731	0.15033782479835434	0.00528432376780968	0.02462549235631679	0.19184781902480808	0.3739265394382899
Clostridiales (OTU 154)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.15619252989027663	0.11290889905410575	NA	0.15619252989027663	NA	NA	0.1735229896309682	NA	NA	NA	0.1735229896309682	NA	NA	NA	NA	0.1735229896309682	NA	NA	NA	NA	NA
Firmicutes (OTU 155)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.0849588092428997	0.044119645536595066	NA	0.08068630980279325	NA	NA	0.11363137623030505	NA	NA	NA	0.11363137623030505	NA	NA	NA	NA	0.11363137623030505	NA	NA	NA	NA	NA
Clostridiales (OTU 173)	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.019439059268674105	0.03126790331205394	0.012614412238021086	0.023079976980517947	0.07313979965890893	NA	NA	NA	NA	NA	0.07313979965890893
Porphyromonadaceae (OTU 175)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	NA	NA	NA	NA	NA	NA	0.23410389514746532	0.2830132117001225	0.16979343089650129	0.26570542992118557	0.008074200314817979	0.018315236289553456	0.0037356720921128354	0.011372086271657634	0.2830132117001225	0.08085118410804434	0.13612676146867006	0.04467898217130284	0.10327262117502428	0.7518296340458492	0.3330673609916756
Porphyromonadaceae (OTU 190)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0.5027319232996847	0.3935280358887333	NA	0.4752789848507254	NA	NA	0.5789899607570332	0.36791717521015926	0.20375211707580154	0.31884651590542273	0.25930932701798193	0.188329379998178	0.05395690752754882	0.1457487927700753	0.5580945072693932	0.028697856397597456	0.028697856397597456	0.004686517077203552	0.021731840223829627	0.20375211707580154	0.4752789848507254
Porphyromonadaceae (OTU 194)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	0.08097155153893072	0.09154900416578098	0.0749401493438178	0.08097155153893072	0.08097155153893072	0.09154900416578098	0.0749401493438178	0.08097155153893072	0.9892948287652569	0.08097155153893072	0.09154900416578098	0.0749401493438178	0.08097155153893072	0.9892948287652569	1
Clostridiales (OTU 208)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0.5461778919799044	0.4466230883499116	NA	0.5445905034747895	NA	NA	0.5853789284609614	NA	NA	NA	0.5853789284609614	NA	NA	NA	NA	0.12931022341396886	0.0742154254492841	0.022658102281004705	0.06180272119293257	0.12931022341396886	0.12931022341396886
Porphyromonadaceae (OTU 212)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0032296801259271914	0.007326094515821382	0.0014942688368451342	0.004548834508663053	0.02460867246744562	NA	NA	NA	NA	NA	0.02460867246744562
Ruminococcaceae (OTU 219)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.15619252989027663	0.11290889905410575	NA	0.15619252989027663	NA	NA	0.1735229896309682	NA	NA	NA	0.1735229896309682	NA	NA	NA	NA	0.1735229896309682	NA	NA	NA	NA	NA
Porphyromonadaceae (OTU 246)	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.018973763432222242	0.030360855865616224	0.01235896488054802	0.022473716797430026	0.0705328491348921	NA	NA	NA	NA	NA	0.0705328491348921
Bacteroidales (OTU 334)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.096387779763356	0.10890140917493604	0.08935796434260568	0.096387779763356	0.173945016799909	NA	NA	NA	NA	NA	0.173945016799909
