otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	WMC	p.value.adj
Lachnospiraceae (OTU 88)	17.609686036917445	0.007285355911742155	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	0.0327841016028397
Lachnospiraceae (OTU 62)	16.683223112028756	0.01052073634159522	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.045765203085939204
Lachnospiraceae (OTU 95)	16.713588836644508	0.010395536665754945	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.045765203085939204
Lachnospiraceae (OTU 77)	16.575215507708233	0.010977948627402164	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	0.046971222815605986
Lachnospiraceae (OTU 76)	16.533430707802644	0.011159918680840741	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.046979657672571506
Blautia (OTU 132)	16.079464801872156	0.013333743959514784	6	Kruskal-Wallis rank sum test	0	0	0	5e-4	0	0	0	0.05523979640370411
Porphyromonadaceae (OTU 14)	16.01899112212156	0.013652396910329377	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.055307291606665906
Oscillibacter (OTU 57)	15.996298948127007	0.0137738465687099	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.055307291606665906
Porphyromonadaceae (OTU 25)	15.866413690476284	0.014489224782507712	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.057298298003553225
Lachnospiraceae (OTU 36)	15.75033165104898	0.015158657493365368	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.05905088963833375
Firmicutes (OTU 129)	15.680802874101799	0.015573730131139822	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.05977564065040432
Bacteroidales (OTU 38)	15.600000000000598	0.01606980587558352	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.059917419050389976
Lachnospiraceae (OTU 2645)	15.600000000000598	0.01606980587558352	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.059917419050389976
Lachnospiraceae (OTU 131)	15.491407282778459	0.01676039938340541	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.06161217238125087
Lachnospiraceae (OTU 16)	15.377360518824716	0.01751625356230732	6	Kruskal-Wallis rank sum test	0.004	0.009	0.001	5e-4	0.001	0.025	0	0.06349641916336404
Clostridiales (OTU 137)	15.150793650793732	0.019115751822398892	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.06652281634194815
Anaerostipes (OTU 159)	15.150793650793732	0.019115751822398892	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.06652281634194815
Lachnospiraceae (OTU 225)	15.155357142857227	0.01908219889488575	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.06652281634194815
Porphyromonadaceae (OTU 10)	15.088884413877853	0.0195765462787873	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0.06722998129951954
Bacteroides (OTU 256)	14.980305702527332	0.02041044666859419	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.06918346208445562
Lachnospiraceae (OTU 103)	14.91111266349699	0.02095943966719305	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.07013350965560752
Ruminococcaceae (OTU 61)	14.358250964956172	0.02588052031628242	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.08550399750062926
Lachnospiraceae (OTU 74)	13.369177860313663	0.037533922561193034	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.12245442235589228
Clostridiales (OTU 141)	13.252525252525565	0.039196564764741884	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.12334684762352606
Lachnospiraceae (OTU 152)	13.250554323725368	0.039225242730853115	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.12334684762352606
Lachnospiraceae (OTU 181)	13.250554323725368	0.039225242730853115	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.12334684762352606
Lachnospiraceae (OTU 102)	12.866572915374393	0.0452043943807396	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.14045651111158378
Clostridiales (OTU 97)	12.786157336227452	0.04656030181160943	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.14296751497447133
Clostridiales (OTU 115)	12.676146811447499	0.04847693130247883	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.1471218496505462
Lactobacillus (OTU 13)	12.63501959727341	0.04921220978817439	6	Kruskal-Wallis rank sum test	0.0025	0.013	0.01	0.0115	0.009000000000000001	0.009	0.004	0.14763662936452315
Lachnospiraceae (OTU 150)	11.84318181818164	0.06556006685991238	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19444519830042192
Lachnospiraceae (OTU 47)	11.675683144119718	0.06960753756619785	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.20253415178296
Lachnospiraceae (OTU 151)	11.66636363636363	0.06983936268377931	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.20253415178296
Lachnospiraceae (OTU 64)	11.304650051259467	0.07940501301147877	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.2277440483076479
Acetatifactor (OTU 55)	11.267325904256616	0.08045753252221054	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.22825452161192336
Bacteroides (OTU 237)	11.104166666666586	0.08520989618297586	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.23913745057802904
Lachnospiraceae (OTU 120)	11.021896550652576	0.08770204585896875	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.24351312733181749
Ruminococcaceae (OTU 169)	10.70795133437994	0.09783291643206368	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.2687830651449329
Porphyromonadaceae (OTU 67)	10.428968253968327	0.10771116990940761	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.29283974319120193
Ruminococcaceae (OTU 106)	10.041552911998131	0.12291300792936011	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.33072469143879374
Clostridium_sensu (OTU 53)	9.977351916376046	0.12560902523737932	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3311510665349091
Alistipes (OTU 277)	9.97883597883572	0.1255461163786774	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3311510665349091
Porphyromonadaceae (OTU 7)	9.90456043776778	0.12872915237958468	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.335983087710716
Lachnospiraceae (OTU 104)	9.869613759001233	0.13025134799784915	6	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0	0	0.3365901171033528
Ruminococcaceae (OTU 27)	9.599734324286512	0.14255181329395358	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3647649340168812
Lachnospiraceae (OTU 17)	9.462367767387835	0.14919570297111162	6	Kruskal-Wallis rank sum test	0.007	0.0025	0.002	0.0045000000000000005	0.006	0.011	0	0.37442383149480896
Coriobacteriaceae (OTU 158)	9.465737623144781	0.1490295329365688	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.37442383149480896
Ruminococcaceae (OTU 153)	9.26271645021659	0.15933323577306968	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3923205144978414
Lachnospiraceae (OTU 160)	9.282858468062605	0.15828407072345044	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3923205144978414
Clostridium (OTU 126)	9.134923276233927	0.16613106361415264	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4052355850775125
Lachnospiraceae (OTU 110)	9.005580496321462	0.17326447089592514	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.41872247133181906
Lachnospiraceae (OTU 82)	8.871859201701799	0.18091390808301433	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4331975230244655
Ruminococcaceae (OTU 143)	8.75681048969237	0.187723860425381	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.44541752337294943
Lachnospiraceae (OTU 123)	8.512470382840748	0.20290917393110688	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.47711076032449456
Porphyromonadaceae (OTU 21)	8.30823870853025	0.21637946499421928	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5039197868183425
Lachnospiraceae (OTU 174)	8.281860998022937	0.218172168239359	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5039197868183425
Acetatifactor (OTU 79)	8.251495215310955	0.22025110286072808	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5042591039179827
Ruminococcaceae (OTU 59)	8.031393303857493	0.23581236542693423	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5351915424037378
Lachnospiraceae (OTU 116)	7.964257964257796	0.24073357482850996	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5416505433641474
Lachnospiraceae (OTU 127)	7.930440461810722	0.2432438527558211	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5426209023014471
Lachnospiraceae (OTU 41)	7.892621911536796	0.24607615481778788	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5442870881986664
Ruminococcaceae (OTU 101)	7.864420828656835	0.24820545291939206	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5443833883358096
Lachnospiraceae (OTU 85)	7.834507680737954	0.2504801999676727	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.544794434929688
Lachnospiraceae (OTU 42)	7.781495670862135	0.25455259048659507	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5490762489008373
Lachnospiraceae (OTU 144)	7.679787012445882	0.26251393079630864	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5616076716216111
Lactobacillus (OTU 23)	7.488731640783381	0.2780013316948275	6	Kruskal-Wallis rank sum test	0.0025	0.0045000000000000005	0.004	0.007	0.0045000000000000005	0.003	0.002	0.5668620904089842
Lachnospiraceae (OTU 71)	7.557098765432212	0.2723789408442626	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5668620904089842
Olsenella (OTU 114)	7.5101700232134485	0.2762285875662929	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5668620904089842
Clostridium (OTU 145)	7.503660452359851	0.27676592795213695	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5668620904089842
Ruminococcaceae (OTU 147)	7.556340325170727	0.27244082040267037	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5668620904089842
Clostridiales (OTU 154)	7.557098765432212	0.2723789408442626	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5668620904089842
Porphyromonadaceae (OTU 6)	7.335133114819309	0.2909628646398325	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5841639051615098
Lachnospiraceae (OTU 163)	7.3542596854623605	0.28932384422821344	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5841639051615098
Lachnospiraceae (OTU 68)	7.13981101130866	0.3081109757990157	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6138699594163596
Bacteria (OTU 43)	7.063283034005978	0.31503447576539145	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.62222916047564
Lachnospiraceae (OTU 94)	7.040973390085332	0.3170746296676633	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.62222916047564
Lachnospiraceae (OTU 121)	6.600804136406306	0.359345725826463	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6568794338744699
Lachnospiraceae (OTU 148)	6.545454545454507	0.3649330188191499	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6568794338744699
Streptococcus (OTU 166)	6.545454545454507	0.3649330188191499	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6568794338744699
Lachnospiraceae (OTU 193)	6.545454545454507	0.3649330188191499	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6568794338744699
Firmicutes (OTU 198)	6.545454545454507	0.3649330188191499	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6568794338744699
Clostridiales (OTU 199)	6.545454545454507	0.3649330188191499	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6568794338744699
Coriobacteriaceae (OTU 204)	6.545454545454507	0.3649330188191499	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6568794338744699
Lachnospiraceae (OTU 276)	6.545454545454507	0.3649330188191499	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6568794338744699
Lachnospiraceae (OTU 365)	6.545454545454507	0.3649330188191499	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6568794338744699
Lachnospiraceae (OTU 490)	6.545454545454507	0.3649330188191499	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6568794338744699
Lachnospiraceae (OTU 1408)	6.545454545454507	0.3649330188191499	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6568794338744699
Bacteroides (OTU 2020)	6.545454545454507	0.3649330188191499	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6568794338744699
Erysipelotrichaceae (OTU 142)	6.375922445001497	0.38242193192349927	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6836446865207761
Veillonella (OTU 192)	6.301124575354876	0.390316910763002	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6930116578853301
Clostridiales (OTU 35)	5.916666666666518	0.4325896737759515	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7237558003559188
Enterorhabdus (OTU 109)	6.040571862629139	0.4186605847595158	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0.002	0	0.7237558003559188
Lachnospiraceae (OTU 133)	5.916666666666518	0.4325896737759515	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7237558003559188
Firmicutes (OTU 155)	5.916666666666518	0.4325896737759515	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7237558003559188
Acetatifactor (OTU 206)	5.916666666666518	0.4325896737759515	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7237558003559188
Ruminococcaceae (OTU 216)	5.916666666666518	0.4325896737759515	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7237558003559188
Coriobacteriaceae (OTU 260)	5.916666666666518	0.4325896737759515	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7237558003559188
Clostridium (OTU 536)	5.916666666666518	0.4325896737759515	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7237558003559188
Alloprevotella (OTU 843)	5.916666666666518	0.4325896737759515	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7237558003559188
Porphyromonadaceae (OTU 15)	5.077196085138819	0.5339510089358817	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7364015845043355
Lachnospiraceae (OTU 58)	5.705855375725948	0.4569334107875158	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7364015845043355
Anaeroplasma (OTU 89)	4.976626016260237	0.5468144962990692	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7364015845043355
Bacteria (OTU 108)	5.084656084656172	0.5330021636082833	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7364015845043355
Lachnospiraceae (OTU 112)	4.976626016260237	0.5468144962990692	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7364015845043355
Staphylococcus (OTU 156)	4.928571428572697	0.5530065538806503	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7364015845043355
Lachnospiraceae (OTU 164)	5.463268535261945	0.48590727270874273	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7364015845043355
Acetatifactor (OTU 165)	5.474349724349717	0.4845622952902613	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7364015845043355
Lachnospiraceae (OTU 167)	4.928571428572697	0.5530065538806503	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7364015845043355
Clostridium (OTU 172)	5.421000025400836	0.4910558756699027	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7364015845043355
Lachnospiraceae (OTU 184)	5.303584626755126	0.5055064708390574	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7364015845043355
Enterococcus (OTU 187)	5.193583638583621	0.5192352704832579	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7364015845043355
Lachnospiraceae (OTU 203)	4.977366255144108	0.5467193382479371	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7364015845043355
Lachnospiraceae (OTU 205)	4.928571428572697	0.5530065538806503	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7364015845043355
Lachnospiraceae (OTU 211)	5.22839285714289	0.5148715046354514	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7364015845043355
Streptococcus (OTU 257)	4.928571428572697	0.5530065538806503	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7364015845043355
Faecalibacterium (OTU 262)	4.928571428572697	0.5530065538806503	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7364015845043355
Clostridiales (OTU 329)	4.977366255144108	0.5467193382479371	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7364015845043355
Escherichia/Shigella (OTU 342)	4.928571428572697	0.5530065538806503	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7364015845043355
Terrisporobacter (OTU 363)	4.928571428572697	0.5530065538806503	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7364015845043355
Lachnospiraceae (OTU 417)	4.928571428572697	0.5530065538806503	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7364015845043355
Pasteurellaceae (OTU 446)	4.976626016260237	0.5468144962990692	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7364015845043355
Bifidobacterium (OTU 510)	4.928571428572697	0.5530065538806503	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7364015845043355
Akkermansia (OTU 606)	4.928571428572697	0.5530065538806503	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7364015845043355
