otu	method	C	WMR	CWM	RM	FRM	WMR-C	CWM-C	CWM-WMR	RM-C	RM-WMR	RM-CWM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM
Lachnospiraceae (OTU 20)	Kruskal-Wallis rank sum test	0.013	0.01	0.009	0.001	0.0015	0.1652412678325082	0.6722573550926916	0.8639900997267006	0.01192352808518158	0.07740454584418353	0.1652412678325082	0.01192352808518158	0.10947131116329563	0.17626949805241676	0.8639900997267006
Porphyromonadaceae (OTU 21)	Kruskal-Wallis rank sum test	0	0	0	0	0.041	NA	0.21932159002569382	0.21932159002569382	NA	NA	0.18148841323061798	0.005858196421952891	0.00471598836536953	0.003972289358579563	0.0032978146984668126
Porphyromonadaceae (OTU 25)	Kruskal-Wallis rank sum test	0	0	0	0	0.031	NA	0.536101864250067	0.536101864250067	NA	NA	0.536101864250067	0.0013650744797052232	9.94557526087713e-4	1.6020507289212226e-4	2.620010439439582e-4
Ruminococcaceae (OTU 27)	Kruskal-Wallis rank sum test	0.0095	0	0	0	5e-4	0.0397264395928467	7.609728433323195e-5	0.1086251829869286	0.002560388177578683	0.8987545011295756	0.10858704145902089	0.06211015080878757	0.7662892742582935	0.046083035918640616	0.528834376178089
Lachnospiraceae (OTU 29)	Kruskal-Wallis rank sum test	0.004	0	5e-4	0.0045000000000000005	5e-4	0.004155191191733468	0.24565117128271513	0.05075355278781253	0.7522958651472023	0.004155191191733468	0.1680200545009234	0.1680200545009234	0.07126331486753501	0.7522958651472023	0.1680200545009234
Lachnospiraceae (OTU 30)	Kruskal-Wallis rank sum test	0.001	0.008	5e-4	0	0.004	0.037759084341807615	0.4619064534075879	0.048155384338022376	0.014579893286741624	0.002834418450750648	0.048155384338022376	0.468744847806398	0.24548733082912136	0.4619064534075879	0.037759084341807615
Lachnospiraceae (OTU 33)	Kruskal-Wallis rank sum test	0	0	0	5e-4	0.001	0.09942719760603468	0.09942719760603468	0.5610945278820509	0.44252252639842593	0.04558796678626091	0.025851101034218223	0.44733124760165116	0.025851101034218223	0.025851101034218223	0.8437319486360298
Lachnospiraceae (OTU 34)	Kruskal-Wallis rank sum test	0.0045000000000000005	0	0	0	0	0.06687105037412974	0.06687105037412974	0.4442876015545294	0.06687105037412974	0.42464043872789436	0.8487932280510613	0.06687105037412974	NA	0.468543264749841	0.4442876015545294
Clostridiales (OTU 35)	Kruskal-Wallis rank sum test	0.025	0	0	0	0.0075	6.49948961996071e-4	9.727911262808497e-5	0.5049850750938458	1.5881127726715793e-4	NA	0.4806887694434733	0.035794616221004306	0.0029920156687243344	9.131360344369223e-4	9.131360344369223e-4
Bacteroidales (OTU 38)	Kruskal-Wallis rank sum test	0	0	0	0	0.013999999999999999	NA	NA	NA	NA	NA	NA	7.800425598315561e-4	5.68318586335836e-4	3.2554076381771e-5	1.4971488225369042e-4
Porphyromonadaceae (OTU 40)	Kruskal-Wallis rank sum test	0	0	0	0	0.006999999999999999	NA	NA	NA	NA	NA	NA	0.012194288482674199	0.010833298314010007	0.0022354504515256996	0.005022060233756589
Lachnospiraceae (OTU 41)	Kruskal-Wallis rank sum test	0.0055	0	0	0	0	0.001823222193970784	9.687505877267636e-4	0.9600183874643179	0.001823222193970784	0.8533170339821589	0.8771705125407492	0.026829890797183953	0.5901815042624504	0.5901815042624504	0.6842361285694535
Lachnospiraceae (OTU 42)	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0.08954440540712755	0.41128949139686244	0.1537743254013314	NA	0.045223530944117615	0.3479830772646044	0.20182159453572798	0.41128949139686244	0.41128949139686244	0.1457487927700753
Bacteria (OTU 43)	Kruskal-Wallis rank sum test	0.0035	0	0	0	0	4.7956266959859527e-4	2.4326888309674246e-5	NA	1.1828013713652962e-4	NA	NA	0.016815963639961927	0.2763029173374834	0.17610099449451594	0.2273257567103477
Porphyromonadaceae (OTU 44)	Kruskal-Wallis rank sum test	0	0	0	0	0.035500000000000004	0.34577858615116025	0.2588566385518404	NA	0.30516760868294096	NA	NA	0.0020936050609153124	9.94557526087713e-4	5.696963366809925e-5	2.620010439439582e-4
Lachnospiraceae (OTU 46)	Kruskal-Wallis rank sum test	0.004	0.004	0	0	0	1	0.02802798297333295	0.021914665954248867	0.021914665954248867	0.021914665954248867	1	0.04502092470711846	0.03629066799589903	1	1
Porphyromonadaceae (OTU 48)	Kruskal-Wallis rank sum test	0	0	0	0	0.013000000000000001	NA	0.536101864250067	0.536101864250067	NA	NA	0.536101864250067	0.0013650744797052232	9.94557526087713e-4	1.6020507289212226e-4	2.620010439439582e-4
Lachnospiraceae (OTU 49)	Kruskal-Wallis rank sum test	0	0.003	0.0055	0	0	0.047684522892516956	0.008077922758908063	0.6837547431523894	0.4575947935600975	0.004871028379498747	6.37969094471085e-4	0.7188163610152828	0.03022691381718779	0.008077922758908063	0.7188163610152828
Ruminococcaceae (OTU 50)	Kruskal-Wallis rank sum test	0.0035	0	0	5e-4	0.0035	0.021724252110791525	0.001766274288431417	0.8022456039909781	0.001766274288431417	0.9006828307579411	0.49717223234263097	1	0.49717223234263097	0.4519338987501851	0.5562914788222415
Ruminococcaceae (OTU 54)	Kruskal-Wallis rank sum test	0.0055	0	0	0	0	0.002121488700673962	0.01674530689166359	0.38488108682533434	0.002270454516082152	0.393185591414717	0.9184131502056981	0.035886829351901045	0.39471845333926203	0.9184131502056981	1
Acetatifactor (OTU 55)	Kruskal-Wallis rank sum test	0.007	0	0	0	0	0.004225862994790296	0.004225862994790296	0.8517564406285104	0.001628531144725508	0.5771318367691615	0.6920945254553132	0.005207620012252882	0.6920945254553132	0.8517564406285104	0.9525443846037097
Butyricicoccus (OTU 56)	Kruskal-Wallis rank sum test	0.001	0.001	0	0.002	0.001	1	0.003146778002737294	0.006453329416875316	0.9476839678669905	0.9476839678669905	0.003146778002737294	1	1	0.003146778002737294	0.9476839678669905
Oscillibacter (OTU 57)	Kruskal-Wallis rank sum test	0.005	0	0	0	0.002	0.05393227957722774	4.6198151696591765e-4	0.3621898728588496	3.4686460408788606e-4	0.18133767857502167	0.4272789061719762	0.3621898728588496	0.3621898728588496	0.07478476839589464	0.038806252905372055
Lachnospiraceae (OTU 58)	Kruskal-Wallis rank sum test	0.003	0	0	0	0	0.1335072454581033	0.02797761161985808	0.8712992451174874	0.0017069244384690409	0.21727423111246646	0.21727423111246646	0.028756437740561913	0.8712992451174874	0.8712992451174874	0.2783580694412421
Lachnospiraceae (OTU 63)	Kruskal-Wallis rank sum test	0.005	0	0	0	0	0.028736328857165237	0.006958767205115997	0.881677892685756	0.006958767205115997	0.9610181483046064	0.881677892685756	0.049233624504254614	0.881677892685756	1	0.881677892685756
Lachnospiraceae (OTU 64)	Kruskal-Wallis rank sum test	0	0	0	0.0045000000000000005	0.01	0.7651504808608584	0.7844851139132996	0.8079956456049655	0.04157155767056154	0.05424984135101167	0.02181498105558994	0.05827772790028216	0.08979315170758359	0.05424984135101167	0.7651504808608584
Lachnospiraceae (OTU 70)	Kruskal-Wallis rank sum test	0	0	0	0.0025	0	0.24042634840021007	0.43946254402626944	0.43946254402626944	0.025866972324907898	0.29392766169934664	0.027866279038689972	0.43946254402626944	0.5512398034716153	0.9507598005975446	0.15761978012577404
Lachnospiraceae (OTU 71)	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.009564701410516374	0.0549022309305572	0.22451396731477838	0.004956893077249896	NA	0.1825103541344718	0.027460952721413686	NA	0.29381224649666465	NA
Lachnospiraceae (OTU 73)	Kruskal-Wallis rank sum test	0.006	0	0	0	0.002	0.001060744350336981	1.4748440891273207e-4	0.5049850750938458	0.00157715685957384	0.16108969889890995	0.21627362572411196	0.09729455943986876	0.01606346716530972	0.014352274449182426	0.11113523114368337
Acetatifactor (OTU 79)	Kruskal-Wallis rank sum test	0.0025	0	0	0	0.0025	0.023887262699691297	0.017274347399738245	0.9600183874643179	0.09331149132712675	0.20780041932894144	0.15054040132164073	0.8255988979286542	0.023887262699691297	0.017274347399738245	0.08690202563934497
Porphyromonadaceae (OTU 80)	Kruskal-Wallis rank sum test	0	0	0	0	0.017	NA	NA	NA	NA	NA	NA	7.800425598315561e-4	5.68318586335836e-4	3.2554076381771e-5	1.4971488225369042e-4
Lachnospiraceae (OTU 81)	Kruskal-Wallis rank sum test	0.0015	0	0	0.001	0	0.039561385772082194	0.039561385772082194	0.9200890539455037	0.5043743728330659	0.07955579440591694	0.055269641290324155	0.25301960950226765	0.9200890539455037	0.9200890539455037	0.29309935238703033
Lachnospiraceae (OTU 84)	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.8771998089669408	0.005774447543671718	0.02340599411001488	0.06352741118204067	0.14351606251700222	0.35873525984318194	0.06352741118204067	0.14351606251700222	NA	0.625151014068144
Porphyromonadaceae (OTU 87)	Kruskal-Wallis rank sum test	0	0	0	0	0.0055	NA	NA	NA	NA	NA	NA	0.003347540812544509	0.0026948504944968735	2.9299340802915015e-4	9.422327709905179e-4
Anaeroplasma (OTU 89)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0.03154960862042678	0.011899322748631643	NA	0.019002191080710062	NA	NA	0.06293645460621415	NA	NA	NA
Clostridiales (OTU 91)	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0.04340208538567895	0.13147354249256787	0.2827547340071541	0.5343283573756951	0.04340208538567895	0.15011965604634323	NA	0.05826396804228813	0.15011965604634323	0.5556897902827946
Ruminococcaceae (OTU 92)	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.002647599921866266	1.517298305199294e-4	NA	0.007408324624961041	0.2752299139903019	0.150054243330252	0.007408324624961041	NA	NA	0.3455570234313006
Lachnospiraceae (OTU 94)	Kruskal-Wallis rank sum test	0	0	5e-4	0.0015	0.0025	0.1193126371272416	0.5578193018973386	0.05037333632694776	0.11397348942544903	0.006060802204671099	0.21840299289863793	0.3025860169576188	0.040624868677537535	0.463841754480491	0.9240802658083741
Firmicutes (OTU 96)	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.01996849644491635	0.004589386962386763	NA	0.009663653269924164	NA	NA	0.36778676286122175	0.10547797494685088	0.03854945337758267	0.06801610329270179
Clostridiales (OTU 97)	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.037671030289773415	0.037671030289773415	0.6860632991326419	0.05830166782851331	0.6860632991326419	0.91722098913285	0.06340925495953453	NA	0.6860632991326419	0.6860632991326419
Ruminococcaceae (OTU 98)	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	0.011410569397095055	0.002622506835649579	NA	0.005522087582813808	NA	NA	0.028898659967366385	NA	NA	NA
Porphyromonadaceae (OTU 99)	Kruskal-Wallis rank sum test	0	0	0	0	0.0025	NA	NA	NA	NA	NA	NA	0.003347540812544509	0.0026948504944968735	2.9299340802915015e-4	9.422327709905179e-4
Ruminococcaceae (OTU 101)	Kruskal-Wallis rank sum test	0.0025	0	0	0	5e-4	9.446597438118594e-4	0.0016299485044476646	0.3065958303639637	3.094835030582799e-4	NA	0.2609873079484533	0.026449930454879405	0.042324155036291645	0.18677514258342115	0.02596497410308269
Clostridiales (OTU 107)	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0.34577858615116025	0.2588566385518404	NA	0.30516760868294096	NA	NA	0.1852573804788522	0.06651242720969935	0.025924129674868242	0.04074656555064066
Bacteria (OTU 108)	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.038510671715195816	0.005900640380211554	NA	0.040025982313045876	0.4414183267820536	0.3138933523627842	0.2770542387099701	0.16125785742579113	0.049225291971883266	0.3138933523627842
Lachnospiraceae (OTU 112)	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.0822778313942017	0.12194803259686395	0.35769513542462433	0.06612237218147358	NA	0.3247842054469641	0.12194803259686395	NA	0.41648290199985866	NA
Ruminococcaceae (OTU 118)	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	0.009109239438587024	0.009109239438587024	0.6932034258621701	0.009109239438587024	0.6932034258621701	0.91722098913285	0.07720185491421303	0.5526058346749668	0.6932034258621701	0.7417406072477768
Porphyromonadaceae (OTU 122)	Kruskal-Wallis rank sum test	0	0	0	0	0.0015	NA	NA	NA	NA	NA	NA	0.03884480284445574	0.03800710126268534	0.014813788385638996	0.02328375174322323
Firmicutes (OTU 129)	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	0.01996849644491635	0.004589386962386763	NA	0.009663653269924164	NA	NA	0.17610099449451594	0.2763029173374834	0.17610099449451594	0.2273257567103477
Lachnospiraceae (OTU 133)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0.22302289328087618	0.026640223111979035	0.18613218773119838	0.042507239259518735	0.22302289328087618	NA	0.22302289328087618	0.865226391917488	0.22302289328087618	0.22302289328087618
Lachnospiraceae (OTU 135)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.07954175808482773	0.04896554548331148	NA	0.05941703305453335	NA	NA	0.12597344568258811	NA	NA	NA
Lachnospiraceae (OTU 148)	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0.6121203846886867	0.27734639844840037	0.18681339562708288	0.3363071605893635	0.20158757698103508	NA	0.20158757698103508	0.35603940297764763	0.004871169293094888	0.010865920111914814
Ruminococcaceae (OTU 153)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.056946871980759456	NA	0.020049148581954706	NA	0.028356776157889733	NA	NA	0.07747914645636265	NA	NA
Firmicutes (OTU 155)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0.030729838745227406	0.011663495807477765	NA	0.018563752563207796	NA	NA	0.06112371411237541	NA	NA	NA
Lachnospiraceae (OTU 162)	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0.5186678792267404	0.6095233803508289	0.5681082094805765	0.47083002482510883	NA	0.5493585936496838	0.43877317557278106	0.08464831007258329	0.08464831007258329	0.08464831007258329
Porphyromonadaceae (OTU 175)	Kruskal-Wallis rank sum test	0	0	0	0	0	NA	NA	NA	NA	NA	NA	0.11106071174918014	0.11106071174918014	0.08751163017223691	0.096387779763356
Clostridiales (OTU 179)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0.03134393576921969	0.011840099160879572	NA	0.018892106337563882	NA	NA	0.06248270549028422	NA	NA	NA
Porphyromonadaceae (OTU 194)	Kruskal-Wallis rank sum test	0	0	0	0	0	NA	NA	NA	NA	NA	NA	0.11212310807540443	0.11212310807540443	0.08811303629161754	0.09716586184671686
Porphyromonadaceae (OTU 288)	Kruskal-Wallis rank sum test	0	0	0	0	0	NA	NA	NA	NA	NA	NA	0.11106071174918014	0.11106071174918014	0.08751163017223691	0.096387779763356
