otu	statistic	p.value	parameter	method	WM	WMR	CWM	RM	FRM	p.value.adj
Ruminococcaceae (OTU 106)	7.363636363636171	0.11787486928633138	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Clostridiales (OTU 107)	6.666666666666574	0.15458730450476588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Lachnospiraceae (OTU 110)	7.6366279069767256	0.10583331857125179	4	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0.32467620432516237
Lachnospiraceae (OTU 116)	7.146316525160466	0.12835515479413898	4	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0.32467620432516237
Lachnospiraceae (OTU 125)	7.284748576850098	0.12158418773624607	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Clostridium (OTU 126)	6.867397137745974	0.14306382183477978	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Lachnospiraceae (OTU 140)	7.363636363636171	0.11787486928633138	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Lachnospiraceae (OTU 152)	7.363636363636171	0.11787486928633138	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Clostridiales (OTU 154)	6.666666666666574	0.15458730450476588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Lachnospiraceae (OTU 183)	6.666666666666574	0.15458730450476588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Veillonella (OTU 192)	6.666666666666574	0.15458730450476588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Anaerotruncus (OTU 234)	6.666666666666574	0.15458730450476588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Firmicutes (OTU 235)	6.666666666666574	0.15458730450476588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Porphyromonadaceae (OTU 253)	6.666666666666574	0.15458730450476588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Coriobacteriaceae (OTU 260)	6.666666666666574	0.15458730450476588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Clostridium (OTU 268)	6.666666666666574	0.15458730450476588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Firmicutes (OTU 279)	6.666666666666574	0.15458730450476588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Porphyromonadaceae (OTU 280)	6.666666666666574	0.15458730450476588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Bacteroides (OTU 282)	6.666666666666574	0.15458730450476588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Porphyromonadaceae (OTU 288)	6.666666666666574	0.15458730450476588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Porphyromonadaceae (OTU 312)	6.666666666666574	0.15458730450476588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Porphyromonadaceae (OTU 338)	6.666666666666574	0.15458730450476588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Porphyromonadaceae (OTU 362)	6.666666666666574	0.15458730450476588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Hungatella (OTU 427)	6.666666666666574	0.15458730450476588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Porphyromonadaceae (OTU 578)	6.666666666666574	0.15458730450476588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Lachnospiraceae (OTU 685)	6.666666666666574	0.15458730450476588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Porphyromonadaceae (OTU 917)	6.666666666666574	0.15458730450476588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Lachnospiraceae (OTU 981)	6.666666666666574	0.15458730450476588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Porphyromonadaceae (OTU 1381)	6.666666666666574	0.15458730450476588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Faecalibacterium (OTU 1826)	6.666666666666574	0.15458730450476588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Bacteroidales (OTU 2888)	6.666666666666574	0.15458730450476588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Porphyromonadaceae (OTU 4251)	6.666666666666574	0.15458730450476588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Lachnospiraceae (OTU 5201)	6.666666666666574	0.15458730450476588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Peptostreptococcaceae (OTU 5224)	6.666666666666574	0.15458730450476588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Clostridium (OTU 51)	6.559563758389239	0.16107586179428704	4	Kruskal-Wallis rank sum test	0	0	0	5e-4	0	0.3324761807025069
Pseudoflavonifractor (OTU 69)	6.542752479711453	0.16211648480535462	4	Kruskal-Wallis rank sum test	0.0025	0.001	0	0	0	0.3324761807025069
Clostridiales (OTU 141)	6.422320862396893	0.16975107416825197	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.3423313329059748
Lachnospiraceae (OTU 151)	6.423678646934398	0.1696632180318788	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.3423313329059748
Lachnospiraceae (OTU 111)	5.995943415851864	0.19945142651162343	4	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0.39549205333340154
Ruminococcaceae (OTU 143)	5.999999999999906	0.19914827347146286	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.39549205333340154
Lachnospiraceae (OTU 181)	5.95348837209303	0.2026488207162884	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.39549205333340154
Lachnospiraceae (OTU 287)	5.95348837209303	0.2026488207162884	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.39549205333340154
Bifidobacterium (OTU 28)	5.911040145985401	0.20589108104300027	4	Kruskal-Wallis rank sum test	5e-4	5e-4	0	0	0.001	0.39860513289924854
Lachnospiraceae (OTU 62)	5.882451209164184	0.20810055835214392	4	Kruskal-Wallis rank sum test	0	0.0025	0.001	0	0.002	0.3996851993747526
Alistipes (OTU 18)	5.79629629629632	0.2148862326025338	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.4068289713130362
Lachnospiraceae (OTU 112)	5.79259259259251	0.21518226581846542	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.4068289713130362
Lachnospiraceae (OTU 58)	5.734790874524834	0.21984903550521	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.4124299735834172
Acetatifactor (OTU 79)	5.472424412094053	0.2421640507190146	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.4507976944153964
Oscillibacter (OTU 45)	5.44816798703639	0.24432326360059667	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.4513452655827816
Lachnospiraceae (OTU 64)	5.386673674946194	0.249871999047596	4	Kruskal-Wallis rank sum test	0	0	0	0	0.0015	0.45809866492059265
Oscillibacter (OTU 119)	4.871396620278305	0.3007493418449223	4	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0.5472281257629413
Lachnospiraceae (OTU 75)	4.768577728776196	0.3118774164187119	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5509075530899875
Lachnospiraceae (OTU 104)	4.810130111524174	0.3073398899607774	4	Kruskal-Wallis rank sum test	0	0	0.001	5e-4	0	0.5509075530899875
Clostridiales (OTU 115)	4.78255813953501	0.3103446227055906	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5509075530899875
Lachnospiraceae (OTU 128)	4.828512396694184	0.30535002625249985	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5509075530899875
Lachnospiraceae (OTU 36)	4.690329407434675	0.32057187378935276	4	Kruskal-Wallis rank sum test	0	5e-4	0.0025	5e-4	0	0.5621622714277056
Acetatifactor (OTU 55)	4.610511436648655	0.3296440395132034	4	Kruskal-Wallis rank sum test	0	0	5e-4	0	0	0.5739126443323398
Lachnospiraceae (OTU 72)	4.560575757575773	0.3354250678180866	4	Kruskal-Wallis rank sum test	5e-4	0	0	5e-4	0	0.5798061886569783
Lachnospiraceae (OTU 163)	4.4243942033576404	0.35160674018496874	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6034668874096627
Lachnospiraceae (OTU 32)	4.3244299463858855	0.36387595577779736	4	Kruskal-Wallis rank sum test	0.003	0.0035	0	0.0015	0	0.6157900790085802
Lachnospiraceae (OTU 63)	4.329225125498806	0.3632798054682356	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6157900790085802
Lachnospiraceae (OTU 322)	4.2962962962962745	0.3673891062147225	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.617417803499742
Lachnospiraceae (OTU 227)	4.2272727272727595	0.37612073939500645	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6234330063944628
Lachnospiraceae (OTU 433)	4.2272727272727595	0.37612073939500645	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6234330063944628
Lachnospiraceae (OTU 47)	3.9432633196721265	0.41373877711371204	4	Kruskal-Wallis rank sum test	0.003	0	0	0	0	0.6285620490246364
Oscillibacter (OTU 57)	3.89000774593334	0.4210962956203579	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6285620490246364
Ruminococcaceae (OTU 59)	4.069892973476083	0.39662949563102545	4	Kruskal-Wallis rank sum test	0	0	5e-4	0	0	0.6285620490246364
Lachnospiraceae (OTU 76)	3.6512398097825884	0.45525748044213166	4	Kruskal-Wallis rank sum test	0	0.002	0	5e-4	0	0.6285620490246364
Clostridiales (OTU 97)	3.933918430562758	0.41502288313775254	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6285620490246364
Olsenella (OTU 114)	3.5859649122807187	0.46492812717111537	4	Kruskal-Wallis rank sum test	0.001	0	0	0	0.001	0.6285620490246364
Ruminococcaceae (OTU 118)	3.602272727272713	0.4624988610479018	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6285620490246364
Dorea (OTU 134)	4.098511904761873	0.39283785240115426	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6285620490246364
Ruminococcaceae (OTU 147)	3.600000000000128	0.46283688702042336	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6285620490246364
Lachnospiraceae (OTU 150)	3.6428571428571566	0.456491486267819	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6285620490246364
Lachnospiraceae (OTU 157)	3.926356589147342	0.4160641374151323	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6285620490246364
Lachnospiraceae (OTU 160)	3.9121750158529878	0.418022131458791	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6285620490246364
Lachnospiraceae (OTU 162)	3.600000000000128	0.46283688702042336	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6285620490246364
Bacteria (OTU 168)	3.600000000000128	0.46283688702042336	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6285620490246364
Bacteroides (OTU 178)	4.159999999999889	0.38478505357164833	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6285620490246364
Lachnospiraceae (OTU 184)	3.600000000000128	0.46283688702042336	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6285620490246364
Lachnospiraceae (OTU 185)	3.835227272727163	0.42876443988667406	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6285620490246364
Lachnospiraceae (OTU 211)	3.750925925926009	0.4407624234288475	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6285620490246364
Lachnospiraceae (OTU 222)	3.600000000000128	0.46283688702042336	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6285620490246364
Lachnospiraceae (OTU 239)	3.600000000000128	0.46283688702042336	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6285620490246364
Akkermansia (OTU 250)	3.921296296296263	0.4167620119657471	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6285620490246364
Bacteroides (OTU 256)	3.600000000000128	0.46283688702042336	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6285620490246364
Porphyromonadaceae (OTU 258)	3.835227272727163	0.42876443988667406	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6285620490246364
Blautia (OTU 273)	3.600000000000128	0.46283688702042336	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6285620490246364
Lachnospiraceae (OTU 295)	3.600000000000128	0.46283688702042336	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6285620490246364
Lachnospiraceae (OTU 301)	4.0549450549451365	0.39862091341928796	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6285620490246364
Lachnospiraceae (OTU 416)	3.835227272727163	0.42876443988667406	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6285620490246364
Anaerotruncus (OTU 745)	3.600000000000128	0.46283688702042336	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6285620490246364
Clostridium (OTU 803)	3.600000000000128	0.46283688702042336	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6285620490246364
Lachnospiraceae (OTU 864)	3.600000000000128	0.46283688702042336	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6285620490246364
Pseudoflavonifractor (OTU 955)	3.600000000000128	0.46283688702042336	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6285620490246364
Anaerotruncus (OTU 1811)	3.600000000000128	0.46283688702042336	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6285620490246364
Clostridiales (OTU 3397)	3.600000000000128	0.46283688702042336	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6285620490246364
Lachnospiraceae (OTU 42)	3.5233931337118376	0.4743302936823655	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6377107281729582
Enterobacteriaceae (OTU 2)	3.0901269872043384	0.5428577871107676	4	Kruskal-Wallis rank sum test	0.001	0.001	0.003	0.001	0.0025	0.638893731904301
Lachnospiraceae (OTU 41)	3.445840086439726	0.48616111705443676	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.638893731904301
Ruminococcaceae (OTU 54)	2.85534469403567	0.5823175097482387	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.638893731904301
Lachnospiraceae (OTU 66)	3.181700730494222	0.5278916540091206	4	Kruskal-Wallis rank sum test	0	5e-4	0	5e-4	5e-4	0.638893731904301
Lachnospiraceae (OTU 71)	3.141472868217086	0.5344356086577109	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.638893731904301
Lachnospiraceae (OTU 77)	3.487801293356851	0.479735607305868	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.638893731904301
Ruminococcaceae (OTU 101)	2.8333333333331825	0.586092597036177	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.638893731904301
Lachnospiraceae (OTU 131)	2.8333333333331825	0.586092597036177	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.638893731904301
Clostridiales (OTU 137)	3.1071428571428608	0.5400581343326939	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.638893731904301
