otu	method	WM	C	WMR	CWM	RM	FRM	WMC	M1	1RM1	C-WM	WMR-WM	WMR-C	CWM-WM	CWM-C	CWM-WMR	RM-WM	RM-C	RM-WMR	RM-CWM	FRM-WM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM	WMC-WM	WMC-C	WMC-WMR	WMC-CWM	WMC-RM	WMC-FRM	M1-WM	M1-C	M1-WMR	M1-CWM	M1-RM	M1-FRM	M1-WMC	1RM1-WM	1RM1-C	1RM1-WMR	1RM1-CWM	1RM1-RM	1RM1-FRM	1RM1-WMC	1RM1-M1
Alistipes (OTU 18)	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0.001	0	0	0.3456099590846656	0.39947220232844893	0.9241326648705172	0.019281252980396915	0.059036773125589775	0.13887872199078116	NA	0.39947220232844893	0.47295367812261824	0.03173569285376324	NA	0.5328145511169189	0.5762277960319174	0.12307349696911667	NA	0.0033099921016367193	0.023865753774736438	0.05736344803862667	0.5549192717405715	0.008244601683835043	0.05736344803862667	NA	0.5328145511169189	0.5762277960319174	0.12307349696911667	NA	NA	0.05736344803862667	0.3000353639939335	0.803600693953947	0.803600693953947	0.3456099590846656	0.3456099590846656	0.5328145511169189	0.17521606842128698	0.5328145511169189
Blautia (OTU 19)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.0325	0	0	0.06214983609296609	0.9683327622703943	0.06214983609296609	0.3599568557263536	NA	0.36783309481213733	0.2447126439145385	NA	0.2447126439145385	NA	0.34838728685694514	NA	0.34838728685694514	NA	NA	0.18405671980049812	4.411468226112722e-6	0.2777254826654633	0.07803385617839337	0.005994305645235555	0.06214983609296609	0.34838728685694514	NA	0.34838728685694514	NA	NA	NA	0.06214983609296609	0.34838728685694514	NA	0.34838728685694514	NA	NA	NA	0.06214983609296609	NA
Lachnospiraceae (OTU 20)	Kruskal-Wallis rank sum test	0	0	0.010499999999999999	0.001	0	0	0	0	0	0.27380208584241456	7.069559234458743e-4	2.0377357183767376e-4	0.010437504986876784	0.021681652782218966	0.08881534828767637	NA	0.3264858590640323	0.0019476542305011913	0.016883032869017597	NA	0.447074008969101	0.016883032869017597	0.08326836666671666	NA	NA	0.6835186633333695	0.15052236969343608	0.34599008394361463	NA	NA	NA	0.447074008969101	0.016883032869017597	0.08326836666671666	NA	NA	NA	NA	0.447074008969101	0.016883032869017597	0.08326836666671666	NA	NA	NA	NA
Lactobacillus (OTU 23)	Kruskal-Wallis rank sum test	0.007	0.001	0.008	0.001	0	0.001	0.006	0.007	0.0035	0.0014923475241647845	0.956779018365715	0.059498543967695584	0.956779018365715	0.956779018365715	0.956779018365715	0.059498543967695584	0.9620834205843297	0.15392850581487139	0.956779018365715	0.06941472972226435	0.956779018365715	0.15392850581487139	0.956779018365715	0.956779018365715	0.956779018365715	0.956779018365715	0.956779018365715	0.956779018365715	0.956779018365715	0.956779018365715	0.956779018365715	0.04262129165336298	0.956779018365715	0.956779018365715	0.15067629869288451	0.12070600198849223	1	0.6226027601824338	0.12070600198849223	0.956779018365715	0.956779018365715	0.2976621349505184	0.5091215889989276	1	0.7574184745569615
Lachnospiraceae (OTU 24)	Kruskal-Wallis rank sum test	0	0	0.009999999999999998	0	0	0	0	0	0	0.10622779460931403	0.020408282156290147	0.07997730806601283	NA	0.2593008190898122	0.11055040819743629	0.09992640617213847	0.47798826167625186	0.11055040819743629	0.2368301182773955	NA	0.2368301182773955	0.09992640617213847	NA	0.2368301182773955	NA	0.47798826167625186	0.2514646664073396	NA	0.4680475246696386	NA	NA	0.2368301182773955	0.09992640617213847	NA	0.2368301182773955	NA	NA	NA	0.2368301182773955	0.09992640617213847	NA	0.2368301182773955	NA	NA	NA
Lachnospiraceae (OTU 26)	Kruskal-Wallis rank sum test	0	0	0.0015	0	0	0	0	0	0	0.40847283411904595	0.15549602963109993	0.00154560962845492	0.48851287562862267	0.6418668726009704	0.15549602963109993	0.3531389402037085	0.5140693429636564	0.013695397176675731	NA	0.44048635976120054	0.6416067885193668	0.13846121480713117	NA	NA	0.6418668726009704	0.7952886394611799	0.3921908259571578	NA	NA	NA	0.6452549825768129	0.25484367821738624	0.40847283411904595	0.40847283411904595	0.20821256110010755	0.40554077456359644	0.6416067885193668	0.6416067885193668	0.25484367821738624	0.44048635976120054	0.40847283411904595	0.20821256110010755	0.40554077456359644	0.6416067885193668	1
Bifidobacterium (OTU 28)	Kruskal-Wallis rank sum test	0	0.002	0	0.004	0.002	0	5e-4	0.008	0.007	0.19941114798609844	0.43173106782480924	0.07070784981848383	0.10938588914555032	0.2945418321265651	0.05182856411285094	0.6099978882625745	0.45380520469112057	0.22358347970965156	0.19941114798609844	0.2945418321265651	0.07070784981848383	0.6581240011098229	0.05182856411285094	0.17320841139573073	0.8551080640941632	0.43173106782480924	0.8551080640941632	0.22358347970965156	0.567896068766947	0.6099978882625745	0.07070784981848383	0.4155062096690689	0.0640541377247504	0.9270990616387901	0.17320841139573073	0.07070784981848383	0.2945418321265651	0.05182856411285094	0.44493919853713576	0.05182856411285094	0.9270990616387901	0.19941114798609844	0.05182856411285094	0.19941114798609844	0.7720999603779853
Lachnospiraceae (OTU 30)	Kruskal-Wallis rank sum test	0	0	0.006	0	0	0	0	0	0	0.7975403709417366	0.0023101671975403653	3.701248664415589e-4	0.7975403709417366	0.7975403709417366	0.042670258225763286	0.9143948876606655	0.8893374262080942	0.005650439449286075	0.7975403709417366	0.7975403709417366	0.7975403709417366	0.027293775390632345	NA	0.7975403709417366	0.8893374262080942	0.8082630804676344	0.3201018853476309	NA	0.8893374262080942	NA	0.7975403709417366	0.7975403709417366	0.027293775390632345	NA	0.7975403709417366	NA	NA	0.7975403709417366	0.7975403709417366	0.027293775390632345	NA	0.7975403709417366	NA	NA	NA
Lachnospiraceae (OTU 32)	Kruskal-Wallis rank sum test	0	0	0.006	0	0	0	0	0	0	0.29911152234885624	0.0035037544390588444	0.002345055871841587	NA	0.5554149902837502	0.09941706808196893	NA	0.32337646993008917	0.008069640487290064	NA	NA	0.5271620967436111	0.09223705199873233	NA	NA	NA	0.7108594098667044	0.28556829542186585	NA	NA	NA	0.09941706808196893	0.28556829542186585	0.14003525467600902	0.3051494947312764	0.14003525467600902	0.28556829542186585	0.5554149902837502	0.09941706808196893	0.28556829542186585	0.16449148145514728	0.3051494947312764	0.14003525467600902	0.28556829542186585	0.5554149902837502	1
Lachnospiraceae (OTU 36)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6812935889412671	0.1075114221366443	0.0995220562356925	NA	0.8075570593088758	0.4200495095915069	NA	0.7102279071190646	0.14683681773667398	NA	NA	0.8075570593088758	0.41808836370384467	NA	NA	NA	0.8917558535067943	0.6812935889412671	NA	NA	NA	0.4200495095915069	0.5509328811034115	0.6812935889412671	0.6812935889412671	0.5114829525982822	0.6812935889412671	0.8114714923186699	NA	0.8075570593088758	0.41808836370384467	NA	NA	NA	NA	0.6812935889412671
