otu	statistic	p.value	parameter	method	WM	WMR	WMC	p.value.adj
Ruminococcaceae (OTU 147)	0.594285714285648	0.742937870799062	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 148)	2.1224489795918196	0.34603183835322876	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 151)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Ruminococcaceae (OTU 153)	1.6770186335403336	0.43235454696478104	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Firmicutes (OTU 155)	0.594285714285648	0.742937870799062	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Staphylococcus (OTU 156)	0.594285714285648	0.742937870799062	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Coriobacteriaceae (OTU 158)	0.5934065934065272	0.7432645086794025	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 161)	0.594285714285648	0.742937870799062	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 164)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Streptococcus (OTU 166)	1.3965714285714417	0.49743732297712157	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 167)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Bacteria (OTU 168)	1.2826310380267276	0.5265992168971789	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Clostridiales (OTU 170)	0.5934065934065272	0.7432645086794025	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Clostridiales (OTU 173)	1.2826310380267276	0.5265992168971789	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 174)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 177)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Clostridiales (OTU 179)	0.5934065934065272	0.7432645086794025	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Coriobacteriaceae (OTU 182)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 183)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
