otu	statistic	p.value	parameter	method	WMR	CWM	RM	FRM	M1	1RM1	p.value.adj
Ruminococcaceae (OTU 147)	15.102627364411529	0.009932710841065675	5	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0.03788264031498249
Ruminococcaceae (OTU 37)	15.014061501313824	0.010302423974714028	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.038762870204861535
Pseudoflavonifractor (OTU 69)	14.699991711424966	0.011724171669216583	5	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0.0025	0.04356760089424928
Oscillibacter (OTU 45)	14.552478486594064	0.012455868935542146	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0.044633530352359355
Lachnospiraceae (OTU 161)	14.562272877436417	0.012405946338149934	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.044633530352359355
Porphyromonadaceae (OTU 194)	14.603773584905703	0.01219655577778111	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.044633530352359355
Acetatifactor (OTU 79)	14.254422718808211	0.014071554536823436	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0.04982985783039828
Lachnospiraceae (OTU 128)	13.968285966071916	0.015812127738327995	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0.05534244708414798
Lachnospiraceae (OTU 4)	13.641812710765246	0.018052112891554783	5	Kruskal-Wallis rank sum test	0.03	0.003	0.006500000000000001	5e-4	0.0335	0.0505	0.062456160693769996
Lachnospiraceae (OTU 121)	13.556557730034918	0.01868564883940911	5	Kruskal-Wallis rank sum test	0	5e-4	0	0	5e-4	5e-4	0.06319528427710272
Clostridiales (OTU 141)	13.557978196233913	0.01867491995275309	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.06319528427710272
Clostridiales (OTU 115)	12.967606277069661	0.023684230789911016	5	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0.001	0.07921059408625795
Lachnospiraceae (OTU 68)	12.585240729955371	0.027591553299761585	5	Kruskal-Wallis rank sum test	0	0.002	5e-4	0	0	0.0015	0.09126436860690369
Clostridiales (OTU 226)	12.407142857142762	0.029615401075624062	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.0968938665626396
Lachnospiraceae (OTU 125)	12.355116368532398	0.03023289422938296	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.09785055014026098
Coriobacteriaceae (OTU 158)	12.252121212121047	0.03149177203244728	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.1008406742741131
Acetatifactor (OTU 206)	11.361616161616338	0.04466332848258667	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.14151223024482723
Clostridiales (OTU 91)	11.308875913481016	0.045588380640359805	5	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	5e-4	0.14293856846612812
Clostridium (OTU 126)	11.150341946376034	0.048479294441452325	5	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0.15043574873069226
Ruminococcaceae (OTU 52)	11.04863788466673	0.05042412005982537	5	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0.15487408304089223
Lachnospiraceae (OTU 103)	10.861744091279503	0.05419115406408865	5	Kruskal-Wallis rank sum test	0	0	0	5e-4	0	0.002	0.16476300377061295
Oscillibacter (OTU 119)	10.746088399099412	0.05665330965313797	5	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0.1705264620559453
Lachnospiraceae (OTU 76)	10.528133073255347	0.06158132376380556	5	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0	0.18210060341267786
Lachnospiraceae (OTU 123)	10.522727272727298	0.06170851012655529	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18210060341267786
Lactobacillus (OTU 9)	9.758022518628284	0.08238919912966565	5	Kruskal-Wallis rank sum test	0.0025	0.0095	0.010499999999999999	0.005	0.0025	0.006500000000000001	0.18716944525424153
Clostridium (OTU 22)	8.970984308443676	0.11022710815087364	5	Kruskal-Wallis rank sum test	0	0.006500000000000001	0.001	0	0.003	0.0035	0.18716944525424153
Bifidobacterium (OTU 28)	10.252118775397724	0.06839873677718206	5	Kruskal-Wallis rank sum test	0	0	0.0015	0.0035	0	0.0025	0.18716944525424153
Ruminococcaceae (OTU 50)	8.931785516860105	0.11181613360505846	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0.18716944525424153
Ruminococcaceae (OTU 54)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Ruminococcaceae (OTU 59)	8.850649996448135	0.11517157081853396	5	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0	0.18716944525424153
Lachnospiraceae (OTU 72)	8.77465253474656	0.11839719833770061	5	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	5e-4	0.18716944525424153
Lachnospiraceae (OTU 88)	10.351002423441381	0.06587913397384876	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Anaeroplasma (OTU 89)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Lachnospiraceae (OTU 111)	9.907464519260902	0.07790006130953268	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Firmicutes (OTU 129)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Blautia (OTU 132)	9.662379774663378	0.0853866834384753	5	Kruskal-Wallis rank sum test	0	0	5e-4	0	0	0	0.18716944525424153
Lachnospiraceae (OTU 149)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Lachnospiraceae (OTU 163)	9.02828282828275	0.10794135484628394	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Streptococcus (OTU 166)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Lachnospiraceae (OTU 167)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Lachnospiraceae (OTU 180)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Coriobacteriaceae (OTU 182)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Lachnospiraceae (OTU 184)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Enterococcus (OTU 187)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Lachnospiraceae (OTU 189)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Clostridiales (OTU 199)	10.062962962962875	0.07347074966105827	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Lachnospiraceae (OTU 211)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Lachnospiraceae (OTU 227)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Fusobacterium (OTU 231)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Lachnospiraceae (OTU 241)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Akkermansia (OTU 250)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Clostridiales (OTU 251)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Coriobacteriaceae (OTU 252)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Porphyromonadaceae (OTU 253)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Porphyromonadaceae (OTU 258)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Akkermansia (OTU 264)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Acidaminococcus (OTU 267)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Firmicutes (OTU 270)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Porphyromonadaceae (OTU 271)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Lachnospiraceae (OTU 272)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Lachnospiraceae (OTU 276)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Alistipes (OTU 277)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Porphyromonadaceae (OTU 278)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Turicibacter (OTU 299)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Porphyromonadaceae (OTU 312)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Porphyromonadaceae (OTU 314)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Lachnospiraceae (OTU 316)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Porphyromonadaceae (OTU 318)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Akkermansia (OTU 324)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Lachnospiraceae (OTU 328)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Porphyromonadaceae (OTU 330)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Erysipelotrichaceae (OTU 344)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Lachnospiraceae (OTU 349)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Porphyromonadaceae (OTU 353)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Porphyromonadaceae (OTU 355)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Bacteroides (OTU 361)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Porphyromonadaceae (OTU 362)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Porphyromonadaceae (OTU 372)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Porphyromonadaceae (OTU 388)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Bacteria (OTU 390)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Blautia (OTU 398)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Porphyromonadaceae (OTU 410)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Lachnospiraceae (OTU 417)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Clostridium (OTU 424)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Subdoligranulum (OTU 469)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Porphyromonadaceae (OTU 470)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Porphyromonadaceae (OTU 473)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Porphyromonadaceae (OTU 497)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Porphyromonadaceae (OTU 508)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Porphyromonadaceae (OTU 542)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Porphyromonadaceae (OTU 570)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Clostridium (OTU 572)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Porphyromonadaceae (OTU 588)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Porphyromonadaceae (OTU 589)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Porphyromonadaceae (OTU 610)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Porphyromonadaceae (OTU 615)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Porphyromonadaceae (OTU 618)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Sutterella (OTU 628)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Porphyromonadaceae (OTU 655)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Porphyromonadaceae (OTU 664)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Porphyromonadaceae (OTU 667)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
Porphyromonadaceae (OTU 768)	8.666666666666822	0.12312142910411902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.18716944525424153
