otu	statistic	p.value	parameter	method	C	1RM1	M1	p.value.adj
Porphyromonadaceae (OTU 99)	50.8226033322019	7.541399322124902e-8	9	Kruskal-Wallis rank sum test	0.0025	0.006500000000000001	0.0025	1.8928912298533505e-6
Ruminococcaceae (OTU 98)	50.214763573203584	9.81560458676127e-8	9	Kruskal-Wallis rank sum test	0.002	0.0015	0.0035	2.3463969059781704e-6
Oscillibacter (OTU 57)	46.99352853690719	3.9355656611814905e-7	9	Kruskal-Wallis rank sum test	0.001	0.001	0.008	8.980245281423218e-6
Porphyromonadaceae (OTU 87)	46.3234249489132	5.244186016020312e-7	9	Kruskal-Wallis rank sum test	0.0025	0.006999999999999999	0.001	1.1446006000183464e-5
Porphyromonadaceae (OTU 15)	46.01744301372733	5.977365119691952e-7	9	Kruskal-Wallis rank sum test	0.035500000000000004	0	0.0375	1.2502655375355668e-5
Ruminococcus (OTU 93)	44.56634274754726	1.1096564535284307e-6	9	Kruskal-Wallis rank sum test	0.002	0.002	0	2.2281901586850884e-5
Lachnospiraceae (OTU 4)	43.310288050407195	1.890524310086629e-6	9	Kruskal-Wallis rank sum test	0.0165	0.0105	0.047	3.650166167936491e-5
Clostridiales (OTU 97)	42.984926934511726	2.1693825446466196e-6	9	Kruskal-Wallis rank sum test	0	0	0.0025	4.033444583009641e-5
Lachnospiraceae (OTU 36)	42.3716863723557	2.810260649668691e-6	9	Kruskal-Wallis rank sum test	0.0015	0	0.0045000000000000005	5.038395879048867e-5
Porphyromonadaceae (OTU 7)	40.93015578777143	5.150489147805156e-6	9	Kruskal-Wallis rank sum test	0.0445	0.047	0.0245	8.915674317924788e-5
Akkermansia (OTU 3)	38.461649556331956	1.4401676698595811e-5	9	Kruskal-Wallis rank sum test	0.003	0.0055	0.0025	2.4098805675650326e-4
Clostridiales (OTU 91)	38.32275208044926	1.5253918222293493e-5	9	Kruskal-Wallis rank sum test	0	0	0	2.470150628255269e-4
Acetatifactor (OTU 55)	37.673522181992695	1.9945793009468418e-5	9	Kruskal-Wallis rank sum test	0.0025	0.002	0.0025	3.128996278360358e-4
Lachnospiraceae (OTU 24)	37.190657566481875	2.4334249156816423e-5	9	Kruskal-Wallis rank sum test	0.003	0.001	0.008	3.701755477794498e-4
Clostridiales (OTU 154)	37.07652569912116	2.5503461190073388e-5	9	Kruskal-Wallis rank sum test	0	0	0.0015	3.765511034534365e-4
Bacteria (OTU 105)	36.98203590022316	2.6513258365637697e-5	9	Kruskal-Wallis rank sum test	0.0015	0.001	0.0085	3.8027587713000357e-4
Lactobacillus (OTU 23)	36.55228972919742	3.1626473531122786e-5	9	Kruskal-Wallis rank sum test	0.006	0.0125	0.0075	4.4101360312843443e-4
Ruminococcaceae (OTU 61)	36.096831748622265	3.810824481585489e-5	9	Kruskal-Wallis rank sum test	0	0.001	0.0025	5.170361864205177e-4
Clostridiales (OTU 107)	36.018831264820314	3.934270086537306e-5	9	Kruskal-Wallis rank sum test	0.0025	0.0075	0.0035	5.197377851162441e-4
Lachnospiraceae (OTU 26)	35.469460629835744	4.922660140866017e-5	9	Kruskal-Wallis rank sum test	0.003	5e-4	0.0025	6.336347155678822e-4
Bacteria (OTU 43)	35.271852775927606	5.33499215324543e-5	9	Kruskal-Wallis rank sum test	0.0015	0.0025	0.001	6.695415152323015e-4
Oscillibacter (OTU 119)	34.94190665250162	6.1005615574987817e-5	9	Kruskal-Wallis rank sum test	0	0	0.001	7.469468053327776e-4
Clostridiales (OTU 115)	34.343037613579384	7.776198855987915e-5	9	Kruskal-Wallis rank sum test	0	5e-4	0.001	9.294409108823651e-4
Lactobacillus (OTU 13)	32.760744111214414	1.4698394759277578e-4	9	Kruskal-Wallis rank sum test	0.014	0.0225	0.015	0.001715952132362173
Clostridium (OTU 172)	32.52157119795381	1.6173527654392205e-4	9	Kruskal-Wallis rank sum test	0	0	0.001	0.001845252473296565
Ruminococcaceae (OTU 27)	32.364937300830114	1.7217395670891884e-4	9	Kruskal-Wallis rank sum test	0.001	0.002	0.003	0.0019206961392861611
Lachnospiraceae (OTU 41)	31.993944207113746	1.9960910240044224e-4	9	Kruskal-Wallis rank sum test	0.001	0	0.002	0.002178342813152652
Turicibacter (OTU 5)	31.733093813821085	2.2142375339962873e-4	9	Kruskal-Wallis rank sum test	0.055	0.0675	0.022000000000000002	0.0023649941320556087
Lachnospiraceae (OTU 47)	30.748361025064476	3.269353159118236e-4	9	Kruskal-Wallis rank sum test	0.003	0.002	0.005	0.0034191985122444886
Lachnospiraceae (OTU 20)	30.596573105136983	3.470817130757803e-4	9	Kruskal-Wallis rank sum test	0.0035	5e-4	0.006500000000000001	0.0035558167339600345
Lachnospiraceae (OTU 11)	29.717487880099924	4.900043997571154e-4	9	Kruskal-Wallis rank sum test	0	5e-4	0.001	0.004919644173561438
Lachnospiraceae (OTU 29)	29.277351338747575	5.817878854514422e-4	9	Kruskal-Wallis rank sum test	0	0	0.0015	0.005726618009737725
Erysipelotrichaceae (OTU 39)	28.956465197398074	6.590888425273169e-4	9	Kruskal-Wallis rank sum test	0.001	5e-4	0	0.0062426905462021325
Lachnospiraceae (OTU 64)	28.983290799748993	6.522598549754401e-4	9	Kruskal-Wallis rank sum test	0.001	0	5e-4	0.0062426905462021325
Oscillibacter (OTU 45)	28.89463897244283	6.750949273249142e-4	9	Kruskal-Wallis rank sum test	0	0	0.006	0.0062758824725390175
Clostridium (OTU 22)	28.265829786081582	8.610206519035316e-4	9	Kruskal-Wallis rank sum test	0.001	0	0.002	0.007735425405839552
Lachnospiraceae (OTU 90)	28.260129073974245	8.629159815279182e-4	9	Kruskal-Wallis rank sum test	0	0	0.001	0.007735425405839552
Lactobacillus (OTU 9)	28.211308398342048	8.793150057287614e-4	9	Kruskal-Wallis rank sum test	0.0045000000000000005	0.004	0.003	0.007744142682032249
Clostridium (OTU 51)	27.789774168252922	0.0010341373126457336	9	Kruskal-Wallis rank sum test	0.001	0	0.0025	0.008950636740485487
Lachnospiraceae (OTU 71)	27.691474197721913	0.001073893487490445	9	Kruskal-Wallis rank sum test	0	5e-4	0	0.009137195435935651
Firmicutes (OTU 96)	27.24747834018554	0.0012727929250025715	9	Kruskal-Wallis rank sum test	0	5e-4	0.0045000000000000005	0.010649034139188182
Porphyromonadaceae (OTU 318)	27.115629984051168	0.001338467588177818	9	Kruskal-Wallis rank sum test	0	5e-4	0	0.011014929987955158
Blautia (OTU 19)	26.560076258628932	0.0016532668473886068	9	Kruskal-Wallis rank sum test	0	0	0	0.013386128344985173
Bacteria (OTU 108)	26.333968268565677	0.0018010340014953362	9	Kruskal-Wallis rank sum test	0	0	0.001	0.014351096329375536
Anaeroplasma (OTU 89)	26.199270683453065	0.0018950742484466622	9	Kruskal-Wallis rank sum test	0	5e-4	0.002	0.014864488636253507
Porphyromonadaceae (OTU 122)	26.098680102490064	0.001968393023457258	9	Kruskal-Wallis rank sum test	0	0.001	0.0025	0.015202050735008361
Lachnospiraceae (OTU 63)	25.139073146486677	0.0028211294750330094	9	Kruskal-Wallis rank sum test	5e-4	0	0.002	0.021457681764645013
Lachnospiraceae (OTU 77)	24.786556870415396	0.0032165865999667165	9	Kruskal-Wallis rank sum test	0	0	0.001	0.02410039512213868
Lachnospiraceae (OTU 62)	24.37361911238048	0.0037481140833048425	9	Kruskal-Wallis rank sum test	5e-4	5e-4	0.0015	0.027669901026750456
Lachnospiraceae (OTU 32)	24.297136982759735	0.003855455341577234	9	Kruskal-Wallis rank sum test	0.002	0.0025	0.003	0.028049834514083646
Staphylococcus (OTU 156)	24.135487528344424	0.0040921696824658335	9	Kruskal-Wallis rank sum test	0	0	0	0.029346702579969266
Porphyromonadaceae (OTU 175)	24.03505435808848	0.0042462332827799916	9	Kruskal-Wallis rank sum test	0	0	0	0.030022663492331774
Lachnospiraceae (OTU 66)	23.866583302300135	0.004517298812924481	9	Kruskal-Wallis rank sum test	0.001	0.001	0.001	0.03149561116789013
Clostridiales (OTU 173)	23.65925654421706	0.004873803201646961	9	Kruskal-Wallis rank sum test	0	0	0.0025	0.03326537461876167
Porphyromonadaceae (OTU 190)	23.64256118753288	0.004903660800375226	9	Kruskal-Wallis rank sum test	0	0	0.001	0.03326537461876167
Clostridiales (OTU 130)	23.572753888496123	0.005030419972954873	9	Kruskal-Wallis rank sum test	0	0.0035	0.002	0.033670277685644616
Acetatifactor (OTU 138)	23.212917662229454	0.005735435320145628	9	Kruskal-Wallis rank sum test	0	0	5e-4	0.03788405961464612
Lachnospiraceae (OTU 148)	23.095016608120854	0.005986413684574843	9	Kruskal-Wallis rank sum test	0	0	0	0.03902830739813729
Ruminococcaceae (OTU 92)	22.42938090737047	0.0076133287711176644	9	Kruskal-Wallis rank sum test	0	0	0	0.048998603116680355
Lachnospiraceae (OTU 16)	21.932716967860692	0.009094679532272172	9	Kruskal-Wallis rank sum test	0	0.001	5e-4	0.05779150791393203
Porphyromonadaceae (OTU 445)	21.862078164599215	0.00932651943457131	9	Kruskal-Wallis rank sum test	0	0	0	0.058523909451934975
Lachnospiraceae (OTU 110)	21.74251612583664	0.009731833058213703	9	Kruskal-Wallis rank sum test	5e-4	0	5e-4	0.06031333574349727
Lachnospiraceae (OTU 33)	21.61158049401526	0.010194961161653133	9	Kruskal-Wallis rank sum test	0	0	5e-4	0.06241305491646186
Bacteria (OTU 291)	21.402803545660298	0.010977133841621927	9	Kruskal-Wallis rank sum test	0	0	0	0.06639182154812298
Lachnospiraceae (OTU 146)	20.978306564193247	0.012747092186794234	9	Kruskal-Wallis rank sum test	0	0	0.006	0.07617905092584173
Streptococcus (OTU 166)	20.919393296212267	0.013013174512398211	9	Kruskal-Wallis rank sum test	0	0	0	0.0768542777085165
Enterococcus (OTU 187)	20.83073061262267	0.013423578247909894	9	Kruskal-Wallis rank sum test	0	0	0	0.07835623581919496
Bacteria (OTU 168)	20.77721513900937	0.013677203265564682	9	Kruskal-Wallis rank sum test	0	0	0	0.07891903493463759
Lachnospiraceae (OTU 74)	20.627789081106137	0.014409651224943783	9	Kruskal-Wallis rank sum test	0	0.001	5e-4	0.0822005103968384
Lachnospiraceae (OTU 30)	20.49901675603134	0.015070526791839216	9	Kruskal-Wallis rank sum test	0.002	0.0015	0.0025	0.08500454437644142
Ruminococcaceae (OTU 101)	20.394534863645664	0.015627722126299964	9	Kruskal-Wallis rank sum test	0	0	0.001	0.08716796119336201
Firmicutes (OTU 188)	20.21057373998542	0.01665642765708451	9	Kruskal-Wallis rank sum test	0	0	5e-4	0.09188490861380685
Lachnospiraceae (OTU 84)	19.65604439193022	0.020157866262306253	9	Kruskal-Wallis rank sum test	0	0	0.001	0.10999183547475803
Clostridiales (OTU 141)	19.61465488745237	0.020445266523572477	9	Kruskal-Wallis rank sum test	0	5e-4	0	0.11036047091218691
Firmicutes (OTU 129)	19.527822681721126	0.0210607806536106	9	Kruskal-Wallis rank sum test	0	0	5e-4	0.11247353072460128
Bacteria (OTU 283)	19.4737981316929	0.021452481038734365	9	Kruskal-Wallis rank sum test	0	0	0	0.11335942612047002
Ruminococcaceae (OTU 52)	19.236270789547206	0.023257223851039028	9	Kruskal-Wallis rank sum test	0	0.001	0.0015	0.12161589972105825
Pseudoflavonifractor (OTU 69)	18.78829112269592	0.027054407992611346	9	Kruskal-Wallis rank sum test	0	0	0.0015	0.1385848246152132
Lachnospiraceae (OTU 125)	18.796706240330437	0.02697802658073987	9	Kruskal-Wallis rank sum test	0	0	0.001	0.1385848246152132
Enterorhabdus (OTU 109)	18.729596465800153	0.02759280332777175	9	Kruskal-Wallis rank sum test	0	5e-4	0	0.1399150229347618
Bacteroides (OTU 282)	18.560458805339188	0.029200709331488345	9	Kruskal-Wallis rank sum test	0	0	0	0.14658756084407149
Lachnospiraceae (OTU 133)	18.491973576307593	0.029876266089289668	9	Kruskal-Wallis rank sum test	0	0	0.001	0.148493916602212
Clostridiales (OTU 136)	18.10471103073941	0.03397795836394443	9	Kruskal-Wallis rank sum test	0	0	0	0.16722485390882458
Lachnospiraceae (OTU 128)	17.70941318126136	0.03869850853604815	9	Kruskal-Wallis rank sum test	0	0	5e-4	0.1886082649038463
Butyricicoccus (OTU 56)	17.66904674892789	0.03921321220281575	9	Kruskal-Wallis rank sum test	5e-4	0	5e-4	0.18927915890205294
Porphyromonadaceae (OTU 364)	17.277369281045804	0.044545482660479356	9	Kruskal-Wallis rank sum test	0	0	0	0.21296983138629177
Lachnospiraceae (OTU 49)	16.351691519591178	0.0598907864963195	9	Kruskal-Wallis rank sum test	5e-4	0	0.0015	0.22381783218711593
Lachnospiraceae (OTU 104)	16.91402619711438	0.050079462957050264	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Ruminococcaceae (OTU 143)	16.301607879148033	0.06084418087777616	9	Kruskal-Wallis rank sum test	0	0	5e-4	0.22381783218711593
Lachnospiraceae (OTU 149)	15.846258503401447	0.07016235510848547	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Lachnospiraceae (OTU 152)	16.025827326978174	0.06634420064010774	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Clostridiales (OTU 171)	16.506948061607112	0.05702074605719388	9	Kruskal-Wallis rank sum test	0	0	5e-4	0.22381783218711593
Clostridium (OTU 201)	16.40590256721261	0.058874096268718056	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Acetatifactor (OTU 206)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Firmicutes (OTU 210)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Porphyromonadaceae (OTU 212)	16.670446661163997	0.05413390956642843	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Firmicutes (OTU 235)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Oscillibacter (OTU 236)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Acetatifactor (OTU 247)	16.701811933770887	0.05359555452312875	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Akkermansia (OTU 264)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Clostridiales (OTU 269)	16.231583542507444	0.06220020611359431	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Bacteria (OTU 293)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Bacteroidetes (OTU 304)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Dialister (OTU 320)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Clostridiales (OTU 395)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Porphyromonadaceae (OTU 414)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Clostridium (OTU 424)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Bacteroidetes (OTU 442)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Coriobacteriaceae (OTU 464)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Porphyromonadaceae (OTU 466)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Porphyromonadaceae (OTU 501)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Porphyromonadaceae (OTU 514)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Ruminococcaceae (OTU 526)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Ruminococcaceae (OTU 532)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Lachnospiraceae (OTU 586)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Clostridiales (OTU 590)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Bacteria (OTU 669)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Porphyromonadaceae (OTU 696)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Porphyromonadaceae (OTU 743)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Lachnospiraceae (OTU 762)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Firmicutes (OTU 793)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Porphyromonadaceae (OTU 812)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Lachnospiraceae (OTU 830)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Firmicutes (OTU 865)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Lachnospiraceae (OTU 931)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Pseudoflavonifractor (OTU 955)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Porphyromonadaceae (OTU 1224)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Porphyromonadaceae (OTU 1285)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Porphyromonadaceae (OTU 1287)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Clostridiales (OTU 1428)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Porphyromonadaceae (OTU 1465)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Clostridiales (OTU 1493)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Bacteroidales (OTU 1950)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Porphyromonadaceae (OTU 2018)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Phocaeicola (OTU 2713)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Anaeroplasma (OTU 3173)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Lachnospiraceae (OTU 3546)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Porphyromonadaceae (OTU 4427)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Porphyromonadaceae (OTU 4562)	15.833333333332458	0.07044465634574565	9	Kruskal-Wallis rank sum test	0	0	0	0.22381783218711593
Lachnospiraceae (OTU 82)	15.74056179349028	0.07250100562315082	9	Kruskal-Wallis rank sum test	0	0	0.001	0.22890254605548246
Lachnospiraceae (OTU 116)	15.653378537808234	0.07448236887289125	9	Kruskal-Wallis rank sum test	0	0	5e-4	0.2322369513924932
Lactobacillus (OTU 294)	15.672957437821962	0.07403323646451458	9	Kruskal-Wallis rank sum test	0	0	0	0.2322369513924932
Lachnospiraceae (OTU 76)	15.524247194107769	0.07750614015939349	9	Kruskal-Wallis rank sum test	0	0	5e-4	0.23799023947409143
Bacteria (OTU 232)	15.514038647434536	0.07774979935010158	9	Kruskal-Wallis rank sum test	0	0	0	0.23799023947409143
Porphyromonadaceae (OTU 311)	15.552027629233738	0.07684652087171139	9	Kruskal-Wallis rank sum test	0	0	0	0.23799023947409143
Lachnospiraceae (OTU 140)	15.4694281995503	0.0788226083614786	9	Kruskal-Wallis rank sum test	0	5e-4	0.001	0.2398118145300743
Olsenella (OTU 114)	15.110287985760374	0.0879507620787763	9	Kruskal-Wallis rank sum test	0	0	0	0.26597158170810664
Porphyromonadaceae (OTU 258)	14.983164983165024	0.09139944484955438	9	Kruskal-Wallis rank sum test	0	0	0	0.2731102459195018
Porphyromonadaceae (OTU 353)	14.983164983165024	0.09139944484955438	9	Kruskal-Wallis rank sum test	0	0	0	0.2731102459195018
Lachnospiraceae (OTU 184)	14.875541741226215	0.09441185377812983	9	Kruskal-Wallis rank sum test	0	5e-4	0	0.2804423112226105
Parabacteroides (OTU 275)	14.76481065823253	0.09760213256062897	9	Kruskal-Wallis rank sum test	0	0	0	0.288213356149622
Lachnospiraceae (OTU 81)	14.722042284697288	0.09885945124430622	9	Kruskal-Wallis rank sum test	0	0	5e-4	0.29021897382831413
Ruminococcaceae (OTU 106)	14.636334750963751	0.10142192001984275	9	Kruskal-Wallis rank sum test	0	0	0	0.2960104874997736
Lachnospiraceae (OTU 183)	14.60337192294333	0.10242280917834369	9	Kruskal-Wallis rank sum test	0	0	0	0.29720375842502045
Lachnospiraceae (OTU 34)	14.567123139168928	0.10353343426029872	9	Kruskal-Wallis rank sum test	0	0	0.002	0.2986999080383331
Dorea (OTU 134)	14.152497733787206	0.11700305509678864	9	Kruskal-Wallis rank sum test	0	0	0	0.33563162090621657
Lachnospiraceae (OTU 94)	14.1043141679551	0.11866265479357536	9	Kruskal-Wallis rank sum test	0	0	0	0.33845825401349333
Lachnospiraceae (OTU 95)	14.05272003538239	0.12046219404919044	9	Kruskal-Wallis rank sum test	0	0	0	0.34164983848979436
Acetatifactor (OTU 78)	13.882787292472944	0.12655622676990244	9	Kruskal-Wallis rank sum test	0	0	0.001	0.35598901151670226
Erysipelotrichaceae (OTU 142)	13.87242268041249	0.12693632083962092	9	Kruskal-Wallis rank sum test	0	0	0	0.35598901151670226
Lachnospiraceae (OTU 222)	13.788191512649487	0.13006166193456348	9	Kruskal-Wallis rank sum test	0	0	0	0.362727523839727
Coriobacteriaceae (OTU 182)	13.582232893157032	0.13798132103679547	9	Kruskal-Wallis rank sum test	0	0	0	0.38268852574846035
Olsenella (OTU 274)	13.521672239407211	0.14038652206443392	9	Kruskal-Wallis rank sum test	0	0	0	0.3872199674524496
Ruminococcaceae (OTU 37)	13.484188872908424	0.141892901390473	9	Kruskal-Wallis rank sum test	0	0	5e-4	0.3892362650164888
Ruminococcaceae (OTU 118)	13.346857770592463	0.1475290876518738	9	Kruskal-Wallis rank sum test	0	0	0	0.4024978369632644
Clostridiales (OTU 170)	13.285540200134244	0.15010578426483326	9	Kruskal-Wallis rank sum test	0	0	0	0.4054341238432074
Enterobacteriaceae (OTU 176)	13.282828282828277	0.15022061162318043	9	Kruskal-Wallis rank sum test	0	0	0	0.4054341238432074
Lachnospiraceae (OTU 135)	12.967745738119168	0.1640711730669841	9	Kruskal-Wallis rank sum test	0	0	0	0.44044774801939046
Porphyromonadaceae (OTU 285)	12.90296582849776	0.16704633780606606	9	Kruskal-Wallis rank sum test	0	0	0	0.44604926371619763
Bacteroides (OTU 361)	12.857744107744129	0.16914954890942285	9	Kruskal-Wallis rank sum test	0	0	0	0.44927552144195915
Clostridium (OTU 186)	12.79561670944122	0.17207456155972206	9	Kruskal-Wallis rank sum test	0	0	0	0.45463910475252883
Lachnospiraceae (OTU 58)	12.363850491142404	0.19356554478633556	9	Kruskal-Wallis rank sum test	0	0	0	0.5060932473059399
Ruminococcaceae (OTU 60)	12.365043236836964	0.1935033184078242	9	Kruskal-Wallis rank sum test	0	0	0.001	0.5060932473059399
Lachnospiraceae (OTU 75)	11.55535336559369	0.2395521746329489	9	Kruskal-Wallis rank sum test	0	0	0	0.5491104642271248
Ruminococcaceae (OTU 153)	11.804212534734507	0.22457328252381534	9	Kruskal-Wallis rank sum test	0	0	0	0.5491104642271248
Lachnospiraceae (OTU 157)	11.924664602683405	0.21758975894546012	9	Kruskal-Wallis rank sum test	0	0	0	0.5491104642271248
Lachnospiraceae (OTU 174)	11.770058216710389	0.22658492940353203	9	Kruskal-Wallis rank sum test	0	0	0	0.5491104642271248
Clostridiales (OTU 179)	11.55632530524156	0.2394922166975835	9	Kruskal-Wallis rank sum test	0	0	0	0.5491104642271248
