otu	statistic	p.value	method	alternative	-5	1	p.value.adj
Lachnospiraceae (OTU 70)	21	0.0355223366234146	Wilcoxon signed rank test with continuity correction	two.sided	0.00125	0	0.6508698763595805
Acetatifactor (OTU 71)	21	0.031250000000000014	Wilcoxon signed rank test	two.sided	0.00775	0	0.6508698763595805
Ruminococcaceae (OTU 75)	19.5	0.07313979965890893	Wilcoxon signed rank test with continuity correction	two.sided	0.0015	0	0.6508698763595805
Lachnospiraceae (OTU 76)	15	0.05447403510619558	Wilcoxon signed rank test with continuity correction	two.sided	5e-4	0	0.6508698763595805
Lachnospiraceae (OTU 77)	15	0.05447403510619558	Wilcoxon signed rank test with continuity correction	two.sided	5e-4	0	0.6508698763595805
Lachnospiraceae (OTU 79)	19	0.09375000000000004	Wilcoxon signed rank test	two.sided	0.0045000000000000005	0	0.6508698763595805
Lachnospiraceae (OTU 80)	21	0.0355223366234146	Wilcoxon signed rank test with continuity correction	two.sided	0.0045	0	0.6508698763595805
Lachnospiraceae (OTU 83)	15	0.05675944638601353	Wilcoxon signed rank test with continuity correction	two.sided	7.5e-4	0	0.6508698763595805
Ruminococcaceae (OTU 85)	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0.0022500000000000003	0	0.6508698763595805
Lachnospiraceae (OTU 86)	21	0.0355223366234146	Wilcoxon signed rank test with continuity correction	two.sided	0.0022500000000000003	0	0.6508698763595805
Lachnospiraceae (OTU 87)	21	0.0355223366234146	Wilcoxon signed rank test with continuity correction	two.sided	0.002	0	0.6508698763595805
Lachnospiraceae (OTU 88)	10	0.09751253817810959	Wilcoxon signed rank test with continuity correction	two.sided	7.5e-4	0	0.6508698763595805
Clostridiales (OTU 89)	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0.0035	0	0.6508698763595805
Lachnospiraceae (OTU 91)	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0.001	0	0.6508698763595805
Porphyromonadaceae (OTU 92)	20	0.06250000000000003	Wilcoxon signed rank test	two.sided	0.01525	0	0.6508698763595805
Anaeroplasma (OTU 95)	15	0.05675944638601353	Wilcoxon signed rank test with continuity correction	two.sided	7.5e-4	0	0.6508698763595805
Bacteria (OTU 99)	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0.010249999999999999	0	0.6508698763595805
Lachnospiraceae (OTU 101)	15	0.0579072654172973	Wilcoxon signed rank test with continuity correction	two.sided	0.004	0	0.6508698763595805
Clostridiales (OTU 102)	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0.0055000000000000005	0	0.6508698763595805
Lachnospiraceae (OTU 104)	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0.0015	0	0.6508698763595805
Ruminococcaceae (OTU 108)	10	0.08897301170181335	Wilcoxon signed rank test with continuity correction	two.sided	5e-4	0	0.6508698763595805
Lachnospiraceae (OTU 109)	15	0.05675944638601353	Wilcoxon signed rank test with continuity correction	two.sided	0.00175	0	0.6508698763595805
Clostridiales (OTU 110)	15	0.0579072654172973	Wilcoxon signed rank test with continuity correction	two.sided	0.001	0	0.6508698763595805
Firmicutes (OTU 116)	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	7.5e-4	0	0.6508698763595805
unknown (OTU 120)	0	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0	0.002	0.6508698763595805
Lachnospiraceae (OTU 122)	19.5	0.07313979965890893	Wilcoxon signed rank test with continuity correction	two.sided	0.0022500000000000003	0	0.6508698763595805
Erysipelotrichaceae (OTU 123)	0	0.031250000000000014	Wilcoxon signed rank test	two.sided	0	0.0045	0.6508698763595805
Bacteria (OTU 124)	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0.002	0	0.6508698763595805
Lachnospiraceae (OTU 132)	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0.001	0	0.6508698763595805
Dorea (OTU 142)	10	0.09751253817810959	Wilcoxon signed rank test with continuity correction	two.sided	7.5e-4	0	0.6508698763595805
Blautia (OTU 147)	10	0.09751253817810959	Wilcoxon signed rank test with continuity correction	two.sided	5e-4	0	0.6508698763595805
Firmicutes (OTU 150)	10	0.09751253817810959	Wilcoxon signed rank test with continuity correction	two.sided	5e-4	0	0.6508698763595805
Lachnospiraceae (OTU 157)	20	0.05847526156565288	Wilcoxon signed rank test with continuity correction	two.sided	0.00175	0	0.6508698763595805
Porphyromonadaceae (OTU 188)	15	0.0579072654172973	Wilcoxon signed rank test with continuity correction	two.sided	7.5e-4	0	0.6508698763595805
Lachnospiraceae (OTU 197)	10	0.09467071984550877	Wilcoxon signed rank test with continuity correction	two.sided	5e-4	0	0.6508698763595805
Porphyromonadaceae (OTU 211)	10	0.09467071984550877	Wilcoxon signed rank test with continuity correction	two.sided	5e-4	0	0.6508698763595805
Dorea (OTU 218)	10	0.08897301170181335	Wilcoxon signed rank test with continuity correction	two.sided	5e-4	0	0.6508698763595805
Porphyromonadaceae (OTU 234)	10	0.08897301170181335	Wilcoxon signed rank test with continuity correction	two.sided	5e-4	0	0.6508698763595805
Lachnospiraceae (OTU 296)	10	0.08897301170181335	Wilcoxon signed rank test with continuity correction	two.sided	0.001	0	0.6508698763595805
Lactobacillales (OTU 319)	0	0.09751253817810959	Wilcoxon signed rank test with continuity correction	two.sided	0	5e-4	0.6508698763595805
Peptostreptococcaceae (OTU 369)	0	0.09467071984550877	Wilcoxon signed rank test with continuity correction	two.sided	0	5e-4	0.6508698763595805
Lachnospiraceae (OTU 137)	14	0.10405923452892797	Wilcoxon signed rank test with continuity correction	two.sided	0.0032500000000000003	0	0.6656940071919091
Alistipes (OTU 13)	14	0.10564542920187692	Wilcoxon signed rank test with continuity correction	two.sided	0.22525	0	0.6667083167199529
Lachnospiraceae (OTU 7)	18	0.15625000000000006	Wilcoxon signed rank test	two.sided	0.11174999999999999	0.001	0.749883008901799
Lachnospiraceae (OTU 26)	18	0.15625000000000006	Wilcoxon signed rank test	two.sided	0.00575	0	0.749883008901799
Lachnospiraceae (OTU 43)	18	0.15625000000000006	Wilcoxon signed rank test	two.sided	0.0062499999999999995	0	0.749883008901799
Porphyromonadaceae (OTU 49)	6	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	0.02975	0	0.749883008901799
Porphyromonadaceae (OTU 60)	6	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	0.03525	0	0.749883008901799
Clostridium (OTU 61)	13.5	0.1344165741703603	Wilcoxon signed rank test with continuity correction	two.sided	0.001	0	0.749883008901799
Lachnospiraceae (OTU 74)	6	0.17356816655592155	Wilcoxon signed rank test with continuity correction	two.sided	2.5e-4	0	0.749883008901799
Lachnospiraceae (OTU 96)	6	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	0.00125	0	0.749883008901799
Lachnospiraceae (OTU 103)	13.5	0.1344165741703603	Wilcoxon signed rank test with continuity correction	two.sided	0.0025	0	0.749883008901799
Porphyromonadaceae (OTU 114)	6	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	2.5e-4	0	0.749883008901799
Clostridiales (OTU 125)	6	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	5e-4	0	0.749883008901799
Lachnospiraceae (OTU 126)	6	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	2.5e-4	0	0.749883008901799
Lachnospiraceae (OTU 129)	6	0.14891467317876567	Wilcoxon signed rank test with continuity correction	two.sided	5e-4	0	0.749883008901799
Lachnospiraceae (OTU 131)	6	0.17356816655592155	Wilcoxon signed rank test with continuity correction	two.sided	2.5e-4	0	0.749883008901799
Lachnospiraceae (OTU 140)	6	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	2.5e-4	0	0.749883008901799
Lachnospiraceae (OTU 141)	6	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	2.5e-4	0	0.749883008901799
Lachnospiraceae (OTU 143)	6	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	2.5e-4	0	0.749883008901799
Acetatifactor (OTU 145)	6	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	2.5e-4	0	0.749883008901799
Ruminococcaceae (OTU 151)	6	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	5e-4	0	0.749883008901799
Lachnospiraceae (OTU 153)	6	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	7.5e-4	0	0.749883008901799
Clostridiales (OTU 158)	6	0.17356816655592155	Wilcoxon signed rank test with continuity correction	two.sided	0.00125	0	0.749883008901799
Lachnospiraceae (OTU 163)	6	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	2.5e-4	0	0.749883008901799
Lachnospiraceae (OTU 171)	6	0.17356816655592155	Wilcoxon signed rank test with continuity correction	two.sided	2.5e-4	0	0.749883008901799
Ruminococcaceae (OTU 172)	6	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	2.5e-4	0	0.749883008901799
Bacteria (OTU 175)	6	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	7.5e-4	0	0.749883008901799
Lachnospiraceae (OTU 183)	6	0.17356816655592155	Wilcoxon signed rank test with continuity correction	two.sided	2.5e-4	0	0.749883008901799
Lachnospiraceae (OTU 189)	13.5	0.1344165741703603	Wilcoxon signed rank test with continuity correction	two.sided	0.001	0	0.749883008901799
Lachnospiraceae (OTU 195)	6	0.17356816655592155	Wilcoxon signed rank test with continuity correction	two.sided	2.5e-4	0	0.749883008901799
Clostridiales (OTU 196)	6	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	2.5e-4	0	0.749883008901799
Porphyromonadaceae (OTU 201)	6	0.17356816655592155	Wilcoxon signed rank test with continuity correction	two.sided	5e-4	0	0.749883008901799
Clostridiales (OTU 210)	6	0.17356816655592155	Wilcoxon signed rank test with continuity correction	two.sided	5e-4	0	0.749883008901799
Porphyromonadaceae (OTU 215)	13.5	0.13621686984456766	Wilcoxon signed rank test with continuity correction	two.sided	0.001	0	0.749883008901799
Porphyromonadaceae (OTU 232)	6	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	2.5e-4	0	0.749883008901799
Bacteria (OTU 238)	6	0.17356816655592155	Wilcoxon signed rank test with continuity correction	two.sided	2.5e-4	0	0.749883008901799
Lachnospiraceae (OTU 256)	6	0.17356816655592155	Wilcoxon signed rank test with continuity correction	two.sided	2.5e-4	0	0.749883008901799
Ruminococcaceae (OTU 260)	6	0.17356816655592155	Wilcoxon signed rank test with continuity correction	two.sided	2.5e-4	0	0.749883008901799
Bacteria (OTU 262)	6	0.14891467317876567	Wilcoxon signed rank test with continuity correction	two.sided	2.5e-4	0	0.749883008901799
Lachnospiraceae (OTU 273)	6	0.17356816655592155	Wilcoxon signed rank test with continuity correction	two.sided	2.5e-4	0	0.749883008901799
Porphyromonadaceae (OTU 289)	6	0.14891467317876567	Wilcoxon signed rank test with continuity correction	two.sided	2.5e-4	0	0.749883008901799
Ruminococcaceae (OTU 72)	9	0.20124262095772402	Wilcoxon signed rank test with continuity correction	two.sided	0.00125	0	0.803250461429548
Acetatifactor (OTU 105)	9	0.20124262095772402	Wilcoxon signed rank test with continuity correction	two.sided	5e-4	0	0.803250461429548
Lachnospiraceae (OTU 135)	9	0.20124262095772402	Wilcoxon signed rank test with continuity correction	two.sided	7.5e-4	0	0.803250461429548
Clostridium (OTU 146)	1	0.20124262095772402	Wilcoxon signed rank test with continuity correction	two.sided	2.5e-4	0.00125	0.803250461429548
Porphyromonadaceae (OTU 280)	12.5	0.2030917875771679	Wilcoxon signed rank test with continuity correction	two.sided	5e-4	0	0.8037615660893
Lachnospiraceae (OTU 41)	17	0.2071604489114608	Wilcoxon signed rank test with continuity correction	two.sided	0.0015	0	0.8129741986693461
Lachnospiraceae (OTU 22)	17	0.21875000000000008	Wilcoxon signed rank test	two.sided	0.00975	0	0.8373463114754102
Ruminococcaceae (OTU 27)	4	0.21875000000000008	Wilcoxon signed rank test	two.sided	0	0.0025	0.8373463114754102
Enterorhabdus (OTU 93)	17	0.21875000000000008	Wilcoxon signed rank test	two.sided	0.0015	0	0.8373463114754102
Lachnospiraceae (OTU 82)	12.5	0.22280099118113444	Wilcoxon signed rank test with continuity correction	two.sided	0.00375	0	0.8459192104194292
Erysipelotrichaceae (OTU 20)	11.5	0.3430278273111819	Wilcoxon signed rank test with continuity correction	two.sided	0.002	0	0.8708573043572853
Lachnospiraceae (OTU 23)	12	0.2807126652684958	Wilcoxon signed rank test with continuity correction	two.sided	0.018	0.0035	0.8708573043572853
Lachnospiraceae (OTU 32)	12	0.2807126652684958	Wilcoxon signed rank test with continuity correction	two.sided	0.0015	2.5e-4	0.8708573043572853
Lachnospiraceae (OTU 34)	16	0.3125000000000001	Wilcoxon signed rank test	two.sided	0.00375	0	0.8708573043572853
Lachnospiraceae (OTU 37)	8.5	0.2692941367197367	Wilcoxon signed rank test with continuity correction	two.sided	5e-4	0	0.8708573043572853
Butyricicoccus (OTU 40)	16	0.2891455637972511	Wilcoxon signed rank test with continuity correction	two.sided	5e-4	0	0.8708573043572853
Lachnospiraceae (OTU 46)	16	0.3125000000000001	Wilcoxon signed rank test	two.sided	0.00175	0	0.8708573043572853
Ruminococcaceae (OTU 48)	16	0.2891455637972511	Wilcoxon signed rank test with continuity correction	two.sided	0.00125	5e-4	0.8708573043572853
Clostridiales (OTU 57)	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Lachnospiraceae (OTU 59)	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Pseudoflavonifractor (OTU 78)	16	0.29317745956451163	Wilcoxon signed rank test with continuity correction	two.sided	0.001	0	0.8708573043572853
Ruminococcaceae (OTU 81)	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Lachnospiraceae (OTU 100)	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Clostridiales (OTU 106)	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Lachnospiraceae (OTU 107)	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Acetatifactor (OTU 111)	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Lachnospiraceae (OTU 112)	11.5	0.3430278273111819	Wilcoxon signed rank test with continuity correction	two.sided	0.00125	0	0.8708573043572853
Lachnospiraceae (OTU 117)	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Clostridium (OTU 127)	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Lachnospiraceae (OTU 139)	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Coriobacteriaceae (OTU 149)	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Lachnospiraceae (OTU 154)	8.5	0.2692941367197367	Wilcoxon signed rank test with continuity correction	two.sided	2.5e-4	0	0.8708573043572853
Lachnospiraceae (OTU 155)	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Lachnospiraceae (OTU 161)	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Clostridiales (OTU 169)	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Bacteria (OTU 170)	8.5	0.2652053925915076	Wilcoxon signed rank test with continuity correction	two.sided	2.5e-4	0	0.8708573043572853
Clostridiales (OTU 174)	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Coriobacteriaceae (OTU 176)	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Lachnospiraceae (OTU 177)	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Lachnospiraceae (OTU 181)	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Clostridiales (OTU 190)	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Lachnospiraceae (OTU 193)	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Clostridiales (OTU 199)	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Clostridiales (OTU 202)	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Clostridium (OTU 204)	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Enterobacteriaceae (OTU 209)	2	0.3447042220069577	Wilcoxon signed rank test with continuity correction	two.sided	0	5e-4	0.8708573043572853
Porphyromonadaceae (OTU 219)	8	0.3447042220069577	Wilcoxon signed rank test with continuity correction	two.sided	2.5e-4	0	0.8708573043572853
Lachnospiraceae (OTU 220)	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Lachnospiraceae (OTU 221)	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Porphyromonadaceae (OTU 227)	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Clostridiales (OTU 229)	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Firmicutes (OTU 231)	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Lachnospiraceae (OTU 233)	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Firmicutes (OTU 237)	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Bacteria (OTU 239)	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Veillonella (OTU 243)	2	0.3447042220069577	Wilcoxon signed rank test with continuity correction	two.sided	0	2.5e-4	0.8708573043572853
Porphyromonadaceae (OTU 244)	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Porphyromonadaceae (OTU 246)	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Pseudoflavonifractor (OTU 254)	0	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Porphyromonadaceae (OTU 259)	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Acetatifactor (OTU 261)	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Porphyromonadaceae (OTU 265)	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Porphyromonadaceae (OTU 267)	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Lachnospiraceae (OTU 278)	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Lachnospiraceae (OTU 281)	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Clostridia (OTU 290)	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Porphyromonadaceae (OTU 292)	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Porphyromonadaceae (OTU 295)	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Porphyromonadaceae (OTU 308)	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Clostridiales (OTU 325)	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Alistipes (OTU 344)	0	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Porphyromonadaceae (OTU 347)	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Porphyromonadaceae (OTU 362)	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Clostridium (OTU 375)	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Porphyromonadaceae (OTU 377)	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Porphyromonadaceae (OTU 432)	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Bacteria (OTU 461)	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Bacteroides (OTU 536)	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Veillonellaceae (OTU 546)	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Bacteroidales (OTU 560)	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Lactobacillus (OTU 618)	0	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Porphyromonadaceae (OTU 624)	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Porphyromonadaceae (OTU 635)	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Ruminococcus (OTU 759)	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Escherichia/Shigella (OTU 864)	0	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Prevotella (OTU 918)	0	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.8708573043572853
Lachnospiraceae (OTU 14)	15	0.4003808031520797	Wilcoxon signed rank test with continuity correction	two.sided	0.004	2.5e-4	0.9302379854329413
Lachnospiraceae (OTU 118)	15	0.4003808031520797	Wilcoxon signed rank test with continuity correction	two.sided	0.001	0	0.9302379854329413
Prevotella (OTU 251)	1	0.41421617824252505	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.9576185902933623
Clostridiales (OTU 94)	11	0.4163656779081653	Wilcoxon signed rank test with continuity correction	two.sided	0.0025	0	0.9578461654340552
Lachnospiraceae (OTU 73)	11	0.41849223344681974	Wilcoxon signed rank test with continuity correction	two.sided	5e-4	0	0.9580189853905138
Clostridiales (OTU 84)	5	0.42267807417063546	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.9582070904742076
Lachnospiraceae (OTU 119)	5	0.42267807417063546	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.9582070904742076
Bacteroides (OTU 1)	15	0.43750000000000017	Wilcoxon signed rank test	two.sided	0.123	0.0052499999999999995	0.9822716346153849
Lachnospiraceae (OTU 15)	15	0.43750000000000017	Wilcoxon signed rank test	two.sided	0.0015	5e-4	0.9822716346153849
Akkermansia (OTU 2)	10	0.589638551626567	Wilcoxon signed rank test with continuity correction	two.sided	0.00975	0.0105	1
Turicibacter (OTU 5)	13	0.6875000000000002	Wilcoxon signed rank test	two.sided	0.0895	0.06075	1
Lactobacillus (OTU 12)	7	0.5625000000000002	Wilcoxon signed rank test	two.sided	0.02475	0.03175	1
