otu	statistic	p.value	parameter	method	WM	WMR	CWM	RM	FRM	M1	1RM1	p.value.adj
Lachnospiraceae (OTU 2002)	10.8000000000004	0.09475786817600061	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19747858241721136
Lactobacillales (OTU 3134)	10.8000000000004	0.09475786817600061	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19747858241721136
Enterobacteriaceae (OTU 3999)	10.8000000000004	0.09475786817600061	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19747858241721136
Ruminococcaceae (OTU 118)	10.764639696058774	0.0959286373276849	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19825251714388215
Lachnospiraceae (OTU 102)	10.739683028158108	0.09676281182087648	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19832377959981293
Lachnospiraceae (OTU 104)	10.410999999999959	0.1083771322215014	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.2203076130404291
Porphyromonadaceae (OTU 15)	8.90298304943223	0.17910820340562783	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3028419381714839
Bacteroidales (OTU 38)	9.27324716623068	0.15878395841106668	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3028419381714839
Porphyromonadaceae (OTU 40)	8.83333333333325	0.18317052711984913	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3028419381714839
Lachnospiraceae (OTU 63)	8.962441520467845	0.1757013778766266	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3028419381714839
Ruminococcaceae (OTU 101)	8.83333333333325	0.18317052711984913	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3028419381714839
Clostridiales (OTU 115)	8.83333333333325	0.18317052711984913	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3028419381714839
Porphyromonadaceae (OTU 122)	8.83333333333325	0.18317052711984913	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3028419381714839
Lachnospiraceae (OTU 128)	8.83333333333325	0.18317052711984913	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3028419381714839
Porphyromonadaceae (OTU 175)	8.83333333333325	0.18317052711984913	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3028419381714839
Bacteroides (OTU 178)	9.229761904761892	0.16106277885771259	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3028419381714839
Lachnospiraceae (OTU 244)	8.83333333333325	0.18317052711984913	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3028419381714839
Firmicutes (OTU 270)	8.83333333333325	0.18317052711984913	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3028419381714839
Porphyromonadaceae (OTU 312)	8.83333333333325	0.18317052711984913	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3028419381714839
Porphyromonadaceae (OTU 330)	8.83333333333325	0.18317052711984913	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3028419381714839
Porphyromonadaceae (OTU 338)	8.83333333333325	0.18317052711984913	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3028419381714839
Porphyromonadaceae (OTU 388)	8.83333333333325	0.18317052711984913	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3028419381714839
Lachnospiraceae (OTU 453)	8.83333333333325	0.18317052711984913	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3028419381714839
Porphyromonadaceae (OTU 497)	8.83333333333325	0.18317052711984913	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3028419381714839
Porphyromonadaceae (OTU 552)	8.83333333333325	0.18317052711984913	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3028419381714839
