otu	statistic	p.value	parameter	method	WM	C	WMR	WMC	p.value.adj
Lachnospiraceae (OTU 177)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Clostridiales (OTU 179)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Lachnospiraceae (OTU 183)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Lachnospiraceae (OTU 189)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Clostridium (OTU 201)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Firmicutes (OTU 210)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Ruminococcaceae (OTU 216)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Bacteria (OTU 223)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Pseudoflavonifractor (OTU 240)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Pseudomonas (OTU 298)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Clostridiales (OTU 377)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Bacteria (OTU 381)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Clostridiales (OTU 436)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Cloacibacillus (OTU 658)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Rothia (OTU 870)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Lachnospiraceae (OTU 1004)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Clostridiales (OTU 1645)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Ruminococcaceae (OTU 3602)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Lachnospiraceae (OTU 77)	4.727032019704414	0.19291170373087507	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3243153280113262
Lachnospiraceae (OTU 64)	4.564655172413815	0.2065951893696339	3	Kruskal-Wallis rank sum test	0	0	0	0	0.339929673289043
Lachnospiraceae (OTU 110)	4.564655172413815	0.2065951893696339	3	Kruskal-Wallis rank sum test	0	0	0	0	0.339929673289043
Ruminococcaceae (OTU 143)	4.564655172413815	0.2065951893696339	3	Kruskal-Wallis rank sum test	0	0	0	0	0.339929673289043
Lachnospiraceae (OTU 36)	4.468965517241366	0.21507525334933802	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3513905547679326
Veillonella (OTU 192)	4.344827586206943	0.22655599786285938	3	Kruskal-Wallis rank sum test	0	0	0	0	0.36755938114813547
Olsenella (OTU 114)	4.318112921561197	0.2290993834831763	3	Kruskal-Wallis rank sum test	0	0	0	0	0.36910456227845073
Enterococcus (OTU 187)	4.171894870707898	0.243490848189905	3	Kruskal-Wallis rank sum test	0	0	0	0	0.389585357103848
Enterorhabdus (OTU 109)	4.093750000000011	0.2515171514677564	3	Kruskal-Wallis rank sum test	0	0	0	0	0.39967109000355805
Lactobacillus (OTU 9)	3.891836215666319	0.27338322938229165	3	Kruskal-Wallis rank sum test	0.005	0.006	0.0045000000000000005	0.002	0.4314619674604875
Porphyromonadaceae (OTU 10)	3.742081447963773	0.2906952877002656	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4556845050436596
Clostridiales (OTU 91)	3.6634251968503753	0.30017671807642743	3	Kruskal-Wallis rank sum test	0	0	5e-4	0	0.4673892523069206
Porphyromonadaceae (OTU 6)	3.0355781865966063	0.3861721819708134	3	Kruskal-Wallis rank sum test	0	0	0	0.0015	0.4747365511797348
Porphyromonadaceae (OTU 15)	3.221666666666635	0.3586948294485077	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Porphyromonadaceae (OTU 25)	3.221666666666635	0.3586948294485077	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Porphyromonadaceae (OTU 48)	3.221666666666635	0.3586948294485077	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Lachnospiraceae (OTU 68)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Lachnospiraceae (OTU 72)	3.0067708333333156	0.3905824245560689	3	Kruskal-Wallis rank sum test	0	0	5e-4	0	0.4747365511797348
Acetatifactor (OTU 78)	3.1422413793104074	0.37021001803725034	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Porphyromonadaceae (OTU 99)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Clostridiales (OTU 107)	3.221666666666635	0.3586948294485077	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Lachnospiraceae (OTU 121)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Lachnospiraceae (OTU 123)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Lachnospiraceae (OTU 128)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Lachnospiraceae (OTU 133)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
