otu	method	WM	C	WMR	CWM	RM	FRM	WMC	M1	WMN	C-WM	WMR-WM	WMR-C	CWM-WM	CWM-C	CWM-WMR	RM-WM	RM-C	RM-WMR	RM-CWM	FRM-WM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM	WMC-WM	WMC-C	WMC-WMR	WMC-CWM	WMC-RM	WMC-FRM	M1-WM	M1-C	M1-WMR	M1-CWM	M1-RM	M1-FRM	M1-WMC	WMN-WM	WMN-C	WMN-WMR	WMN-CWM	WMN-RM	WMN-FRM	WMN-WMC	WMN-M1
Lachnospiraceae (OTU 11)	Kruskal-Wallis rank sum test	0	0	5e-4	0.003	0.002	0.008	0	0.001	0	0.22145010289663383	0.22145010289663383	1	0.011243487253186303	0.07315339199299516	0.06093015270628708	0.06093015270628708	0.32390335812227755	0.32390335812227755	0.6690557347699098	0.06093015270628708	0.07391421282359023	0.22145010289663383	0.42436341721319415	0.42436341721319415	1	0.5609617061430628	0.5827593185516005	0.32390335812227755	0.44697921839461263	0.42716988185361665	0.06093015270628708	0.42436341721319415	0.42436341721319415	0.42436341721319415	0.9132692748464055	0.4734454766507897	0.42436341721319415	1	0.22145010289663383	0.22145010289663383	0.011243487253186303	0.06093015270628708	0.06093015270628708	1	0.06093015270628708
Porphyromonadaceae (OTU 14)	Kruskal-Wallis rank sum test	0	0.0625	0	0.053	0.0535	0.059	0.001	0.047	0	3.482248940265073e-4	0.27466273606897273	2.413695318824413e-4	4.049518233032823e-4	0.3753476982882906	2.7667313900148183e-4	9.989829231493877e-4	0.32430724931316174	3.482248940265073e-4	0.9823250969161814	0.004600832282414156	0.6806106296816806	0.0013811151945440606	0.6806106296816806	0.4631622512525202	0.7092162609876176	0.23965182918739966	0.1335294872818198	0.24576908865216288	0.27466273606897273	0.3956043956043956	0.004600832282414156	0.27466273606897273	0.0013811151945440606	0.4631622512525202	0.49384749792649674	0.3753476982882906	0.32430724931316174	0.7214009631108043	3.482248940265073e-4	0.4935765501315108	4.049518233032823e-4	0.0011088637351922565	0.004403340114217586	0.4631622512525202	0.004403340114217586
Porphyromonadaceae (OTU 15)	Kruskal-Wallis rank sum test	0	0.035500000000000004	0	0.037	0.026000000000000002	0.0455	0.001	0.0375	0	0.01833100486883795	0.6579096843081029	0.006135725839230105	0.005885470077155182	0.6579096843081029	0.004761842045412718	0.015765296914441954	1	0.005885470077155182	0.6579096843081029	0.025820784307967828	0.6579096843081029	0.011113540024042518	0.9995763578577146	0.7664497786664991	0.6579096843081029	0.6579096843081029	0.2264928503964411	0.4934987536692304	0.6579096843081029	0.7346938775510204	0.007155427685603578	0.9499160128490666	0.005885470077155182	1	0.7521632295172315	0.6579096843081029	0.5413533834586466	0.8130520184693977	0.011759655149301556	0.9499160128490666	0.005885470077155182	0.011352269782728339	0.018274816031878357	0.39154785663303565	0.006152635281057245
Alistipes (OTU 18)	Kruskal-Wallis rank sum test	0	0.101	0	0.084	0.067	0.034	0	0.1225	0	0.005133987978169577	0.3049878771205415	0.002393031249636435	0.0048534086665511745	0.5303532557350112	0.002393031249636435	0.014172051128821703	0.4131859859651954	0.004153955454848084	0.8067274486668561	0.01723588100854017	0.35457302059801155	0.0037980667849961663	0.4131859859651954	0.704069157247464	0.7238574490090731	0.3049878771205415	1	0.3049878771205415	0.35457302059801155	0.41142857142857137	0.009460224818940283	0.6015066957399055	0.0037980667849961663	0.24372835094696504	0.2441296364206019	0.24372835094696504	0.41142857142857137	0.5235156671054584	0.004153955454848084	0.9219773065888001	0.0048534086665511745	0.009460224818940283	0.01723588100854017	1	0.006922459898928928
Blautia (OTU 19)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.011	0	0	0.22687276167236536	0.44981322525060274	0.05398292948241769	0.2782614319129099	NA	0.0804911969217704	0.35668941274629457	NA	0.13303995025002105	NA	0.5632418466227298	NA	0.2782614319129099	NA	NA	0.14638021220448755	2.2686919843514151e-4	0.44981322525060274	0.0015631791773713366	0.014961642897455506	0.12368050001149108	0.5873860778604402	0.05249428994702141	0.8959181879827467	0.0804911969217704	0.13143788149548544	0.2782614319129099	0.2782614319129099	0.5632418466227298	0.0804911969217704	0.8959181879827467	0.12368050001149108	0.18978750551865228	0.35668941274629457	0.35668941274629457	1
Lachnospiraceae (OTU 20)	Kruskal-Wallis rank sum test	0	0.0035	0.002	0.005	0.003	0.0045000000000000005	0	0.006500000000000001	0	0.01510853081562025	0.03228067398161927	0.9243116959826293	0.01510853081562025	0.5958400779926197	0.7029475794258243	0.03469192540645337	0.7587450979323788	0.9243116959826293	0.5111433139063889	0.01510853081562025	0.5958400779926197	0.6547535718205203	1	0.5279582858681106	1	0.47261523961025514	0.5111433139063889	0.49288608240940346	0.5111433139063889	0.49288608240940346	0.03469192540645337	0.5111433139063889	0.6547535718205203	0.7587450979323788	0.49288608240940346	0.8242058626395286	0.5279582858681106	1	0.03469192540645337	0.06952170389876049	0.05112715487454786	0.11719050401448264	0.06283573085342942	1	0.07254340955505911
Porphyromonadaceae (OTU 21)	Kruskal-Wallis rank sum test	0	0.066	0	0.068	0.0965	0.0655	0.001	0.037	0	3.482248940265073e-4	0.22127861108853128	2.4089027654540895e-4	4.0236910113957195e-4	0.8941685147605475	2.758145940666259e-4	8.830720984014504e-4	0.009295986278266838	3.482248940265073e-4	0.05706399149933758	0.004261501862779576	0.8941685147605475	0.0013811151945440606	1	0.25720919773112827	0.7517645345196555	0.17699438165052966	0.09711235438677804	0.1840366463907832	0.22127861108853128	0.25720919773112827	0.004261501862779576	0.02400808481125371	0.0013811151945440606	0.012568385305849495	0.002262443438914027	0.07705927320419896	0.3428571428571428	0.47285286061138176	3.482248940265073e-4	0.8956350978291199	4.0236910113957195e-4	8.137745915058074e-4	0.0030763176405286226	0.24653013195413356	0.0030763176405286226
Clostridium (OTU 22)	Kruskal-Wallis rank sum test	0	0.001	0	0.001	0	0.001	0	0.002	0	0.016588139711934402	0.35378039389833876	0.18776906298253887	0.07763021978471563	0.6410593057892056	0.35378039389833876	0.16703409747360798	0.35378039389833876	0.6410593057892056	0.6619584643614443	0.013208292417630012	0.8385389524271804	0.16436207055915675	0.6410593057892056	0.34568210510622244	NA	0.35961073372030716	0.8385389524271804	0.5020462261743519	0.6410593057892056	0.27764501541728837	0.013208292417630012	0.3167625845655522	0.16436207055915675	0.20554388695315312	0.18776906298253887	0.3167625845655522	0.35378039389833876	0.5136571807567594	0.10435539316520658	0.6914388979119694	0.21908735305969784	0.3984005814381081	0.07763021978471563	1	0.07763021978471563
Lactobacillus (OTU 23)	Kruskal-Wallis rank sum test	0.0075	0.006	0	0.008	0.009	0.006	0.003	0.0075	0.0075	1	0.010949997313450331	4.082799932055847e-4	1	0.8997141453831429	4.082799932055847e-4	1	1	0.006428910363370324	1	1	1	0.006428910363370324	1	1	0.9205406982879415	0.9352021701652583	0.4422895249352872	0.9205406982879415	1	0.9205406982879415	1	1	0.006428910363370324	1	1	1	0.828785192689191	1	1	0.010949997313450331	1	1	1	1	1
Lachnospiraceae (OTU 24)	Kruskal-Wallis rank sum test	0	0.003	5e-4	0.003	0.002	0.001	0	0.008	0	0.004790406718179354	0.08081224609859351	0.052699710620290344	0.01181084695946695	0.5944417610703341	0.14405606163753398	0.01181084695946695	0.3712601069564853	0.2086866152411828	0.5944417610703341	0.052699710620290344	0.2086866152411828	0.6664763676342026	0.4084722069561713	0.5195832483273991	NA	0.2470482270668306	0.5509977219000258	0.3268808891459775	0.3227703037708093	0.5195832483273991	0.01181084695946695	0.14405606163753398	0.019625018106377477	0.08112833399727287	0.08081224609859351	0.09878504796583516	0.3095385553825608	0.47696738213127654	0.03057891133266407	0.30955796286845155	0.07995498472038044	0.07254135881496149	0.2086866152411828	1	0.05957123646741346
Porphyromonadaceae (OTU 25)	Kruskal-Wallis rank sum test	0	0.036500000000000005	0	0.031	0.0405	0.0245	0.001	0.027	0	4.692163473476684e-4	0.30357460302360145	2.4281196292702843e-4	0.0010304823912789915	0.4962590303674968	2.7667313900148183e-4	0.004640801852512804	0.8433084885512427	0.00109788260666556	0.5276826453526197	0.010070122334062322	0.4678608538541864	0.0016880296822205183	0.816779452577582	0.4678608538541864	0.7778500926960967	0.18414322250639387	0.1335294872818198	0.24576908865216288	0.3905486843128763	0.4472049689440994	0.005751040353017696	0.47214191549793644	0.0016880296822205183	0.8538052138132212	0.6137047033585527	1	0.4472049689440994	0.524281835086189	9.785330137469046e-4	0.8956350978291199	0.0014998168085099896	0.004640801852512804	0.011306164106874416	0.33281567813808033	0.011306164106874416
Lachnospiraceae (OTU 26)	Kruskal-Wallis rank sum test	0	0.003	0	0.006	0.0015	0.003	0	0.0025	0	0.017582506627607422	0.8423408525053429	0.017582506627607422	0.017582506627607422	0.8736040170775886	0.017582506627607422	0.03775075565912695	0.4010223114115938	0.10701061257689852	0.4010223114115938	0.03775075565912695	0.8217531681773328	0.08621494519792713	0.4010223114115938	0.8323784713343538	1	0.3847266703694825	0.9419206243230088	0.4010223114115938	0.4677600780533016	0.4822311559240843	0.03775075565912695	0.9929068695344455	0.08621494519792713	0.9419206243230088	0.5105336135778024	0.9419206243230088	0.4828876925301754	1	0.03775075565912695	0.9419206243230088	0.06383761310720179	0.10701061257689852	0.10809753911181119	1	0.10809753911181119
Ruminococcaceae (OTU 27)	Kruskal-Wallis rank sum test	0	0.001	0	0.001	5e-4	0.002	0	0.003	0	0.06248313272947175	0.4528801418704011	0.021823816824917575	0.03743557527965122	0.8419895328896219	0.014393556298139851	0.1918673653855194	0.5280832597640961	0.05100993481792768	0.4528801418704011	0.015743633164001992	0.4842782949847803	0.008039101089737242	0.5280832597640961	0.23553374322646828	1	0.46090680537401474	NA	0.4528801418704011	0.543862124579215	0.3948002964347944	0.03743557527965122	0.3967931320981852	0.014393556298139851	0.4528801418704011	0.24019560816217272	0.773063686008778	0.4528801418704011	1	0.097152777121892	0.4528801418704011	0.05825844002447422	0.30236507436613985	0.03743557527965122	1	0.05277594360965581
Bifidobacterium (OTU 28)	Kruskal-Wallis rank sum test	0.0335	0.0015	0	0.008	0.0025	0	0.016	0	0.0635	0.00178279158542812	0.0010500848316914377	0.003965926956213838	0.08091528992969935	0.01991844681991149	0.0010500848316914377	0.00998483484989626	0.19621526116126803	0.00178279158542812	0.24494563907959613	0.01425631164534391	0.13446527277087153	0.27704227382305907	0.01397582667390157	0.06638128164538333	0.8458148386257579	0.19621526116126803	0.010623662059007603	0.27704227382305907	0.3014213643681637	0.17134663808609793	0.006396258492374948	0.08398834979219484	0.11363625305210719	0.010561646807635404	0.0165595737171948	0.7733104807328735	0.20981156755200428	0.24829127093278386	0.0010500848316914377	0.0010500848316914377	0.00178279158542812	0.0018960155343477187	0.006396258492374948	0.47058823529411764	0.006396258492374948
