otu	method	WM	C	WMR	CWM	RM	FRM	WMC	C-WM	WMR-WM	WMR-C	CWM-WM	CWM-C	CWM-WMR	RM-WM	RM-C	RM-WMR	RM-CWM	FRM-WM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM	WMC-WM	WMC-C	WMC-WMR	WMC-CWM	WMC-RM	WMC-FRM
Blautia (OTU 19)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.018	0.045221284199267735	0.3455506806237022	0.24671420012144318	0.05287376198609882	0.5379697359456592	0.23274085145387433	0.07059113959084848	0.5472717348185616	0.24671420012144318	NA	0.24671420012144318	0.7150006546880892	0.4505737437647321	NA	NA	0.34093726648390454	1.6930076980134872e-4	0.15658101839418054	9.2831801337088e-4	0.0018296030724112358	0.05287376198609882
Lachnospiraceae (OTU 20)	Kruskal-Wallis rank sum test	0	0	0.007	0	0	0.001	0	0.06422501786753887	0.0015022439154679652	0.007744793814344042	1	0.06306095146492646	0.0015022439154679652	0.6753364609870426	0.15476386577807041	0.004328616658406215	0.6753364609870426	0.06306095146492646	0.8139163828614236	0.0797949496336532	0.057021885009112934	0.10872084167813756	0.8139163828614236	0.293838781926083	0.0797949496336532	0.8139163828614236	0.6753364609870426	0.27761570156298354
Clostridium (OTU 22)	Kruskal-Wallis rank sum test	0	0.004	0	0	0.002	0.001	0	6.566750007403492e-5	0.061275905465604234	0.09292662738064957	0.09292662738064957	0.0030010043767269294	0.5650671685312115	0.0030010043767269294	0.07255818101201408	0.5301950511310185	0.1462142983973556	0.014048892647203874	0.37790516595138735	0.6041381242513444	0.30618010272119817	1	NA	0.061275905465604234	0.37790516595138735	0.43979117919341293	0.1462142983973556	0.2864288984379989
Lachnospiraceae (OTU 24)	Kruskal-Wallis rank sum test	0	0.004	0.002	0	0.003	0.016	0	7.771304566006695e-4	0.036786147352599635	0.17971698216787263	0.6697053320448176	7.771304566006695e-4	0.025570846118643516	7.771304566006695e-4	0.531893538141862	0.3698061320033836	7.771304566006695e-4	7.771304566006695e-4	0.05847082432370375	0.036786147352599635	7.771304566006695e-4	0.04690988526384453	0.6334682200560845	0.05847082432370375	0.1859416462578795	0.7576207236833965	0.05682831057062186	0.05682831057062186
Lachnospiraceae (OTU 26)	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	0.2460088627596773	0.3515563746125898	2.1957004536225414e-4	0.600107800684905	0.45156327476959474	0.03171112990118327	0.41680449627772503	1	0.00552616644405563	0.5412814513149699	0.45156327476959474	0.6926414125868069	0.043322630346646934	0.5412814513149699	0.712443078041584	0.5412814513149699	0.7454402655501041	0.14405002938633263	0.600107800684905	0.7777712424879235	NA
Bifidobacterium (OTU 28)	Kruskal-Wallis rank sum test	0	0.006	0	0.011	0.0055	0.017	0	2.2323584575422874e-4	0.4909910885899625	2.893251009566512e-4	2.893251009566512e-4	0.5888520703079052	3.4602816075819025e-4	2.893251009566512e-4	0.8132516780482317	3.2316424282502194e-4	0.4696007654102572	0.0023187847164117936	0.5819905912591086	0.0029494174709601712	0.5888520703079052	0.6177696561912169	1	0.03454593322978557	0.5819905912591086	0.043435251178873584	0.03454593322978557	0.06065707530313779
Lachnospiraceae (OTU 29)	Kruskal-Wallis rank sum test	0	0.0015	0	0	0	0	0	0.01163043267733443	NA	0.01925073841475272	0.29632494740421406	0.04873849981898896	0.36259506219327015	0.08736369315343341	0.1901833123467559	0.1160677900325835	0.38603378269524885	0.08491877058358095	0.38603378269524885	0.11464313909000642	0.44778699281347567	1	NA	0.1901833123467559	NA	0.606851908289022	0.38895190530914286	0.38895190530914286
Lachnospiraceae (OTU 30)	Kruskal-Wallis rank sum test	0	0	0.006	0	0	0.002	0	0.008498209610967124	3.0667217444149306e-4	0.005060704803297831	NA	0.008498209610967124	3.0667217444149306e-4	0.015362479780889001	0.4438224659408388	0.008498209610967124	0.015362479780889001	3.0667217444149306e-4	0.05211117637431541	0.26979223228365845	3.0667217444149306e-4	0.010793257507361383	NA	0.19628475294914163	0.05211117637431541	NA	0.24406667246965943	0.045492128445132986
Lachnospiraceae (OTU 31)	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0.002	0	0.001161781961715414	0.4818926600991271	0.01715962762485482	0.44138904313250693	8.047651797512777e-4	0.17903142419528795	0.07651299492203137	0.06846359579881783	0.3822974618372633	0.02757163835270154	0.0010931019351942957	0.5651633329775192	0.01582779321124617	7.461914727099217e-4	0.040505837238908875	0.7576207236833965	0.07726155291788864	0.5651633329775192	NA	0.31859638563802134	0.06846359579881783
Lachnospiraceae (OTU 32)	Kruskal-Wallis rank sum test	0	0	0.002	0	0	0	0	0.7172929812608789	0.001212618777818343	3.45664487213841e-4	NA	0.7172929812608789	0.001212618777818343	0.5922646496821679	0.7916600146752079	0.008764358425905134	0.5922646496821679	NA	0.7916600146752079	0.05428969624107334	NA	0.7916600146752079	NA	0.8136637157667919	0.1543653870924035	NA	0.7916600146752079	NA
Lachnospiraceae (OTU 33)	Kruskal-Wallis rank sum test	0	0.006500000000000001	0	0	0.007	0.004	0	6.007153476478117e-5	NA	1.421485558174034e-4	0.2283436004584172	7.047390297474793e-5	0.2854123637752272	1.6127707273203815e-4	0.6269049726119454	4.935214760203729e-4	4.935214760203729e-4	1.6127707273203815e-4	0.703176285956075	4.935214760203729e-4	8.249155312248228e-4	0.9157936477441648	NA	0.028789758088480902	NA	0.645624052860656	0.049353157633383354	0.049353157633383354
Lachnospiraceae (OTU 34)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.07975245579814078	NA	0.07975245579814078	NA	0.07975245579814078	NA	NA	0.07975245579814078	NA	NA	NA	0.2289248272865023	NA	NA	NA	NA	0.31631576696191305	NA	NA	NA	NA
Ruminococcaceae (OTU 37)	Kruskal-Wallis rank sum test	0	0.006500000000000001	0	0	0.002	0.006	0	6.674614973864575e-5	0.368546041274893	5.856336636576245e-4	0.2198864300710684	5.856336636576245e-4	0.7730124847200815	5.856336636576245e-4	0.037914546528198874	0.01698982730774863	0.010170684164017948	3.7309573635496083e-4	0.9768789831696006	0.00542398921487692	0.00542398921487692	0.06431383582810428	NA	0.03198862009831211	0.7730124847200815	0.6751624082202939	0.0688042314359654	0.05232527552198426
Erysipelotrichaceae (OTU 39)	Kruskal-Wallis rank sum test	0	0	0.004	0	0	0	0	0.1752266648202906	0.18924268807561426	0.001258993331848842	0.0821139783053728	0.3802439644200162	0.001258993331848842	0.07025528607831964	0.18924268807561426	0.001258993331848842	0.519836389680481	0.3802439644200162	0.9673227327617676	0.08077727135382544	0.6010952466886695	0.2722656086363463	0.6128252240970472	0.7837123578620593	0.1879051266069859	0.3802439644200162	0.1752266648202906	0.8858523970295646
Porphyromonadaceae (OTU 44)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03811070608578763	0.012109344357650815	0.046375131650890834	0.03811070608578763	0.04567104518993364	NA	NA	NA	NA	NA	0.3291139859786081
Oscillibacter (OTU 45)	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	0	0.019294682199976786	0.3073378017981351	0.32682110443270124	NA	0.019294682199976786	0.3073378017981351	0.4738117197457342	0.08193533956075992	0.6395424933577271	0.4738117197457342	0.3073378017981351	0.32682110443270124	1	0.3073378017981351	0.6812736933772647	NA	0.3073378017981351	0.6724599028276206	NA	0.7823463674437349	0.6812736933772647
Lachnospiraceae (OTU 46)	Kruskal-Wallis rank sum test	0	0	0.004	0	0	0	0	0.2770442202670046	0.0012175109323117523	0.0012175109323117523	NA	0.2770442202670046	0.0012175109323117523	0.2489066889457178	0.8450432969776179	0.011510496361828685	0.2489066889457178	NA	0.5558099640147587	0.05458153597907127	NA	0.5401962397528282	NA	0.6126479450980451	0.1551441265711113	NA	0.6126479450980451	NA
Lachnospiraceae (OTU 49)	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	0.4030198644020985	0.011567537333564627	0.011567537333564627	0.5778183837371	0.6850472556232564	0.01167341435011188	NA	0.4030198644020985	0.011567537333564627	0.5940987310634068	0.36069840161043665	0.7038268902645392	0.4030198644020985	0.6016416862890518	0.40006375146565176	NA	0.6850472556232564	0.3424505556610133	0.7576207236833965	NA	0.6850472556232564
Ruminococcaceae (OTU 50)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.028394577134383685	NA	0.04727742248181818	NA	0.028394577134383685	NA	0.1707173106200846	0.23105785152687655	0.2254365010065229	0.1707173106200846	0.2254365010065229	0.30294597302406084	0.2420861623802093	0.2254365010065229	0.8861140855995522	NA	0.2420861623802093	NA	NA	0.46811867302991655	0.6488320889307283
Clostridium (OTU 51)	Kruskal-Wallis rank sum test	0	0.0055	0	0	0	0.003	0	0.0016999490644306677	0.09346897412550126	0.023228804483526894	0.25371511162046356	0.015419318898882383	0.6783442170347584	0.1002589706202786	0.02065860962893724	0.9681737918720499	0.6783442170347584	7.560111618802801e-4	0.8106481417607357	0.015419318898882383	0.015419318898882383	0.02065860962893724	NA	0.1002589706202786	0.5455351932303067	0.6783442170347584	0.5455351932303067	0.07216293405793253
Ruminococcaceae (OTU 52)	Kruskal-Wallis rank sum test	0	5e-4	0.001	0	0	0.001	0	0.012112860359288678	0.012112860359288678	0.716376119718299	0.44138904313250693	0.02583496425677542	0.02583496425677542	0.06880882529330204	0.2956373408079534	0.21878332066516315	0.21878332066516315	0.006824882801525337	0.742320534524683	0.9063808987739957	0.012112860359288678	0.21878332066516315	NA	0.21878332066516315	0.21878332066516315	0.7974954986141015	0.4072361760357322	0.18112003382446787
Ruminococcaceae (OTU 54)	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	0	0.016092245427330416	NA	0.029350903076182273	NA	0.016092245427330416	NA	0.07224926655796714	0.27676908597818006	0.11193193300398592	0.07224926655796714	0.2254365010065229	0.2420861623802093	0.2420861623802093	0.2254365010065229	0.6055766163353464	NA	0.22777890445128005	NA	NA	0.3524159215693836	0.6055766163353464
Butyricicoccus (OTU 56)	Kruskal-Wallis rank sum test	0	0.0015	0.002	0	0.001	0	0	7.275712666910059e-4	7.275712666910059e-4	0.6797695214007102	NA	7.275712666910059e-4	7.275712666910059e-4	7.275712666910059e-4	0.6797695214007102	0.548505902507328	7.275712666910059e-4	0.042874544346511084	0.42314655340106755	0.42314655340106755	0.042874544346511084	0.548505902507328	NA	0.10103916246048229	0.10103916246048229	NA	0.09588290867704284	0.42314655340106755
Ruminococcaceae (OTU 60)	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	0	0.019055492968979296	0.08247479982714687	0.936490249583841	NA	0.019055492968979296	0.08247479982714687	0.2439033300992564	0.14257070123596785	0.2861822766495561	0.2439033300992564	0.2439033300992564	0.2861822766495561	0.5246282644548685	0.2439033300992564	0.936490249583841	NA	0.2439033300992564	0.3912887889802099	NA	0.6490427485758495	0.6812736933772647
Lachnospiraceae (OTU 62)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.07996258773393423	0.0617611573954684	0.2792189641382092	NA	0.07996258773393423	0.0617611573954684	0.26550046820876566	0.3750943314676545	0.26550046820876566	0.26550046820876566	0.26550046820876566	0.6381353980123469	0.36135258911630813	0.26550046820876566	0.936490249583841	NA	0.36761700341370995	0.3327388787536269	NA	0.6381353980123469	0.6411987702374257
Ruminococcaceae (OTU 65)	Kruskal-Wallis rank sum test	0	0.002	0	0	5e-4	0	0	1.530652492879019e-4	0.4211954757427348	0.0023495792779409954	0.44138904313250693	3.0888713493855104e-4	0.8614994144784642	0.019115992575249575	0.09306679852232058	0.13048646657965748	0.05989879204968013	0.05989879204968013	0.2613275269305308	0.2825934034422337	0.21777270722873482	0.8153643346617008	NA	0.05989879204968013	0.8153643346617008	0.8153643346617008	0.2756083766113642	0.4388186479714774
Lachnospiraceae (OTU 66)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.43677535668996337	0.04046140644434734	0.04046140644434734	NA	0.43677535668996337	0.04046140644434734	0.28512988570281905	0.5939635192372855	0.28512988570281905	0.28512988570281905	NA	0.5939635192372855	0.28512988570281905	NA	0.5414563807648026	NA	0.6711254583898127	0.3774459609904101	NA	0.5939635192372855	NA
Pseudoflavonifractor (OTU 69)	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0.005662277977365579	0.18034920080521832	0.16001057564964444	NA	0.005662277977365579	0.18034920080521832	0.1707173106200846	0.15358768283985175	0.9342480885189418	0.1707173106200846	0.18034920080521832	0.18034920080521832	1	0.18034920080521832	0.9382384435759964	NA	0.18034920080521832	0.6724599028276206	NA	0.5617424076358999	0.7266919396024157
Lachnospiraceae (OTU 70)	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	0.005947995043397315	0.26816875330302314	2.3201606969497232e-4	0.03839267519599303	NA	0.004230107759193277	0.04981771537712142	NA	0.005947995043397315	NA	0.18369515622485177	NA	0.05041373787064167	NA	NA	0.2715522862929918	NA	0.1261983651998736	NA	NA	NA
Lachnospiraceae (OTU 73)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	0.043425330405504926	NA	0.047914017481128945	0.48892324777754614	0.05161107236980665	0.5404434879007656	0.043425330405504926	0.8021866486059492	0.05161107236980665	0.06605237406709755	0.043425330405504926	0.7048114435718281	0.043425330405504926	0.047914017481128945	1	NA	0.31830801608807574	NA	0.8021866486059492	0.33452620491992235	0.3032882421163387
Lachnospiraceae (OTU 75)	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	0.05945246286249975	0.13372229380612147	0.0012025929980132453	0.13372229380612147	NA	0.013324146395217545	0.14416856277479587	NA	0.017105325708710203	NA	0.33838125229459143	NA	0.12944183802030731	NA	NA	0.4486474102430019	NA	0.17381119363954628	NA	NA	NA
Lachnospiraceae (OTU 76)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19425109714434388	0.0617611573954684	0.2632959956764372	NA	0.19425109714434388	0.0617611573954684	0.42314655340106755	0.42314655340106755	0.15072117482974143	0.42314655340106755	0.08574908869302217	0.5226908149709466	0.7388826803635273	0.08574908869302217	0.2632959956764372	NA	0.510498895090222	0.36601276662898957	NA	0.7388826803635273	0.42314655340106755
Lachnospiraceae (OTU 77)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	0.12277813716495885	0.08173358256544393	0.6597014870653855	NA	0.12277813716495885	0.08173358256544393	0.4061243312106294	0.3871376107862515	0.25438398568381365	0.4061243312106294	0.024227044318252858	0.4061243312106294	0.6320078862460097	0.024227044318252858	0.11407099874325742	NA	0.44036078771952863	0.4061243312106294	NA	0.7388826803635273	0.3164495027998702
Acetatifactor (OTU 78)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.40013503054530886	0.10050018853723544	0.1015303734373175	NA	0.40013503054530886	0.10050018853723544	NA	0.4044201555021707	0.1015303734373175	NA	NA	0.6095244430763901	0.3439477067378733	NA	NA	NA	0.6708962389950937	0.40013503054530886	NA	NA	NA
Lachnospiraceae (OTU 81)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.38420889254503565	0.18026540941956273	0.02479113125048222	0.48408044753314633	NA	0.10110524401824698	0.48408044753314633	NA	0.10499046235172295	NA	0.6958436338656456	NA	0.34626904292529814	NA	NA	0.7576207236833965	NA	0.4453882312998494	NA	NA	NA
Lachnospiraceae (OTU 83)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	NA	0.09267387436383409	0.05584952746452424	NA	NA	0.09267387436383409	NA	NA	0.09763008973915017	NA	NA	NA	0.29004453427961163	NA	NA	NA	NA	0.38207848035359027	NA	NA	NA
Lachnospiraceae (OTU 84)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	NA	0.09373431445682516	0.05635458444711007	NA	NA	0.09373431445682516	NA	NA	0.09879817393182785	NA	NA	NA	0.2936467013890848	NA	NA	NA	NA	0.3861600133319461	NA	NA	NA
Lachnospiraceae (OTU 86)	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0.001	0	0.00929135173624861	0.37907592816846136	0.11289065757975926	NA	0.00929135173624861	0.37907592816846136	0.02934705111590476	0.7824300448255561	0.22861725662667862	0.02934705111590476	0.0030711972606864016	0.47205639228608237	0.04803776213389793	0.0030711972606864016	0.47205639228608237	NA	0.22861725662667862	0.7705308141207002	NA	0.3390114530718685	0.1448960270595743
Lachnospiraceae (OTU 88)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	0.02971035130058364	0.12803798296506347	0.6842270366375091	NA	0.02971035130058364	0.12803798296506347	0.12803798296506347	0.2942490678386008	0.699610661424257	0.12803798296506347	0.02502017396552259	0.7509620252688263	0.6161752053242494	0.02502017396552259	0.21114742804488681	NA	0.2942490678386008	0.5216179499476213	NA	0.5216179499476213	0.2942490678386008
Lachnospiraceae (OTU 90)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.002	0	0.028522024422788828	0.23210669899153785	0.23306879613682513	NA	0.028522024422788828	0.23210669899153785	0.14739591531364998	0.45933158969869836	0.6684563551339961	0.14739591531364998	0.02502017396552259	0.23306879613682513	0.14739591531364998	0.02502017396552259	0.23306879613682513	NA	0.24583952758478322	0.5524836557442113	NA	0.45933158969869836	0.233298647781799
Clostridiales (OTU 91)	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	0.32932190789574484	0.04654778044832698	0.0011933249449301566	0.48408044753314633	NA	0.013186917091698891	0.48408044753314633	NA	0.01691796510267144	NA	0.6958436338656456	NA	0.12781903911708783	NA	NA	0.7576207236833965	NA	0.2577470847846627	NA	NA	NA
Ruminococcaceae (OTU 92)	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	0	0.016065565156118226	NA	0.029302428989641697	NA	0.016065565156118226	NA	0.1707173106200846	0.19647917474877674	0.19647917474877674	0.1707173106200846	0.20038800089468703	0.22687747429631455	0.22687747429631455	0.20038800089468703	0.8861140855995522	NA	0.20478270584589842	NA	NA	0.46811867302991655	0.6488320889307283
Lachnospiraceae (OTU 95)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.06627893545392594	NA	0.08278176016131375	0.3298296451066026	0.3298296451066026	0.3632520993502892	0.3298296451066026	0.3298296451066026	0.3353974612786499	1	0.1132250274447746	0.6903299186736171	0.17196470863500962	0.5516870137571385	0.5579482858027135	NA	0.3298296451066026	NA	0.645624052860656	0.645624052860656	0.48618988163642857
Ruminococcaceae (OTU 98)	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	0	0.011548209033527776	NA	0.021064375961820623	NA	0.011548209033527776	NA	0.021230161531580187	0.47241427517853635	0.03802733648633061	0.021230161531580187	NA	0.0863949893297305	NA	NA	0.15547225007145768	NA	0.1647213953503429	NA	NA	0.24531921694127642	NA
Lachnospiraceae (OTU 111)	Kruskal-Wallis rank sum test	0	0.001	0	0	5e-4	0.002	0	0.0031822848140291068	NA	0.006100688380144596	0.2283436004584172	0.017569852962985015	0.2854123637752272	0.013644489952205083	0.556029641937935	0.02195727569511866	0.11652678944129863	0.0031822848140291068	0.47293394904096675	0.006100688380144596	0.02195727569511866	0.325094913363361	NA	0.12858272650840527	NA	0.5738880469872498	0.2283436004584172	0.12858272650840527
Lachnospiraceae (OTU 113)	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	0.46670849257355906	0.11690843663759817	0.010565615771648067	0.37040618425526756	0.6621165980869652	0.021578591604598185	0.38155479558398364	0.6645442494225392	0.02768394289528054	NA	0.7573628372499831	0.38155479558398364	0.5707294227356964	0.37040618425526756	0.37040618425526756	0.6812736933772647	0.8136637157667919	0.37040618425526756	NA	NA	0.6812736933772647
Ruminococcaceae (OTU 118)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.048852260737919144	NA	0.07445077432803819	NA	0.048852260737919144	NA	0.26525668007339637	0.26525668007339637	0.26525668007339637	0.26525668007339637	0.26525668007339637	0.39733265470401624	0.26525668007339637	0.26525668007339637	1	NA	0.26525668007339637	NA	NA	0.6252728999850673	0.6488320889307283
Lachnospiraceae (OTU 125)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	0.1426966363447857	NA	0.16644416210559015	NA	0.1426966363447857	NA	0.19959091999197331	0.66056179591008235	0.2329149036657291	0.19959091999197331	0.02107333897080581	0.16644416210559015	0.03918834873854618	0.02107333897080581	0.16644416210559015	NA	0.42246380278184725	NA	NA	0.5806105499861339	0.2329149036657291
Dorea (OTU 134)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.04178544213484611	0.09771919011196119	NA	0.09771919011196119	NA	NA	0.09771919011196119	NA	NA	NA	0.2605822535069094	NA	NA	NA	NA	0.35129958174121934	NA	NA	NA	NA	NA
Clostridiales (OTU 226)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	NA	0.09267387436383409	0.05584952746452424	NA	NA	0.09267387436383409	NA	NA	0.09763008973915017	NA	NA	NA	0.29004453427961163	NA	NA	NA	NA	0.38207848035359027	NA	NA	NA
Lachnospiraceae (OTU 239)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	NA	0.09267387436383409	0.05584952746452424	NA	NA	0.09267387436383409	NA	NA	0.09763008973915017	NA	NA	NA	0.29004453427961163	NA	NA	NA	NA	0.38207848035359027	NA	NA	NA
Clostridiales (OTU 5477)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.08972454230582964	0.040299873015725574	0.0980673027583912	0.08972454230582964	0.0980673027583912	0.30169958247834794
