otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	WMN	p.value.adj
Lachnospiraceae (OTU 140)	16.5535532212523	0.0023596016367964613	4	Kruskal-Wallis rank sum test	0	0	0	0	0.0015	0.014157609820778768
Porphyromonadaceae (OTU 14)	16.04327161000233	0.0029616458514915263	4	Kruskal-Wallis rank sum test	0.115	0	0	0	0.002	0.017516019750249884
Lachnospiraceae (OTU 95)	16.001905786787756	0.003016607435963308	4	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0.017589795471673376
Clostridium (OTU 201)	15.943663935332976	0.003095697360807861	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0178002598246452
Oscillibacter (OTU 45)	15.877670099573411	0.0031877823987930447	4	Kruskal-Wallis rank sum test	0	0.004	0.012	0.001	0	0.018078656343840007
Ruminococcaceae (OTU 52)	15.741011114982216	0.003387125113645705	4	Kruskal-Wallis rank sum test	0.001	0.005	0	5e-4	0.009000000000000001	0.018949591852017864
Lachnospiraceae (OTU 121)	15.147291511541217	0.004405274506335054	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.02386057292641035
Clostridium (OTU 126)	15.130617118599718	0.004437836027375838	4	Kruskal-Wallis rank sum test	0	0.001	0.001	5e-4	0	0.02386057292641035
Acetatifactor (OTU 206)	15.147291511541217	0.004405274506335054	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.02386057292641035
Lachnospiraceae (OTU 167)	14.163629139285021	0.006790721072048315	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0360430579977949
Lachnospiraceae (OTU 316)	13.97745571658585	0.007367356448807322	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.03860867809881306
Lachnospiraceae (OTU 185)	13.751221725131249	0.00813288051722437	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.04208765667663611
Porphyromonadaceae (OTU 7)	13.580134711998543	0.008762992264238798	4	Kruskal-Wallis rank sum test	0.001	0.014	0	0	0	0.044788627128331635
Akkermansia (OTU 3)	13.335839212555076	0.009746234580246014	4	Kruskal-Wallis rank sum test	0.031	0.012	0.116	0.062	0.005	0.04920659897831524
Lachnospiraceae (OTU 128)	13.274802458296973	0.010008266904202954	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.04992075299204847
Lachnospiraceae (OTU 30)	13.066274679428622	0.010956463320264412	4	Kruskal-Wallis rank sum test	0.019	0.004	0.017	0.0155	0.0055	0.05399971207844603
Porphyromonadaceae (OTU 194)	13.028657616892819	0.01113661330513799	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.054241857745025025
Lachnospiraceae (OTU 46)	12.998598459150623	0.011282644155257473	4	Kruskal-Wallis rank sum test	0.002	0.005	0.008	0	0	0.054314124189262715
Lachnospiraceae (OTU 76)	12.454165378339741	0.014274975564163414	4	Kruskal-Wallis rank sum test	0	0.003	0	5e-4	0.0045000000000000005	0.06792919406395004
Lachnospiraceae (OTU 157)	12.303486572107383	0.01523153783916463	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.07165746210697904
Lachnospiraceae (OTU 31)	12.186043316887154	0.01602011397644378	4	Kruskal-Wallis rank sum test	0.001	0.006	0.002	0.005	0.001	0.0745205301825587
Lachnospiraceae (OTU 163)	11.68325410972461	0.019868862364214104	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.09139676687538487
Ruminococcaceae (OTU 100)	11.655067935425706	0.020109349592183683	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.09148649155125324
Clostridiales (OTU 91)	11.352936036105575	0.02287115178046536	4	Kruskal-Wallis rank sum test	0.002	0	0.001	0.001	0.001	0.10292018301209412
Lachnospiraceae (OTU 26)	11.236712110660429	0.024028634726345862	4	Kruskal-Wallis rank sum test	0.015	0.018	0.02	0	0.009	0.10696618039470092
Ruminococcaceae (OTU 147)	11.195280649946858	0.02445481215215164	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.1077052364999019
Enterobacteriaceae (OTU 2)	10.989447111463583	0.026682870623385133	4	Kruskal-Wallis rank sum test	0.003	0.002	0.003	0.0325	0.004	0.1162811414534889
