otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	WMN	p.value.adj
Porphyromonadaceae (OTU 190)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Veillonella (OTU 192)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 196)	3.4374999999997757	0.48744501524566963	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridiales (OTU 197)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Firmicutes (OTU 198)	4.077277970011102	0.3956484272113336	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridiales (OTU 199)	3.4899424790493114	0.47940925968091613	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Actinobacillus (OTU 202)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Coriobacteriaceae (OTU 204)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridiales (OTU 208)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Bacteria (OTU 209)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Firmicutes (OTU 210)	4.091805200341103	0.39372392135491185	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 212)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Corynebacterium (OTU 213)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Ruminococcaceae (OTU 216)	4.916666666666747	0.29595538691929335	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 220)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Listeria (OTU 228)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Dorea (OTU 229)	4.0911243724544555	0.39381395521548956	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Streptococcus (OTU 230)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Bacteria (OTU 232)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Pasteurellaceae (OTU 233)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Anaerotruncus (OTU 234)	4.916666666666747	0.29595538691929335	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Firmicutes (OTU 235)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Bacteroides (OTU 237)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 238)	3.4374999999997757	0.48744501524566963	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 239)	4.916666666666747	0.29595538691929335	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Parabacteroides (OTU 245)	4.038468720821607	0.4008247080784697	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Bacteria (OTU 248)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 249)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridiales (OTU 251)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Coriobacteriaceae (OTU 252)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 258)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Bacteroides (OTU 261)	4.203537936914112	0.37916023305730806	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Acidaminococcus (OTU 267)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridium (OTU 268)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridiales (OTU 269)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 276)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Alistipes (OTU 277)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Aerococcus (OTU 281)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Veillonellaceae (OTU 286)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Alistipes (OTU 289)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 292)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lactobacillus (OTU 294)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Bacteroides (OTU 296)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 297)	3.4374999999997757	0.48744501524566963	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 300)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Anaeroplasma (OTU 302)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Bacteroidetes (OTU 304)	4.916666666666747	0.29595538691929335	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Bradyrhizobium (OTU 315)	3.2023809523810005	0.5245464678529579	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Roseburia (OTU 319)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Streptococcus (OTU 327)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Blautia (OTU 336)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Bilophila (OTU 339)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridiales (OTU 341)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridium_sensu (OTU 345)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Butyrivibrio (OTU 346)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Fusobacterium (OTU 350)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 355)	3.4374999999997757	0.48744501524566963	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Parasutterella (OTU 356)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Bacteroides (OTU 361)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridiales (OTU 366)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Bacteroides (OTU 367)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Veillonella (OTU 368)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Blautia (OTU 369)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 370)	4.038468720821607	0.4008247080784697	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Oscillibacter (OTU 371)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Turicibacter (OTU 374)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Ruminococcaceae (OTU 376)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Parabacteroides (OTU 384)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 391)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Pseudomonas (OTU 392)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridiales (OTU 394)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridiales (OTU 395)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Blautia (OTU 398)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Bacteroides (OTU 400)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Enterobacteriaceae (OTU 408)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Blautia (OTU 422)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lactobacillus (OTU 423)	3.4374999999997757	0.48744501524566963	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridium (OTU 424)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Flavonifractor (OTU 439)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 441)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Corynebacterium (OTU 444)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Streptococcus (OTU 447)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridium (OTU 449)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Streptococcus (OTU 451)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Mannheimia (OTU 454)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Ruminococcus (OTU 463)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Subdoligranulum (OTU 469)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 473)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Neisseriaceae (OTU 479)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 482)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 487)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 497)	3.4374999999997757	0.48744501524566963	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 499)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridiales (OTU 500)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 502)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Fusicatenibacter (OTU 511)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 514)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridiales (OTU 519)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Ruminococcaceae (OTU 526)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Proteus (OTU 533)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Bacteroides (OTU 535)	4.916666666666747	0.29595538691929335	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridium (OTU 536)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Pasteurellaceae (OTU 558)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Erysipelotrichaceae (OTU 569)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 571)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridium (OTU 573)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 578)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Ruminococcaceae (OTU 584)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridium (OTU 587)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Curvibacter (OTU 600)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Erysipelotrichaceae (OTU 604)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 609)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridium (OTU 612)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridiales (OTU 620)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridium (OTU 622)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Streptococcus (OTU 647)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Mucispirillum (OTU 653)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Bacteroidales (OTU 660)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Ruminococcaceae (OTU 666)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Bacteroidetes (OTU 672)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 674)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 693)	3.4374999999997757	0.48744501524566963	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 700)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Senegalimassilia (OTU 728)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridiales (OTU 731)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Carnobacteriaceae (OTU 734)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 735)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Collinsella (OTU 744)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Aestuariispira (OTU 749)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 750)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 761)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Bacteroidales (OTU 784)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 785)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Bacteria (OTU 792)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridium (OTU 794)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 799)	4.916666666666747	0.29595538691929335	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 802)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 806)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Fusobacterium (OTU 813)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 822)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 829)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 846)	4.916666666666747	0.29595538691929335	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Firmicutes (OTU 936)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 947)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Brachybacterium (OTU 953)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 980)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Pseudoflavonifractor (OTU 993)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Alloprevotella (OTU 1009)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Ruminococcus (OTU 1022)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Bacteroidales (OTU 1024)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 1071)	4.916666666666747	0.29595538691929335	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 1100)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Ruminococcaceae (OTU 1101)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 1106)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 1109)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Peptostreptococcaceae (OTU 1113)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 1126)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Bacteria (OTU 1188)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 1263)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 1301)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 1331)	4.916666666666747	0.29595538691929335	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Prevotella (OTU 1340)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 1341)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 1351)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 1393)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 1406)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Firmicutes (OTU 1438)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridiales (OTU 1447)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 1478)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Coriobacteriaceae (OTU 1498)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Bacteroidales (OTU 1503)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 1577)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 1613)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Flavobacteriaceae (OTU 1652)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Bacteria (OTU 1806)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridiales (OTU 1830)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Janthinobacterium (OTU 1833)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Bacteroidales (OTU 1932)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridiales (OTU 2278)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 2434)	3.4374999999997757	0.48744501524566963	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Ruminococcaceae (OTU 2467)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 2533)	3.4374999999997757	0.48744501524566963	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Prevotella (OTU 2850)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Cystobacter (OTU 2944)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridiales (OTU 3088)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Aurantimonadaceae (OTU 3202)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Bacteroidetes (OTU 3234)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Faecalibacterium (OTU 3242)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridia (OTU 4136)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 4281)	4.916666666666747	0.29595538691929335	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Alistipes (OTU 4292)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 5022)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Bacteroidetes (OTU 5594)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridium (OTU 22)	3.124340721867701	0.5372371486393502	4	Kruskal-Wallis rank sum test	0.013	0.014	0.012	0.0195	0.0095	0.5868500779332216
Bacteria (OTU 105)	3.066246498599441	0.5468010674148356	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5910591172578119
Clostridiales (OTU 173)	3.0809810236494353	0.5443660705967165	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5910591172578119
Enterococcus (OTU 187)	3.066246498599441	0.5468010674148356	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5910591172578119
Erysipelotrichaceae (OTU 344)	3.090721795964603	0.5427597798260658	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5910591172578119
Porphyromonadaceae (OTU 87)	3.034793728297572	0.5520197320122573	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5951462735757149
Lachnospiraceae (OTU 150)	2.9845531438957082	0.5604137138653127	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6026266949097128
Porphyromonadaceae (OTU 6)	2.9391447057521454	0.5680604989407049	4	Kruskal-Wallis rank sum test	0.002	0	0	0.001	0.001	0.6068555270242639
