otu	method	WM	C	WMR	CWM	RM	FRM	WMC	WMN	C-WM	WMR-WM	WMR-C	CWM-WM	CWM-C	CWM-WMR	RM-WM	RM-C	RM-WMR	RM-CWM	FRM-WM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM	WMC-WM	WMC-C	WMC-WMR	WMC-CWM	WMC-RM	WMC-FRM	WMN-WM	WMN-C	WMN-WMR	WMN-CWM	WMN-RM	WMN-FRM	WMN-WMC
Porphyromonadaceae (OTU 15)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.007	0	0	0.3878634260530652	NA	0.3218346298306105	NA	0.30961767440039206	NA	0.2517374207916258	0.3182305804121672	0.16478820749840575	0.1457487927700753	0.005141816741127269	0.002013240561072384	0.002013240561072384	0.0013311503563108854	0.41524603924225784	NA	0.3324579861255199	NA	NA	0.18081938562317293	0.002013240561072384	NA	0.6413383948010405	NA	NA	0.5428490402773305	0.16332896021122995	NA
Lachnospiraceae (OTU 16)	Kruskal-Wallis rank sum test	0	0.007	0.001	0.002	0.002	0.001	0	0	0.0028806145692234298	0.16663474724905447	0.0019252274850767878	0.09404752609464656	0.3204282866590095	0.36802167525029916	0.09404752609464656	0.10985813620192436	0.16663474724905447	1	0.051897670731511025	0.030121106506844783	0.34538157035354133	0.9196023881309984	0.5137261196827615	0.36802167525029916	4.309326213335687e-4	0.014606558061479325	0.01494149745016541	0.010349683658546452	0.0028806145692234298	0.8524094682250238	0.06763841211213774	0.2087622759181983	0.21827829068125965	0.1823323731582693	0.09902375266712238	NA
Lachnospiraceae (OTU 17)	Kruskal-Wallis rank sum test	0	0.004	0.001	0.0155	5e-4	0	0	0	0.025330683368650495	0.11410698330378603	0.059144565931171095	0.07720827767379176	0.3577841921012259	0.19660213439584676	0.39470574763856237	0.07720827767379176	0.6045008454090838	0.17059347723957752	1	0.019207079058268788	0.11410698330378603	0.07720827767379176	0.3577841921012259	0.39470574763856237	9.016661839951311e-4	0.015897587626649955	0.025330683368650495	0.07720827767379176	0.3730089384056026	0.8196244886779075	0.07720827767379176	0.17059347723957752	0.24473725059096355	0.39470574763856237	0.8196244886779075	NA
Blautia (OTU 19)	Kruskal-Wallis rank sum test	0.064	0	0	0	0	0	0.07	0.101	4.429044948452685e-6	0.001057766676541387	0.24639158454208418	0.001057766676541387	0.03130072281143564	0.3894782702064711	0.0046980823846946435	NA	0.5402135587799226	0.27554548218170244	0.0046980823846946435	NA	0.5402135587799226	0.27554548218170244	NA	0.9181818181818182	3.86951894541213e-6	6.121759176529259e-4	4.6947103991419056e-4	0.0034934115542076547	0.0034934115542076547	0.5402135587799226	3.987372090689859e-5	0.015388420037988465	0.027295513902491516	0.027295513902491516	0.027295513902491516	0.27554548218170244
Lachnospiraceae (OTU 20)	Kruskal-Wallis rank sum test	0	0.005	0.0045000000000000005	0	0	0	0	0	0.002445072530281059	0.004143876745838163	1	0.3887516513602132	0.005723262027074551	0.026996871362120322	NA	0.0028235289209110766	0.005723262027074551	0.3887516513602132	NA	0.0028235289209110766	0.005723262027074551	0.3887516513602132	NA	NA	0.0013368733793385186	0.002445072530281059	0.32664649132914947	NA	NA	NA	0.06719538593171878	0.09743537640328154	0.691594995226961	NA	NA	NA
Porphyromonadaceae (OTU 21)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.009	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.014619559088384766	9.962090520648617e-5	0.005346178053594801	0.0030622565057191833	0.020847059102478128	0.5314539430541437	0.23680886645331561	0.44561622449228483	0.41865592543306734	0.5375960139812848	0.013833110915267498	NA	NA	NA	NA	NA	0.2308110518304544	0.8136637157667919
Clostridium (OTU 22)	Kruskal-Wallis rank sum test	0	0.004	0	0.0025	0	0	0	0	0.015425674676114179	0.19174705532707675	0.08396517083140416	0.1276149850522046	0.5480913174129775	0.38375405185761585	0.4416016655631177	0.029498164650074668	0.38375405185761585	0.25505287113670644	0.4416016655631177	0.029498164650074668	0.38375405185761585	0.25505287113670644	1	NA	0.008281213216768168	0.1411018465300942	0.08396517083140416	0.38375405185761585	0.38375405185761585	NA	0.19174705532707675	0.4416016655631177	0.38375405185761585	0.8050312423796329	0.8050312423796329	NA
Lactobacillus (OTU 23)	Kruskal-Wallis rank sum test	0	0.007	0.003	0.0055	0.001	0.0015	0	5e-4	0.013118021472112478	0.05080250283621233	0.03637685516348283	0.03637685516348283	0.4181456485558727	0.1420541744684131	0.4181456485558727	0.013118021472112478	0.03637685516348283	0.032737948861873145	0.38559060704497455	0.021322130770928906	0.09357794183225596	0.03637685516348283	0.5420841469884322	0.4577326451395132	0.0014905208399599796	0.0033417696156659944	0.0035119681467690313	0.06601251532246505	0.05253968314019785	0.8611082722274301	0.09141538980408989	0.12675570040220305	0.12675570040220305	0.7414821604172775	0.5420841469884322	0.3891207268583846
Lachnospiraceae (OTU 24)	Kruskal-Wallis rank sum test	0	0.007	0.0025	0	0	0	0	0	0.003524690549976202	0.11776825739244481	0.07081518027161408	1	1.545680893573903e-4	0.034687438358497635	0.5099376504767407	0.0012767160811872518	0.034687438358497635	0.44719144208756556	0.5099376504767407	0.0012767160811872518	0.034687438358497635	0.44719144208756556	NA	0.44719144208756556	1.667223516441902e-4	0.01258417706231086	0.37071784333387603	NA	NA	0.8268522178549613	0.05330128936118336	0.24853844326579905	0.718490356152454	NA	NA	NA
Porphyromonadaceae (OTU 25)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0135	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.014619559088384766	9.962090520648617e-5	0.005346178053594801	0.0030622565057191833	0.020847059102478128	0.5314539430541437	0.23680886645331561	0.44561622449228483	0.41865592543306734	0.5375960139812848	0.013833110915267498	NA	NA	NA	NA	NA	0.2308110518304544	0.8136637157667919
Ruminococcaceae (OTU 27)	Kruskal-Wallis rank sum test	0	0.009	0	0	0	0	0	0	4.0238449493661544e-4	0.18500918368535882	0.001130703821369769	NA	1.8909518229000434e-5	0.08647596766251368	NA	6.297195858330173e-4	0.19091826022913538	NA	NA	6.297195858330173e-4	0.19091826022913538	NA	NA	NA	1.0281872248954672e-4	0.13682592864949722	NA	NA	NA	NA	0.04625654425259055	0.4808265882236153	NA	NA	NA	NA
Bifidobacterium (OTU 28)	Kruskal-Wallis rank sum test	0	0.001	0	5e-4	0.003	0.010499999999999999	0	0	0.01701696526184466	0.17789344585130654	0.12201503455680991	0.07394654672569091	0.26438517699848296	0.4810972609087615	0.009088077739731337	0.44363109152374847	0.07024548557370355	0.07517507508476065	0.009088077739731337	0.01701696526184466	0.009625233555196504	0.009625233555196504	0.0961050394111211	NA	0.009625233555196504	0.13156339293220887	0.045292239030542664	0.005327986746898462	0.005327986746898462	NA	0.16807565942453198	0.4810972609087615	0.30094174670393714	0.10177024744583857	0.10177024744583857	NA
Lachnospiraceae (OTU 29)	Kruskal-Wallis rank sum test	0	0.007	0	0	0	0	0	0	0.00403841611910244	NA	0.0014624821180960507	0.21937995572105076	0.21969801460952235	0.14411052749487624	0.44838166228856136	0.01088425790520831	0.36791717521015926	0.44838166228856136	NA	0.006490929908048034	NA	0.2277473502023622	0.44838166228856136	NA	0.0014624821180960507	NA	0.15683385223441987	0.3825732701595924	NA	NA	0.14411052749487624	NA	0.44838166228856136	0.7728299926844475	NA	NA
Lachnospiraceae (OTU 30)	Kruskal-Wallis rank sum test	0	0.002	0.0035	0	0	0	0	0	0.0035789488235067023	0.0035789488235067023	0.5367577379124563	0.38781109596199964	0.0035789488235067023	0.00481291185977314	NA	0.0035789488235067023	0.00481291185977314	0.38781109596199964	NA	0.0035789488235067023	0.00481291185977314	0.38781109596199964	NA	NA	0.002739793170393027	0.0035789488235067023	0.3258348441229313	NA	NA	NA	0.08505670116269533	0.09815400893075363	0.6522101726064997	NA	NA	NA
Lachnospiraceae (OTU 31)	Kruskal-Wallis rank sum test	0	0.004	0	0	0	0	0	0	0.0011501226315515332	NA	2.4215852567301162e-4	NA	1.2354585066187302e-4	NA	NA	0.0017489285926555996	NA	NA	NA	0.0017489285926555996	NA	NA	NA	0.5375960139812848	4.894547542729111e-4	0.4951291383247609	0.4709879161122008	0.5375960139812848	0.5375960139812848	NA	0.07769039764070336	NA	NA	NA	NA	0.8136637157667919
Lachnospiraceae (OTU 32)	Kruskal-Wallis rank sum test	0	0.002	0.0055	0	0	5e-4	0	0	0.024530051042210715	0.011510768738439342	0.2461149518471962	0.5826031366612765	0.0237692522531178	0.011471325899575351	0.4664993154914492	0.14843161666810653	0.031102356284082845	0.7952180314781537	0.13187639459136757	0.2461149518471962	0.06462479333301041	0.18125547530001707	0.5295797518780754	NA	0.013205136404565622	0.010187802209504413	0.5295797518780754	0.4063278196139462	0.07837806488202156	NA	0.22846202598537052	0.1476293581867902	0.8382564863858263	0.8050312423796329	0.4664993154914492	NA
Lachnospiraceae (OTU 33)	Kruskal-Wallis rank sum test	0	0.008	0	0	0	0	0	0	0.001369657594194127	NA	3.655289006904713e-4	0.31029988041789036	0.010448637137407244	0.24025689342749193	0.48749178468856436	0.004397464552161391	0.3854370406963573	0.7028226252270378	0.2563992248803596	0.004119171408534496	0.20140780916471815	1	0.8096314209075165	NA	3.953394388526137e-4	NA	0.2563992248803596	0.4052442787616423	0.22100147131721137	NA	0.10282141887966106	NA	0.6421000417441255	0.8096314209075165	0.6421000417441255	NA
Lachnospiraceae (OTU 34)	Kruskal-Wallis rank sum test	0	0.004	0	0	0	0	0	0	0.01038432724732271	NA	0.004577576532165325	NA	0.003585497501232331	NA	NA	0.011917327180072403	NA	NA	NA	0.011917327180072403	NA	NA	NA	NA	0.004970057004125033	NA	NA	NA	NA	NA	0.1285419992152998	NA	NA	NA	NA	NA
Clostridiales (OTU 35)	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	0.029514970468022463	NA	0.01953487141236177	0.6019972728063608	0.01953487141236177	0.6019972728063608	NA	0.032319792504676426	NA	0.6019972728063608	NA	0.032319792504676426	NA	0.6019972728063608	NA	NA	0.01953487141236177	NA	0.6019972728063608	NA	NA	NA	0.2802761134958922	NA	0.8382564863858263	NA	NA	NA
Lachnospiraceae (OTU 36)	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	0.04520875093105987	0.16963834901521613	0.16259525884445328	0.25388172034191026	0.09202712281531748	0.6309256062091053	NA	0.04520875093105987	0.17918072730164772	0.26452366289443435	NA	0.04520875093105987	0.17918072730164772	0.26452366289443435	NA	NA	0.037671522291916684	0.13323839955177214	0.1938107648995363	NA	NA	NA	0.1938107648995363	0.41192613021831814	0.5562577901740552	NA	NA	NA
Ruminococcaceae (OTU 37)	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	0.05234724948209856	0.48864710364350744	0.37467561955884476	0.625151014068144	0.05234724948209856	0.625151014068144	NA	0.05234724948209856	0.48864710364350744	0.625151014068144	NA	0.05234724948209856	0.48864710364350744	0.625151014068144	NA	NA	0.05234724948209856	0.4326479485009196	0.625151014068144	NA	NA	NA	0.3820144137722795	0.6552433391267759	0.8382564863858263	NA	NA	NA
Erysipelotrichaceae (OTU 39)	Kruskal-Wallis rank sum test	0	0	0.002	0.001	0	0.001	0	5e-4	0.24923589149584208	0.05861723328141997	0.09630321107031767	0.08469875852007688	0.2105131016139777	0.6964992513638467	0.5038192607307651	0.7094655805073294	0.2105131016139777	0.24923589149584208	0.08469875852007688	0.29964226660309523	0.6365559110271	1	0.30299770852145147	NA	0.2105131016139777	0.05861723328141997	0.05861723328141997	0.43883404518306185	0.05861723328141997	0.24482121759122777	0.8185610771649746	0.4849508219989939	0.7094655805073294	0.7155222302232621	0.7094655805073294	0.2002942309227295
Porphyromonadaceae (OTU 40)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.006	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.07468871014695973	0.006476304393736025	0.049112810370683754	0.04074656555064066	0.08634496498394052	NA	NA	NA	NA	NA	0.049884320407274516	NA	NA	NA	NA	NA	0.3397277758660979	NA
Lachnospiraceae (OTU 41)	Kruskal-Wallis rank sum test	0	0.002	0	0	0	0	0	0	0.0068238890081112	0.5618221011311194	0.0034140409947071913	NA	0.0015174038006773632	0.5123664846328364	NA	0.008693227846461237	0.5618221011311194	NA	NA	0.008693227846461237	0.5618221011311194	NA	NA	NA	0.0034140409947071913	0.5618221011311194	NA	NA	NA	NA	0.15750876788458681	0.8230632737581215	NA	NA	NA	NA
Bacteria (OTU 43)	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	0.03877126272631669	NA	0.023949136079040992	NA	0.023949136079040992	NA	NA	0.03877126272631669	NA	NA	NA	0.03877126272631669	NA	NA	NA	NA	0.023949136079040992	NA	NA	NA	NA	NA	0.2163405608757631	NA	NA	NA	NA	NA
Porphyromonadaceae (OTU 44)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0215	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002035729413699819	3.86396027369525e-6	5.512030421180024e-4	2.620010439439582e-4	0.003241501795115538	NA	NA	NA	NA	NA	7.459181445657847e-4	NA	NA	NA	NA	NA	0.06513295836533668	NA
Oscillibacter (OTU 45)	Kruskal-Wallis rank sum test	0	0.006	0	0	0	0	0	0	0.005544097730459954	0.44954091069957314	0.005161434397639024	NA	9.761634274462651e-4	0.28938660545903283	NA	0.007465256476598249	0.44954091069957314	NA	NA	0.007465256476598249	0.44954091069957314	NA	NA	0.5954909693331154	0.005161434397639024	0.6567818986049939	0.44954091069957314	0.5954909693331154	0.5954909693331154	NA	0.1774539306879359	0.6567818986049939	NA	NA	NA	0.8136637157667919
Lachnospiraceae (OTU 46)	Kruskal-Wallis rank sum test	0	0.002	0.0015	0	0	0	0	0	0.03280522563721542	0.03107749943207501	0.804606824740354	0.625151014068144	0.02801361939018221	0.02801361939018221	NA	0.041128679326335855	0.03280522563721542	0.625151014068144	NA	0.041128679326335855	0.03280522563721542	0.625151014068144	NA	NA	0.02801361939018221	0.02801361939018221	0.6111946063136127	NA	NA	NA	0.27482917776998006	0.2390734897583275	0.8382564863858263	NA	NA	NA
Lachnospiraceae (OTU 47)	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	0.10692073541018358	0.21092176085978445	0.544053251973761	0.6266220403201285	0.06847773628711207	0.21092176085978445	0.544053251973761	0.21092176085978445	0.53330991858173	0.734323201175299	NA	0.12567096460824845	0.24757204634489108	0.6434302834853411	0.5564030476500184	NA	0.06847773628711207	0.19867139991437263	0.5712472464238341	0.53330991858173	NA	NA	0.4030827940626375	0.544053251973761	0.8382564863858263	0.8096314209075165	NA	NA
Porphyromonadaceae (OTU 48)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0025	0	0	NA	NA	NA	0.6019972728063608	0.3424821752611181	0.5738438248166697	NA	NA	NA	0.6019972728063608	0.04746523752739418	0.0011671142883370592	0.0292544704747891	0.0292544704747891	0.06077324626027929	NA	NA	NA	0.5738438248166697	NA	0.0292544704747891	NA	NA	NA	0.8382564863858263	NA	0.3424821752611181	NA
Lachnospiraceae (OTU 49)	Kruskal-Wallis rank sum test	0	0	0.0025	0	0	0	0	0	0.14962672490534168	0.01916529242703279	0.01916529242703279	0.3658839071625536	0.33136923523083917	0.01916529242703279	NA	0.1594505197957804	0.01916529242703279	0.3658839071625536	NA	0.1594505197957804	0.01916529242703279	0.3658839071625536	NA	NA	0.09908754354450289	0.01916529242703279	0.33136923523083917	NA	NA	NA	0.3658839071625536	0.16319473794424166	0.6531730510476854	NA	NA	NA
Ruminococcaceae (OTU 50)	Kruskal-Wallis rank sum test	0	0.004	0	0	0	0	0	0	0.00162677696967618	0.6223260197144708	7.031499998382101e-4	0.5640888668538176	0.00162677696967618	0.6905754768774703	NA	0.0024727957213186037	0.6223260197144708	0.5640888668538176	NA	0.0024727957213186037	0.6223260197144708	0.5640888668538176	NA	NA	7.031499998382101e-4	0.598612794822356	0.5294816216997633	NA	NA	NA	0.10902770743864183	0.8230632737581215	0.6905754768774703	NA	NA	NA
Clostridium (OTU 51)	Kruskal-Wallis rank sum test	0	0.002	0	0	0	0	0	0	0.007067886756627249	0.49040826621771616	0.0071451086608324416	0.625151014068144	0.006270521974120062	0.625151014068144	NA	0.0071451086608324416	0.49040826621771616	0.625151014068144	NA	0.0071451086608324416	0.49040826621771616	0.625151014068144	NA	NA	0.0056886110323081385	0.4341950797736823	0.625151014068144	NA	NA	NA	0.17259960255466997	0.6567818986049939	0.8382564863858263	NA	NA	NA
Ruminococcaceae (OTU 52)	Kruskal-Wallis rank sum test	0	0.001	0.001	0	0	0	0	0	0.011213225328708464	0.04894929680760326	0.9826032005610972	0.38781109596199964	0.00881842983143973	0.05195152123477007	NA	0.01289107757129716	0.05195152123477007	0.38781109596199964	NA	0.01289107757129716	0.05195152123477007	0.38781109596199964	NA	NA	0.00881842983143973	0.025924215660392123	0.3258348441229313	NA	NA	NA	0.12911012455742402	0.30808761088657843	0.6905754768774703	NA	NA	NA
Ruminococcaceae (OTU 54)	Kruskal-Wallis rank sum test	0	0.004	0	0	0	0	0	0	0.003748424670998063	NA	0.001252742850204848	NA	8.33421702302963e-4	NA	NA	0.004772838119247414	NA	NA	NA	0.004772838119247414	NA	NA	NA	NA	0.0014843369215465994	NA	NA	NA	NA	NA	0.08585099421449505	NA	NA	NA	NA	NA
Acetatifactor (OTU 55)	Kruskal-Wallis rank sum test	0	0.004	0	0	0	0	0	0	0.004045647123106791	0.150789643569081	0.005398175722629895	0.41192613021831814	0.004045647123106791	0.44890138987289696	NA	0.005201849263010722	0.1628915702742252	0.41192613021831814	NA	0.005201849263010722	0.1628915702742252	0.41192613021831814	NA	NA	0.002930237046039473	0.11420434247294756	0.3538670322732453	NA	NA	NA	0.12196952817750345	0.41192613021831814	0.6531730510476854	NA	NA	NA
Butyricicoccus (OTU 56)	Kruskal-Wallis rank sum test	0	0.002	0.004	0	0	0	0	0	0.012952638975379056	0.013220187108395023	0.1397991298649768	0.29579438317679557	0.0020001268544054293	0.0025175763210980415	0.46630662155894465	0.011466578548514485	0.012952638975379056	NA	0.46630662155894465	0.011466578548514485	0.012952638975379056	NA	NA	0.3761999347003057	0.0035562565443298085	0.005637740140982616	NA	NA	NA	0.7892680261342813	0.13460009072202178	0.1397991298649768	NA	NA	NA	NA
Oscillibacter (OTU 57)	Kruskal-Wallis rank sum test	0	0.003	0	0	0	0	0	0	0.0021068456231736043	0.41445437600622514	0.0395211602050965	NA	1.6979190235513124e-4	0.28938660545903283	NA	0.003604731865108302	0.41496084064575983	NA	0.4558364739945018	0.004597751992997625	0.8113636638523745	0.350731167495965	0.48558811431274324	NA	6.829592648423079e-4	0.350731167495965	NA	NA	0.41445437600622514	NA	0.10704285620110841	0.6978307672678061	NA	NA	0.8113636638523745	NA
Ruminococcaceae (OTU 59)	Kruskal-Wallis rank sum test	0	0.004	0	0	0	0	0	0	0.0039523370783098545	0.4146684281175607	0.004236905424283712	0.4146684281175607	0.0039523370783098545	0.9608276700335856	NA	0.004236905424283712	0.4146684281175607	0.4146684281175607	NA	0.004236905424283712	0.4146684281175607	0.4146684281175607	NA	NA	0.0028622386266893077	0.4146684281175607	0.4146684281175607	NA	NA	NA	0.13737485600637436	0.691594995226961	0.691594995226961	NA	NA	NA
Ruminococcaceae (OTU 60)	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	0.02486378519939243	0.18350952344087446	0.271300122769558	0.38781109596199964	0.02486378519939243	0.3548760973049391	NA	0.02486378519939243	0.18350952344087446	0.38781109596199964	NA	0.02486378519939243	0.18350952344087446	0.38781109596199964	NA	NA	0.02006377882639747	0.13490219199706388	0.3529877477998422	NA	NA	NA	0.18350952344087446	0.39150847051939563	0.6522101726064997	NA	NA	NA
Ruminococcaceae (OTU 61)	Kruskal-Wallis rank sum test	0	0	5e-4	0	0	0	0	0	0.21682919393767844	0.17477773868542995	0.588377425005312	0.588377425005312	0.21682919393767844	0.17477773868542995	NA	0.21682919393767844	0.17477773868542995	0.588377425005312	NA	0.21682919393767844	0.17477773868542995	0.588377425005312	NA	NA	0.17477773868542995	0.17477773868542995	0.588377425005312	NA	NA	NA	0.5751245902871454	0.4423813210714582	0.8382564863858263	NA	NA	NA
Lachnospiraceae (OTU 62)	Kruskal-Wallis rank sum test	0	0.001	0.0015	0	0	0	0	0	0.05902653322726065	0.05902653322726065	0.7463053409046579	0.625151014068144	0.05902653322726065	0.05902653322726065	NA	0.05902653322726065	0.05902653322726065	0.625151014068144	NA	0.05902653322726065	0.05902653322726065	0.625151014068144	NA	NA	0.05902653322726065	0.05902653322726065	0.6111946063136127	NA	NA	NA	0.32192670774039783	0.32192670774039783	0.8382564863858263	NA	NA	NA
