otu	statistic	p.value	parameter	method	WM	WMR	CWM	RM	FRM	WMC	p.value.adj
Porphyromonadaceae (OTU 48)	25.191409711146513	1.2796234484154965e-4	5	Kruskal-Wallis rank sum test	0	0	0	0	0.0025	0	0.0010411481693926087
Lachnospiraceae (OTU 11)	24.771632880666548	1.5421519899932947e-4	5	Kruskal-Wallis rank sum test	0	0.0045000000000000005	0	0	0	0	0.001200196548733912
Lachnospiraceae (OTU 4)	22.88002450980393	3.5586642885559967e-4	5	Kruskal-Wallis rank sum test	0	0.033	0	0	0	0	0.002275003241612584
Porphyromonadaceae (OTU 40)	22.910172853499535	3.5117763006705467e-4	5	Kruskal-Wallis rank sum test	0	0	0	0	0.006	0	0.002275003241612584
Porphyromonadaceae (OTU 80)	22.916666666666625	3.5017569926648325e-4	5	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0	0.002275003241612584
Porphyromonadaceae (OTU 175)	22.910172853499535	3.5117763006705467e-4	5	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0	0.002275003241612584
Porphyromonadaceae (OTU 194)	22.916666666666625	3.5017569926648325e-4	5	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0	0.002275003241612584
Lachnospiraceae (OTU 70)	22.059014661207197	5.102440283033782e-4	5	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0.0031494372781484376
Lachnospiraceae (OTU 62)	21.035149375220005	7.977661054200002e-4	5	Kruskal-Wallis rank sum test	0	0.0015	0	0	0	0	0.004760004429006001
Lachnospiraceae (OTU 24)	20.6014443897638	9.632008335172166e-4	5	Kruskal-Wallis rank sum test	0	0.0025	0	0	0	0	0.005561708038696186
Ruminococcaceae (OTU 52)	20.21686140288764	0.0011378643506497546	5	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0.006364928711447065
Anaerostipes (OTU 159)	19.19098894871072	0.0017708594422554472	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.009605570914052274
Lachnospiraceae (OTU 16)	18.973251366120216	0.0019443121952408505	5	Kruskal-Wallis rank sum test	0	0.001	0.002	0.002	0.001	0	0.010236231851415065
Lachnospiraceae (OTU 17)	18.58614297092792	0.002294791055214827	5	Kruskal-Wallis rank sum test	0	0.001	0.0155	5e-4	0	0	0.01173621711095583
Porphyromonadaceae (OTU 6)	18.274501401466143	0.0026213413884584205	5	Kruskal-Wallis rank sum test	0	0	0	0	0.1215	0	0.013033891903723813
Erysipelotrichaceae (OTU 39)	17.925041079441282	0.003041830965958345	5	Kruskal-Wallis rank sum test	0	0.002	0.001	0	0.001	0	0.014715884943420101
Ruminococcaceae (OTU 61)	17.40808641975302	0.0037874782597940044	5	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	0.017841016013240178
Lachnospiraceae (OTU 75)	17.248335467349513	0.004052124839324648	5	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0.018598214006131073
Lachnospiraceae (OTU 76)	17.144080958485347	0.00423449595050725	5	Kruskal-Wallis rank sum test	0	0.002	0	0	0	0	0.01894936937851994
Lachnospiraceae (OTU 84)	17.010197439791646	0.0044804978032759605	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.019561197726497486
Lachnospiraceae (OTU 66)	16.325121126245524	0.005974613281707573	5	Kruskal-Wallis rank sum test	0	0.0025	0	0	0	0	0.02546323279584894
Porphyromonadaceae (OTU 87)	14.972222222222173	0.010481689775938774	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.04363308069518699
Porphyromonadaceae (OTU 7)	14.537774428535595	0.01253118173325363	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.05097912568755454
Akkermansia (OTU 3)	13.83879813629729	0.01666647502437621	5	Kruskal-Wallis rank sum test	0.001	0.0115	0.3615	0.14300000000000002	0.062	0.172	0.06629553398585203
Lachnospiraceae (OTU 26)	13.520597208584649	0.018959246861025916	5	Kruskal-Wallis rank sum test	0	0.002	0	0	0	0	0.07377619974181823
Peptostreptococcaceae (OTU 12)	13.077760419229447	0.022660864332725614	5	Kruskal-Wallis rank sum test	0.001	0	0.0095	0.008	0.0055	0.001	0.08568756559515378
Blautia (OTU 132)	13.043157894736792	0.022977671221046825	5	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0.08568756559515378
Lachnospiraceae (OTU 88)	12.841808410110993	0.0249071628399851	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.0909873907828027
Clostridium (OTU 22)	12.767396947653685	0.025658798607462625	5	Kruskal-Wallis rank sum test	0	0	0.0025	0	0	0	0.0918584990147162
Ruminococcaceae (OTU 27)	12.496457920090718	0.028583336094835956	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.0965361728485969
Lachnospiraceae (OTU 77)	12.500000000000037	0.028543123326167038	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.0965361728485969
Lachnospiraceae (OTU 110)	12.500000000000037	0.028543123326167038	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.0965361728485969
Lachnospiraceae (OTU 68)	11.840989599035296	0.037032760285517455	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.12275674242791897
Ruminococcaceae (OTU 60)	11.204080607065665	0.047480487355776396	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.154527404303345
Lachnospiraceae (OTU 29)	11.157012105107787	0.04835425069352186	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.1545609084667931
Lachnospiraceae (OTU 47)	11.068967727341311	0.05002957429708998	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.1553368273726406
Ruminococcaceae (OTU 65)	11.009960742326921	0.05118284858349298	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.1553368273726406
Lachnospiraceae (OTU 94)	11.009072104018868	0.051200406787630146	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.1553368273726406
Lachnospiraceae (OTU 36)	10.855539778981179	0.05432063972435013	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.16205657517764457
Acetatifactor (OTU 55)	10.56112200271445	0.06081047465025635	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.1784438518425555
Lachnospiraceae (OTU 148)	10.349074074074089	0.06592742931308335	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.19033886850067613
Bacteroides (OTU 1)	10.00575139542578	0.07507244683952578	5	Kruskal-Wallis rank sum test	0.562	0.551	0.007	0.6755	0.41200000000000003	0.569	0.21330107911547802
Lachnospiraceae (OTU 116)	9.89583333333339	0.07824114315937197	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2154640711619628
Dorea (OTU 134)	9.89583333333339	0.07824114315937197	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2154640711619628
Olsenella (OTU 114)	9.720749132914845	0.08354559587851981	5	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0	0.2265857827614401
Erysipelotrichaceae (OTU 142)	9.009963768115968	0.10866739612078744	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2903203568003127
Lachnospiraceae (OTU 83)	8.937145390070786	0.11159763346817221	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.29376435868827683
Lachnospiraceae (OTU 102)	8.815180444058669	0.1166669780849632	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.29833412967440587
Ruminococcaceae (OTU 153)	8.832427536231831	0.11593764777076206	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.29833412967440587
Lachnospiraceae (OTU 74)	8.590596064814813	0.12655103385361366	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.3190511980253077
Lachnospiraceae (OTU 103)	8.54616342236304	0.12859390997981418	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.31969874842203805
Oscillibacter (OTU 119)	8.163265306122424	0.14746433213125032	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.33412804368979504
Lachnospiraceae (OTU 128)	8.16666666666664	0.1472863513001793	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.33412804368979504
Lachnospiraceae (OTU 133)	8.16666666666664	0.1472863513001793	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.33412804368979504
Lachnospiraceae (OTU 140)	8.163265306122424	0.14746433213125032	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.33412804368979504
Clostridiales (OTU 141)	8.163265306122424	0.14746433213125032	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.33412804368979504
Lachnospiraceae (OTU 152)	8.163265306122424	0.14746433213125032	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.33412804368979504
Clostridiales (OTU 226)	8.163265306122424	0.14746433213125032	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.33412804368979504
Lactobacillus (OTU 9)	8.102108921145037	0.15069726248879428	5	Kruskal-Wallis rank sum test	0.012	0.003	0.003	0.0035	0.005	0.004	0.3371851248186772
Lachnospiraceae (OTU 33)	7.819260236121602	0.16648188321958418	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.36790440859636503
Lachnospiraceae (OTU 123)	7.745011820331082	0.17085974261139275	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.3729743161882842
Bacteroidales (OTU 38)	7.333333333333426	0.19700656029034022	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.3773414241511174
Lachnospiraceae (OTU 82)	7.375516981132051	0.19417670101131174	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.3773414241511174
Lachnospiraceae (OTU 90)	7.3163342198581125	0.19815694899555883	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.3773414241511174
Enterorhabdus (OTU 109)	7.569525193798448	0.18161018155342443	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.3773414241511174
Enterococcus (OTU 187)	7.333333333333426	0.19700656029034022	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.3773414241511174
Porphyromonadaceae (OTU 190)	7.333333333333426	0.19700656029034022	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.3773414241511174
Lachnospiraceae (OTU 203)	7.333333333333426	0.19700656029034022	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.3773414241511174
Porphyromonadaceae (OTU 212)	7.333333333333426	0.19700656029034022	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.3773414241511174
Alistipes (OTU 289)	7.333333333333426	0.19700656029034022	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.3773414241511174
Escherichia/Shigella (OTU 342)	7.333333333333426	0.19700656029034022	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.3773414241511174
Porphyromonadaceae (OTU 410)	7.333333333333426	0.19700656029034022	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.3773414241511174
Porphyromonadaceae (OTU 807)	7.333333333333426	0.19700656029034022	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.3773414241511174
Lachnospiraceae (OTU 120)	7.057702535011504	0.21638415040173148	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.40771329391484146
Lachnospiraceae (OTU 150)	7.007173913043386	0.22010732148406187	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.4104084431838237
Lachnospiraceae (OTU 113)	6.899023345153601	0.22825904709339018	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.42122030339914274
Clostridium_sensu (OTU 53)	6.462585034013647	0.2637716187420457	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.4228308071411955
Oscillibacter (OTU 57)	6.764749220742272	0.2387323098410406	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.4228308071411955
Lachnospiraceae (OTU 64)	6.585125479775621	0.25336767932252624	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.4228308071411955
Lachnospiraceae (OTU 72)	6.810077519379864	0.2351525962876819	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.4228308071411955
Lachnospiraceae (OTU 86)	6.737962962962907	0.24086903962792866	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.4228308071411955
Lachnospiraceae (OTU 95)	6.462585034013647	0.2637716187420457	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.4228308071411955
Lachnospiraceae (OTU 104)	6.45340965965968	0.26456452737326197	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.4228308071411955
Lachnospiraceae (OTU 111)	6.462585034013647	0.2637716187420457	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.4228308071411955
Clostridiales (OTU 115)	6.764749220742272	0.2387323098410406	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.4228308071411955
Lachnospiraceae (OTU 117)	6.462585034013647	0.2637716187420457	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.4228308071411955
Clostridium (OTU 126)	6.465277777777818	0.26353928938911736	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.4228308071411955
Ruminococcaceae (OTU 143)	6.465277777777818	0.26353928938911736	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.4228308071411955
Ruminococcaceae (OTU 147)	6.465277777777818	0.26353928938911736	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.4228308071411955
Lachnospiraceae (OTU 164)	6.465277777777818	0.26353928938911736	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.4228308071411955
Ruminococcaceae (OTU 169)	6.462585034013647	0.2637716187420457	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.4228308071411955
Pseudoflavonifractor (OTU 240)	6.142857142857421	0.292565489279196	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.44380697102522104
Lactobacillales (OTU 242)	6.142857142857421	0.292565489279196	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.44380697102522104
Lachnospiraceae (OTU 255)	6.142857142857421	0.292565489279196	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.44380697102522104
Blautia (OTU 273)	6.142857142857421	0.292565489279196	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.44380697102522104
Lachnospiraceae (OTU 827)	6.142857142857421	0.292565489279196	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.44380697102522104
Bifidobacteriaceae (OTU 1839)	6.142857142857421	0.292565489279196	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.44380697102522104
Oscillibacter (OTU 45)	5.811651234567793	0.32497966063377204	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.4888349517096235
Acetatifactor (OTU 79)	5.560923774440326	0.3513116069216997	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5202901761354872
Lachnospiraceae (OTU 121)	5.557291666666645	0.3517045324714746	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5202901761354872
Ruminococcaceae (OTU 59)	5.464893617021163	0.36181078181252924	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5308535241347765
Ruminococcaceae (OTU 37)	5.270685579196294	0.38374621400368303	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5539562282795102
Lachnospiraceae (OTU 149)	5.270685579196294	0.38374621400368303	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5539562282795102
Lachnospiraceae (OTU 42)	5.186458333333515	0.3935511521171262	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5590142786551071
Clostridium (OTU 51)	5.107811466893377	0.40286503880731184	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5590142786551071
Lachnospiraceae (OTU 58)	5.107811466893377	0.40286503880731184	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5590142786551071
Lachnospiraceae (OTU 63)	5.107811466893377	0.40286503880731184	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5590142786551071
Firmicutes (OTU 198)	5.109259259259276	0.40269220235649145	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5590142786551071
Lachnospiraceae (OTU 31)	4.555555555555599	0.4724848813098804	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6218734834887397
Firmicutes (OTU 129)	4.555555555555599	0.4724848813098804	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6218734834887397
Clostridiales (OTU 137)	4.613475177305009	0.4648458675086312	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6218734834887397
Blautia (OTU 639)	4.555555555555599	0.4724848813098804	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6218734834887397
Akkermansia (OTU 849)	4.555555555555599	0.4724848813098804	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6218734834887397
Bacteroides (OTU 1896)	4.555555555555599	0.4724848813098804	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6218734834887397
Lachnospiraceae (OTU 3309)	4.555555555555599	0.4724848813098804	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6218734834887397
Ruminococcaceae (OTU 50)	4.495833333333237	0.4804411173406923	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6231808695940864
Akkermansia (OTU 200)	4.519290123456818	0.47730664192395794	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6231808695940864
Bacteroides (OTU 256)	4.439814814814677	0.4879761670274388	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6284009632943276
Lachnospiraceae (OTU 41)	4.0000000000002265	0.5494159513527476	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6304195852060372
Acetatifactor (OTU 78)	4.0000000000002265	0.5494159513527476	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6304195852060372
Lachnospiraceae (OTU 135)	4.0000000000002265	0.5494159513527476	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6304195852060372
Lachnospiraceae (OTU 151)	4.156249999999956	0.5271462746755845	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6304195852060372
Coriobacteriaceae (OTU 158)	4.0000000000002265	0.5494159513527476	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6304195852060372
Acetatifactor (OTU 165)	4.0000000000002265	0.5494159513527476	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6304195852060372
Bacteria (OTU 168)	4.0000000000002265	0.5494159513527476	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6304195852060372
Lachnospiraceae (OTU 181)	4.0000000000002265	0.5494159513527476	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6304195852060372
Coriobacteriaceae (OTU 204)	4.0000000000002265	0.5494159513527476	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6304195852060372
Ruminococcaceae (OTU 216)	4.0000000000002265	0.5494159513527476	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6304195852060372
Lachnospiraceae (OTU 238)	4.0000000000002265	0.5494159513527476	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6304195852060372
Lachnospiraceae (OTU 276)	4.0000000000002265	0.5494159513527476	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6304195852060372
Lachnospiraceae (OTU 317)	4.0000000000002265	0.5494159513527476	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6304195852060372
Ruminococcaceae (OTU 335)	4.0000000000002265	0.5494159513527476	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6304195852060372
Lachnospiraceae (OTU 550)	4.0000000000002265	0.5494159513527476	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6304195852060372
Erysipelotrichaceae (OTU 814)	4.0000000000002265	0.5494159513527476	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6304195852060372
Lachnospiraceae (OTU 994)	4.0000000000002265	0.5494159513527476	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6304195852060372
Akkermansia (OTU 306)	3.730902777777873	0.5887719608256515	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6712750381388002
Alistipes (OTU 18)	3.1666666666666847	0.6743083959428066	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6936850739871401
Clostridiales (OTU 35)	3.1666666666666847	0.6743083959428066	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6936850739871401
Pseudoflavonifractor (OTU 69)	3.320390070922024	0.6507214482167055	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6936850739871401
Lachnospiraceae (OTU 85)	3.1666666666666847	0.6743083959428066	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6936850739871401
Ruminococcus (OTU 93)	3.1666666666666847	0.6743083959428066	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6936850739871401
Clostridiales (OTU 97)	3.1666666666666847	0.6743083959428066	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6936850739871401
Lachnospiraceae (OTU 144)	3.1666666666666847	0.6743083959428066	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6936850739871401
Lachnospiraceae (OTU 157)	3.1666666666666847	0.6743083959428066	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6936850739871401
Lachnospiraceae (OTU 160)	3.1666666666666847	0.6743083959428066	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6936850739871401
Lachnospiraceae (OTU 161)	3.1666666666666847	0.6743083959428066	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6936850739871401
Lachnospiraceae (OTU 163)	3.1666666666666847	0.6743083959428066	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6936850739871401
Clostridium (OTU 172)	3.1666666666666847	0.6743083959428066	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6936850739871401
Lachnospiraceae (OTU 244)	3.1666666666666847	0.6743083959428066	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6936850739871401
Lactobacillus (OTU 294)	3.1666666666666847	0.6743083959428066	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6936850739871401
Akkermansia (OTU 347)	3.1666666666666847	0.6743083959428066	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6936850739871401
Akkermansia (OTU 504)	3.1666666666666847	0.6743083959428066	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6936850739871401
Clostridium (OTU 536)	3.1666666666666847	0.6743083959428066	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6936850739871401
Lachnospiraceae (OTU 127)	2.9211805555553814	0.7121361190263336	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.7284135160326498
Lachnospiraceae (OTU 73)	2.6209183673470706	0.7581844686786375	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.7581844686786375
Lachnospiraceae (OTU 174)	2.6209183673470706	0.7581844686786375	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.7581844686786375
Lachnospiraceae (OTU 189)	2.637152777777846	0.7557125669914935	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.7581844686786375
Lachnospiraceae (OTU 193)	2.65493197278897	0.7530022873930831	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.7581844686786375
Lachnospiraceae (OTU 34)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bacteria (OTU 43)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 54)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 67)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 71)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Anaeroplasma (OTU 89)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 92)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Firmicutes (OTU 96)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 98)	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
