otu	statistic	p.value	parameter	method	WMR	CWM	RM	FRM	p.value.adj
Lachnospiraceae (OTU 183)	10.620370370370397	0.01396619772326883	3	Kruskal-Wallis rank sum test	0	0	0	0	0.10643205851180729
Lachnospiraceae (OTU 68)	10.428912189673179	0.015250962550688488	3	Kruskal-Wallis rank sum test	0	0.001	0.0025	0.001	0.11234875745673852
Lachnospiraceae (OTU 24)	9.524666357359235	0.02307039447807625	3	Kruskal-Wallis rank sum test	0.0035	0.004	0	0	0.16446958644047907
Ruminococcaceae (OTU 65)	9.244577160662553	0.026209784541288375	3	Kruskal-Wallis rank sum test	0	0.002	5e-4	5e-4	0.18101132448827284
Lactobacillus (OTU 23)	8.980009176115892	0.02955785957471505	3	Kruskal-Wallis rank sum test	0.003	0.005	0.0055	0.0035	0.19695292091776964
Lachnospiraceae (OTU 95)	8.92532031726663	0.03030044937196456	3	Kruskal-Wallis rank sum test	0	0	0	0	0.19695292091776964
Lactobacillus (OTU 13)	8.744754828157648	0.03288423925047087	3	Kruskal-Wallis rank sum test	0.004	0.017	0.009	0.0025	0.20764048212440175
Lachnospiraceae (OTU 84)	8.562857142857116	0.035704594424234085	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2191865379932148
Lachnospiraceae (OTU 11)	8.246471987314992	0.04118326557126315	3	Kruskal-Wallis rank sum test	0.003	0	5e-4	5e-4	0.2362640145323575
Lachnospiraceae (OTU 20)	8.219123074318603	0.041693649623357205	3	Kruskal-Wallis rank sum test	0.005	0.004	0.001	0	0.2362640145323575
Lachnospiraceae (OTU 72)	8.239503468419139	0.0413127301597743	3	Kruskal-Wallis rank sum test	0	0.001	0.001	0	0.2362640145323575
Lachnospiraceae (OTU 4)	7.510275505020482	0.057295017284029685	3	Kruskal-Wallis rank sum test	0.047	0.059	0.034	0.0095	0.26594015856321424
Porphyromonadaceae (OTU 7)	7.873545232273851	0.048698732060393275	3	Kruskal-Wallis rank sum test	0	0	5e-4	0.0025	0.26594015856321424
Butyricicoccus (OTU 56)	7.654423730831794	0.05372062232828306	3	Kruskal-Wallis rank sum test	0.0025	0	0.001	5e-4	0.26594015856321424
Lachnospiraceae (OTU 90)	7.5661963036963025	0.055881759749002745	3	Kruskal-Wallis rank sum test	0	0	0.0015	5e-4	0.26594015856321424
Clostridiales (OTU 91)	7.6629766915876	0.05351548783219297	3	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.26594015856321424
Olsenella (OTU 114)	7.5225356141655695	0.05698223419619567	3	Kruskal-Wallis rank sum test	0	0	0	0.001	0.26594015856321424
Clostridium (OTU 145)	7.492139800971129	0.05776075842096961	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26594015856321424
Lachnospiraceae (OTU 161)	7.501557917888571	0.057518435908955175	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26594015856321424
Ruminococcaceae (OTU 169)	7.496103896103921	0.05765864409445071	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26594015856321424
Acetatifactor (OTU 55)	7.232473080317761	0.06484584694584034	3	Kruskal-Wallis rank sum test	0	0	0	0	0.29246800357205543
Porphyromonadaceae (OTU 99)	6.9914285714285125	0.07217147544949942	3	Kruskal-Wallis rank sum test	0	0	0	0	0.31274306028116416
Bacteria (OTU 108)	6.9914285714285125	0.07217147544949942	3	Kruskal-Wallis rank sum test	0	0	0	0	0.31274306028116416
Clostridium (OTU 22)	6.841154685314676	0.07713679342538657	3	Kruskal-Wallis rank sum test	0	0.008	0.0075	0.0015	0.31568946938908204
Bifidobacterium (OTU 28)	6.8603414053195575	0.07648492505546675	3	Kruskal-Wallis rank sum test	0	0	0	0.0015	0.31568946938908204
Lachnospiraceae (OTU 94)	6.912415329768279	0.07474241136779974	3	Kruskal-Wallis rank sum test	0	0.001	0	0.0015	0.31568946938908204
Lachnospiraceae (OTU 117)	6.666835292367202	0.08331010932631376	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.3347551665657335
Lachnospiraceae (OTU 31)	6.4761444771104975	0.09060806940190756	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3362121647877837
Lachnospiraceae (OTU 104)	6.472244600997273	0.09076355863224114	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.3362121647877837
Clostridium (OTU 126)	6.5812121212120935	0.08651413684381813	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3362121647877837
Blautia (OTU 132)	6.45935444158042	0.09127932075686436	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3362121647877837
Clostridiales (OTU 154)	6.505714285714254	0.08943741889394227	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3362121647877837
Lachnospiraceae (OTU 32)	6.383875668989507	0.09435639629765279	3	Kruskal-Wallis rank sum test	0.002	0	0.0015	0	0.336334896480343
Clostridiales (OTU 141)	6.399999999999995	0.09369079040763015	3	Kruskal-Wallis rank sum test	0	0	0	0	0.336334896480343
Turicibacter (OTU 5)	5.893051046711035	0.11693105669721186	3	Kruskal-Wallis rank sum test	0.0205	0.051	0.0375	0.0085	0.3388681940595733
Peptostreptococcaceae (OTU 12)	5.151980286206303	0.16100072568441265	3	Kruskal-Wallis rank sum test	0	0	0.001	0	0.3388681940595733
Blautia (OTU 19)	5.549999999999992	0.1356784617143667	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Lachnospiraceae (OTU 73)	5.885879880850655	0.11729636264527694	3	Kruskal-Wallis rank sum test	0	0	0	0.001	0.3388681940595733
Lachnospiraceae (OTU 75)	5.847085866824862	0.11929152116546936	3	Kruskal-Wallis rank sum test	0.001	0	0	0	0.3388681940595733
Lachnospiraceae (OTU 81)	5.189993719907905	0.1584019302623334	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Lachnospiraceae (OTU 88)	5.509358288770062	0.13807995830014325	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Firmicutes (OTU 96)	5.166666666666722	0.1599919632008023	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Clostridiales (OTU 107)	5.166666666666722	0.1599919632008023	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Lachnospiraceae (OTU 111)	6.3224169089337785	0.09693527778461983	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Porphyromonadaceae (OTU 122)	5.166666666666722	0.1599919632008023	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Lachnospiraceae (OTU 125)	5.549999999999992	0.1356784617143667	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Lachnospiraceae (OTU 127)	5.929498164014731	0.11509112944955464	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Lachnospiraceae (OTU 133)	5.5542857142857045	0.13542754410321473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Lachnospiraceae (OTU 140)	5.549999999999992	0.1356784617143667	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Erysipelotrichaceae (OTU 142)	5.166666666666722	0.1599919632008023	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Lachnospiraceae (OTU 152)	5.5542857142857045	0.13542754410321473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Bacteroides (OTU 178)	5.166666666666722	0.1599919632008023	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Porphyromonadaceae (OTU 190)	5.166666666666722	0.1599919632008023	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Prevotella (OTU 191)	5.166666666666722	0.1599919632008023	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Porphyromonadaceae (OTU 194)	5.166666666666722	0.1599919632008023	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Clostridiales (OTU 199)	5.166666666666722	0.1599919632008023	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Akkermansia (OTU 200)	5.166666666666722	0.1599919632008023	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Lachnospiraceae (OTU 205)	5.5542857142857045	0.13542754410321473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Bacteria (OTU 223)	5.166666666666722	0.1599919632008023	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Lachnospiraceae (OTU 225)	5.549999999999992	0.1356784617143667	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Porphyromonadaceae (OTU 312)	5.166666666666722	0.1599919632008023	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Akkermansia (OTU 348)	5.166666666666722	0.1599919632008023	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Porphyromonadaceae (OTU 438)	5.166666666666722	0.1599919632008023	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Porphyromonadaceae (OTU 483)	5.166666666666722	0.1599919632008023	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Akkermansia (OTU 512)	5.166666666666722	0.1599919632008023	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Porphyromonadaceae (OTU 631)	5.166666666666722	0.1599919632008023	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Dorea (OTU 699)	5.166666666666722	0.1599919632008023	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Porphyromonadaceae (OTU 700)	5.166666666666722	0.1599919632008023	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Lachnospiraceae (OTU 914)	5.166666666666722	0.1599919632008023	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Porphyromonadaceae (OTU 922)	5.166666666666722	0.1599919632008023	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Porphyromonadaceae (OTU 1108)	5.166666666666722	0.1599919632008023	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Porphyromonadaceae (OTU 1152)	5.166666666666722	0.1599919632008023	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Porphyromonadaceae (OTU 1545)	5.166666666666722	0.1599919632008023	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Lachnospiraceae (OTU 1548)	5.166666666666722	0.1599919632008023	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Lachnospiraceae (OTU 1661)	5.166666666666722	0.1599919632008023	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Porphyromonadaceae (OTU 2161)	5.166666666666722	0.1599919632008023	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Lachnospiraceae (OTU 2205)	5.166666666666722	0.1599919632008023	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3388681940595733
Ruminococcaceae (OTU 52)	5.091854108091199	0.1651933804092766	3	Kruskal-Wallis rank sum test	5e-4	0	0.001	0	0.3444126138721711
Clostridium (OTU 51)	4.998264996300371	0.17192423388516798	3	Kruskal-Wallis rank sum test	0	0	0.001	0.001	0.35509584755721607
Lachnospiraceae (OTU 85)	4.858585858585813	0.1824499227760575	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3665584812137156
Clostridiales (OTU 97)	4.858585858585813	0.1824499227760575	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3665584812137156
Ruminococcaceae (OTU 147)	4.862337662337614	0.18215948498953347	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3665584812137156
Lachnospiraceae (OTU 36)	4.728218735579146	0.19281487872281625	3	Kruskal-Wallis rank sum test	0	0	0	0	0.38389268646614766
Lachnospiraceae (OTU 26)	4.545165047665362	0.2082968749075784	3	Kruskal-Wallis rank sum test	0.002	0.004	0.002	0	0.3968414599532312
Ruminococcaceae (OTU 61)	4.581503979891063	0.20513451751321654	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3968414599532312
Lachnospiraceae (OTU 74)	4.601871657753993	0.20338158018554878	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3968414599532312
Lachnospiraceae (OTU 82)	4.546227507432332	0.20820377754789496	3	Kruskal-Wallis rank sum test	0	0	0.001	0	0.3968414599532312
Lachnospiraceae (OTU 151)	4.568202637057595	0.20628684992676447	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3968414599532312
Ruminococcaceae (OTU 59)	4.514956355120288	0.21096008806351096	3	Kruskal-Wallis rank sum test	0	0	0	0	0.39848016634218736
Lactobacillus (OTU 9)	4.368987672605321	0.22427823481196257	3	Kruskal-Wallis rank sum test	0.0035	0.002	0.0075	0.006999999999999999	0.4175980622161699
Lachnospiraceae (OTU 76)	4.342779335202242	0.22675007903140448	3	Kruskal-Wallis rank sum test	0.001	0	0	0	0.4175980622161699
Lachnospiraceae (OTU 121)	4.360456045604562	0.22508015854105487	3	Kruskal-Wallis rank sum test	0	0	5e-4	0	0.4175980622161699
Oscillibacter (OTU 57)	4.2739682539682216	0.233359812932954	3	Kruskal-Wallis rank sum test	0	0	0	0	0.42312422536321936
Ruminococcaceae (OTU 106)	4.271708090957132	0.2335798891145374	3	Kruskal-Wallis rank sum test	0	0	0	0	0.42312422536321936
Lachnospiraceae (OTU 128)	4.180000000000066	0.2426719079744161	3	Kruskal-Wallis rank sum test	0	0	0	0	0.43602025741744677
Clostridiales (OTU 137)	4.110138248847935	0.2498141611176728	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4452333032823039
Lachnospiraceae (OTU 113)	4.03741750053227	0.25745195947398763	3	Kruskal-Wallis rank sum test	0	0	0	0	0.45517506435001015
Enterobacteriaceae (OTU 2)	3.9474885791123855	0.26719052876555055	3	Kruskal-Wallis rank sum test	0	0.006	0.003	0.0015	0.4649535973006825
Ruminococcaceae (OTU 37)	3.952952700017025	0.2665894081974695	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.4649535973006825
Ruminococcaceae (OTU 60)	3.849992039484174	0.2781245228068301	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4801993714086676
Ruminococcaceae (OTU 101)	3.7558441558440747	0.28906414133291847	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4952184126711239
Alistipes (OTU 18)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Clostridiales (OTU 35)	2.8441558441557855	0.4162825667409857	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Lachnospiraceae (OTU 42)	3.0809672611893704	0.37930930451410283	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Oscillibacter (OTU 45)	3.156418035359364	0.36813163821798367	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Lachnospiraceae (OTU 58)	3.0809672611893704	0.37930930451410283	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Lachnospiraceae (OTU 64)	2.8253019014422067	0.419351692840521	3	Kruskal-Wallis rank sum test	0	0	0	0.0015	0.5405012891867015
Lachnospiraceae (OTU 131)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Acetatifactor (OTU 138)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Ruminococcaceae (OTU 143)	2.765454545454472	0.4292183307547291	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Lachnospiraceae (OTU 144)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Lachnospiraceae (OTU 149)	2.8780748663101337	0.4108081393663064	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Lachnospiraceae (OTU 150)	2.765454545454472	0.4292183307547291	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Staphylococcus (OTU 156)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Lachnospiraceae (OTU 160)	2.81766233766234	0.4206006290704339	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Lachnospiraceae (OTU 167)	3.419999999999962	0.33128703215462796	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Lachnospiraceae (OTU 174)	3.0171428571429235	0.38898962936992176	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Enterobacteriaceae (OTU 176)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Lachnospiraceae (OTU 180)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Lachnospiraceae (OTU 181)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Lachnospiraceae (OTU 185)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Enterococcus (OTU 187)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Firmicutes (OTU 198)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Coriobacteriaceae (OTU 204)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Lachnospiraceae (OTU 211)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Lachnospiraceae (OTU 227)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Dorea (OTU 229)	2.8780748663101337	0.4108081393663064	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Akkermansia (OTU 250)	2.8441558441557855	0.4162825667409857	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Akkermansia (OTU 264)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Lachnospiraceae (OTU 287)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Lachnospiraceae (OTU 301)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Porphyromonadaceae (OTU 325)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Ruminococcaceae (OTU 335)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Streptococcus (OTU 354)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Enterorhabdus (OTU 358)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Lachnospiraceae (OTU 365)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Turicibacter (OTU 374)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Lachnospiraceae (OTU 503)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Lactobacillaceae (OTU 515)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Burkholderiales (OTU 522)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Akkermansia (OTU 539)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Lachnospiraceae (OTU 546)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Oscillibacter (OTU 561)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Lactobacillaceae (OTU 652)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Lachnospiraceae (OTU 722)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Peptostreptococcus (OTU 878)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Lactobacillus (OTU 966)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Bacillaceae_ (OTU 1302)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Lachnospiraceae (OTU 1820)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Bacteria (OTU 3748)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Bifidobacterium (OTU 3803)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Porphyromonadaceae (OTU 4502)	2.70000000000013	0.44022729436020935	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5405012891867015
Lachnospiraceae (OTU 34)	2.36363636363643	0.5004395945593344	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5662273110610063
Ruminococcaceae (OTU 54)	2.36363636363643	0.5004395945593344	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5662273110610063
Lachnospiraceae (OTU 112)	2.36363636363643	0.5004395945593344	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5662273110610063
Ruminococcaceae (OTU 118)	2.437676644041448	0.4866596639452443	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5662273110610063
Oscillibacter (OTU 119)	2.437676644041448	0.4866596639452443	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5662273110610063
Lachnospiraceae (OTU 120)	2.3544267161410595	0.502174447818811	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5662273110610063
Lachnospiraceae (OTU 157)	2.36363636363643	0.5004395945593344	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5662273110610063
Acetatifactor (OTU 165)	2.36363636363643	0.5004395945593344	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5662273110610063
Streptococcus (OTU 166)	2.36363636363643	0.5004395945593344	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5662273110610063
Clostridiales (OTU 226)	2.36363636363643	0.5004395945593344	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5662273110610063
Lachnospiraceae (OTU 305)	2.36363636363643	0.5004395945593344	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5662273110610063
Akkermansia (OTU 306)	2.36363636363643	0.5004395945593344	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5662273110610063
Clostridium_sensu (OTU 397)	2.36363636363643	0.5004395945593344	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5662273110610063
Coriobacteriaceae (OTU 419)	2.36363636363643	0.5004395945593344	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5662273110610063
Acetatifactor (OTU 452)	2.36363636363643	0.5004395945593344	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5662273110610063
Lachnospiraceae (OTU 565)	2.36363636363643	0.5004395945593344	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5662273110610063
Lachnospiraceae (OTU 86)	2.3128052466150706	0.5100722014171513	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.5722129772243169
