otu	statistic	p.value	parameter	method	WM	WMC	p.value.adj
Lachnospiraceae (OTU 95)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Firmicutes (OTU 96)	2.434782608695584	0.1186703455645882	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Ruminococcaceae (OTU 100)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 102)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Bacteria (OTU 105)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Clostridiales (OTU 107)	1.5886524822696158	0.20751876218811374	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Bacteria (OTU 108)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 110)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 111)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 112)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 113)	1.5893719806764415	0.2074158832036739	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Olsenella (OTU 114)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Clostridiales (OTU 115)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 117)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 121)	1.5886524822696158	0.20751876218811374	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 124)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Clostridium (OTU 126)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 127)	4.023604016205727	0.044867737383857	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 128)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Firmicutes (OTU 129)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 131)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Blautia (OTU 132)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Acetatifactor (OTU 138)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Clostridiales (OTU 141)	2.626139817629089	0.10511699617656106	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Ruminococcaceae (OTU 147)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 148)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 150)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 151)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 152)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Clostridiales (OTU 154)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Staphylococcus (OTU 156)	2.434782608695584	0.1186703455645882	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 161)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 163)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 174)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Enterobacteriaceae (OTU 176)	2.434782608695584	0.1186703455645882	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Clostridiales (OTU 179)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 181)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 183)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Firmicutes (OTU 188)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Clostridiales (OTU 199)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Akkermansia (OTU 200)	1.5886524822696158	0.20751876218811374	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Bacteria (OTU 209)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Ruminococcaceae (OTU 217)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lactobacillus (OTU 221)	1.5886524822696158	0.20751876218811374	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Listeria (OTU 228)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Bacteroides (OTU 237)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 239)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Pseudoflavonifractor (OTU 240)	1.8653437278525338	0.17200932224830243	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Parabacteroides (OTU 245)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Clostridiales (OTU 251)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Bacteroides (OTU 256)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Streptococcus (OTU 257)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Porphyromonadaceae (OTU 258)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Bacteroides (OTU 261)	1.8065964449144596	0.17891705823927206	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Akkermansia (OTU 264)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Porphyromonadaceae (OTU 271)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Blautia (OTU 273)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Parabacteroides (OTU 275)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Aerococcus (OTU 281)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Porphyromonadaceae (OTU 285)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Bacteroides (OTU 296)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Pseudomonas (OTU 298)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Bacteroidetes (OTU 304)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Bacteria (OTU 310)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Bradyrhizobium (OTU 315)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Akkermansia (OTU 352)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Streptococcus (OTU 354)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Terrisporobacter (OTU 363)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Bacteroides (OTU 367)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Clostridium (OTU 389)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Pseudomonas (OTU 392)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Corynebacterium (OTU 393)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Akkermansia (OTU 406)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 441)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Porphyromonadaceae (OTU 475)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 482)	2.626139817629089	0.10511699617656106	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Ruminococcus (OTU 485)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Bacteria (OTU 491)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 492)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Porphyromonadaceae (OTU 496)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Porphyromonadaceae (OTU 497)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Akkermansia (OTU 512)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Porphyromonadaceae (OTU 514)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Ruminococcaceae (OTU 526)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Porphyromonadaceae (OTU 542)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lactococcus (OTU 548)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 576)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Porphyromonadaceae (OTU 581)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Curvibacter (OTU 600)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Clostridiales (OTU 614)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Mucispirillum (OTU 653)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Porphyromonadaceae (OTU 678)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Bacteroidales (OTU 709)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Gemmata (OTU 741)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 787)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Actinomycetales (OTU 801)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Butyrivibrio (OTU 852)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Rothia (OTU 870)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Akkermansia (OTU 877)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Firmicutes (OTU 946)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Corynebacterium (OTU 963)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Bacteroides (OTU 974)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Leptotrichia (OTU 1025)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 1030)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Gemella (OTU 1065)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Porphyromonadaceae (OTU 1071)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 1082)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Sphingomonas (OTU 1149)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lactobacillus (OTU 1178)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Porphyromonadaceae (OTU 1184)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Chitinophagaceae (OTU 1192)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Finegoldia (OTU 1206)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Porphyromonadaceae (OTU 1266)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 1281)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Ruminococcaceae (OTU 1342)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Akkermansia (OTU 1415)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Proteobacteria (OTU 1451)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 1533)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Chitinophagaceae (OTU 1650)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Peptoniphilus (OTU 1675)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 1720)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Akkermansia (OTU 1743)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Corynebacterium (OTU 1783)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Actinomyces (OTU 1786)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Corynebacterium (OTU 1793)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Granulicatella (OTU 1823)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Firmicutes (OTU 1852)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Prevotella (OTU 1947)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Prevotella (OTU 1976)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 2292)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Clostridiales (OTU 2346)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Neisseria (OTU 2359)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Ruminococcaceae (OTU 2370)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 2449)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Porphyromonas (OTU 2924)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Acetobacteraceae (OTU 2928)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 3238)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Bacteria (OTU 3287)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 3524)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 3593)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Bacteria (OTU 3691)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Marmoricola (OTU 3706)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Porphyromonadaceae (OTU 4553)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Verrucomicrobia (OTU 4777)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Peptostreptococcaceae (OTU 5456)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Butyrivibrio (OTU 346)	0.7512444627118314	0.38608251232813223	1	Kruskal-Wallis rank sum test	0	0	0.5359975304129921
Pseudoflavonifractor (OTU 69)	0.7436789394696127	0.38848492527270734	1	Kruskal-Wallis rank sum test	0	0	0.536479182519453
Bacteroides (OTU 178)	0.7091480714670124	0.39972677666007134	1	Kruskal-Wallis rank sum test	0	0	0.549098361622519
Lactobacillus (OTU 13)	0.69763832138357	0.4035783921381091	1	Kruskal-Wallis rank sum test	0	0	0.5514107706551564
Clostridiales (OTU 35)	0.6438565549677024	0.42231772328321904	1	Kruskal-Wallis rank sum test	0	0	0.5514107706551564
Bacteroidales (OTU 38)	0.6817655255779362	0.4089794339622842	1	Kruskal-Wallis rank sum test	0	0	0.5514107706551564
Lachnospiraceae (OTU 41)	0.6438565549677024	0.42231772328321904	1	Kruskal-Wallis rank sum test	0	0	0.5514107706551564
Lachnospiraceae (OTU 47)	0.6786486125017531	0.4100524582594367	1	Kruskal-Wallis rank sum test	0	0	0.5514107706551564
Ruminococcaceae (OTU 59)	0.6438565549677024	0.42231772328321904	1	Kruskal-Wallis rank sum test	0	0	0.5514107706551564
Lachnospiraceae (OTU 73)	0.6788089737050854	0.4099971516350766	1	Kruskal-Wallis rank sum test	0	0	0.5514107706551564
Porphyromonadaceae (OTU 99)	0.6434002427388096	0.4224821954652303	1	Kruskal-Wallis rank sum test	0	0	0.5514107706551564
Lachnospiraceae (OTU 104)	0.6686654908877457	0.41351726485374934	1	Kruskal-Wallis rank sum test	0	0	0.5514107706551564
Enterococcus (OTU 187)	0.6432482823602697	0.4225369890077827	1	Kruskal-Wallis rank sum test	0	0	0.5514107706551564
Ruminococcaceae (OTU 50)	0.6103896103896309	0.4346411526574321	1	Kruskal-Wallis rank sum test	0	0	0.5588243391309842
Ruminococcaceae (OTU 54)	0.6103896103896309	0.4346411526574321	1	Kruskal-Wallis rank sum test	0	0	0.5588243391309842
Oscillibacter (OTU 57)	0.6103896103896309	0.4346411526574321	1	Kruskal-Wallis rank sum test	0	0	0.5588243391309842
Enterorhabdus (OTU 109)	0.5893436152377468	0.4426730509282418	1	Kruskal-Wallis rank sum test	0	0	0.5663611092758387
Lachnospiraceae (OTU 64)	0.5121693121693373	0.4742012823685278	1	Kruskal-Wallis rank sum test	0	0	0.6037391936496866
Porphyromonadaceae (OTU 14)	0.48448048280145284	0.48639982068703197	1	Kruskal-Wallis rank sum test	0	0	0.6162638504821134
Porphyromonadaceae (OTU 21)	0.45052201969323274	0.5020871597414105	1	Kruskal-Wallis rank sum test	0	0	0.6330664188043872
Prevotella (OTU 191)	0.41392336240219574	0.5199848487359552	1	Kruskal-Wallis rank sum test	0	0	0.65248098807732835
Turicibacter (OTU 5)	0.3618261793214556	0.5474937674334787	1	Kruskal-Wallis rank sum test	0	0	0.6837123124408513
Blautia (OTU 19)	0.33871626118764003	0.5605711591603677	1	Kruskal-Wallis rank sum test	0.054	0.065	0.6967098692421713
Bacteroides (OTU 1)	0.2808551992225432	0.5961412360288182	1	Kruskal-Wallis rank sum test	0.311	0.391	0.7374069317702443
Porphyromonadaceae (OTU 25)	0.26923053099596356	0.6038484061669758	1	Kruskal-Wallis rank sum test	0	0	0.7434171415546258
Lachnospiraceae (OTU 42)	0.256868198897241	0.6122799544122346	1	Kruskal-Wallis rank sum test	0	0	0.7502585356882311
Lachnospiraceae (OTU 70)	0.23845539531166293	0.6253239420783012	1	Kruskal-Wallis rank sum test	0	0	0.762661443375872
Lactobacillus (OTU 23)	0.22104644326867795	0.6382437353049681	1	Kruskal-Wallis rank sum test	0	0	0.7747982089051009
Lachnospiraceae (OTU 20)	0.2163754805147102	0.6418156074473135	1	Kruskal-Wallis rank sum test	0	0	0.7755271923321704
Alistipes (OTU 18)	0.18027157947424552	0.6711399532658456	1	Kruskal-Wallis rank sum test	0	0	0.8072236304257406
