otu	method	C	CWM	RM	FRM	CWM-C	RM-C	RM-CWM	FRM-C	FRM-CWM	FRM-RM
Oscillibacter (OTU 57)	Kruskal-Wallis rank sum test	0.0035	0	0	0	1.8191933211473687e-4	0.0036373375947530836	NA	0.0036373375947530836	0.2435633107610868	0.40465676192728606
Ruminococcaceae (OTU 59)	Kruskal-Wallis rank sum test	0.002	0	0	0	0.0060711679097186	0.0060711679097186	0.3455570234313006	0.0060711679097186	0.3455570234313006	NA
Ruminococcaceae (OTU 60)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.04984949872846063	0.0374365500767317	0.3447209741884441	0.0374365500767317	0.3447209741884441	NA
Lachnospiraceae (OTU 62)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.04775417864447317	0.04775417864447317	0.5556897902827946	0.04775417864447317	0.5556897902827946	NA
Lachnospiraceae (OTU 63)	Kruskal-Wallis rank sum test	0.0025	0	0	0	0.0026638288650076905	0.002691690725499066	0.5556897902827946	0.002691690725499066	0.5556897902827946	NA
Lachnospiraceae (OTU 66)	Kruskal-Wallis rank sum test	0.0025	0	0	0	0.022720107738788405	0.010218362326319938	0.4063108359228304	0.009923709785252024	0.20876840435216534	0.4063108359228304
Pseudoflavonifractor (OTU 69)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.04884436210400216	0.04884436210400216	0.3447209741884441	0.04884436210400216	0.3447209741884441	NA
Lachnospiraceae (OTU 71)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.02084225445321674	0.050060913114699915	NA	0.050060913114699915	NA	NA
Lachnospiraceae (OTU 73)	Kruskal-Wallis rank sum test	0.0035	0	0	0	0.0026596146875326253	0.0026596146875326253	0.5556897902827946	0.0026596146875326253	0.5556897902827946	NA
Lachnospiraceae (OTU 77)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.003161147369388968	0.015165474109767669	NA	0.015165474109767669	NA	NA
Porphyromonadaceae (OTU 80)	Kruskal-Wallis rank sum test	0	0	0	5e-4	NA	NA	NA	0.01730998273538846	0.01730998273538846	0.07313979965890893
Lachnospiraceae (OTU 81)	Kruskal-Wallis rank sum test	0	0	0	0	0.04886287055570175	0.08463407104743573	NA	0.08463407104743573	NA	NA
Lachnospiraceae (OTU 86)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.034843431807930605	0.2435633107610868	0.2435633107610868	0.1255751151405623	NA	0.40465676192728606
Porphyromonadaceae (OTU 87)	Kruskal-Wallis rank sum test	0	0	0	0	NA	NA	NA	0.072290834822517	0.072290834822517	0.173945016799909
Lachnospiraceae (OTU 88)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.08428103794894698	0.08428103794894698	0.5556897902827946	0.08428103794894698	0.5556897902827946	NA
Ruminococcaceae (OTU 92)	Kruskal-Wallis rank sum test	0	0	0	0	0.04886287055570175	0.08463407104743573	NA	0.08463407104743573	NA	NA
Lachnospiraceae (OTU 94)	Kruskal-Wallis rank sum test	0.0015	0	0	0	0.12519855693531595	0.06121164427810373	0.43913498788423644	0.046748202800903485	0.20761380125279844	0.43913498788423644
Clostridiales (OTU 97)	Kruskal-Wallis rank sum test	0.0015	0	0	0	0.00970125030580663	0.012985611889139857	0.5556897902827946	0.012985611889139857	0.5556897902827946	NA
Ruminococcaceae (OTU 98)	Kruskal-Wallis rank sum test	0	0	0	0	0.04886287055570175	0.08463407104743573	NA	0.08463407104743573	NA	NA
Ruminococcaceae (OTU 101)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.02084225445321674	0.050060913114699915	NA	0.050060913114699915	NA	NA
Lachnospiraceae (OTU 102)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.011913957308527786	0.011913957308527786	0.5556897902827946	0.011913957308527786	0.5556897902827946	NA
Bacteria (OTU 108)	Kruskal-Wallis rank sum test	0.0015	0	0	0	0.0031953860408071998	0.015357373001479074	NA	0.015357373001479074	NA	NA
Lachnospiraceae (OTU 110)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.008538655008429897	0.028866319387474824	NA	0.028866319387474824	NA	NA
Clostridiales (OTU 115)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.005268578948981613	0.03791368527441917	NA	0.07267222026674319	0.2435633107610868	0.40465676192728606
Ruminococcaceae (OTU 118)	Kruskal-Wallis rank sum test	0	0	0	0	0.04928006944224782	0.08541045077947976	NA	0.08541045077947976	NA	NA
Lachnospiraceae (OTU 125)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.003127154113244626	0.01497462003069268	NA	0.01497462003069268	NA	NA
Clostridium (OTU 126)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.023910109429715453	0.023910109429715453	0.3447209741884441	0.023910109429715453	0.3447209741884441	NA
Firmicutes (OTU 129)	Kruskal-Wallis rank sum test	0	0	0	0	0.048724136753636335	0.08437526502953398	NA	0.08437526502953398	NA	NA
Lachnospiraceae (OTU 131)	Kruskal-Wallis rank sum test	0	0	0	0	0.04886287055570175	0.08463407104743573	NA	0.08463407104743573	NA	NA
Coriobacteriaceae (OTU 158)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.01989757425334912	0.047536931202069074	NA	0.047536931202069074	NA	NA
Porphyromonadaceae (OTU 175)	Kruskal-Wallis rank sum test	0	0	0	5e-4	NA	NA	NA	0.017462813807417425	0.017462813807417425	0.07400996998623473
Porphyromonadaceae (OTU 194)	Kruskal-Wallis rank sum test	0	0	0	5e-4	NA	NA	NA	0.01730998273538846	0.01730998273538846	0.07313979965890893
