genus	statistic	p.value	parameter	method	WM	C	WMR	WMC	p.value.adj	day
Neisseriaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Odoribacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Parabacteroides	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Paraprevotella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Parasutterella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Parvimonas	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Pasteurellaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Pectinatus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Peptoniphilus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Peptostreptococcus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Phascolarctobacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Phenylobacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Phocaeicola	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Phyllobacteriaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Phyllobacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Porphyromonas	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Proteobacteria Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Proteus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Pseudomonas	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Pyramidobacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Ralstonia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Romboutsia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Roseburia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Rothia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Ruminococcus2	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Senegalimassilia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Sphingomonas	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Stenotrophomonas	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Stomatobaculum	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Subdoligranulum	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Succiniclasticum	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Succinivibrio	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Sutterella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Veillonella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Veillonellaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Verrucomicrobia Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Weissella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Firmicutes Unclassified	12.99283154121864	0.0015088375325846466	2	Kruskal-Wallis rank sum test	0	0.007	0	NA	0.015411245966700805	30
Ruminococcaceae Unclassified	12.8125	0.0016512049250036575	2	Kruskal-Wallis rank sum test	0.0495	0.0905	0.020999999999999998	NA	0.015411245966700805	30
Unclassified	12.969588550983904	0.0015264747676175079	2	Kruskal-Wallis rank sum test	0	0.0275	0	NA	0.015411245966700805	30
Clostridiales Unclassified	10.991218236173394	0.004104755423139517	2	Kruskal-Wallis rank sum test	0.003	0.065	0.0025	NA	0.02873328796197662	30
Bacteroides	9.647058823529413	0.008038366309575124	2	Kruskal-Wallis rank sum test	0.16949999999999998	0.0055	0.38	NA	0.045014851333620695	30
Clostridium XlVb	6.941287878787878	0.031096999629273207	2	Kruskal-Wallis rank sum test	0	0.0055	0.002	NA	0.10074564580449535	30
Enterorhabdus	7.083333333333333	0.028965011810970175	2	Kruskal-Wallis rank sum test	0	0	0.001	NA	0.10074564580449535	30
Peptostreptococcaceae Unclassified	7.226989079563175	0.02695747809505767	2	Kruskal-Wallis rank sum test	0.0085	0	0.001	NA	0.10074564580449535	30
Porphyromonadaceae Unclassified	6.860272459499265	0.03238252900858779	2	Kruskal-Wallis rank sum test	0.138	0.213	0.0015	NA	0.10074564580449535	30
Blautia	6.399999999999998	0.04076220397836626	2	Kruskal-Wallis rank sum test	0	0	5e-4	NA	0.11413417113942552	30
Anaeroplasma	5.714285714285717	0.05743261926761727	2	Kruskal-Wallis rank sum test	0	0.001	0	NA	0.14619212177211668	30
Acetatifactor	4.488384955752213	0.10601311375247482	2	Kruskal-Wallis rank sum test	0.0115	0.024	0.025500000000000002	NA	0.2360405930131707	30
Turicibacter	4.4220132743362806	0.10959027532754355	2	Kruskal-Wallis rank sum test	0.0115	0.03	0.0215	NA	0.2360405930131707	30
Butyricicoccus	4.077111613876314	0.1302166331058431	2	Kruskal-Wallis rank sum test	0.006	0.0015	0.004	NA	0.2604332662116862	30
Akkermansia	3.6712962962962927	0.15951008209178422	2	Kruskal-Wallis rank sum test	0.0665	0.006500000000000001	0.1265	NA	0.2977521532379972	30
Clostridium IV	2.6666666666666705	0.26359713811572627	2	Kruskal-Wallis rank sum test	0	0.001	0.001	NA	0.461294991702521	30
Pseudoflavonifractor	2.3738872403560816	0.3051525021833764	2	Kruskal-Wallis rank sum test	0.008	0.005	0.0025	NA	0.5026041212432082	30
Alistipes	2.1794871794871638	0.3363027141175231	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5231375552939248	30
Enterobacteriaceae Unclassified	2.059550989345512	0.35708711953137867	2	Kruskal-Wallis rank sum test	0.002	5e-4	0.0025	NA	0.5262336498357159	30
Aurantimonadaceae Unclassified	1.6666666666666403	0.4345982085070839	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5290760799216674	30
Bacillus	1.6666666666666403	0.4345982085070839	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5290760799216674	30
Coriobacteriaceae Unclassified	1.6666666666666683	0.4345982085070778	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5290760799216674	30
Erysipelotrichaceae Unclassified	1.6666666666666683	0.4345982085070778	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5290760799216674	30
Oscillibacter	0.7669616519174121	0.6814851447477929	2	Kruskal-Wallis rank sum test	0.0025	0.0115	0.016	NA	0.7950660022057584	30
Bacteroidales Unclassified	0.4166666666666778	0.8119363461506304	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.8453656622510979	30
Clostridium XlVa	0.462278106508877	0.7936291016527554	2	Kruskal-Wallis rank sum test	0.0125	0.011	0.013999999999999999	NA	0.8453656622510979	30
Lachnospiraceae Unclassified	0.3359720176730419	0.8453656622510979	2	Kruskal-Wallis rank sum test	0.40049999999999997	0.4025	0.39949999999999997	NA	0.8453656622510979	30
Lactobacillus	0.35912112259969914	0.8356373421270633	2	Kruskal-Wallis rank sum test	0.007	0.01	0.008	NA	0.8453656622510979	30
Acetitomaculum	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Acetobacteraceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Acidaminococcaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
