genus	statistic	p.value	parameter	method	WM	C	WMR	WMC	p.value.adj	day
Streptococcus	1.6666666666666403	0.4345982085070839	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5395012243536215	30
Turicibacter	1.3311209439528031	0.5139853725651312	2	Kruskal-Wallis rank sum test	0.0145	0.0275	0.0195	NA	0.6167824470781574	30
Erysipelotrichaceae Unclassified	1.1111111111111098	0.5737534207374332	2	Kruskal-Wallis rank sum test	0	0	5e-4	NA	0.6662942950499224	30
Clostridium XlVa	0.95326409495549	0.620870938296767	2	Kruskal-Wallis rank sum test	0.013000000000000001	0.0165	0.011	NA	0.6923075919182827	30
Enterobacteriaceae Unclassified	0.8075305810397523	0.6678008420647484	2	Kruskal-Wallis rank sum test	0.0025	0.001	0.029500000000000002	NA	0.6923075919182827	30
Lachnospiraceae Unclassified	0.841911764705884	0.6564190604347948	2	Kruskal-Wallis rank sum test	0.346	0.5065	0.4995	NA	0.6923075919182827	30
Oscillibacter	0.7917916041978981	0.6730768254761083	2	Kruskal-Wallis rank sum test	0.001	0.0085	0.0065	NA	0.6923075919182827	30
Dorea	0.5849358974358858	0.7464191683437907	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.7464191683437907	30
Acetitomaculum	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Acetobacteraceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Acidaminococcaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Acidaminococcus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Actinobacillus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Actinomyces	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Actinomycetales Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Aerococcus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Aestuariispira	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Alloprevotella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Alphaproteobacteria Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Anaerofustis	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Anaerostipes	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Anaerotruncus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Atopobium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Atopostipes	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Aurantimonadaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Bacillaceae 1 Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Bacillales Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Bacilli Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Betaproteobacteria Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Bifidobacteriaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Bilophila	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Brachybacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Bradyrhizobium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Brucellaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Burkholderia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Burkholderiales Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Butyricimonas	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Butyrivibrio	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Campylobacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Carnobacteriaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Catonella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Chitinophagaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Cloacibacillus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Cloacibacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Clostridiaceae 1 Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Clostridiales Incertae Sedis XIII Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Clostridium sensu stricto	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Clostridium XI	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Clostridium XVIII	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Collinsella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Comamonadaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Corynebacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Curvibacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Cystobacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Desulfovibrio	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Devosia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Dialister	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Dysgonomonas	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Enterococcus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Escherichia/Shigella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
Eubacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NA	NaN	30
