otu	statistic	p.value	parameter	method	WMR	CWM	RM	FRM	p.value.adj
Akkermansia (OTU 3)	16.080677751727553	0.0010916023381968912	3	Kruskal-Wallis rank sum test	0.0145	0.2515	0.191	0.10500000000000001	0.011789305252526425
Lachnospiraceae (OTU 70)	16.147971583473556	0.0010574572607762026	3	Kruskal-Wallis rank sum test	0.001	0	5e-4	0	0.011789305252526425
Lactobacillus (OTU 9)	15.790666480585529	0.001251725474025978	3	Kruskal-Wallis rank sum test	0.003	0.004	0.016	0.013	0.012874890589981489
Bacteria (OTU 108)	15.643078512396668	0.0013419561444631507	3	Kruskal-Wallis rank sum test	0	0	0	0.001	0.01317556941836548
Lachnospiraceae (OTU 84)	15.392718822618189	0.0015100174952860615	3	Kruskal-Wallis rank sum test	0	0	0	0	0.013590157457574553
Lachnospiraceae (OTU 140)	15.392718822618189	0.0015100174952860615	3	Kruskal-Wallis rank sum test	0	0	0	0	0.013590157457574553
Lachnospiraceae (OTU 46)	14.450033437360673	0.0023523875925547696	3	Kruskal-Wallis rank sum test	0.002	0	0	0	0.02032462879967321
Lachnospiraceae (OTU 24)	13.981388019116684	0.0029305966358695846	3	Kruskal-Wallis rank sum test	0.0035	5e-4	0	0	0.024346495128762705
Porphyromonadaceae (OTU 122)	13.629629629629662	0.0034551965366395846	3	Kruskal-Wallis rank sum test	0	0	0	0	0.027641572293116676
Lachnospiraceae (OTU 11)	13.39838193456615	0.00384970400409193	3	Kruskal-Wallis rank sum test	0.002	0	0.001	0	0.02969771660299489
Lachnospiraceae (OTU 90)	13.290542740210194	0.0040486194421509485	3	Kruskal-Wallis rank sum test	0	0	0.002	0.0015	0.03015523446567603
Lachnospiraceae (OTU 29)	11.643856800433023	0.008708271488622151	3	Kruskal-Wallis rank sum test	0	5e-4	0.0075	0	0.06269955471807949
Lactobacillus (OTU 23)	10.796201567261658	0.012880512968363381	3	Kruskal-Wallis rank sum test	0.0025	0.008	0.01	0.006999999999999999	0.08694346253645283
Bifidobacterium (OTU 28)	10.804111474624948	0.01283367775255539	3	Kruskal-Wallis rank sum test	0	0	0	0.013	0.08694346253645283
Bacteroides (OTU 1)	10.639059509846255	0.01384664810946252	3	Kruskal-Wallis rank sum test	0.56	0.1665	0.487	0.29100000000000004	0.09049251927813302
Clostridium (OTU 51)	10.577513525698844	0.014244192849335754	3	Kruskal-Wallis rank sum test	0	0	0.001	0	0.09049251927813302
Ruminococcaceae (OTU 65)	10.4574895325985	0.015052060423796563	3	Kruskal-Wallis rank sum test	0	0.002	0	0	0.09289271575828736
Lachnospiraceae (OTU 17)	10.2784908234127	0.01634132610914417	3	Kruskal-Wallis rank sum test	0.002	0.011	0.009999999999999998	0.009000000000000001	0.09539801188040921
Lachnospiraceae (OTU 68)	10.307801960920653	0.016123007091515863	3	Kruskal-Wallis rank sum test	0	0.0025	0.001	5e-4	0.09539801188040921
Lactobacillus (OTU 13)	10.188799504950486	0.017027598885503464	3	Kruskal-Wallis rank sum test	0.005	0.013	0.0215	0.008	0.09678845682286179
Lachnospiraceae (OTU 20)	10.086564050924295	0.017844461067882234	3	Kruskal-Wallis rank sum test	0.009	0	0.0025	0	0.09883086129904006
Lachnospiraceae (OTU 16)	9.866194534971163	0.0197384535350697	3	Kruskal-Wallis rank sum test	0.001	0.0045000000000000005	0.0045000000000000005	0.0025	0.10658764908937639
Lachnospiraceae (OTU 94)	9.238702137132695	0.02627992970937912	3	Kruskal-Wallis rank sum test	0	0	0.0015	0.001	0.13845036139575342
Lachnospiraceae (OTU 72)	9.119181946403378	0.0277475560328485	3	Kruskal-Wallis rank sum test	0	5e-4	0.001	0	0.14270171674036372
Clostridiales (OTU 141)	9.021699981991727	0.029003760392469737	3	Kruskal-Wallis rank sum test	0	0	0	0	0.14569330801798752
Lachnospiraceae (OTU 31)	8.56055802155989	0.035741713827369244	3	Kruskal-Wallis rank sum test	0	0	0	0	0.1754593224252672
Lachnospiraceae (OTU 161)	8.502323616392133	0.03669458370895889	3	Kruskal-Wallis rank sum test	0	0	0	0	0.17613400180300265
Lachnospiraceae (OTU 88)	8.259358711104094	0.04094489148493305	3	Kruskal-Wallis rank sum test	0	0	0	0	0.19226296871185955
Ruminococcaceae (OTU 52)	8.011770475723365	0.045769070754211036	3	Kruskal-Wallis rank sum test	0.001	0	0	0	0.21034296346616138
Lachnospiraceae (OTU 110)	7.8121611154144555	0.05005755107081673	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2252589798186753
Clostridium (OTU 22)	6.715269721577741	0.08154864000691227	3	Kruskal-Wallis rank sum test	0	0.0085	0.0045000000000000005	0.003	0.2570903141488621
Ruminococcaceae (OTU 61)	7.451421113689096	0.058819877356892016	3	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.2570903141488621
Lachnospiraceae (OTU 81)	7.054869419786404	0.07016930883747817	3	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.2570903141488621
Porphyromonadaceae (OTU 99)	6.666666666666574	0.08331630551120531	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2570903141488621
Clostridiales (OTU 107)	6.666666666666574	0.08331630551120531	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2570903141488621
Clostridium (OTU 126)	6.761844712664355	0.07988869430043255	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2570903141488621
Porphyromonadaceae (OTU 175)	6.666666666666574	0.08331630551120531	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2570903141488621
Lachnospiraceae (OTU 183)	6.666666666666574	0.08331630551120531	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2570903141488621
Porphyromonadaceae (OTU 190)	6.666666666666574	0.08331630551120531	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2570903141488621
Porphyromonadaceae (OTU 246)	6.666666666666574	0.08331630551120531	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2570903141488621
Parabacteroides (OTU 275)	6.666666666666574	0.08331630551120531	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2570903141488621
Turicibacter (OTU 299)	6.666666666666574	0.08331630551120531	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2570903141488621
Lachnospiraceae (OTU 328)	6.666666666666574	0.08331630551120531	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2570903141488621
Porphyromonadaceae (OTU 362)	6.666666666666574	0.08331630551120531	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2570903141488621
Turicibacter (OTU 374)	6.666666666666574	0.08331630551120531	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2570903141488621
Clostridium (OTU 389)	6.666666666666574	0.08331630551120531	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2570903141488621
Clostridium_sensu (OTU 397)	6.666666666666574	0.08331630551120531	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2570903141488621
Porphyromonadaceae (OTU 581)	6.666666666666574	0.08331630551120531	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2570903141488621
Porphyromonadaceae (OTU 591)	6.666666666666574	0.08331630551120531	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2570903141488621
Porphyromonadaceae (OTU 912)	6.666666666666574	0.08331630551120531	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2570903141488621
Lactobacillus (OTU 966)	6.666666666666574	0.08331630551120531	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2570903141488621
Porphyromonadaceae (OTU 1502)	6.666666666666574	0.08331630551120531	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2570903141488621
Clostridiales (OTU 91)	6.603473653223429	0.08566987444112627	3	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.26062947717300383
Ruminococcaceae (OTU 37)	6.564885496183184	0.08713840518442721	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2614152155532816
Enterobacteriaceae (OTU 2)	6.495651357777486	0.089834161538658	3	Kruskal-Wallis rank sum test	5e-4	0.0095	0.007	0.0055	0.26581066975822093
Lachnospiraceae (OTU 151)	6.403719955724241	0.0935378737726609	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2730294693904696
Lachnospiraceae (OTU 4)	6.341083338527694	0.096144941036949	3	Kruskal-Wallis rank sum test	0.0415	0.0225	0.015	0.0035	0.2768974301864131
Lachnospiraceae (OTU 116)	6.160488566964898	0.10405788664600936	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2957434673097108
Acetatifactor (OTU 55)	6.0822091062394446	0.10767836010862852	3	Kruskal-Wallis rank sum test	0.001	0	0	0	0.3020587764086203
Oscillibacter (OTU 57)	5.999999999999928	0.11161022509471609	3	Kruskal-Wallis rank sum test	0	0	0	0	0.30516213443618573
Oscillibacter (OTU 119)	5.999999999999988	0.11161022509471319	3	Kruskal-Wallis rank sum test	0	0	0	0	0.30516213443618573
Coriobacteriaceae (OTU 182)	5.795454545454465	0.12199714229110413	3	Kruskal-Wallis rank sum test	0	0	0	0	0.32939228418598115
Peptostreptococcaceae (OTU 12)	5.712069729649889	0.1264905827249398	3	Kruskal-Wallis rank sum test	0	0.002	5e-4	0	0.33730822059983945
Oscillibacter (OTU 45)	5.657022175290421	0.12954283887207366	3	Kruskal-Wallis rank sum test	0	0	0	0	0.34123479507765747
Lachnospiraceae (OTU 82)	5.542458313291665	0.13612107990142805	3	Kruskal-Wallis rank sum test	0	0	0.001	0	0.35424281034588506
Ruminococcaceae (OTU 27)	5.39928133586975	0.14478836119906402	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3723129287975932
Lachnospiraceae (OTU 76)	5.181717492431491	0.1589643475179498	3	Kruskal-Wallis rank sum test	0.003	0	0	5e-4	0.40395645957502535
Lachnospiraceae (OTU 64)	5.117115999558953	0.1634194821884064	3	Kruskal-Wallis rank sum test	0	0	0	0.0035	0.4057311281919056
Lachnospiraceae (OTU 75)	5.136078199052149	0.16209974369114633	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4057311281919056
Lachnospiraceae (OTU 74)	5.009899229401308	0.1710737075617289	3	Kruskal-Wallis rank sum test	0	0	0	0	0.41990819128788004
Ruminococcaceae (OTU 143)	4.87878787878781	0.18089112463901155	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4293679441980934
Clostridium (OTU 145)	4.87878787878781	0.18089112463901155	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4293679441980934
Ruminococcaceae (OTU 147)	4.87878787878781	0.18089112463901155	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4293679441980934
Lachnospiraceae (OTU 83)	4.809104014193845	0.18632118180054494	3	Kruskal-Wallis rank sum test	0	0	0	0	0.43744973118388814
Lachnospiraceae (OTU 150)	4.7210960960960975	0.193396700523494	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4491794334739216
Lachnospiraceae (OTU 128)	4.575405405405398	0.20566211065458187	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4725852755466988
Acetatifactor (OTU 79)	4.511509517485618	0.2112659593528928	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4803520760023668
Lachnospiraceae (OTU 111)	4.3991908575241885	0.2214604252204994	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4982859567461237
Ruminococcaceae (OTU 60)	4.274136599359999	0.23334342845799583	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5052750393942964
Lachnospiraceae (OTU 95)	4.2736966824644576	0.2333862462753411	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5052750393942964
Lachnospiraceae (OTU 152)	4.268181818181724	0.2339236293492113	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5052750393942964
Lachnospiraceae (OTU 239)	4.268181818181724	0.2339236293492113	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5052750393942964
Akkermansia (OTU 200)	3.9544493764531983	0.26642496927106035	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5697801323024657
Ruminococcaceae (OTU 169)	3.9285714285713724	0.26928114172553036	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5702424177717114
Acetatifactor (OTU 78)	3.600000000000128	0.3080221715589774	3	Kruskal-Wallis rank sum test	0	0	0	0	0.588785743864948
Anaeroplasma (OTU 89)	3.600000000000128	0.3080221715589774	3	Kruskal-Wallis rank sum test	0	0	0	0	0.588785743864948
Ruminococcaceae (OTU 106)	3.600000000000128	0.3080221715589774	3	Kruskal-Wallis rank sum test	0	0	0	0	0.588785743864948
Lachnospiraceae (OTU 135)	3.600000000000128	0.3080221715589774	3	Kruskal-Wallis rank sum test	0	0	0	0	0.588785743864948
Lachnospiraceae (OTU 222)	3.600000000000128	0.3080221715589774	3	Kruskal-Wallis rank sum test	0	0	0	0	0.588785743864948
Ruminococcaceae (OTU 335)	3.600000000000128	0.3080221715589774	3	Kruskal-Wallis rank sum test	0	0	0	0	0.588785743864948
Terrisporobacter (OTU 363)	3.600000000000128	0.3080221715589774	3	Kruskal-Wallis rank sum test	0	0	0	0	0.588785743864948
Porphyromonadaceae (OTU 547)	3.600000000000128	0.3080221715589774	3	Kruskal-Wallis rank sum test	0	0	0	0	0.588785743864948
Lachnospiraceae (OTU 565)	3.600000000000128	0.3080221715589774	3	Kruskal-Wallis rank sum test	0	0	0	0	0.588785743864948
Clostridiales (OTU 601)	3.600000000000128	0.3080221715589774	3	Kruskal-Wallis rank sum test	0	0	0	0	0.588785743864948
Lachnospiraceae (OTU 2352)	3.600000000000128	0.3080221715589774	3	Kruskal-Wallis rank sum test	0	0	0	0	0.588785743864948
Lachnospiraceae (OTU 41)	3.415420644928873	0.33189858736983563	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6180180592403836
Lachnospiraceae (OTU 117)	3.420697195780811	0.3311940112109047	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6180180592403836
Lachnospiraceae (OTU 121)	3.442039978582902	0.3283575081318629	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6180180592403836
Lachnospiraceae (OTU 42)	3.1966959215280384	0.3622813606978314	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6352155773077144
Lachnospiraceae (OTU 71)	3.1802469135802016	0.36466079438035454	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6352155773077144
Lachnospiraceae (OTU 112)	3.1802469135802016	0.36466079438035454	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6352155773077144
Lachnospiraceae (OTU 123)	3.2842377260982327	0.3498424918450862	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6352155773077144
Lachnospiraceae (OTU 157)	3.1802469135802016	0.36466079438035454	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6352155773077144
Coriobacteriaceae (OTU 158)	3.1818181818181377	0.3644329218285438	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6352155773077144
Clostridiales (OTU 199)	3.1818181818181377	0.3644329218285438	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6352155773077144
Lachnospiraceae (OTU 211)	3.1818181818181377	0.3644329218285438	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6352155773077144
Blautia (OTU 19)	3.0644037170882714	0.38180158842838974	3	Kruskal-Wallis rank sum test	0	0	0	0	0.63589489168120406
Lachnospiraceae (OTU 32)	2.841301703163003	0.41674597364318744	3	Kruskal-Wallis rank sum test	0.002	0	0.001	5e-4	0.63589489168120406
Lachnospiraceae (OTU 102)	2.9894973743436033	0.3932473106887219	3	Kruskal-Wallis rank sum test	0	0	0	0.001	0.63589489168120406
Ruminococcaceae (OTU 118)	2.8333333333331825	0.4180420121237545	3	Kruskal-Wallis rank sum test	0	0	0	0	0.63589489168120406
Clostridiales (OTU 154)	2.8333333333331825	0.4180420121237545	3	Kruskal-Wallis rank sum test	0	0	0	0	0.63589489168120406
Lachnospiraceae (OTU 180)	2.8333333333331825	0.4180420121237545	3	Kruskal-Wallis rank sum test	0	0	0	0	0.63589489168120406
Firmicutes (OTU 198)	2.8333333333331825	0.4180420121237545	3	Kruskal-Wallis rank sum test	0	0	0	0	0.63589489168120406
Coriobacteriaceae (OTU 204)	3.069135802469087	0.38108813988371587	3	Kruskal-Wallis rank sum test	0	0	0	0	0.63589489168120406
Lachnospiraceae (OTU 227)	2.8333333333331825	0.4180420121237545	3	Kruskal-Wallis rank sum test	0	0	0	0	0.63589489168120406
Akkermansia (OTU 306)	2.8333333333331825	0.4180420121237545	3	Kruskal-Wallis rank sum test	0	0	0	0	0.63589489168120406
Lachnospiraceae (OTU 343)	2.8333333333331825	0.4180420121237545	3	Kruskal-Wallis rank sum test	0	0	0	0	0.63589489168120406
Akkermansia (OTU 512)	2.8333333333331825	0.4180420121237545	3	Kruskal-Wallis rank sum test	0	0	0	0	0.63589489168120406
Akkermansia (OTU 606)	2.8333333333331825	0.4180420121237545	3	Kruskal-Wallis rank sum test	0	0	0	0	0.63589489168120406
Firmicutes (OTU 640)	2.8333333333331825	0.4180420121237545	3	Kruskal-Wallis rank sum test	0	0	0	0	0.63589489168120406
Lachnospiraceae (OTU 722)	2.8333333333331825	0.4180420121237545	3	Kruskal-Wallis rank sum test	0	0	0	0	0.63589489168120406
Lachnospiraceae (OTU 915)	2.8333333333331825	0.4180420121237545	3	Kruskal-Wallis rank sum test	0	0	0	0	0.63589489168120406
Lachnospiraceae (OTU 1345)	2.8333333333331825	0.4180420121237545	3	Kruskal-Wallis rank sum test	0	0	0	0	0.63589489168120406
Lachnospiraceae (OTU 2272)	2.8333333333331825	0.4180420121237545	3	Kruskal-Wallis rank sum test	0	0	0	0	0.63589489168120406
Lachnospiraceae (OTU 36)	2.763904946733818	0.4294763244856641	3	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.6442144867284961
Lachnospiraceae (OTU 47)	2.7701003639572037	0.42844560984331503	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6442144867284961
Dorea (OTU 134)	2.652988614800762	0.44827559244057263	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6677760549459565
Porphyromonadaceae (OTU 7)	2.6272496270048773	0.45273234994873396	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6697958054036064
Pseudoflavonifractor (OTU 69)	2.4686147186146914	0.48098981770358884	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6972738296911086
Lachnospiraceae (OTU 120)	2.476009501187658	0.4796423096288833	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6972738296911086
Lachnospiraceae (OTU 181)	2.476744186046499	0.47950859432260284	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6972738296911086
Lachnospiraceae (OTU 63)	2.4398171987641315	0.4862657035153228	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7002226130620648
Lachnospiraceae (OTU 160)	2.3743767806267897	0.49842219886831096	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7129748010301666
Lachnospiraceae (OTU 62)	2.2858668717423183	0.5152338449470852	3	Kruskal-Wallis rank sum test	5e-4	0	0	5e-4	0.7184263891282671
Ruminococcaceae (OTU 153)	2.2670454545454573	0.518863503259304	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7184263891282671
Lachnospiraceae (OTU 205)	2.2670454545454573	0.518863503259304	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7184263891282671
Akkermansia (OTU 324)	2.2670454545454573	0.518863503259304	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7184263891282671
Romboutsia (OTU 428)	2.2670454545454573	0.518863503259304	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7184263891282671
Alistipes (OTU 18)	1.6136363636364324	0.6563018335761182	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Lachnospiraceae (OTU 26)	2.009449800531921	0.5704476815421503	3	Kruskal-Wallis rank sum test	0.002	0.003	5e-4	0	0.7230694446742537
Lachnospiraceae (OTU 34)	1.5691358024690416	0.6664081384606715	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Clostridiales (OTU 35)	1.5555555555555338	0.6695087450687534	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Ruminococcaceae (OTU 50)	1.6227963188823855	0.6542320246259068	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Ruminococcaceae (OTU 54)	1.5555555555555338	0.6695087450687534	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Lachnospiraceae (OTU 58)	1.5691358024690416	0.6664081384606715	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Lachnospiraceae (OTU 66)	1.5842186894144894	0.6629733963276314	3	Kruskal-Wallis rank sum test	5e-4	0	0.001	0	0.7230694446742537
Lachnospiraceae (OTU 73)	1.6851910325228676	0.640231171597413	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Lachnospiraceae (OTU 77)	2.20420420420424	0.5311207489014231	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Lachnospiraceae (OTU 85)	1.7611915180073408	0.6234162849609304	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Clostridiales (OTU 97)	1.782196969696962	0.6188167167084162	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Ruminococcaceae (OTU 101)	1.5555555555555338	0.6695087450687534	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Clostridiales (OTU 115)	1.599857384322778	0.6594221572942476	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Lachnospiraceae (OTU 125)	1.5555555555555338	0.6695087450687534	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Acetatifactor (OTU 138)	1.5691358024690416	0.6664081384606715	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Lachnospiraceae (OTU 144)	1.5555555555555338	0.6695087450687534	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Staphylococcus (OTU 156)	1.5555555555555338	0.6695087450687534	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Lachnospiraceae (OTU 164)	1.6719509617416415	0.6431876365570501	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Acetatifactor (OTU 165)	1.5555555555555338	0.6695087450687534	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Streptococcus (OTU 166)	1.5555555555555338	0.6695087450687534	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Lachnospiraceae (OTU 167)	1.7635658914728038	0.6228953145840634	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Clostridium (OTU 172)	1.5555555555555338	0.6695087450687534	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Prevotella (OTU 191)	1.5555555555555338	0.6695087450687534	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Acetatifactor (OTU 206)	1.5555555555555338	0.6695087450687534	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Clostridiales (OTU 226)	2.0310077519380174	0.5659959370302757	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Dorea (OTU 229)	1.5555555555555338	0.6695087450687534	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Anaerotruncus (OTU 234)	1.6136363636364324	0.6563018335761182	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Akkermansia (OTU 347)	1.5555555555555338	0.6695087450687534	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Enterorhabdus (OTU 358)	1.5555555555555338	0.6695087450687534	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Bacteroides (OTU 367)	1.5555555555555338	0.6695087450687534	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Ruminococcaceae (OTU 379)	1.5555555555555338	0.6695087450687534	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Akkermansia (OTU 406)	1.5555555555555338	0.6695087450687534	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Lachnospiraceae (OTU 417)	1.5555555555555338	0.6695087450687534	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Lachnospiraceae (OTU 461)	1.5555555555555338	0.6695087450687534	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Clostridia (OTU 560)	1.5555555555555338	0.6695087450687534	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Anaerotruncus (OTU 745)	1.5555555555555338	0.6695087450687534	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Lachnospiraceae (OTU 758)	1.5555555555555338	0.6695087450687534	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Lachnospiraceae (OTU 1117)	1.5555555555555338	0.6695087450687534	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
Lactobacillaceae (OTU 1394)	1.5555555555555338	0.6695087450687534	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7230694446742537
