otu	statistic	p.value	parameter	method	WM	WMR	CWM	RM	FRM	WMC	M1	p.value.adj
Porphyromonadaceae (OTU 10)	39.5908463103372	5.481073070375776e-7	6	Kruskal-Wallis rank sum test	0	0	0.051	0.0475	0.0435	0.001	0.028999999999999998	1.888478812429472e-5
Clostridiales (OTU 154)	37.872213967310536	1.1898583921039507e-6	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.0015	3.7579694217283106e-5
Bifidobacterium (OTU 28)	36.79096299600492	1.934051207203145e-6	6	Kruskal-Wallis rank sum test	0.0335	0	0.008	0.0025	0	0.016	0	5.6385031348460926e-5
Porphyromonadaceae (OTU 25)	36.36346644607639	2.342599413796586e-6	6	Kruskal-Wallis rank sum test	0	0	0.031	0.0405	0.0245	0.001	0.027	5.843328829960181e-5
Clostridiales (OTU 35)	36.32451045166705	2.3838403069849306e-6	6	Kruskal-Wallis rank sum test	0	0	0.007	0.002	0.0025	0	0.022	5.843328829960181e-5
Oscillibacter (OTU 57)	36.248097922891816	2.4668406670016594e-6	6	Kruskal-Wallis rank sum test	0	0	0.002	5e-4	0.0025	0	0.008	5.843328829960181e-5
Ruminococcaceae (OTU 54)	36.09680932516635	2.6397326768063185e-6	6	Kruskal-Wallis rank sum test	0	0	0.004	0.001	0.002	0	0.0095	5.885051085350557e-5
Clostridium (OTU 268)	33.18750000000007	9.649694151912188e-6	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0.002	0	2.0317967130970664e-4
Alistipes (OTU 18)	32.44852922888198	1.3384563021838213e-5	6	Kruskal-Wallis rank sum test	0	0	0.084	0.067	0.034	0	0.1225	2.669868097514043e-4
Ruminococcaceae (OTU 98)	31.30982055310849	2.211955084694491e-5	6	Kruskal-Wallis rank sum test	0	0	0.001	0.001	5e-4	0	0.0035	4.1916548854960603e-4
Enterobacteriaceae (OTU 2)	30.45076952764599	3.2263089987924216e-5	6	Kruskal-Wallis rank sum test	0.1875	0.003	0.001	0	0	0.174	5e-4	5.822719574011085e-4
Clostridium (OTU 172)	29.94618347338926	4.0245350507828076e-5	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	6.933176292030382e-4
Clostridiales (OTU 97)	29.619469191174172	4.6426636847897895e-5	6	Kruskal-Wallis rank sum test	0	0	0.001	0.001	0.001	0	0.0025	7.650302332762306e-4
Porphyromonadaceae (OTU 15)	29.08884970159271	5.852609057620321e-5	6	Kruskal-Wallis rank sum test	0	0	0.037	0.026000000000000002	0.0455	0.001	0.0375	9.242245136825423e-4
Porphyromonadaceae (OTU 87)	28.958397708810622	6.194975106028664e-5	6	Kruskal-Wallis rank sum test	0	0	0.002	0.0045000000000000005	0.003	0	0.001	9.391582260739454e-4
Lachnospiraceae (OTU 73)	28.495280033544688	7.578230812714145e-5	6	Kruskal-Wallis rank sum test	0	0	0.002	0.002	0.001	0	0.0025	0.0011046728761610234
Oscillibacter (OTU 119)	28.333854924071687	8.12887889887842e-5	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0.0011410537417314522
Lachnospiraceae (OTU 36)	28.238242337832013	8.47349241395059e-5	6	Kruskal-Wallis rank sum test	0	0	0.001	0	0.0025	0	0.0045000000000000005	0.0011469477231740265
Lachnospiraceae (OTU 4)	28.083129732868766	9.063526787114439e-5	6	Kruskal-Wallis rank sum test	0	0.01	0.037	0.0175	0.0115	0.001	0.047	0.0011580513401365576
Ruminococcaceae (OTU 61)	28.057052647075476	9.166633299233965e-5	6	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0.0025	0.0011580513401365576
Porphyromonadaceae (OTU 99)	26.9679330933868	1.4682433153169678e-4	6	Kruskal-Wallis rank sum test	0	0	0.003	0.003	0.0065	0	0.0025	0.0017950458596939704
Clostridiales (OTU 115)	26.023891201134532	2.2037235554172693e-4	6	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0.001	0.0026100350859473284
Porphyromonadaceae (OTU 7)	25.627906250946253	2.611239813557872e-4	6	Kruskal-Wallis rank sum test	0	0	0.037	0.049	0.0165	0	0.0245	0.0029197310667571593
Bacteria (OTU 105)	25.620719445552577	2.619283806589536e-4	6	Kruskal-Wallis rank sum test	0	0	0.002	0	0	0	0.0085	0.0029197310667571593
Acetatifactor (OTU 55)	25.055416210585182	3.3348069529825873e-4	6	Kruskal-Wallis rank sum test	0	0	0.001	0.002	0	0	0.0025	0.003611119529086859
Ruminococcaceae (OTU 27)	24.93753779615226	3.506676701676053e-4	6	Kruskal-Wallis rank sum test	0	0	0.001	5e-4	0.002	0	0.003	0.003691751305375623
Lachnospiraceae (OTU 24)	23.80532178067898	5.67112907667117e-4	6	Kruskal-Wallis rank sum test	0	5e-4	0.003	0.002	0.001	0	0.008	0.005809075459617226
Bacteria (OTU 43)	22.838898729174215	8.522704079105137e-4	6	Kruskal-Wallis rank sum test	0	0	0.002	0.0015	0	0	0.001	0.008500275910475912
Lactobacillus (OTU 23)	22.662892663914878	9.176140662197333e-4	6	Kruskal-Wallis rank sum test	0.0075	0	0.008	0.009	0.006	0.003	0.0075	0.008917326438391767
Lachnospiraceae (OTU 47)	21.97165541448643	0.0012252770818086257	6	Kruskal-Wallis rank sum test	0	0	0.002	0.0015	0.004	0	0.005	0.011609500350136729
Lachnospiraceae (OTU 26)	21.725339566716112	0.0013577274377134293	6	Kruskal-Wallis rank sum test	0	0	0.006	0.0015	0.003	0	0.0025	0.012550699973009505
Lachnospiraceae (OTU 71)	21.661880760237462	0.001394063661879271	6	Kruskal-Wallis rank sum test	0	0	0.001	0.001	0.001	0	0	0.012579764948862947
Turicibacter (OTU 5)	21.430526618049498	0.0015347838896170387	6	Kruskal-Wallis rank sum test	0.0205	0.009000000000000001	0.064	0.0315	0.033	0	0.022000000000000002	0.013527513817787388
Oscillibacter (OTU 45)	20.745610344916926	0.0020379709859554463	6	Kruskal-Wallis rank sum test	0	0	0.001	0	0.001	0	0.006	0.017554340992661684
Clostridiales (OTU 173)	20.12184918556964	0.002634414967988104	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.0025	0.022187628285944255
Akkermansia (OTU 3)	20.012882596976098	0.002754811601109277	6	Kruskal-Wallis rank sum test	0	0.1075	0.008	0.0015	5e-4	0.038	0.0025	0.022697252104791656
Lachnospiraceae (OTU 29)	19.889597414766765	0.0028975091566454583	6	Kruskal-Wallis rank sum test	0	0	0.001	0	0.0015	0	0.0015	0.023365020646141037
Lactobacillus (OTU 9)	19.80587254159926	0.0029985030475387516	6	Kruskal-Wallis rank sum test	0.004	0	0.006	0.007	0.007	0.029	0.003	0.02367568031285806
Porphyromonadaceae (OTU 190)	19.74520499108733	0.003073821207244968	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0.02377506607236414
Bacteria (OTU 108)	19.65439403222933	0.003190021629313452	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0.024180363950195967
Lactobacillus (OTU 13)	19.427740691981747	0.0034990454488461006	6	Kruskal-Wallis rank sum test	0.0085	0.003	0.017	0.0115	0.0115	0	0.015	0.02591388804239439
Clostridiales (OTU 107)	19.388474825997395	0.0035554674886662486	6	Kruskal-Wallis rank sum test	0	0	0.002	0	0.001	0	0.0035	0.02591388804239439
Ruminococcus (OTU 93)	19.263013492808106	0.0037417506499337447	6	Kruskal-Wallis rank sum test	0	0	0.001	0.001	0.0015	0	0	0.026757047100469607
Lachnospiraceae (OTU 16)	18.781083100214765	0.004549776766578083	6	Kruskal-Wallis rank sum test	0.0115	5e-4	0	5e-4	0	0	5e-4	0.03193269249135358
Blautia (OTU 19)	18.273677053528854	0.005583449058498509	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0.011	0	0.03586656259611754
Clostridiales (OTU 91)	18.274822112753238	0.005580877572303345	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.03586656259611754
Bacteria (OTU 232)	18.305084745762848	0.005513331292669087	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.03586656259611754
Bacteria (OTU 283)	18.310344827586352	0.00550167202929936	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.03586656259611754
Bacteria (OTU 291)	18.310344827586352	0.00550167202929936	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.03586656259611754
Lachnospiraceae (OTU 11)	18.215297352852037	0.0057160889545881674	6	Kruskal-Wallis rank sum test	0	5e-4	0.003	0.002	0.008	0	0.001	0.03610662856314859
Lachnospiraceae (OTU 41)	18.003276736391136	0.006224011598370983	6	Kruskal-Wallis rank sum test	0	0	0.001	0.001	0.0015	0	0.002	0.037442863425120675
Anaeroplasma (OTU 89)	18.031693370322163	0.006153478015720585	6	Kruskal-Wallis rank sum test	0	0	0	5e-4	5e-4	0	0.002	0.037442863425120675
Firmicutes (OTU 96)	18.056615623626936	0.0060922565580525554	6	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0	0.0045000000000000005	0.037442863425120675
Lachnospiraceae (OTU 63)	17.86848895330756	0.0065693907857857226	6	Kruskal-Wallis rank sum test	0	0	0.001	0.001	5e-4	0	0.002	0.03890311105957483
Clostridium (OTU 22)	17.618251944159883	0.007260493499643327	6	Kruskal-Wallis rank sum test	0	0	0.001	0	0.001	0	0.002	0.04233426209792032
Erysipelotrichaceae (OTU 39)	17.309330012300123	0.008211179339720492	6	Kruskal-Wallis rank sum test	0.002	0.0055	0.001	0.001	0	0	0	0.047152075299304035
Lachnospiraceae (OTU 128)	17.16285014005609	0.008703015778038725	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0.04923049223696533
Lachnospiraceae (OTU 20)	16.950620554113737	0.009466444568092744	6	Kruskal-Wallis rank sum test	0	0.002	0.005	0.003	0.0045000000000000005	0	0.006500000000000001	0.051254035590102144
Lachnospiraceae (OTU 84)	16.99534616592628	0.009300363088048049	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0.051254035590102144
Firmicutes (OTU 188)	16.974331550802102	0.00937804403940751	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0.051254035590102144
Lachnospiraceae (OTU 66)	16.89244915727315	0.009686743761800775	6	Kruskal-Wallis rank sum test	0	0	0.001	0.002	0.001	0	0.001	0.051708111066514
Lachnospiraceae (OTU 32)	16.66991255806689	0.010576073804348192	6	Kruskal-Wallis rank sum test	0	0.0015	0.002	0.001	0.002	0	0.003	0.055671277386777296
Enterococcus (OTU 187)	16.29513888888885	0.012254519373877643	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.06362277866711817
Clostridium (OTU 51)	16.22709414798302	0.012585597122783634	6	Kruskal-Wallis rank sum test	0	0	0.001	0.0015	0.0015	0	0.0025	0.06445866634506754
Porphyromonadaceae (OTU 175)	16.184267830638206	0.01279836735062769	6	Kruskal-Wallis rank sum test	0	0	0	5e-4	5e-4	0	0	0.06467441634517193
Lachnospiraceae (OTU 90)	16.12030829269502	0.01312258642215698	6	Kruskal-Wallis rank sum test	0	0	0.001	0	5e-4	0	0.001	0.06544026649996704
Bacteroides (OTU 282)	15.277302631578946	0.018206175384578006	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.08961221390590993
Lachnospiraceae (OTU 64)	15.202782537676708	0.01873682196834984	6	Kruskal-Wallis rank sum test	0	0	0.001	0.001	5e-4	0	5e-4	0.09104173751287933
Ruminococcaceae (OTU 92)	15.048874916503928	0.01987996547330106	6	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	0.0953735052453304
Ruminococcaceae (OTU 52)	14.903215651100757	0.021022984973673765	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.0015	0.09959639131277946
Clostridiales (OTU 130)	14.748081917337153	0.022309216157443017	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.002	0.10438509782309759
Lachnospiraceae (OTU 62)	14.543543194196435	0.024120046013337157	6	Kruskal-Wallis rank sum test	0	0	0.001	0.001	0.001	0	0.0015	0.10882735046493788
Lachnospiraceae (OTU 77)	14.551707097229292	0.024045162615351928	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0.10882735046493788
Enterorhabdus (OTU 109)	14.558509074790432	0.02398294052151061	6	Kruskal-Wallis rank sum test	0	0	0.001	0.001	0	0.001	0	0.10882735046493788
Lachnospiraceae (OTU 82)	14.445628096764793	0.025035640335036448	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0.11033148473231179
Lachnospiraceae (OTU 148)	14.448028857077912	0.025012800922868603	6	Kruskal-Wallis rank sum test	0	0	0	0	0.0025	0	0	0.11033148473231179
Acetatifactor (OTU 138)	14.387649133727551	0.025593278564851395	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0.11149255834573193
Lachnospiraceae (OTU 146)	14.05324711603622	0.029046986835062898	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.006	0.12510009102828223
Acetatifactor (OTU 247)	13.91570881226053	0.030592047422682126	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.13027399969883738
Porphyromonadaceae (OTU 122)	13.774028225644765	0.03226481329942617	6	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0	0.0025	0.13587071378313909
Pseudoflavonifractor (OTU 69)	13.571417470813033	0.034807796443884306	6	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0	0.0015	0.14496873463991378
Lachnospiraceae (OTU 110)	13.466826901280744	0.03619344092957658	6	Kruskal-Wallis rank sum test	0	0	0.001	0.001	0	0	5e-4	0.1491012403511905
Lachnospiraceae (OTU 125)	13.386356302521031	0.03729476371997832	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0.15198618763302993
Ruminococcaceae (OTU 101)	13.289256673826346	0.03866570078751576	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0.15589681487732418
Lactobacillus (OTU 294)	13.220338983050864	0.03966736848663165	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.1582519226992989
Lachnospiraceae (OTU 116)	13.092920269885022	0.04158386876780484	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0.16416964857289618
Lachnospiraceae (OTU 104)	12.898306013261632	0.04467958151984772	6	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	0.17457279789713698
Lachnospiraceae (OTU 74)	12.510924915623239	0.05149439942117482	6	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	5e-4	0.19914670796556386
Porphyromonadaceae (OTU 285)	12.421052631579046	0.053208432356767955	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.20369692791126318
Firmicutes (OTU 129)	12.279178055220392	0.05602272981680485	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0.21022390693632712
Bacteria (OTU 168)	12.304008119877526	0.05552039901088713	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.21022390693632712
Clostridiales (OTU 171)	12.173509900382397	0.05820807811270251	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0.21628295690896326
Clostridiales (OTU 269)	12.097306738787397	0.059832884955056946	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.22016178056278235
Ruminococcaceae (OTU 143)	11.945933090217173	0.06318589689441576	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0.2266027645756023
Porphyromonadaceae (OTU 212)	11.911394698352902	0.06397492298044709	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.2266027645756023
Lachnospiraceae (OTU 222)	11.913656690746308	0.06392297044111146	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.2266027645756023
Porphyromonadaceae (OTU 445)	11.913656690746308	0.06392297044111146	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.2266027645756023
Lachnospiraceae (OTU 33)	11.871995852026371	0.06488610458269715	6	Kruskal-Wallis rank sum test	0	0	0	5e-4	0	0	5e-4	0.22770216330409462
Lachnospiraceae (OTU 30)	11.742304653094282	0.06797085123869616	6	Kruskal-Wallis rank sum test	0	5e-4	0.002	0.0015	0.0015	0	0.0025	0.2363390148574848
Olsenella (OTU 114)	11.713084089220969	0.06868429355624192	6	Kruskal-Wallis rank sum test	0.003	0	0.001	0	0	0.001	0	0.23664861143468807
Lachnospiraceae (OTU 133)	11.551840081000172	0.07274679499042648	6	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0	0.001	0.2483877054177625
Clostridiales (OTU 141)	11.154541645718103	0.08371596620530869	6	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0	0	0.2832888499268928
Lachnospiraceae (OTU 183)	11.05846332785985	0.08658627129653672	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.29040882142820723
Lachnospiraceae (OTU 76)	10.925978299740526	0.09069128070813297	6	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	5e-4	0.30150873147703855
Ruminococcaceae (OTU 106)	10.73452168746285	0.09693614616344884	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3194678208343227
Porphyromonadaceae (OTU 311)	10.659663865546282	0.09948187833073197	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.32503130937368463
Lachnospiraceae (OTU 49)	10.369238890842523	0.10993923552750143	6	Kruskal-Wallis rank sum test	0	0	0.001	5e-4	5e-4	0	0.0015	0.3561279509822482
Lachnospiraceae (OTU 174)	9.889775910364119	0.12937119945470177	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.41552275079094886
Ruminococcaceae (OTU 60)	9.521747325096632	0.14629122881020026	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0.4385739258327033
Lachnospiraceae (OTU 75)	9.659983817740576	0.13972055071950193	6	Kruskal-Wallis rank sum test	0	5e-4	0	5e-4	0	0	0	0.4385739258327033
Acetatifactor (OTU 78)	9.236649629363956	0.16069995510493804	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0.4385739258327033
Ruminococcaceae (OTU 118)	9.548946851467859	0.14497739361150472	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4385739258327033
Clostridiales (OTU 136)	9.327592994366096	0.1559753324717389	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4385739258327033
Clostridiales (OTU 170)	9.294781462385776	0.157665847995328	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4385739258327033
Acetatifactor (OTU 206)	8.999999999999915	0.17357807091004088	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4385739258327033
Firmicutes (OTU 235)	8.999999999999915	0.17357807091004088	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4385739258327033
Oscillibacter (OTU 236)	8.999999999999915	0.17357807091004088	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4385739258327033
Porphyromonadaceae (OTU 258)	8.999999999999915	0.17357807091004088	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4385739258327033
Porphyromonadaceae (OTU 271)	8.999999999999915	0.17357807091004088	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4385739258327033
Parabacteroides (OTU 275)	9.10684651343978	0.16765766900426382	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4385739258327033
Bacteria (OTU 293)	8.999999999999915	0.17357807091004088	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4385739258327033
Turicibacter (OTU 299)	8.999999999999915	0.17357807091004088	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4385739258327033
Dialister (OTU 320)	8.999999999999915	0.17357807091004088	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4385739258327033
Porphyromonadaceae (OTU 414)	8.999999999999915	0.17357807091004088	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4385739258327033
Clostridium (OTU 424)	8.999999999999915	0.17357807091004088	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4385739258327033
Porphyromonadaceae (OTU 514)	8.999999999999915	0.17357807091004088	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4385739258327033
Ruminococcaceae (OTU 526)	8.999999999999915	0.17357807091004088	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4385739258327033
Ruminococcaceae (OTU 532)	8.999999999999915	0.17357807091004088	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4385739258327033
Lachnospiraceae (OTU 586)	8.999999999999915	0.17357807091004088	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4385739258327033
Clostridiales (OTU 590)	8.999999999999915	0.17357807091004088	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4385739258327033
Porphyromonadaceae (OTU 616)	8.999999999999915	0.17357807091004088	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4385739258327033
Bacteria (OTU 669)	8.999999999999915	0.17357807091004088	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4385739258327033
Lachnospiraceae (OTU 762)	8.999999999999915	0.17357807091004088	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4385739258327033
Porphyromonadaceae (OTU 812)	8.999999999999915	0.17357807091004088	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4385739258327033
Lachnospiraceae (OTU 830)	8.999999999999915	0.17357807091004088	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4385739258327033
Pseudoflavonifractor (OTU 955)	8.999999999999915	0.17357807091004088	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4385739258327033
Porphyromonadaceae (OTU 1088)	8.999999999999915	0.17357807091004088	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4385739258327033
Porphyromonadaceae (OTU 1097)	8.999999999999915	0.17357807091004088	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4385739258327033
Porphyromonadaceae (OTU 1465)	8.999999999999915	0.17357807091004088	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4385739258327033
Phocaeicola (OTU 2713)	8.999999999999915	0.17357807091004088	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4385739258327033
Enterobacteriaceae (OTU 176)	8.955357142857201	0.1761043646641804	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4420102927663866
Lachnospiraceae (OTU 34)	8.820890257881523	0.1839044698472505	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.002	0.4585512767901838
Lachnospiraceae (OTU 68)	8.783698918539523	0.1861130891660652	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0.4610252339473119
Lachnospiraceae (OTU 94)	8.60163214210417	0.1972523441360714	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.48544570407513676
Lachnospiraceae (OTU 121)	8.534527931267753	0.2014972244564492	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.49269321334835
Coriobacteriaceae (OTU 182)	8.463364293085606	0.20608233166215914	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5006743826920405
Porphyromonadaceae (OTU 364)	8.392513368983964	0.21073356720184935	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5087135157293051
Lachnospiraceae (OTU 140)	8.303394120789987	0.21670779940143667	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0.5198244048933196
Lachnospiraceae (OTU 152)	8.281091838444745	0.21822462630282222	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.520170650118048
Porphyromonadaceae (OTU 353)	8.13793103448266	0.2281713346206168	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5404808488825861
Lachnospiraceae (OTU 189)	8.049218364461767	0.23451958095672867	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5520678334322991
Butyricicoccus (OTU 56)	7.857039187595944	0.24876524003062372	6	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	5e-4	0.572652265008795
Lachnospiraceae (OTU 85)	7.849898580121614	0.2493077143178131	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.572652265008795
Clostridium (OTU 201)	7.8807598039215625	0.2469699920175428	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.572652265008795
Clostridiales_Incertae_Sedis_XIII (OTU 284)	7.8544891640866	0.2489588570651718	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.572652265008795
Lachnospiraceae (OTU 46)	7.820013274770993	0.2515884355700681	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5744097414521434
Lachnospiraceae (OTU 150)	7.763157894736779	0.25597357592629516	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5809220675213524
Ruminococcaceae (OTU 153)	7.705563870770242	0.2604777241068648	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5876253418839391
Lachnospiraceae (OTU 58)	7.506617849730859	0.27652170473896204	6	Kruskal-Wallis rank sum test	0	0	0	5e-4	0	0	0	0.6201285567814593
Clostridiales (OTU 137)	7.423657521084646	0.28343673862152335	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6318971996326903
Lachnospiraceae (OTU 81)	7.314765325127141	0.2927161021333656	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0.6487684368920792
Bacteria (OTU 215)	7.194283931816083	0.30325320314339965	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6682149069264446
Lachnospiraceae (OTU 17)	6.76636748113777	0.34299493255873986	6	Kruskal-Wallis rank sum test	0.006500000000000001	0.0015	0.003	0.002	0.002	0	0.004	0.701324851129429
