otu	statistic	p.value	parameter	method	WM	WMR	CWM	RM	1RM1	p.value.adj
Lachnospiraceae (OTU 32)	31.04696790324491	2.994595742980677e-6	4	Kruskal-Wallis rank sum test	0	0.002	0	0.003	0.003	5.7127672635323685e-05
Oscillibacter (OTU 57)	30.707311043816944	3.5124243172261595e-6	4	Kruskal-Wallis rank sum test	0	0	0	0	0.003	6.222008790514911e-5
Butyricicoccus (OTU 56)	30.430445362247195	3.999775959947953e-6	4	Kruskal-Wallis rank sum test	0	0.002	0	0	0	6.612962920447283e-5
Lachnospiraceae (OTU 62)	29.572059411051303	5.981110215441956e-6	4	Kruskal-Wallis rank sum test	0	0.001	0	0.001	0.004	9.270720833935032e-5
Lachnospiraceae (OTU 47)	26.806821534347094	2.1748935812082457e-5	4	Kruskal-Wallis rank sum test	0	0	0	0	0.001	3.1727859302332055e-4
Porphyromonadaceae (OTU 10)	26.668068773331914	2.3199086614331046e-5	4	Kruskal-Wallis rank sum test	0	0	0	0	0.128	3.196318600196722e-4
Lachnospiraceae (OTU 20)	26.521782856568162	2.483217161986155e-5	4	Kruskal-Wallis rank sum test	0	0.01	0	0	0.004	3.241251874592455e-4
Lachnospiraceae (OTU 11)	26.352224661680207	2.6868552346364143e-5	4	Kruskal-Wallis rank sum test	0	0.009	0	0	0.005	3.331700490949154e-4
Lachnospiraceae (OTU 33)	25.884066706851456	3.339430791986742e-5	4	Kruskal-Wallis rank sum test	0	0	0	0.001	0.002	3.9437087448224384e-4
Lachnospiraceae (OTU 63)	25.41818181818169	4.144962488199964e-5	4	Kruskal-Wallis rank sum test	0	0	0	0.002	0	4.469350856841701e-4
Clostridium (OTU 186)	25.42517006802721	4.131557513292758e-5	4	Kruskal-Wallis rank sum test	0	0	0	0.001	0	4.469350856841701e-4
Porphyromonadaceae (OTU 14)	24.974590626764535	5.0905114458411846e-5	4	Kruskal-Wallis rank sum test	0	0	0	0	0.025	5.208782874328261e-4
Bifidobacterium (OTU 28)	24.907618737093795	5.2507891878309084e-5	4	Kruskal-Wallis rank sum test	0	0	0.007	0.011	0.002	5.208782874328261e-4
Lachnospiraceae (OTU 49)	24.662111594691748	5.882406831709607e-5	4	Kruskal-Wallis rank sum test	0	0.004	0	0	0.001	5.610911131784548e-4
Lachnospiraceae (OTU 116)	22.882250140138947	1.336725310452581e-4	4	Kruskal-Wallis rank sum test	0	0	0	0	0.002	0.0012278069518231116
Porphyromonadaceae (OTU 6)	22.54626478136577	1.5598980959202456e-4	4	Kruskal-Wallis rank sum test	0	0	0	0.001	0.227	0.0013816240278150748
Enterobacteriaceae (OTU 2)	22.341192650930147	1.7138922472270164e-4	4	Kruskal-Wallis rank sum test	0.1325	0.001	0.21	0.137	0	0.00139409751652819
Porphyromonadaceae (OTU 7)	22.404440392245238	1.6648551028406667e-4	4	Kruskal-Wallis rank sum test	0	0	0	0	0.058	0.00139409751652819
Bacteroidales (OTU 38)	22.30496614677773	1.7426218956602375e-4	4	Kruskal-Wallis rank sum test	0	0	0	0	0.014	0.00139409751652819
Lachnospiraceae (OTU 74)	21.829298679393624	2.167251364229808e-4	4	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0.0016796198072781012
Lachnospiraceae (OTU 29)	21.445412675982595	2.583542987065489e-4	4	Kruskal-Wallis rank sum test	0	0	0	0.001	0.001	0.0019415716993704281
Lachnospiraceae (OTU 66)	21.022980968885165	3.1336410292858943e-4	4	Kruskal-Wallis rank sum test	0	0.001	0	0.003	0.001	0.0022857146331261816
Peptostreptococcaceae (OTU 12)	20.68215344918865	3.6608482777389866e-4	4	Kruskal-Wallis rank sum test	0.0055	0	0.019	0.001	0	0.0025939724939407676
Porphyromonadaceae (OTU 15)	20.557898077620568	3.8741620899708425e-4	4	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0.0026688672175354694
Lachnospiraceae (OTU 4)	19.816055817545017	5.429306919928416e-4	4	Kruskal-Wallis rank sum test	0	0.027	0	0	0.017	0.0036391030166006678
Lachnospiraceae (OTU 70)	18.71555935631073	8.937881486404079e-4	4	Kruskal-Wallis rank sum test	0.001	0.001	0	0	0.002	0.005683575919559517
Lachnospiraceae (OTU 128)	18.72693203111683	8.892080905844953e-4	4	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0.005683575919559517
Lachnospiraceae (OTU 110)	18.47172537366164	9.977925356704877e-4	4	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0.006186313721157024
Ruminococcaceae (OTU 52)	18.11700823261514	0.0011707793288445508	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.006913173179844015
Lachnospiraceae (OTU 127)	18.15783973522066	0.001149447638089569	4	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0.006913173179844015
Lachnospiraceae (OTU 94)	17.83547129472431	0.0013288903431197556	4	Kruskal-Wallis rank sum test	0	0	0	0.002	0.001	0.007664297792876729
Lachnospiraceae (OTU 76)	17.681232731791994	0.0014242669509842605	4	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0.008027686451002197
Clostridiales (OTU 35)	16.000000000000185	0.0030191636511223588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.01169925914809914
Erysipelotrichaceae (OTU 39)	16.30907659064873	0.002631270287265726	4	Kruskal-Wallis rank sum test	0.002	0.004	0	0	0.001	0.01169925914809914
Porphyromonadaceae (OTU 67)	16.000000000000185	0.0030191636511223588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.01169925914809914
Clostridiales (OTU 97)	16.000000000000185	0.0030191636511223588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.01169925914809914
Ruminococcaceae (OTU 101)	16.000000000000185	0.0030191636511223588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.01169925914809914
Clostridiales (OTU 107)	16.000000000000185	0.0030191636511223588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.01169925914809914
Porphyromonadaceae (OTU 122)	16.000000000000185	0.0030191636511223588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.01169925914809914
Porphyromonadaceae (OTU 175)	16.000000000000185	0.0030191636511223588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.01169925914809914
Akkermansia (OTU 200)	16.000000000000185	0.0030191636511223588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.01169925914809914
Lachnospiraceae (OTU 220)	16.000000000000185	0.0030191636511223588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.01169925914809914
Clostridiales (OTU 226)	16.000000000000185	0.0030191636511223588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.01169925914809914
Lachnospiraceae (OTU 292)	16.000000000000185	0.0030191636511223588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.01169925914809914
Porphyromonadaceae (OTU 314)	16.000000000000185	0.0030191636511223588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.01169925914809914
Lachnospiraceae (OTU 316)	16.000000000000185	0.0030191636511223588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.01169925914809914
Porphyromonadaceae (OTU 338)	16.000000000000185	0.0030191636511223588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.01169925914809914
Porphyromonadaceae (OTU 353)	16.000000000000185	0.0030191636511223588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.01169925914809914
Lachnospiraceae (OTU 492)	16.000000000000185	0.0030191636511223588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.01169925914809914
Lactobacillaceae (OTU 652)	16.000000000000185	0.0030191636511223588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.01169925914809914
Lachnospiraceae (OTU 928)	16.000000000000185	0.0030191636511223588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.01169925914809914
Lachnospiraceae (OTU 2650)	16.000000000000185	0.0030191636511223588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.01169925914809914
Ruminococcaceae (OTU 60)	15.543588070326049	0.0036969294409921177	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.014105207713323773
Ruminococcaceae (OTU 27)	15.45582812249482	0.0038434393119283965	4	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0.014315861589910654
Ruminococcaceae (OTU 61)	15.441677390053894	0.003867591639209733	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.014315861589910654
Lactobacillus (OTU 9)	15.201973168288545	0.004300131530001481	4	Kruskal-Wallis rank sum test	0.0135	0.002	0.004	0.006	0.004	0.015682832638828928
Enterobacteriaceae (OTU 176)	14.994358478401013	0.004712932350313558	4	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0.01693923511417047
Lachnospiraceae (OTU 82)	14.671181714915088	0.005434126683926728	4	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0.019252334537340408
Lachnospiraceae (OTU 36)	14.419814113951771	0.006068975589580678	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.02103336736641851
Acetatifactor (OTU 78)	14.374369116041505	0.006191273458663513	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.02103336736641851
Lachnospiraceae (OTU 84)	14.398961568772945	0.006124795253572389	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.02103336736641851
Lachnospiraceae (OTU 81)	14.31720330428684	0.006348549838734737	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.021276221081165066
Lachnospiraceae (OTU 24)	13.424792281450806	0.009376326554949828	4	Kruskal-Wallis rank sum test	0	0.005	0	0	0	0.03059643402141523
Lachnospiraceae (OTU 64)	13.445190450538004	0.009293456313846878	4	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0.03059643402141523
Lachnospiraceae (OTU 102)	12.531914418706872	0.013804548154101978	4	Kruskal-Wallis rank sum test	0	0	0	0.002	0	0.0444614018469778
Lachnospiraceae (OTU 75)	12.478811397027831	0.014124186714721317	4	Kruskal-Wallis rank sum test	0	0.001	0	0	0.001	0.04490767058013957
Clostridium (OTU 22)	12.432794561059657	0.014406994750430065	4	Kruskal-Wallis rank sum test	0	0	5e-4	0	0.003	0.04522702149502096
Blautia (OTU 132)	12.178002894356048	0.016075531330892578	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.04983414712576699
Lachnospiraceae (OTU 72)	11.571485773194029	0.02083920710191811	4	Kruskal-Wallis rank sum test	0	0	0	0.004	0	0.06380399211451471
Acetatifactor (OTU 55)	11.537395501273865	0.02114421278533094	4	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0.06394835086295211
Lachnospiraceae (OTU 31)	11.319444444444438	0.02319903845869256	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0649039089861327
Oscillibacter (OTU 45)	11.310019428254227	0.02329212862808794	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0649039089861327
Acetatifactor (OTU 79)	11.46590909090907	0.021797925224085087	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0649039089861327
Lachnospiraceae (OTU 83)	11.363636363636394	0.022767344045994294	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0649039089861327
Lachnospiraceae (OTU 86)	11.351271144524715	0.022887344669723968	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0649039089861327
Lachnospiraceae (OTU 88)	11.354359925788533	0.022857311705295494	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0649039089861327
Akkermansia (OTU 352)	11.363636363636394	0.022767344045994294	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0649039089861327
Oscillibacter (OTU 119)	11.265686218840552	0.023734880252182837	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.06540278113934826
Lachnospiraceae (OTU 121)	11.197307641273131	0.0244337926789236	4	Kruskal-Wallis rank sum test	0	0	0	0.002	0.001	0.06658879763047311
Lachnospiraceae (OTU 103)	11.13998418257822	0.025035024300127984	4	Kruskal-Wallis rank sum test	0	0	0	0	0.004	0.06748571767860587
Lachnospiraceae (OTU 26)	10.255109825415834	0.0363428019717445	4	Kruskal-Wallis rank sum test	0	0.002	0	0	0.003	0.09691413859131866
Lachnospiraceae (OTU 120)	10.183215130023667	0.037451985609606844	4	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0.09880949394874997
Clostridium_sensu (OTU 53)	9.92990654205609	0.04162509495976913	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.10866340578971309
Lachnospiraceae (OTU 140)	9.43145743145756	0.05117485825250993	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.13220171715231732
Ruminococcaceae (OTU 50)	9.217171717171727	0.05589461445516692	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.1359006312243274
Lachnospiraceae (OTU 68)	9.261894853008858	0.054876519557580945	4	Kruskal-Wallis rank sum test	0	0	0	0	0.002	0.1359006312243274
Lachnospiraceae (OTU 135)	9.24606060606033	0.05523493836024736	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.1359006312243274
Acetatifactor (OTU 138)	9.217171717171727	0.05589461445516692	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.1359006312243274
Lachnospiraceae (OTU 148)	9.24606060606033	0.05523493836024736	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.1359006312243274
Lachnospiraceae (OTU 227)	9.217171717171727	0.05589461445516692	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.1359006312243274
Clostridiales (OTU 141)	9.008474296831096	0.060888012534551075	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.14580938482444025
Akkermansia (OTU 264)	8.998144712430324	0.06114587105541043	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.14580938482444025
Porphyromonadaceae (OTU 21)	8.362222222222048	0.07917524614994728	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.1852401985394993
Porphyromonadaceae (OTU 40)	8.362222222222048	0.07917524614994728	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.1852401985394993
Alistipes (OTU 18)	8.078231292517085	0.08875415395602783	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.20004282087241135
Clostridiales (OTU 91)	8.056361162001014	0.08953529482595832	4	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0.20004282087241135
Lachnospiraceae (OTU 111)	8.115942028985534	0.08742223733891188	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.20004282087241135
Lachnospiraceae (OTU 113)	8.074903945079116	0.08887258366018493	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.20004282087241135
Dialister (OTU 320)	8.078231292517085	0.08875415395602783	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.20004282087241135
Ruminococcaceae (OTU 65)	7.930753370199097	0.09414797593754069	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.20847051814741155
Pseudoflavonifractor (OTU 69)	7.902675316272006	0.09520908756784702	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.20895445767102708
Lachnospiraceae (OTU 42)	7.418181818181698	0.11537171803581858	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.2326193989665285
Lachnospiraceae (OTU 58)	7.418181818181698	0.11537171803581858	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.2326193989665285
Ruminococcaceae (OTU 106)	7.418181818181698	0.11537171803581858	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.2326193989665285
Coriobacteriaceae (OTU 158)	7.421150278293018	0.11523691626668096	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.2326193989665285
Veillonella (OTU 192)	7.421150278293018	0.11523691626668096	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.2326193989665285
Clostridiales (OTU 199)	7.421150278293018	0.11523691626668096	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.2326193989665285
Coriobacteriaceae (OTU 204)	7.421150278293018	0.11523691626668096	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.2326193989665285
Lachnospiraceae (OTU 305)	7.421150278293018	0.11523691626668096	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.2326193989665285
Lachnospiraceae (OTU 317)	7.421150278293018	0.11523691626668096	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.2326193989665285
Clostridium (OTU 572)	7.421150278293018	0.11523691626668096	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.2326193989665285
Ruminococcaceae (OTU 37)	7.1646049098580775	0.12744111506322417	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.25488223012644834
Clostridium (OTU 126)	7.125176394383114	0.12941924959583526	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.25676779119813714
Dorea (OTU 134)	7.042673107890559	0.1336502579930772	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.2630576506530408
Bacteroides (OTU 178)	6.637485970819345	0.15633117565261073	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.3052766264712399
Turicibacter (OTU 5)	6.493765131118776	0.16518365462108156	4	Kruskal-Wallis rank sum test	0.016	0.025	0.0275	0.049	0.007	0.3200433308283455
Lachnospiraceae (OTU 123)	6.015104274032819	0.1980231132055886	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.38069559748051146
Enterorhabdus (OTU 109)	5.97813066563067	0.20078745227604364	4	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0.3830406781881448
Bacteroides (OTU 1)	5.814312188259465	0.21345135313846875	4	Kruskal-Wallis rank sum test	0.56	0.438	0.426	0.475	0.133	0.4040911112850401
Lachnospiraceae (OTU 73)	5.713452534045394	0.2215941860360517	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.413198181480758
Anaerostipes (OTU 159)	5.7229325353644604	0.2208173710939624	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.413198181480758
Clostridiales (OTU 115)	5.228475228475282	0.2646474606203805	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.4889062911983649
Clostridiales (OTU 137)	5.2129340883141175	0.2661385052894325	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.4889062911983649
Clostridium (OTU 51)	4.797743752961264	0.30868674054619244	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5628993504077626
Lachnospiraceae (OTU 16)	4.064404663324514	0.39735979104949304	4	Kruskal-Wallis rank sum test	0.005	0.004	0.0035	0.229	0.004	0.5908716187340064
Lachnospiraceae (OTU 41)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Lachnospiraceae (OTU 77)	4.383288669002935	0.3566115855526039	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Lachnospiraceae (OTU 95)	3.7400000000000952	0.44233490940941356	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Clostridiales (OTU 136)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Erysipelotrichaceae (OTU 142)	3.8846335433051045	0.4218440921648354	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Ruminococcaceae (OTU 143)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Ruminococcaceae (OTU 147)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Lachnospiraceae (OTU 152)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Ruminococcaceae (OTU 153)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Lachnospiraceae (OTU 161)	3.7400000000000952	0.44233490940941356	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Acetatifactor (OTU 165)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Lachnospiraceae (OTU 167)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Lachnospiraceae (OTU 181)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Lachnospiraceae (OTU 189)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Clostridiales (OTU 197)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Firmicutes (OTU 198)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Lachnospiraceae (OTU 205)	3.6610305958131404	0.45381914526179623	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Ruminococcaceae (OTU 207)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Lachnospiraceae (OTU 225)	3.7414965986395523	0.44211927867159484	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Lachnospiraceae (OTU 239)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Faecalibacterium (OTU 262)	4.2981902356901545	0.3671517713681173	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Clostridium (OTU 268)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Alistipes (OTU 289)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Lachnospiraceae (OTU 295)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Lachnospiraceae (OTU 326)	3.7414965986395523	0.44211927867159484	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Akkermansia (OTU 347)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Enterorhabdus (OTU 358)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Lachnospiraceae (OTU 359)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Butyricicoccus (OTU 402)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Lachnospiraceae (OTU 434)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Anaerofustis (OTU 443)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Akkermansia (OTU 458)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Megasphaera (OTU 472)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Burkholderiales (OTU 522)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Lachnospiraceae (OTU 546)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Sutterella (OTU 628)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Clostridiales (OTU 630)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Clostridiales (OTU 680)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Lachnospiraceae (OTU 682)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Bacteria (OTU 708)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Lachnospiraceae (OTU 845)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Lachnospiraceae (OTU 886)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Turicibacter (OTU 900)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Blautia (OTU 970)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Lactobacillaceae (OTU 1035)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Paraprevotella (OTU 1529)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Succiniclasticum (OTU 1572)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Bacteroides (OTU 1958)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Lachnospiraceae (OTU 2595)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Lachnospiraceae (OTU 2701)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Ruminococcaceae (OTU 2717)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Bacteria (OTU 3690)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Bacteria (OTU 3739)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Pasteurellaceae (OTU 3951)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
