otu	statistic	p.value	parameter	method	C	WMR	CWM	RM	FRM	p.value.adj
Turicibacter (OTU 5)	5.437170762250819	0.24530767032316675	4	Kruskal-Wallis rank sum test	0.0165	0.026	0.0445	0.038	0.0275	0.4578492595274929
Porphyromonadaceae (OTU 362)	5.429093567251451	0.24603287611619726	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.4578492595274929
Dorea (OTU 134)	5.278082323523729	0.2599357141229634	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.4805390504510047
Clostridiales (OTU 107)	5.25950292397666	0.2616919360006401	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.4806237517397377
Clostridiales (OTU 154)	5.23939393939403	0.26360416991139685	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.48099202431884747
Lachnospiraceae (OTU 123)	5.205252525252567	0.26687813026535356	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.4838242232552539
Lachnospiraceae (OTU 42)	5.116735734778431	0.27552803589882696	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.49630370568955373
Ruminococcaceae (OTU 143)	5.009604978354876	0.28631338353155406	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5124462469577497
Blautia (OTU 19)	4.918781213473639	0.2957330296787797	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 66)	4.546382421879749	0.3370830983347116	4	Kruskal-Wallis rank sum test	0.0015	5e-4	0	0.001	0	0.5152043293482675
Ruminococcus (OTU 93)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 111)	4.626989040518444	0.3277542656487018	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Olsenella (OTU 114)	4.138042680648969	0.3876460448725261	4	Kruskal-Wallis rank sum test	0	0	0	5e-4	0.001	0.5152043293482675
Lachnospiraceae (OTU 117)	4.686462376760879	0.32100665391114597	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Blautia (OTU 132)	4.362983372003058	0.3591046188470151	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 157)	4.522417153996325	0.33989765507129666	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Acetatifactor (OTU 165)	4.7574404761904345	0.3131029502203816	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Clostridium (OTU 172)	4.7574404761904345	0.3131029502203816	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 174)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Clostridiales (OTU 179)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 181)	3.9036363636362914	0.4192043083390434	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Firmicutes (OTU 188)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Firmicutes (OTU 198)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 203)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Coriobacteriaceae (OTU 204)	4.162308673469318	0.38448518347306937	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Acetatifactor (OTU 206)	4.52976190476189	0.339033060733615	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Bacteria (OTU 209)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 211)	4.523809523809749	0.33973361479309394	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Clostridiales (OTU 214)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 227)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Bacteria (OTU 232)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Oscillibacter (OTU 236)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Coriobacteriaceae (OTU 252)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 259)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Coriobacteriaceae (OTU 265)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 266)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
