otu	statistic	p.value	parameter	method	C	WMR	CWM	RM	FRM	M1	1RM1	p.value.adj
Porphyromonadaceae (OTU 664)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 667)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 768)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 789)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 807)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Barnesiella (OTU 826)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Ruminococcaceae (OTU 951)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 984)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Lachnospiraceae (OTU 998)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Leptotrichia (OTU 1025)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Bacteroidales (OTU 1174)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Prevotella (OTU 1236)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Bacteroides (OTU 1552)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 1658)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 2276)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 2849)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Lactobacillus (OTU 3113)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 3276)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Lachnospiraceae (OTU 5179)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Catonella (OTU 5466)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Stomatobaculum (OTU 5504)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Firmicutes (OTU 198)	10.953650793650974	0.08981951686044241	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16343448170998026
Bifidobacterium (OTU 28)	10.699446024289264	0.09812155834100765	6	Kruskal-Wallis rank sum test	0	0	0	0.0015	0.0035	0	0.0025	0.17762517997115743
Coriobacteriaceae (OTU 158)	10.612549019607922	0.101114949731128	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.1821100880361642
Lactobacillus (OTU 9)	10.59409286949319	0.10176123394074844	6	Kruskal-Wallis rank sum test	0.0055	0.0025	0.0095	0.010499999999999999	0.005	0.0025	0.006500000000000001	0.1822567886461362
Lachnospiraceae (OTU 76)	10.580799974467217	0.102229020260439	6	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	0	0.1822567886461362
Clostridium (OTU 22)	10.451545692541421	0.10687958849358702	6	Kruskal-Wallis rank sum test	0.004	0	0.006500000000000001	0.001	0	0.003	0.0035	0.1895904258202825
Lachnospiraceae (OTU 183)	10.142857142857206	0.11876348159991282	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.20651974879196663
Porphyromonadaceae (OTU 280)	10.143192488262946	0.11874995534708732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.20651974879196663
Porphyromonadaceae (OTU 300)	10.142857142857206	0.11876348159991282	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.20651974879196663
Barnesiella (OTU 396)	10.142857142857206	0.11876348159991282	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.20651974879196663
Lactobacillus (OTU 13)	9.949315341781846	0.12680275190181514	6	Kruskal-Wallis rank sum test	0.015	0.005	0.009000000000000001	0.0055	0.0035	0.008	0.014499999999999999	0.2183481532748329
Lachnospiraceae (OTU 88)	9.95367240943038	0.12661658114435645	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.2183481532748329
Lachnospiraceae (OTU 135)	9.839130434782323	0.1315921099644979	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.2254952175605231
Lachnospiraceae (OTU 111)	9.788460528778836	0.13384774390856602	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.22825243284890728
Lachnospiraceae (OTU 85)	9.70839361213794	0.13748158403639874	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.23332211136946515
Clostridiales (OTU 199)	9.148021795783025	0.1654229724429992	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.27939860895874985
Lachnospiraceae (OTU 26)	9.110824281270993	0.16744065553106408	6	Kruskal-Wallis rank sum test	0.003	0.001	0.0025	5e-4	0	0.002	0.0085	0.2814597685831696
Lachnospiraceae (OTU 163)	9.06409897292256	0.1700051531049259	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.2844162040096628
Lachnospiraceae (OTU 113)	8.943419394793581	0.17678521912819053	6	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	5e-4	0.29298207677113264
Lachnospiraceae (OTU 144)	8.949579831932882	0.17643358568696094	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.29298207677113264
Acetatifactor (OTU 78)	8.868119091567591	0.18113193842065786	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.29878305730136556
Lachnospiraceae (OTU 83)	8.670706250681212	0.19296171297497935	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3168162078147336
Firmicutes (OTU 188)	8.404081632653174	0.20996821088246076	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3340435283797193
Clostridiales (OTU 197)	8.404081632653174	0.20996821088246076	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3340435283797193
Coriobacteriaceae (OTU 204)	8.404081632653174	0.20996821088246076	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3340435283797193
Lachnospiraceae (OTU 220)	8.402414486921646	0.21007836628979515	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3340435283797193
Lachnospiraceae (OTU 222)	8.402414486921646	0.21007836628979515	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3340435283797193
Lachnospiraceae (OTU 266)	8.402414486921646	0.21007836628979515	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3340435283797193
Ruminococcaceae (OTU 494)	8.404081632653174	0.20996821088246076	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3340435283797193
Lachnospiraceae (OTU 244)	8.352941176470532	0.21336923407380756	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3377548862244577
Lachnospiraceae (OTU 227)	8.084886128364394	0.23195008311447615	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.365528479193795
Lachnospiraceae (OTU 184)	8.066439909296804	0.23327606019097533	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.36598421887739685
Lachnospiraceae (OTU 94)	8.02205969609363	0.23649160820696316	6	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0	5e-4	0.3693873349427345
Lachnospiraceae (OTU 95)	7.983152740856842	0.2393401798983977	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3721897951723982
Dorea (OTU 134)	7.893083015570516	0.24604146230373164	6	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0	0.3809326148825319
Acetatifactor (OTU 165)	7.815966386554617	0.2518985603824843	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.38829778085160244
Lachnospiraceae (OTU 238)	7.708571428571841	0.2602409665388687	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.39768424756805476
Lachnospiraceae (OTU 781)	7.708571428571841	0.2602409665388687	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.39768424756805476
Lachnospiraceae (OTU 193)	7.614492753623396	0.26772827269978244	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4073624149268242
Lachnospiraceae (OTU 120)	7.504132382645097	0.2767269444256529	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.419247259151311
Lachnospiraceae (OTU 66)	7.481482778271625	0.2786027485135707	6	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.001	0.0015	0.4202853428431216
Lachnospiraceae (OTU 152)	7.308212560386392	0.2932818808524695	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.440546825280518
Blautia (OTU 19)	7.1280883719873644	0.3091640234766454	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4624360181663382
Enterobacteriaceae (OTU 176)	6.975736961450984	0.3230968663937989	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4792151001555085
Parabacteroides (OTU 275)	6.975736961450984	0.3230968663937989	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4792151001555085
Lachnospiraceae (OTU 16)	6.866622383742222	0.33335831252778186	6	Kruskal-Wallis rank sum test	0.005	0.0015	0.003	0.004	0.0025	0.001	0.0045000000000000005	0.49236604318956906
Lachnospiraceae (OTU 167)	6.665306122448791	0.3529109971251784	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5023289596176935
Coriobacteriaceae (OTU 182)	6.665306122448791	0.3529109971251784	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5023289596176935
Enterococcus (OTU 187)	6.762240107310668	0.34339593787013517	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5023289596176935
Clostridium (OTU 201)	6.778458049886621	0.3418221895938097	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5023289596176935
Lachnospiraceae (OTU 241)	6.665306122448791	0.3529109971251784	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5023289596176935
Coriobacteriaceae (OTU 252)	6.665306122448791	0.3529109971251784	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5023289596176935
Porphyromonadaceae (OTU 318)	6.665306122448791	0.3529109971251784	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5023289596176935
Lachnospiraceae (OTU 349)	6.665306122448791	0.3529109971251784	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5023289596176935
Porphyromonadaceae (OTU 388)	6.665306122448791	0.3529109971251784	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5023289596176935
Acetatifactor (OTU 138)	6.608149522435215	0.3586087935888386	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5083891732404018
Erysipelotrichaceae (OTU 39)	6.275975347755185	0.3929958584085407	6	Kruskal-Wallis rank sum test	0	0.001	5e-4	0	0	5e-4	0.003	0.54887825969777
Bacteria (OTU 168)	6.200000000001061	0.4011631473145175	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.54887825969777
Lachnospiraceae (OTU 239)	6.200000000001061	0.4011631473145175	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.54887825969777
Lachnospiraceae (OTU 255)	6.200000000001061	0.4011631473145175	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.54887825969777
Porphyromonadaceae (OTU 290)	6.200000000001061	0.4011631473145175	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.54887825969777
Porphyromonadaceae (OTU 325)	6.200000000001061	0.4011631473145175	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.54887825969777
Lachnospiraceae (OTU 911)	6.200000000001061	0.4011631473145175	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.54887825969777
Lachnospiraceae (OTU 2444)	6.200000000001061	0.4011631473145175	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.54887825969777
Lachnospiraceae (OTU 3656)	6.200000000001061	0.4011631473145175	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.54887825969777
Lachnospiraceae (OTU 104)	6.135045417343876	0.40823363112085637	6	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	5e-4	0	0.5563956439600861
Lachnospiraceae (OTU 205)	6.085714285714113	0.41365718978076826	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5594673869448705
Lachnospiraceae (OTU 301)	6.085714285714113	0.41365718978076826	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5594673869448705
Erysipelotrichaceae (OTU 142)	6.037123303427784	0.4190443863262212	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5603131377771065
Lachnospiraceae (OTU 150)	6.0466674027454115	0.41798273864397467	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5603131377771065
Lachnospiraceae (OTU 160)	6.04681062429515	0.4179668202906199	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5603131377771065
Clostridium (OTU 145)	5.835173465658408	0.44190524354582744	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5886511357421776
Lachnospiraceae (OTU 117)	5.528833507672521	0.47797865667107875	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6343100218228978
Lachnospiraceae (OTU 42)	5.42523441606201	0.4905388001636625	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6485400616395988
Streptococcus (OTU 257)	5.375419501133812	0.49663994163795305	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6541563410380501
Enterorhabdus (OTU 109)	5.3387053656439365	0.5011615620816623	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6576581093487984
Lactobacillus (OTU 23)	5.262173197325915	0.5106537438689847	6	Kruskal-Wallis rank sum test	0.004	0.004	0.005	0.006500000000000001	0.003	0.0145	0.005	0.6602958666144747
Lachnospiraceae (OTU 162)	5.262525879916986	0.5106097979308433	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6602958666144747
Ruminococcaceae (OTU 169)	5.262525879916986	0.5106097979308433	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6602958666144747
Lachnospiraceae (OTU 181)	5.262525879916986	0.5106097979308433	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6602958666144747
Lachnospiraceae (OTU 112)	5.220766060358231	0.5158261054312255	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6645496905738051
Alistipes (OTU 18)	5.081504257332171	0.5334029560344646	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6846954308369674
Streptococcus (OTU 354)	4.999999999999852	0.5438131158833487	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6905252874346118
Geobacillus (OTU 455)	4.999999999999852	0.5438131158833487	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6905252874346118
Lachnospiraceae (OTU 677)	4.999999999999852	0.5438131158833487	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6905252874346118
Lachnospiraceae (OTU 164)	4.9383288669003225	0.5517469554632742	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6955952688519136
Bacteroides (OTU 178)	4.949173751426298	0.5503483472649847	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6955952688519136
Ruminococcus (OTU 93)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Lachnospiraceae (OTU 102)	4.505766739646052	0.6085701312432042	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0.7139841840070346
Olsenella (OTU 114)	4.231635130198016	0.6453620380260117	6	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0	0	0.7139841840070346
Lachnospiraceae (OTU 127)	4.460221454173061	0.6146512901748616	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Ruminococcaceae (OTU 143)	4.342725109367517	0.6304022659093804	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Lachnospiraceae (OTU 157)	4.164941338854263	0.6543664246080174	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Veillonella (OTU 192)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Akkermansia (OTU 200)	4.4589371980677415	0.6148229758631594	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Firmicutes (OTU 210)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Bacteria (OTU 223)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Firmicutes (OTU 235)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Oscillibacter (OTU 236)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Parabacteroides (OTU 245)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Lachnospiraceae (OTU 259)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Firmicutes (OTU 279)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Lachnospiraceae (OTU 305)	4.231020408163075	0.6454449640767588	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Lachnospiraceae (OTU 307)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Bacteroides (OTU 309)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Porphyromonadaceae (OTU 311)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Lachnospiraceae (OTU 359)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Lachnospiraceae (OTU 385)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Ruminococcaceae (OTU 420)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Ruminococcaceae (OTU 450)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Lachnospiraceae (OTU 461)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Lachnospiraceae (OTU 503)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Porphyromonadaceae (OTU 517)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Ruminococcaceae (OTU 532)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Oscillibacter (OTU 561)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Porphyromonadaceae (OTU 593)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Clostridiales (OTU 714)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Lachnospiraceae (OTU 764)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Lachnospiraceae (OTU 775)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Lachnospiraceae (OTU 782)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Lachnospiraceae (OTU 845)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Acetatifactor (OTU 1158)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Lachnospiraceae (OTU 1280)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Lactobacillus (OTU 1319)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Lachnospiraceae (OTU 1504)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Ruminococcaceae (OTU 1676)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Lachnospiraceae (OTU 1815)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Acetatifactor (OTU 1970)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Clostridiales (OTU 2699)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Lachnospiraceae (OTU 3146)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Bacteria (OTU 3734)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Lachnospiraceae (OTU 5297)	4.14285714285702	0.6573508776268732	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7139841840070346
Lachnospiraceae (OTU 151)	3.9782773012586023	0.6796162347905345	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7359034689603027
Dorea (OTU 229)	3.6514285714290993	0.7237258262714628	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7812697757609369
Lachnospiraceae (OTU 174)	3.445588235294345	0.7511943096949523	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8084499735436529
Staphylococcus (OTU 156)	2.9999999999999107	0.8088468305380693	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8181172813178752
Clostridium (OTU 172)	3.071400625977582	0.7998334400574184	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8181172813178752
Lachnospiraceae (OTU 203)	3.3297258297258594	0.7664685880809121	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8181172813178752
Anaerotruncus (OTU 234)	2.9999999999999107	0.8088468305380693	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8181172813178752
Lachnospiraceae (OTU 343)	2.9999999999999107	0.8088468305380693	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8181172813178752
Clostridium_sensu (OTU 397)	2.9999999999999107	0.8088468305380693	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8181172813178752
Akkermansia (OTU 406)	2.9999999999999107	0.8088468305380693	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8181172813178752
Lachnospiraceae (OTU 434)	2.9999999999999107	0.8088468305380693	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8181172813178752
Acetatifactor (OTU 452)	2.9999999999999107	0.8088468305380693	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8181172813178752
Lachnospiraceae (OTU 457)	2.9999999999999107	0.8088468305380693	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8181172813178752
Akkermansia (OTU 512)	2.9999999999999107	0.8088468305380693	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8181172813178752
Lachnospiraceae (OTU 596)	2.9999999999999107	0.8088468305380693	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8181172813178752
Lachnospiraceae (OTU 607)	2.9999999999999107	0.8088468305380693	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8181172813178752
Ruminococcaceae (OTU 819)	2.9999999999999107	0.8088468305380693	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8181172813178752
Lachnospiraceae (OTU 831)	2.9999999999999107	0.8088468305380693	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8181172813178752
Lachnospiraceae (OTU 841)	2.9999999999999107	0.8088468305380693	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8181172813178752
Lachnospiraceae (OTU 931)	2.9999999999999107	0.8088468305380693	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8181172813178752
Lachnospiraceae (OTU 1037)	2.9999999999999107	0.8088468305380693	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8181172813178752
Lachnospiraceae (OTU 1619)	2.9999999999999107	0.8088468305380693	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8181172813178752
Lachnospiraceae (OTU 2462)	2.9999999999999107	0.8088468305380693	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8181172813178752
Lachnospiraceae (OTU 2470)	2.9999999999999107	0.8088468305380693	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8181172813178752
Lachnospiraceae (OTU 86)	2.6101142587857162	0.8559463047619758	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.858603807315252
Lachnospiraceae (OTU 370)	2.6081632653060485	0.8561715019120926	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.858603807315252
Lachnospiraceae (OTU 546)	2.6081632653060485	0.8561715019120926	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.858603807315252
Clostridiales (OTU 137)	2.550919627110135	0.8627259877652869	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8627259877652869
Clostridium_sensu (OTU 53)	NaN	NaN	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 100)	NaN	NaN	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	NaN
Bacteria (OTU 105)	NaN	NaN	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 124)	NaN	NaN	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	NaN
