genus	method	WM	C	WMR	CWM	RM	FRM	WMC	M1	WMN	C-WM	WMR-WM	WMR-C	CWM-WM	CWM-C	CWM-WMR	RM-WM	RM-C	RM-WMR	RM-CWM	FRM-WM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM	WMC-WM	WMC-C	WMC-WMR	WMC-CWM	WMC-RM	WMC-FRM	M1-WM	M1-C	M1-WMR	M1-CWM	M1-RM	M1-FRM	M1-WMC	WMN-WM	WMN-C	WMN-WMR	WMN-CWM	WMN-RM	WMN-FRM	WMN-WMC	WMN-M1
Enterobacteriaceae Unclassified	Kruskal-Wallis rank sum test	0.1885	0.001	0.003	0.001	0	0	0.174	0.001	0.40049999999999997	9.111815234251609e-4	0.028598776107336805	0.1511698601802552	7.407747874680508e-4	0.5898049097100128	0.028598776107336805	9.121443671531752e-4	0.2236044814213147	0.024425066231610254	0.414014382467774	0.007473284393728482	0.5449876363162622	0.09705265574330464	0.7644058417802605	0.9110444051250445	0.9110444051250445	0.2236044814213147	0.5449876363162622	0.1888111888111888	0.18630926275545226	0.26269855940788506	0.007473284393728482	0.8402563629942176	0.15450997081786214	0.9110444051250445	0.44664286857049335	0.7253752332452517	0.2853738966499728	0.1888111888111888	7.407747874680508e-4	0.007473284393728482	7.407747874680508e-4	9.121443671531752e-4	0.007473284393728482	0.7644058417802605	0.007473284393728482
Enterococcus	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.05116481237657463	0.17658565084751376	NA	0.07393936647050321	NA	NA	0.14854258263633338	NA	NA	NA	0.23620021065485272	NA	NA	NA	NA	0.6893880466753076	NA	NA	NA	NA	NA	0.47947552947846217	0.18995594644292235	0.36791717521015926	0.23620021065485272	0.3247510810147824	0.47947552947846217	1	0.18995594644292235	NA	NA	NA	NA	NA	NA	0.4258928477402945
Erysipelotrichaceae Unclassified	Kruskal-Wallis rank sum test	0.002	0.0015	0.0055	0.001	0.001	0	0	0	0	0.6882643742137006	0.3379562567642091	0.12378020497407018	0.6882643742137006	0.555172195725208	0.3206264822579025	0.6406661759041019	0.6406661759041019	0.10834080692680872	0.555172195725208	0.6406661759041019	0.6882643742137006	0.2064158662083709	0.2894021318154914	0.6882643742137006	0.6406661759041019	0.555172195725208	0.5002011574407065	0.4094541458979829	0.5002011574407065	0.8118185411666892	0.2064158662083709	0.12378020497407018	0.09761355825354416	0.0906034552145889	0.10834080692680872	0.6406661759041019	1	0.2064158662083709	0.12090642833919583	0.0906034552145889	0.0906034552145889	0.10834080692680872	0.6882643742137006	0.8118185411666892	0.8118185411666892
Firmicutes Unclassified	Kruskal-Wallis rank sum test	0	0.0015	0	0.001	0	5e-4	0	0.008	0	0.03292373055130273	0.9917220869025911	0.023786573780441387	0.038006762931525294	0.9179927275417099	0.023786573780441387	0.9179927275417099	0.025836087955095458	0.794539160042302	0.03292373055130273	0.281695321382032	0.5441114843131818	0.17886571569900375	0.6067059260267242	0.3157856443325643	1	0.4327439769310093	1	0.4371361711423095	0.9179927275417099	0.7212489528109258	0.03292373055130273	0.17886571569900375	0.023786573780441387	0.1604993791909409	0.023786573780441387	0.17886571569900375	0.47622928883921684	0.5441114843131818	0.023786573780441387	0.584026242377899	0.023786573780441387	0.4371361711423095	0.10346590231021952	NA	0.023786573780441387
Lachnospiraceae Unclassified	Kruskal-Wallis rank sum test	0.03	0.0835	0.0275	0.132	0.0755	0.068	0.001	0.1565	0.001	0.1651970828148856	1	0.28598677496911595	0.04298502643636549	0.24339746174579266	0.1651970828148856	0.22816402587600576	0.9323849452911714	0.34808817321008184	0.28598677496911595	0.28598677496911595	0.9440663143085288	0.4421773727109605	0.38174487602405216	0.9440663143085288	0.28598677496911595	0.2550312851874992	0.4971990411398169	0.2550312851874992	0.28598677496911595	0.38174487602405216	0.04298502643636549	0.1651970828148856	0.1651970828148856	0.38174487602405216	0.19043309631544927	0.24339746174579266	0.38174487602405216	0.40664643348201346	0.1651970828148856	0.47212827332207963	0.1584436883479664	0.24339746174579266	0.28598677496911595	1	0.1651970828148856
Lactobacillus	Kruskal-Wallis rank sum test	0.036000000000000004	0.03	0.004	0.034	0.026000000000000002	0.022	0.032	0.0215	0.03	1	0.008141924994869626	6.138207308843818e-4	1	1	6.138207308843818e-4	1	1	0.0026209626639586824	1	1	1	0.01715152088845001	1	1	1	1	0.6878238870389674	1	1	1	1	1	0.008141924994869626	1	1	1	1	1	1	0.008141924994869626	1	1	1	1	1
Oscillibacter	Kruskal-Wallis rank sum test	0	0.001	0	0.003	5e-4	0.004	0	0.013000000000000001	0	0.0492127357225195	1	0.036932572413562674	0.01260333587752403	0.10374734551413387	0.01260333587752403	0.2033150658941212	0.665921334478259	0.1932233547287097	0.10656967733839602	0.01666531184004617	0.2040209633895493	0.017902259990141705	1	0.2040209633895493	1	0.3792695425198232	1	0.25880575409592343	0.6002930388030024	0.2983626693681088	0.01260333587752403	0.01260333587752403	0.017902259990141705	0.01260333587752403	0.01260333587752403	0.030416684618293756	0.38095238095238093	1	0.0723798703019816	1	0.021044720801682553	0.2509758722340031	0.03559924904351302	1	0.01260333587752403
Porphyromonadaceae Unclassified	Kruskal-Wallis rank sum test	0.0015	0.556	0.001	0.542	0.6355	0.6519999999999999	0.006	0.437	0.002	4.2876977847672494e-4	0.7576862947441159	3.850344700426163e-4	4.2876977847672494e-4	0.6592132221046116	3.850344700426163e-4	9.74596118187409e-4	0.09783263334221175	4.2876977847672494e-4	0.02976526910225696	0.005254690480785117	0.21770002572678157	0.003878474466709761	0.13255668816309552	0.9517802939185156	0.6258357689340767	0.14906832298136644	0.5007649987528855	0.18181818181818182	0.21770002572678157	0.3673469387755102	0.005254690480785117	0.19718731174307733	0.003878474466709761	0.21770002572678157	0.003878474466709761	0.05194805194805195	0.3673469387755102	0.95739589157978	4.2876977847672494e-4	0.6258357689340767	4.2876977847672494e-4	9.74596118187409e-4	0.005254690480785117	0.4056822219338887	0.005254690480785117
Ruminococcaceae Unclassified	Kruskal-Wallis rank sum test	0	0.0115	0.0015	0.014	0.008	0.009000000000000001	0	0.027999999999999997	0	0.00139781864547953	0.027348868763400588	0.0018838467743978416	0.00139781864547953	0.5508108322610105	0.00139781864547953	0.004538540504933381	0.06378295288450503	0.03119691115042482	0.006429888896400514	0.004538540504933381	0.5508108322610105	0.009930253563940132	0.09355067509203874	0.26982618271214354	1	0.1616784201828955	0.3100929086798807	0.16853945647427268	0.23549250090424637	0.26639524050724	0.004538540504933381	0.019734117741496266	0.004538540504933381	0.019734117741496266	0.004356093875625012	0.011995499436197907	0.3317972350230415	0.624435207044176	0.002264947039429423	0.09355067509203874	0.002264947039429423	0.019734117741496266	0.02428392277918799	0.8134789607389277	0.004770285123735719
Ruminococcus	Kruskal-Wallis rank sum test	0	0.002	0	0.001	0.001	0.0015	0	0	0	0.0123474958783669	0.456426923987245	0.00461153433907849	0.04537291417439772	0.4537697153322438	0.016290819594229865	0.04806915796874202	0.4550758205675424	0.016290819594229865	1	0.08859029509344135	0.6071250960454672	0.024610960565571105	1	0.9740295565684142	1	0.33947854688572604	NA	0.456426923987245	0.457048970770737	0.533359726840124	0.5265785002166573	0.03477688285892228	0.17113078584632807	0.209795049418151	0.209795049418151	0.262218218050382	0.8555302732245871	0.5036775555306281	0.008462781581818424	NA	0.024610960565571105	0.024610960565571105	0.04024115199282485	NA	0.21558844045429085
Turicibacter	Kruskal-Wallis rank sum test	0.0205	0.055	0.009000000000000001	0.064	0.0315	0.033	0	0.022000000000000002	0.0155	0.4675324675324675	0.39154970700876207	0.021979174011059806	0.39154970700876207	0.4817333050528841	0.00357273960891655	0.5752878536197549	0.4675324675324675	0.04390152881809846	0.3068048813845616	0.589010989010989	0.8239115653444067	0.14952936516904577	0.4675324675324675	0.7866329146174315	0.4675324675324675	0.39154970700876207	0.4675324675324675	0.39154970700876207	0.39154970700876207	0.4675324675324675	0.6294876641874951	0.29892188604441305	0.6376790457782141	0.14952936516904577	0.4675324675324675	0.5024591169890998	0.5610667256370135	1	0.53362479168687	0.4675324675324675	0.39154970700876207	0.5562475255991913	0.5265060512127038	0.4675324675324675	0.6294876641874951
Unclassified	Kruskal-Wallis rank sum test	0	0.0105	0	0.004	0.0045000000000000005	0	0	0.014	0	0.001790098008566364	0.4074319672809219	5.874341832317575e-4	0.001790098008566364	0.3144280591940295	5.874341832317575e-4	0.008389660715398596	0.07759939420145474	0.0017984915258481664	0.5378765716838186	0.5378765716838186	0.006849723596642017	0.12816860583209336	0.005810048525638358	0.04164662890023838	1	0.22990308952429328	NA	0.22821038788653036	0.3144280591940295	0.8009579130240528	0.005810048525638358	0.5024388466844196	0.001790098008566364	0.1859724379627874	0.11122262815565484	0.013754312885810497	0.38461538461538464	0.5024388466844196	0.0022061670551583633	0.08998808215799713	0.001790098008566364	0.018024134015685596	1	0.6971036277558686	0.005810048525638358
