otu	statistic	p.value	parameter	method	WM	WMR	CWM	RM	FRM	WMC	M1	1RM1	p.value.adj
Lachnospiraceae (OTU 26)	19.85925864961044	0.005881839716238466	7	Kruskal-Wallis rank sum test	0	0.0015	0	0	0	0	0	0	0.0247248394950001
Ruminococcaceae (OTU 52)	19.80889057938741	0.005997609580470321	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	0.0247248394950001
Blautia (OTU 19)	19.676697247706468	0.006312021290305784	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0325	0	0	0.025500566012835367
Oscillibacter (OTU 371)	19.316939890710312	0.007250373212956318	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.003	0	0	0.028717164490532868
Lactobacillales (OTU 242)	18.97777777777771	0.008257240053860903	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.031470990393960424
Anaerostipes (OTU 840)	18.97777777777771	0.008257240053860903	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.031470990393960424
Akkermansia (OTU 3)	18.820565806985357	0.008768410435849477	7	Kruskal-Wallis rank sum test	0	0.1495	0.002	0.001	0	0.006	0	5e-4	0.03280035014891842
Lachnospiraceae (OTU 36)	17.864663126577046	0.012595767025371027	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.046260817074999044
Ruminococcaceae (OTU 60)	17.362275995783488	0.0152037323478374	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.05484203454041348
Ruminococcaceae (OTU 65)	16.651735302470918	0.01978527422219152	7	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0	0	0.06773941343868961
Lachnospiraceae (OTU 66)	16.714485136675908	0.01933295954743903	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.06773941343868961
Pseudoflavonifractor (OTU 69)	16.68844951606229	0.019519424475284125	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.06773941343868961
Acetatifactor (OTU 55)	16.117064287015104	0.024068101043955212	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.07596494391998364
Lachnospiraceae (OTU 140)	16.119999999999997	0.024042352578070008	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.07596494391998364
Clostridiales (OTU 141)	16.119999999999997	0.024042352578070008	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.07596494391998364
Lachnospiraceae (OTU 149)	16.17523443678681	0.023562734689471256	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.07596494391998364
Coriobacteriaceae (OTU 158)	16.119999999999997	0.024042352578070008	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.07596494391998364
Lachnospiraceae (OTU 47)	15.395154704944147	0.031254830299116174	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.0971303956987918
Enterobacteriaceae (OTU 176)	13.79037037037048	0.055037933586922314	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0025	0	0	0.1684494330993683
Lactobacillus (OTU 23)	13.304602460552765	0.06502554777050268	7	Kruskal-Wallis rank sum test	0.007	0.008	0.001	0	0.001	0.006	0.007	0.0035	0.19036464709625422
Lachnospiraceae (OTU 81)	13.311555555555566	0.06487156475142046	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.19036464709625422
Lachnospiraceae (OTU 113)	13.309706985140958	0.06491247052276529	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.19036464709625422
Porphyromonadaceae (OTU 67)	12.930977963941034	0.07380806458595632	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.2111720292886966
Lachnospiraceae (OTU 111)	12.914314332544102	0.07422383207672009	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.2111720292886966
Erysipelotrichaceae (OTU 142)	12.298587182241317	0.0911574309198683	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0	0.2557472367474083
Pseudomonas (OTU 298)	11.399999999999425	0.12209792728338852	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3203088481979803
Lachnospiraceae (OTU 576)	11.399999999999425	0.12209792728338852	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3203088481979803
Bacteroidales (OTU 1018)	11.399999999999425	0.12209792728338852	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3203088481979803
Porphyromonadaceae (OTU 2469)	11.399999999999425	0.12209792728338852	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3203088481979803
Bacteroidales (OTU 2715)	11.399999999999425	0.12209792728338852	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3203088481979803
Lachnospiraceae (OTU 272)	11.046781609195358	0.13659140717508472	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.35373672114573224
Lactobacillus (OTU 13)	10.762588795744541	0.1493152650480407	7	Kruskal-Wallis rank sum test	0.009	0.0115	0.075	0.0045000000000000005	0.0085	0.0075	0.011	0.006999999999999999	0.35570434216932467
Ruminococcaceae (OTU 37)	10.570491803278959	0.1584821326496991	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.35570434216932467
Porphyromonadaceae (OTU 40)	10.573333333333279	0.1583431075136799	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.35570434216932467
Lachnospiraceae (OTU 58)	10.570491803278959	0.1584821326496991	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.35570434216932467
Lachnospiraceae (OTU 83)	10.570491803278959	0.1584821326496991	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.35570434216932467
Lachnospiraceae (OTU 86)	10.570491803278959	0.1584821326496991	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.35570434216932467
Lachnospiraceae (OTU 103)	10.570491803278959	0.1584821326496991	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.35570434216932467
Ruminococcaceae (OTU 106)	10.570491803278959	0.1584821326496991	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.35570434216932467
Lachnospiraceae (OTU 133)	10.5733333333336	0.15834310751366415	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.35570434216932467
Bacteroides (OTU 178)	10.792655367231648	0.1479224930830984	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.35570434216932467
Lachnospiraceae (OTU 184)	10.5733333333336	0.15834310751366415	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.35570434216932467
Coriobacteriaceae (OTU 204)	10.5733333333336	0.15834310751366415	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.35570434216932467
Porphyromonadaceae (OTU 44)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Porphyromonadaceae (OTU 48)	9.522777777777858	0.21726783768830052	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Porphyromonadaceae (OTU 80)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Lachnospiraceae (OTU 84)	9.718229830632117	0.2051113276884708	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Porphyromonadaceae (OTU 87)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Clostridiales (OTU 107)	9.522777777777858	0.21726783768830052	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Lachnospiraceae (OTU 121)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Lachnospiraceae (OTU 148)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Lachnospiraceae (OTU 160)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Clostridiales (OTU 173)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Clostridium (OTU 186)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Lachnospiraceae (OTU 193)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Lachnospiraceae (OTU 205)	9.713333333333225	0.20540893495662393	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Porphyromonadaceae (OTU 212)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Bacillus (OTU 218)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Lachnospiraceae (OTU 225)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Porphyromonadaceae (OTU 246)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Parabacteroides (OTU 275)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Alistipes (OTU 289)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Porphyromonadaceae (OTU 325)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Lachnospiraceae (OTU 326)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Phascolarctobacterium (OTU 331)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Akkermansia (OTU 352)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Porphyromonadaceae (OTU 362)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Porphyromonadaceae (OTU 388)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Bacteroides (OTU 400)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Lachnospiraceae (OTU 448)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Porphyromonadaceae (OTU 508)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Lactococcus (OTU 548)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Lactobacillus (OTU 627)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Porphyromonadaceae (OTU 707)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Porphyromonadaceae (OTU 723)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Ruminococcaceae (OTU 747)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Blautia (OTU 970)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Lachnospiraceae (OTU 1053)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Lactobacillus (OTU 1178)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Porphyromonadaceae (OTU 1411)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Campylobacter (OTU 1655)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Lachnospiraceae (OTU 1765)	9.333333333333588	0.22960164919377699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3595312646290151
Lachnospiraceae (OTU 150)	9.29141457655238	0.23240529209226868	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.36112206925106366
Lachnospiraceae (OTU 73)	9.154023746701826	0.24178617802890584	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.37283059512854183
Clostridium (OTU 22)	9.086026242696995	0.2465386037576176	7	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0	0	0.3772787724169603
Blautia (OTU 132)	9.006403013182846	0.2521966631197201	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.38303553346002606
Lachnospiraceae (OTU 68)	8.472222222222117	0.29279887665507043	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.43838774759077237
Ruminococcaceae (OTU 169)	8.469945355191154	0.2929819105185855	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.43838774759077237
Lachnospiraceae (OTU 82)	8.333427484653303	0.3041126324417352	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.45169670406787144
Enterorhabdus (OTU 109)	8.226360161870511	0.3130576694744267	7	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	0	0	0.4615886805389357
Clostridium (OTU 126)	8.1404678362574	0.32037080750549174	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.4689485733051401
Lachnospiraceae (OTU 123)	8.02187290071216	0.33066912469025017	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.4805407423556154
Clostridium (OTU 145)	7.581952285558277	0.37089458284053745	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.5351478980984897
Ruminococcaceae (OTU 59)	7.421666666666982	0.38633373625485246	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.553471026407661
Clostridiales (OTU 115)	7.2258003766479995	0.4057545051973577	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.577200070773706
Porphyromonadaceae (OTU 21)	7.015437158469951	0.4272743183463841	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.603562323817969
Lachnospiraceae (OTU 72)	6.397261963156711	0.4942022813855773	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.6785358424592125
Clostridiales (OTU 137)	6.371111111111241	0.49714507269285435	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6785358424592125
Lachnospiraceae (OTU 189)	6.439344262295164	0.48948436262598793	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6785358424592125
Escherichia/Shigella (OTU 342)	6.371111111110937	0.4971450726928884	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6785358424592125
Dorea (OTU 686)	6.371111111110937	0.4971450726928884	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6785358424592125
Lachnospiraceae (OTU 127)	6.303825136612256	0.5047547268274759	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6842983544909406
Lachnospiraceae (OTU 64)	6.0662962962964295	0.5320299833070887	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7164670441868795
Ruminococcaceae (OTU 27)	5.1999999999995286	0.635570870450781	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7172364012908254
Lachnospiraceae (OTU 29)	5.931010928961831	0.5478276263495712	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7172364012908254
Lachnospiraceae (OTU 33)	5.445197740113153	0.6058020287259317	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7172364012908254
Clostridiales (OTU 35)	5.1999999999995286	0.635570870450781	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7172364012908254
Bacteroidales (OTU 38)	5.8458333333333234	0.5578617208277119	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7172364012908254
Lachnospiraceae (OTU 41)	5.1999999999995286	0.635570870450781	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7172364012908254
Lachnospiraceae (OTU 42)	5.1999999999995286	0.635570870450781	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7172364012908254
Oscillibacter (OTU 45)	5.1999999999995286	0.635570870450781	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7172364012908254
Clostridium (OTU 51)	5.1999999999995286	0.635570870450781	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7172364012908254
Ruminococcaceae (OTU 61)	5.1999999999995286	0.635570870450781	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7172364012908254
Acetatifactor (OTU 78)	5.1999999999995286	0.635570870450781	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7172364012908254
Ruminococcus (OTU 93)	5.1999999999995286	0.635570870450781	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7172364012908254
Lachnospiraceae (OTU 125)	5.845833333333218	0.5578617208277246	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7172364012908254
Lachnospiraceae (OTU 128)	5.1999999999995286	0.635570870450781	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7172364012908254
Ruminococcaceae (OTU 143)	5.1999999999995286	0.635570870450781	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7172364012908254
Lachnospiraceae (OTU 151)	5.1999999999995286	0.635570870450781	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7172364012908254
Bacteria (OTU 168)	5.1999999999995286	0.635570870450781	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7172364012908254
Firmicutes (OTU 198)	5.1999999999995286	0.635570870450781	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7172364012908254
Clostridiales (OTU 199)	5.1999999999995286	0.635570870450781	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7172364012908254
Akkermansia (OTU 200)	5.1999999999995286	0.635570870450781	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7172364012908254
Ruminococcaceae (OTU 207)	5.1999999999995286	0.635570870450781	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7172364012908254
Clostridiales (OTU 226)	5.1999999999995286	0.635570870450781	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7172364012908254
Lachnospiraceae (OTU 227)	5.1999999999995286	0.635570870450781	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7172364012908254
Lachnospiraceae (OTU 239)	5.1999999999995286	0.635570870450781	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7172364012908254
Bacteroides (OTU 256)	5.320555555555803	0.6209069760481574	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7172364012908254
