otu	statistic	p.value	parameter	method	WM	C	WMC	WMN	p.value.adj
Clostridium (OTU 22)	38.781177687067725	1.9311644781055582e-8	3	Kruskal-Wallis rank sum test	0	0.022	0	0	1.38802446863837e-7
Lachnospiraceae (OTU 90)	38.78243792958343	1.9299778471876674e-8	3	Kruskal-Wallis rank sum test	0	0.001	0	0	1.38802446863837e-7
Lachnospiraceae (OTU 74)	37.40757668088567	3.7726302100057236e-8	3	Kruskal-Wallis rank sum test	0	0.003	0	0	2.656239637657091e-7
Lachnospiraceae (OTU 72)	36.35888070289727	6.287840622313722e-8	3	Kruskal-Wallis rank sum test	0	0.002	0	0	4.338610029396468e-7
Lachnospiraceae (OTU 63)	35.98067538521719	7.559157336211987e-8	3	Kruskal-Wallis rank sum test	0	0.003	0	0	5.113547609790461e-7
Acetatifactor (OTU 138)	35.74307085375495	8.48602002145505e-8	3	Kruskal-Wallis rank sum test	0	0.001	0	0	5.630147898849986e-7
Lachnospiraceae (OTU 94)	35.70304617143354	8.652958141426074e-8	3	Kruskal-Wallis rank sum test	0	0.001	0	0	5.632585959984898e-7
Lachnospiraceae (OTU 20)	35.1666081128934	1.123400844504027e-7	3	Kruskal-Wallis rank sum test	0	0.005	0	0	7.177283173220173e-7
Lachnospiraceae (OTU 110)	34.73086040469542	1.388646634801931e-7	3	Kruskal-Wallis rank sum test	0	0.001	0	0	8.710601618303022e-7
Butyricicoccus (OTU 56)	33.42336906500262	2.621971671395547e-7	3	Kruskal-Wallis rank sum test	0	0.003	0	0	1.6153218332704709e-6
Firmicutes (OTU 155)	33.07155504634928	3.110661636059596e-7	3	Kruskal-Wallis rank sum test	0	0.001	0	0	1.8827688849834395e-6
Lachnospiraceae (OTU 47)	31.947061044299318	5.369651257720918e-7	3	Kruskal-Wallis rank sum test	0	0.002	0	0	3.191365427801118e-6
Lachnospiraceae (OTU 77)	31.913543589332075	5.457697398268578e-7	3	Kruskal-Wallis rank sum test	0	0.005	0	0	3.191365427801118e-6
Clostridium (OTU 51)	31.344329445483535	7.193348712966251e-7	3	Kruskal-Wallis rank sum test	0	0.005	0	0	4.136175509955594e-6
Lachnospiraceae (OTU 46)	30.972633042598826	8.614016137757689e-7	3	Kruskal-Wallis rank sum test	0	0.001	0	0	4.871861586108857e-6
Clostridium (OTU 145)	30.313901345291498	1.1853803445439846e-6	3	Kruskal-Wallis rank sum test	0	0	0	0	6.596068046252818e-6
Lachnospiraceae (OTU 49)	30.070765116872536	1.333555575954036e-6	3	Kruskal-Wallis rank sum test	0	0.002	0	0	7.302804344510197e-6
Ruminococcaceae (OTU 106)	27.59322234379165	4.4208951590661145e-6	3	Kruskal-Wallis rank sum test	0	0	0	0	2.3464751228889375e-5
Lachnospiraceae (OTU 144)	27.620992807033183	4.361983719578702e-6	3	Kruskal-Wallis rank sum test	0	0	0	0	2.3464751228889375e-5
Lachnospiraceae (OTU 86)	27.31689053212895	5.052117172458579e-6	3	Kruskal-Wallis rank sum test	0	0.001	0	0	2.6408794310578935e-5
Bacteria (OTU 108)	26.76211538342398	6.603645214900931e-6	3	Kruskal-Wallis rank sum test	0	0	0	0	3.400384476329584e-5
Clostridiales (OTU 97)	26.220326507820115	8.576161833289081e-6	3	Kruskal-Wallis rank sum test	0	0.001	0	0	4.351140930124607e-5
Lachnospiraceae (OTU 125)	24.97785989614855	1.5605956528382543e-5	3	Kruskal-Wallis rank sum test	0	0	0	0	7.62829887835699e-5
Ruminococcaceae (OTU 143)	25.014515871749854	1.5332968194477307e-5	3	Kruskal-Wallis rank sum test	0	0	0	0	7.62829887835699e-5
Anaerostipes (OTU 159)	24.96553633884562	1.5698817981546268e-5	3	Kruskal-Wallis rank sum test	0	0	0	0	7.62829887835699e-5
Lachnospiraceae (OTU 112)	24.703074846319193	1.781272909878777e-5	3	Kruskal-Wallis rank sum test	0	0	0	0	8.535266026502475e-5
Clostridiales (OTU 115)	24.442312344449046	2.0193792714962704e-5	3	Kruskal-Wallis rank sum test	0	0	0	0	9.543641762550866e-5
Lactobacillus (OTU 23)	24.373106042861306	2.0877345981231542e-5	3	Kruskal-Wallis rank sum test	0	0.002	0	0	9.603579151366509e-5
Lachnospiraceae (OTU 111)	24.377998034832263	2.082827900913006e-5	3	Kruskal-Wallis rank sum test	0	0	0	0	9.603579151366509e-5
Lachnospiraceae (OTU 128)	24.31137945678464	2.1506457385696294e-5	3	Kruskal-Wallis rank sum test	0	0	0	0	9.762799734296344e-5
Acetatifactor (OTU 55)	22.540438991936636	5.0344314407847404e-5	3	Kruskal-Wallis rank sum test	0	0.002	0	0	2.2556868143775783e-4
Ruminococcaceae (OTU 147)	21.817958309186423	7.117477622091725e-5	3	Kruskal-Wallis rank sum test	0	0	0	0	3.1481151020790323e-4
Clostridium (OTU 126)	21.607452420554498	7.872324357466015e-5	3	Kruskal-Wallis rank sum test	0	0	0	0	3.4379138016781967e-4
Lachnospiraceae (OTU 42)	21.42139624428452	8.60559253061844e-5	3	Kruskal-Wallis rank sum test	0	0.001	0	0	3.7111617788292026e-4
Ruminococcaceae (OTU 118)	19.92030058066723	1.763217606475669e-4	3	Kruskal-Wallis rank sum test	0	0	0	0	7.418415539440314e-4
Lachnospiraceae (OTU 167)	19.924837717799825	1.75940489621507e-4	3	Kruskal-Wallis rank sum test	0	0	0	0	7.418415539440314e-4
Turicibacter (OTU 5)	19.81406195746848	1.8548824534841998e-4	3	Kruskal-Wallis rank sum test	0	0.004	0	0.0025	7.710053571711433e-4
Lachnospiraceae (OTU 76)	19.68559339811231	1.9720844188339894e-4	3	Kruskal-Wallis rank sum test	0	0.001	0	0	8.099632434496742e-4
Lachnospiraceae (OTU 62)	19.21728189708491	2.4652376371526796e-4	3	Kruskal-Wallis rank sum test	0	0	0	0	0.0010005964527266757
Lachnospiraceae (OTU 121)	18.383562093919174	3.6657082742810746e-4	3	Kruskal-Wallis rank sum test	0	0	0	0	0.001470545761194152
Lachnospiraceae (OTU 32)	18.30232140191839	3.810027933648721e-4	3	Kruskal-Wallis rank sum test	0	0.002	0	0	0.001510873146102079
Lachnospiraceae (OTU 103)	17.487666034155612	5.609127727398205e-4	3	Kruskal-Wallis rank sum test	0	0	0	0	0.002174324793204922
Ruminococcaceae (OTU 153)	17.489878542510137	5.603245578468973e-4	3	Kruskal-Wallis rank sum test	0	0	0	0	0.002174324793204922
Lachnospiraceae (OTU 84)	16.963828757175467	7.189518442372522e-4	3	Kruskal-Wallis rank sum test	0	0	0	0	0.002755982069576133
Lachnospiraceae (OTU 174)	16.215493543288584	0.0010242626919438084	3	Kruskal-Wallis rank sum test	0	0	0	0	0.0038831937222045484
Firmicutes (OTU 96)	16.016746389686105	0.001125054692096942	3	Kruskal-Wallis rank sum test	0	0	0	0	0.004218955095363532
Lachnospiraceae (OTU 196)	15.098430813124141	0.0017344360084331032	3	Kruskal-Wallis rank sum test	0	0	0	0	0.0063657491798874526
Ruminococcaceae (OTU 207)	15.120000000000031	0.0017169197165364581	3	Kruskal-Wallis rank sum test	0	0	0	0	0.0063657491798874526
Lachnospiraceae (OTU 124)	14.526992475710365	0.002268911145157643	3	Kruskal-Wallis rank sum test	0	0	0	0	0.008239729948204072
Lachnospiraceae (OTU 117)	14.43183839844182	0.0023725644077796063	3	Kruskal-Wallis rank sum test	0	0	0	0	0.00852640334045796
Lachnospiraceae (OTU 104)	14.385331750428689	0.002424919587699889	3	Kruskal-Wallis rank sum test	0	0	0	0	0.008624713997489295
Lachnospiraceae (OTU 127)	12.783056258126557	0.0051300384640909575	3	Kruskal-Wallis rank sum test	0	0	0	0	0.017574018803944474
Lachnospiraceae (OTU 157)	12.777564769677342	0.005143180474013273	3	Kruskal-Wallis rank sum test	0	0	0	0	0.017574018803944474
Clostridium (OTU 172)	12.789473684210485	0.0051147226252989085	3	Kruskal-Wallis rank sum test	0	0	0	0	0.017574018803944474
Lachnospiraceae (OTU 177)	12.776864935918459	0.005144857678835919	3	Kruskal-Wallis rank sum test	0	0	0	0	0.017574018803944474
Faecalibacterium (OTU 262)	12.500000000000274	0.005852662593325988	3	Kruskal-Wallis rank sum test	0	0	0	0	0.018524482520160236
Lachnospiraceae (OTU 307)	12.500000000000274	0.005852662593325988	3	Kruskal-Wallis rank sum test	0	0	0	0	0.018524482520160236
Clostridiales (OTU 638)	12.500000000000274	0.005852662593325988	3	Kruskal-Wallis rank sum test	0	0	0	0	0.018524482520160236
Oscillibacter (OTU 805)	12.500000000000274	0.005852662593325988	3	Kruskal-Wallis rank sum test	0	0	0	0	0.018524482520160236
Acetitomaculum (OTU 950)	12.500000000000274	0.005852662593325988	3	Kruskal-Wallis rank sum test	0	0	0	0	0.018524482520160236
Faecalibacterium (OTU 1155)	12.500000000000274	0.005852662593325988	3	Kruskal-Wallis rank sum test	0	0	0	0	0.018524482520160236
Firmicutes (OTU 2747)	12.500000000000274	0.005852662593325988	3	Kruskal-Wallis rank sum test	0	0	0	0	0.018524482520160236
Clostridiales (OTU 3600)	12.500000000000274	0.005852662593325988	3	Kruskal-Wallis rank sum test	0	0	0	0	0.018524482520160236
Akkermansia (OTU 3)	12.434089536154337	0.0060348751041011395	3	Kruskal-Wallis rank sum test	0.007	0.185	0.187	0.0965	0.018927562826499027
Clostridiales (OTU 179)	12.214113094234616	0.006684557646407383	3	Kruskal-Wallis rank sum test	0	0	0	0	0.020776327819914838
Clostridiales (OTU 154)	12.151662106992976	0.006881282255837837	3	Kruskal-Wallis rank sum test	0	0	0	0	0.021196806948786194
Lachnospiraceae (OTU 26)	11.805549120930573	0.008079835975551652	3	Kruskal-Wallis rank sum test	0	0.003	0	0	0.024668525766064778
Lachnospiraceae (OTU 11)	11.780730713495224	0.008173301877241516	3	Kruskal-Wallis rank sum test	0	0	0	0	0.024734992523230904
Enterorhabdus (OTU 109)	10.810395691464429	0.012796588016292349	3	Kruskal-Wallis rank sum test	0	0	0	0	0.03838976404887705
Lachnospiraceae (OTU 133)	10.519480519480597	0.014629330176351733	3	Kruskal-Wallis rank sum test	0	0	0	0	0.04219149380758869
Alistipes (OTU 139)	10.512654120700919	0.014675302193943892	3	Kruskal-Wallis rank sum test	0	0	0	0	0.04219149380758869
Lachnospiraceae (OTU 160)	10.519480519480597	0.014629330176351733	3	Kruskal-Wallis rank sum test	0	0	0	0	0.04219149380758869
Lachnospiraceae (OTU 180)	10.513336361866518	0.014670701288463957	3	Kruskal-Wallis rank sum test	0	0	0	0	0.04219149380758869
Lachnospiraceae (OTU 241)	10.516066212268818	0.014652305896902149	3	Kruskal-Wallis rank sum test	0	0	0	0	0.04219149380758869
Lachnospiraceae (OTU 64)	10.455934028212248	0.015062820931703347	3	Kruskal-Wallis rank sum test	0	0	0	0	0.04294771257386492
Lactobacillus (OTU 9)	10.011252191449552	0.018470729468022862	3	Kruskal-Wallis rank sum test	0.003	0.002	0.002	0	0.05223280054481875
Bacteria (OTU 209)	9.79935974178184	0.020350953734071836	3	Kruskal-Wallis rank sum test	0	0	0	0	0.05708194340044539
Lachnospiraceae (OTU 183)	9.575289575289624	0.022543748622830005	3	Kruskal-Wallis rank sum test	0	0	0	0	0.06272252641029316
Lachnospiraceae (OTU 181)	9.524171818037727	0.02307559837657522	3	Kruskal-Wallis rank sum test	0	0	0	0	0.0636886515193476
Coriobacteriaceae (OTU 158)	8.311688311688217	0.039990672375129314	3	Kruskal-Wallis rank sum test	0	0	0	0	0.10883192576073036
Firmicutes (OTU 235)	8.307692307692214	0.040062766874239875	3	Kruskal-Wallis rank sum test	0	0	0	0	0.10883192576073036
Lachnospiraceae (OTU 163)	7.755966730325545	0.051333779929909736	3	Kruskal-Wallis rank sum test	0	0	0	0	0.13836057871733484
Lachnospiraceae (OTU 161)	7.466666666666643	0.058421141971576614	3	Kruskal-Wallis rank sum test	0	0	0	0	0.1562425889937514
Bacteria (OTU 43)	7.394527505177509	0.06033133007427651	3	Kruskal-Wallis rank sum test	0	0	0	0	0.1601100682740415
Porphyromonadaceae (OTU 338)	6.329113924050776	0.09665101139549004	3	Kruskal-Wallis rank sum test	0	0	0	0	0.25453892314079435
Staphylococcus (OTU 156)	6.151898734177197	0.10444940368050751	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2574661950502208
Lachnospiraceae (OTU 162)	6.151898734177197	0.10444940368050751	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2574661950502208
Enterobacteriaceae (OTU 176)	6.151898734177197	0.10444940368050751	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2574661950502208
Lachnospiraceae (OTU 184)	6.153846153846132	0.1043605185100214	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2574661950502208
Lachnospiraceae (OTU 189)	6.151898734177197	0.10444940368050751	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2574661950502208
Ruminococcaceae (OTU 216)	6.153846153846132	0.1043605185100214	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2574661950502208
Ruminococcaceae (OTU 219)	6.151898734177197	0.10444940368050751	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2574661950502208
Acetatifactor (OTU 263)	6.151249868157349	0.10447903567255334	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2574661950502208
Firmicutes (OTU 279)	6.151898734177197	0.10444940368050751	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2574661950502208
Pseudoflavonifractor (OTU 240)	5.803244793871804	0.12158519807284407	3	Kruskal-Wallis rank sum test	0	0	0	0	0.29749569741227805
Lachnospiraceae (OTU 482)	5.785714285714359	0.12251407336745017	3	Kruskal-Wallis rank sum test	0	0	0	0	0.29765743177303033
Ruminococcaceae (OTU 169)	5.769260822003393	0.12339202824287489	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2976940541523905
Blautia (OTU 132)	5.473684210526242	0.14022109276491834	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3359463680826169
Porphyromonadaceae (OTU 8)	5.190921126614779	0.15833902461901478	3	Kruskal-Wallis rank sum test	0.001	0	0	0	0.3767376792659317
Clostridium (OTU 201)	4.050632911392261	0.25604834092893747	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5737650280876951
Lachnospiraceae (OTU 203)	4.050632911392261	0.25604834092893747	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5737650280876951
Firmicutes (OTU 210)	4.050632911392261	0.25604834092893747	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5737650280876951
Lachnospiraceae (OTU 211)	4.050632911392261	0.25604834092893747	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5737650280876951
Lactobacillus (OTU 221)	4.049999999999855	0.2561154038420436	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5737650280876951
Lachnospiraceae (OTU 238)	4.050632911392261	0.25604834092893747	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5737650280876951
Lachnospiraceae (OTU 243)	4.050632911392261	0.25604834092893747	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5737650280876951
Lachnospiraceae (OTU 259)	4.050632911392261	0.25604834092893747	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5737650280876951
Clostridiales (OTU 421)	4.050632911392261	0.25604834092893747	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5737650280876951
Anaeroplasma (OTU 89)	3.9587321219973806	0.26595493429648115	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5919642085953934
Lachnospiraceae (OTU 58)	3.923219175962883	0.26987532270733633	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5968396559873784
Enterococcus (OTU 187)	3.8891347061806085	0.2736871151012663	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6014143612097891
Ruminococcus (OTU 93)	3.8232217661885333	0.28119657967458717	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6140051897957758
Porphyromonadaceae (OTU 6)	2.034978461009361	0.5651786262508335	3	Kruskal-Wallis rank sum test	0	0	0.001	0	0.6474764362048284
Porphyromonadaceae (OTU 7)	2.339027622553411	0.505085507830576	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Porphyromonadaceae (OTU 21)	3.3104817765856627	0.34618643900757967	3	Kruskal-Wallis rank sum test	0	0	0	5e-4	0.6474764362048284
Clostridiales (OTU 91)	2.9291115198289956	0.4026844153857678	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Ruminococcaceae (OTU 98)	2.2605571480183544	0.5201191930286911	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Ruminococcaceae (OTU 100)	1.9999999999997329	0.5724067044709353	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Bacteria (OTU 105)	2.8571428571434745	0.414179365967821	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Clostridiales (OTU 107)	2.0762619159246136	0.5567300472466349	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Lachnospiraceae (OTU 113)	3.068133616656656	0.38123914280635895	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Olsenella (OTU 114)	2.308842899560099	0.5108289592830809	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Firmicutes (OTU 129)	1.9999999999997329	0.5724067044709353	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Clostridiales (OTU 130)	2.3085993764191266	0.5108754968439077	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Clostridiales (OTU 141)	3.6487322201608325	0.30197816134103694	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Erysipelotrichaceae (OTU 142)	1.9999999999997329	0.5724067044709353	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Lachnospiraceae (OTU 146)	1.9999999999997329	0.5724067044709353	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Lachnospiraceae (OTU 148)	1.9999999999997329	0.5724067044709353	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Lachnospiraceae (OTU 150)	2.3443223443226398	0.5040831373902588	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Lachnospiraceae (OTU 151)	2.8571428571434745	0.414179365967821	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Lachnospiraceae (OTU 152)	2.3443223443226398	0.5040831373902588	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Lachnospiraceae (OTU 164)	1.9999999999997329	0.5724067044709353	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Clostridiales (OTU 170)	1.9999999999997329	0.5724067044709353	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Coriobacteriaceae (OTU 182)	1.9999999999997329	0.5724067044709353	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Lachnospiraceae (OTU 185)	1.9999999999997329	0.5724067044709353	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Firmicutes (OTU 188)	2.3620208514724728	0.5007435813379373	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Prevotella (OTU 191)	2.0867605930426065	0.5545958256739169	3	Kruskal-Wallis rank sum test	0	0	0	5e-4	0.6474764362048284
Lachnospiraceae (OTU 193)	1.9999999999997329	0.5724067044709353	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Clostridiales (OTU 195)	1.9999999999997329	0.5724067044709353	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Clostridiales (OTU 199)	2.3443223443226398	0.5040831373902588	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Akkermansia (OTU 200)	2.077872744539514	0.5564022122999654	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Acetatifactor (OTU 206)	1.9999999999997329	0.5724067044709353	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Ruminococcaceae (OTU 217)	2.8571428571434745	0.414179365967821	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Bacillus (OTU 218)	2.343333283107865	0.5042702660668378	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Listeria (OTU 228)	1.9999999999997329	0.5724067044709353	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Lachnospiraceae (OTU 239)	2.8571428571434745	0.414179365967821	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Parabacteroides (OTU 245)	2.8571428571434745	0.414179365967821	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
Coriobacteriaceae (OTU 252)	1.9999999999997329	0.5724067044709353	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6474764362048284
