otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	p.value.adj
Lachnospiraceae (OTU 4)	4.157734728506794	0.2449276534323679	3	Kruskal-Wallis rank sum test	0.044	0.08249999999999999	0.059000000000000004	0.106	0.5123355683321071
Turicibacter (OTU 5)	3.3590470788428823	0.3395085813374395	3	Kruskal-Wallis rank sum test	0.034	0.0775	0.045	0.22799999999999998	0.5123355683321071
Porphyromonadaceae (OTU 6)	3.6830427892234483	0.29778644177030855	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Porphyromonadaceae (OTU 7)	3.628322639780007	0.30449648463105733	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.5123355683321071
Porphyromonadaceae (OTU 10)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 11)	2.862149532710277	0.4133709192415755	3	Kruskal-Wallis rank sum test	0.016	0.017	0.001	0.004	0.5123355683321071
Lachnospiraceae (OTU 24)	3.3954918032786856	0.33457156261380505	3	Kruskal-Wallis rank sum test	0.0035	0.009	0.005	0	0.5123355683321071
Lachnospiraceae (OTU 26)	3.7616446233467506	0.2883791366396517	3	Kruskal-Wallis rank sum test	0.0045000000000000005	0.0075	0.0035	0	0.5123355683321071
Lachnospiraceae (OTU 36)	3.361143523920652	0.3392228657494949	3	Kruskal-Wallis rank sum test	0.0015	0.0035	0.001	0.0015	0.5123355683321071
Ruminococcaceae (OTU 37)	3.602812500000008	0.3076704465606017	3	Kruskal-Wallis rank sum test	0	5e-4	5e-4	0	0.5123355683321071
Lachnospiraceae (OTU 58)	3.4807516040330047	0.3232671673948259	3	Kruskal-Wallis rank sum test	0	0	0.0025	0	0.5123355683321071
Ruminococcaceae (OTU 59)	3.1072519083969463	0.37538282367141634	3	Kruskal-Wallis rank sum test	0.002	0.001	0	0	0.5123355683321071
Pseudoflavonifractor (OTU 69)	3.5709905660377337	0.3116709280247849	3	Kruskal-Wallis rank sum test	5e-4	0.002	5e-4	0	0.5123355683321071
Lachnospiraceae (OTU 76)	3.8628378378378327	0.27666115502302574	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.5123355683321071
Acetatifactor (OTU 78)	3.6962962962963037	0.2961812262137693	3	Kruskal-Wallis rank sum test	0	0	5e-4	0	0.5123355683321071
Lachnospiraceae (OTU 83)	3.901156677181906	0.2723371338716046	3	Kruskal-Wallis rank sum test	0	0	5e-4	0	0.5123355683321071
Ruminococcus (OTU 93)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 102)	3.890215110178378	0.2735655466934691	3	Kruskal-Wallis rank sum test	0	5e-4	0	0	0.5123355683321071
Enterorhabdus (OTU 109)	3.5407225964482625	0.3155188168230358	3	Kruskal-Wallis rank sum test	5e-4	0.0025	5e-4	0.002	0.5123355683321071
Olsenella (OTU 114)	3.6420878210439023	0.3027959636194815	3	Kruskal-Wallis rank sum test	0	0	0	0.0015	0.5123355683321071
Porphyromonadaceae (OTU 122)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 128)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Clostridiales (OTU 130)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Blautia (OTU 132)	4.162499999999987	0.2444432663577491	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 140)	4.167763157894732	0.24390928750859975	3	Kruskal-Wallis rank sum test	0	5e-4	0	0	0.5123355683321071
Clostridiales (OTU 141)	3.9999999999999876	0.2614641299491118	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 144)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Clostridium (OTU 145)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 146)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Ruminococcaceae (OTU 147)	3.920000000000009	0.2702332709855393	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 149)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 150)	3.4385964912280755	0.32881370497140533	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Ruminococcaceae (OTU 153)	4.108333333333333	0.250001202742767	3	Kruskal-Wallis rank sum test	0	0	5e-4	0	0.5123355683321071
Clostridiales (OTU 154)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 157)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Coriobacteriaceae (OTU 158)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 161)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 162)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 164)	3.8888888888888906	0.2737147815835883	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Acetatifactor (OTU 165)	2.7125000000000172	0.4381072282547941	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 167)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Clostridiales (OTU 171)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 174)	2.7125000000000172	0.4381072282547941	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 181)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 183)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 184)	2.803571428571417	0.4229123337279363	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 185)	4.114035087719305	0.2494107708640646	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 189)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Firmicutes (OTU 198)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Clostridiales (OTU 199)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Coriobacteriaceae (OTU 204)	3.4385964912280755	0.32881370497140533	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Acetatifactor (OTU 206)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Ruminococcaceae (OTU 207)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Clostridiales (OTU 214)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Ruminococcaceae (OTU 216)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 227)	2.803571428571417	0.4229123337279363	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Bacteria (OTU 232)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Firmicutes (OTU 235)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 243)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 244)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Acetatifactor (OTU 247)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Clostridiales (OTU 251)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Porphyromonadaceae (OTU 278)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 297)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Bacteria (OTU 337)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Clostridiales (OTU 341)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Erysipelotrichaceae (OTU 344)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Bacteria (OTU 381)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Porphyromonadaceae (OTU 410)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lactobacillus (OTU 423)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Clostridium (OTU 424)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 432)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 437)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 453)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lactobacillaceae (OTU 515)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Clostridiales (OTU 531)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 565)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 566)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 623)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Clostridiales (OTU 630)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 682)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 797)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 827)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Clostridia (OTU 895)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Erysipelotrichaceae (OTU 913)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 935)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 983)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 1043)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Ruminococcaceae (OTU 1173)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 1472)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 1784)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Porphyromonadaceae (OTU 1968)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 2583)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lactobacillus (OTU 3142)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Ruminococcaceae (OTU 3161)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Lachnospiraceae (OTU 3416)	2.6666666666666234	0.4459216983631303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5123355683321071
Clostridiales (OTU 115)	2.628968253968252	0.4524336557658904	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5143456297128017
Clostridiales (OTU 226)	2.628968253968252	0.4524336557658904	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5143456297128017
Lactobacillus (OTU 23)	2.5045325779036895	0.4744725019121578	3	Kruskal-Wallis rank sum test	0.0105	0.009999999999999998	0.0045000000000000005	0.014499999999999999	0.5365762325289324
Lachnospiraceae (OTU 49)	2.4257629107981185	0.4888568835531601	3	Kruskal-Wallis rank sum test	0.001	0.002	0.0025	0.004	0.5471144396242621
Lachnospiraceae (OTU 103)	2.426535087719291	0.4887142393733074	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5471144396242621
Lachnospiraceae (OTU 82)	2.325657894736853	0.507623363913462	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5651889000273598
Lachnospiraceae (OTU 120)	2.2847222222222197	0.515454040367319	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5709644754837996
