genus	statistic	p.value	parameter	method	C	1RM1	M1	p.value.adj
Roseburia	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Rothia	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Ruminococcus	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Ruminococcus2	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Senegalimassilia	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Sphingomonas	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Staphylococcus	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Stenotrophomonas	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Stomatobaculum	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Streptococcus	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Subdoligranulum	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Succiniclasticum	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Succinivibrio	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Sutterella	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Terrisporobacter	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Unclassified	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Veillonellaceae Unclassified	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Verrucomicrobia Unclassified	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Weissella	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
