otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	WMC	1RM1	WMN	CN	p.value.adj
Enterobacteriaceae (OTU 176)	24.25486251559891	0.003916053074935445	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0	0	0	0.0225437649989527
Porphyromonadaceae (OTU 10)	22.48080037070231	0.007473886481199721	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.0015	0	5e-4	0.03230270649088983
Lactobacillus (OTU 23)	22.863955292636998	0.006509191920006	9	Kruskal-Wallis rank sum test	0.0035	0	0.0015	0.001	0	0	0.001	0.0025	0.001	0.0025	0.03230270649088983
Lachnospiraceae (OTU 26)	22.16794594594598	0.008361677333272862	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.0015	0	0	0.03230270649088983
Lachnospiraceae (OTU 32)	22.586183310533606	0.007195705317256123	9	Kruskal-Wallis rank sum test	0	0	5e-4	0	0	0	0	0	0	0	0.03230270649088983
Lachnospiraceae (OTU 42)	21.75000000000081	0.009705977537168774	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.03230270649088983
Lachnospiraceae (OTU 49)	21.956928529523193	0.009016489880337097	9	Kruskal-Wallis rank sum test	0	0	5e-4	0	0	0	0	0	0	0	0.03230270649088983
Ruminococcaceae (OTU 60)	21.75000000000081	0.009705977537168774	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.03230270649088983
Lachnospiraceae (OTU 62)	21.75000000000081	0.009705977537168774	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.03230270649088983
Lachnospiraceae (OTU 84)	21.75000000000081	0.009705977537168774	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.03230270649088983
Lachnospiraceae (OTU 88)	21.75000000000081	0.009705977537168774	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.03230270649088983
Lachnospiraceae (OTU 102)	21.75000000000081	0.009705977537168774	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.03230270649088983
Lachnospiraceae (OTU 128)	21.75000000000081	0.009705977537168774	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.03230270649088983
Lachnospiraceae (OTU 149)	21.75000000000081	0.009705977537168774	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.03230270649088983
Roseburia (OTU 319)	21.75000000000081	0.009705977537168774	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.03230270649088983
Akkermansia (OTU 352)	21.75000000000081	0.009705977537168774	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.03230270649088983
Streptococcus (OTU 354)	21.75000000000081	0.009705977537168774	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.03230270649088983
Hungatella (OTU 427)	21.75000000000081	0.009705977537168774	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.03230270649088983
Odoribacter (OTU 465)	21.75000000000081	0.009705977537168774	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.03230270649088983
Fusicatenibacter (OTU 511)	21.75000000000081	0.009705977537168774	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.03230270649088983
Streptococcus (OTU 662)	21.75000000000081	0.009705977537168774	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.03230270649088983
Lachnospiraceae (OTU 739)	21.75000000000081	0.009705977537168774	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.03230270649088983
Clostridium (OTU 808)	21.75000000000081	0.009705977537168774	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.03230270649088983
Lachnospiraceae (OTU 1450)	21.75000000000081	0.009705977537168774	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.03230270649088983
Eubacterium (OTU 1553)	21.75000000000081	0.009705977537168774	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.03230270649088983
Anaerotruncus (OTU 2316)	21.75000000000081	0.009705977537168774	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.03230270649088983
Bacteroidales (OTU 2845)	21.75000000000081	0.009705977537168774	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.03230270649088983
Enterobacteriaceae (OTU 4000)	21.75000000000081	0.009705977537168774	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.03230270649088983
