otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	M1	1RM1	p.value.adj
Peptostreptococcaceae (OTU 12)	39.47359495698755	1.5871385950698166e-6	7	Kruskal-Wallis rank sum test	0.0135	0.01	0	0.093	0.011	0.062	0.002	0	1.7585495633373568e-5
Bacteroides (OTU 1)	38.75866710753288	2.172943692586692e-6	7	Kruskal-Wallis rank sum test	0.613	0.003	0.717	0.033	0.255	0.001	0.48	0.3365	2.3150207801788987e-5
Lachnospiraceae (OTU 180)	38.44936708860768	2.488697924850057e-6	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	2.3771356040809164e-5
Lachnospiraceae (OTU 193)	38.44936708860768	2.488697924850057e-6	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	2.3771356040809164e-5
Porphyromonadaceae (OTU 253)	38.461538461538524	2.475452733647055e-6	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	2.3771356040809164e-5
Lachnospiraceae (OTU 113)	37.87632169176534	3.1987076546486155e-6	7	Kruskal-Wallis rank sum test	0	0	0.002	0	0	0	0	0	2.9534734011255547e-5
Turicibacter (OTU 5)	34.52013662257484	1.3762767701339885e-5	7	Kruskal-Wallis rank sum test	0.0285	0.001	0.015	0	0.001	0	0.006	0.003	1.2297698881519832e-4
Lachnospiraceae (OTU 30)	31.55023354681916	4.920179661285749e-5	7	Kruskal-Wallis rank sum test	0	0	0.008	0	0	0	0	0	4.2590305193004766e-4
Lachnospiraceae (OTU 42)	30.780000000000314	6.82588773564775e-5	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	5.110191629120073e-4
Lachnospiraceae (OTU 66)	31.01031567800471	6.190211278735516e-5	7	Kruskal-Wallis rank sum test	0	0	0.002	0	0	0	0	0	5.110191629120073e-4
Lachnospiraceae (OTU 83)	30.780000000000314	6.82588773564775e-5	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	5.110191629120073e-4
Clostridiales (OTU 141)	30.7848101265826	6.8119748432315e-5	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	5.110191629120073e-4
Hungatella (OTU 427)	30.780000000000314	6.82588773564775e-5	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	5.110191629120073e-4
Porphyromonadaceae (OTU 67)	29.15398274987306	1.3562438793675297e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	9.886304068021203e-4
Akkermansia (OTU 3)	28.507608396815748	1.778605605457466e-4	7	Kruskal-Wallis rank sum test	0.03	0.20900000000000002	0.061	0.001	0.219	0.095	0.002	0.0985	0.0012316843817792953
Lachnospiraceae (OTU 70)	28.558388345094563	1.741192349122829e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0.001	0.0012316843817792953
Lachnospiraceae (OTU 11)	27.125122441162446	3.164314787587368e-4	7	Kruskal-Wallis rank sum test	0	5e-4	0.003	0	0	0.003	0	0	0.002137841941857807
Lachnospiraceae (OTU 103)	26.54326307744717	4.026061185633099e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.001	0.0026552832105246867
Clostridium (OTU 186)	25.999999999999638	5.036685806372439e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.002906587434094095
Lachnospiraceae (OTU 203)	25.999999999999638	5.036685806372439e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.002906587434094095
Porphyromonadaceae (OTU 254)	25.999999999999638	5.036685806372439e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.002906587434094095
Lachnospiraceae (OTU 492)	25.999999999999638	5.036685806372439e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.002906587434094095
Bacteroides (OTU 740)	25.999999999999638	5.036685806372439e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.002906587434094095
Prevotella (OTU 1236)	25.999999999999638	5.036685806372439e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.002906587434094095
Lachnospiraceae (OTU 46)	25.73399974036076	5.618550314402307e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.0031762008920192633
Porphyromonadaceae (OTU 44)	25.444468698930326	6.32692860217825e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.0015	0.0034903015171469168
Clostridiales (OTU 97)	25.312500000000174	6.678194238584354e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.0034903015171469168
Porphyromonadaceae (OTU 278)	25.31645569620271	6.667392461879504e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.0034903015171469168
Porphyromonadaceae (OTU 618)	25.31645569620271	6.667392461879504e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.0034903015171469168
Ruminococcaceae (OTU 52)	25.075701513969932	7.357045110944409e-4	7	Kruskal-Wallis rank sum test	0	5e-4	0.002	0	0	0	0	0	0.0037738916587622246
Lachnospiraceae (OTU 64)	25.02605045653211	7.507734601609103e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.0037811681539013115
Lachnospiraceae (OTU 121)	24.644900968686787	8.769703935392904e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.001	0.004337871410899704
Lachnospiraceae (OTU 148)	24.0906041918698	0.0010983124085482963	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.00533741293276979
Lachnospiraceae (OTU 81)	23.84585091420512	0.0012126443642467726	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.005791422222350966
Porphyromonadaceae (OTU 7)	22.59466018737259	0.0020048070689823207	7	Kruskal-Wallis rank sum test	0	0	0.058	0	0	0	0	0.037	0.009412399289967845
Dorea (OTU 134)	22.364154250657275	0.0021978982179013877	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.010146963439311405
Butyricicoccus (OTU 56)	22.241319814230696	0.0023080765647170254	7	Kruskal-Wallis rank sum test	0	5e-4	0.001	0	0	0	0	0	0.01048093784305928
Lachnospiraceae (OTU 47)	21.385760778827244	0.003239248141740696	7	Kruskal-Wallis rank sum test	0	0	0.003	0	0	0	0	0	0.01447212476229311
Ruminococcaceae (OTU 65)	20.978702118313535	0.003801800087840823	7	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	0	0	0.016454666005186063
Lachnospiraceae (OTU 116)	21.009142053445817	0.003756642933925585	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.016454666005186063
Lachnospiraceae (OTU 62)	20.82686357243306	0.004035031730827126	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.017195442914447905
Lachnospiraceae (OTU 110)	19.92478632478646	0.005734454637857301	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.02406733234373443
Ruminococcaceae (OTU 61)	19.848101265822432	0.005907297007772643	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.024422705539597345
Lachnospiraceae (OTU 72)	19.79863206245635	0.006021456962970493	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.001	0.024528582040335683
Ruminococcaceae (OTU 98)	19.529796691403853	0.006680084929492605	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.02681715254303553
Blautia (OTU 132)	19.308577616994427	0.007273710042880697	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	0	0.028783109741113616
Erysipelotrichaceae (OTU 142)	18.778525809019126	0.008910180476497083	7	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0	0	0.03476225340830552
Clostridium (OTU 22)	18.689447591856336	0.009217896837231832	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.03505350529966861
Lachnospiraceae (OTU 73)	18.683748683748604	0.00923792738944335	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.03505350529966861
Lachnospiraceae (OTU 123)	18.3124999999999	0.010636870359205705	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.039816393101351086
Ruminococcaceae (OTU 153)	18.030798438983354	0.011831816015315556	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.043698840483232124
Lachnospiraceae (OTU 150)	17.852912425967418	0.012651553166460966	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.04611158193565378
Ruminococcaceae (OTU 169)	17.633469239053863	0.013737830517558187	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.04942050718654049
Lachnospiraceae (OTU 90)	16.788198426610293	0.01881416885985275	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.06681442018178477
Lachnospiraceae (OTU 36)	16.672694694473908	0.01963308769419753	7	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	0	0.0688400669783888
Lachnospiraceae (OTU 120)	16.332373391448684	0.022247295267918528	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.0770312598651679
Coriobacteriaceae (OTU 182)	16.244518933097694	0.022973913122067913	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	0	0.07856511030633101
Lachnospiraceae (OTU 88)	15.810240218708408	0.026907719404693876	7	Kruskal-Wallis rank sum test	0	0	0.002	0	0	0	0	0	0.0908955887207342
Lachnospiraceae (OTU 152)	15.199999999999369	0.03351946661443163	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.09284892252197562
Coriobacteriaceae (OTU 158)	15.199999999999369	0.03351946661443163	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.09284892252197562
Lachnospiraceae (OTU 161)	15.199999999999369	0.03351946661443163	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.09284892252197562
Lachnospiraceae (OTU 163)	15.199999999999369	0.03351946661443163	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.09284892252197562
Bacillus (OTU 218)	15.199999999999369	0.03351946661443163	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.09284892252197562
Parabacteroides (OTU 245)	15.199999999999369	0.03351946661443163	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.09284892252197562
Parabacteroides (OTU 275)	15.199999999999369	0.03351946661443163	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.09284892252197562
Clostridium (OTU 405)	15.199999999999369	0.03351946661443163	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.09284892252197562
Clostridium (OTU 536)	15.199999999999369	0.03351946661443163	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.09284892252197562
Prevotella (OTU 608)	15.199999999999369	0.03351946661443163	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.09284892252197562
Porphyromonadaceae (OTU 674)	15.199999999999369	0.03351946661443163	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.09284892252197562
Bacteria (OTU 708)	15.199999999999369	0.03351946661443163	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.09284892252197562
Ruminococcaceae (OTU 710)	15.199999999999369	0.03351946661443163	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.09284892252197562
Ruminococcaceae (OTU 747)	15.199999999999369	0.03351946661443163	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.09284892252197562
Ruminococcus (OTU 1022)	15.199999999999369	0.03351946661443163	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.09284892252197562
Lachnospiraceae (OTU 2002)	15.199999999999369	0.03351946661443163	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.09284892252197562
Lactobacillales (OTU 3134)	15.199999999999369	0.03351946661443163	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.09284892252197562
Enterobacteriaceae (OTU 3999)	15.199999999999369	0.03351946661443163	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.09284892252197562
Lachnospiraceae (OTU 29)	14.70805092343548	0.03992927194300001	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.002	0	0.1095089933486238
Lachnospiraceae (OTU 86)	14.56710260798485	0.04196667529845924	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	0	0.11396832409483539
Enterococcus (OTU 187)	14.220226781149403	0.04740020747598564	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.12747434437716526
Pseudoflavonifractor (OTU 69)	14.131008284371195	0.04889970493898192	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.13024248334709607
Lachnospiraceae (OTU 16)	14.049515698243411	0.050307644633029856	7	Kruskal-Wallis rank sum test	0.004	0.004	0.001	0	5e-4	0.005	0.002	0.0035	0.1327163577461835
Lachnospiraceae (OTU 63)	13.955512279563058	0.051978291646991644	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.13583006402091213
Bacteroidales (OTU 38)	13.896766268792165	0.053048225456797896	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.13733045281806558
Lachnospiraceae (OTU 94)	13.695395513577184	0.05687196729427864	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.14452784349096498
Akkermansia (OTU 250)	13.695395513577184	0.05687196729427864	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.14452784349096498
Lachnospiraceae (OTU 49)	13.409161691739813	0.06274494097143102	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.15800316953714902
Lachnospiraceae (OTU 174)	13.218560606060889	0.06695890506365457	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.16709564596966048
Lachnospiraceae (OTU 17)	13.187965124182556	0.06765895427067674	7	Kruskal-Wallis rank sum test	0.0035	0.002	0.002	0	0.001	0	0.005	0.007	0.16733509225872728
Porphyromonadaceae (OTU 40)	12.500000000000274	0.0852692751582615	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.1727084325157213
Clostridium_sensu (OTU 53)	12.494726294694706	0.08541897203846142	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.1727084325157213
Ruminococcaceae (OTU 59)	13.012729043108553	0.0717988569828152	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.1727084325157213
Clostridiales (OTU 115)	12.500000000000274	0.0852692751582615	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.1727084325157213
Porphyromonadaceae (OTU 122)	12.500000000000274	0.0852692751582615	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.1727084325157213
Lachnospiraceae (OTU 128)	12.500000000000274	0.0852692751582615	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.1727084325157213
Ruminococcaceae (OTU 143)	12.843301435406609	0.07601961882968337	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.1727084325157213
Porphyromonadaceae (OTU 175)	12.500000000000274	0.0852692751582615	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.1727084325157213
Firmicutes (OTU 270)	12.500000000000274	0.0852692751582615	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.1727084325157213
Porphyromonadaceae (OTU 312)	12.500000000000274	0.0852692751582615	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.1727084325157213
Porphyromonadaceae (OTU 330)	12.500000000000274	0.0852692751582615	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.1727084325157213
Porphyromonadaceae (OTU 338)	12.500000000000274	0.0852692751582615	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.1727084325157213
Porphyromonadaceae (OTU 388)	12.500000000000274	0.0852692751582615	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.1727084325157213
Lachnospiraceae (OTU 453)	12.500000000000274	0.0852692751582615	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.1727084325157213
Porphyromonadaceae (OTU 497)	12.500000000000274	0.0852692751582615	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.1727084325157213
Porphyromonadaceae (OTU 552)	12.500000000000274	0.0852692751582615	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.1727084325157213
Porphyromonadaceae (OTU 591)	12.500000000000274	0.0852692751582615	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.1727084325157213
Porphyromonadaceae (OTU 610)	12.500000000000274	0.0852692751582615	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.1727084325157213
Lachnospiraceae (OTU 685)	12.500000000000274	0.0852692751582615	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.1727084325157213
Porphyromonadaceae (OTU 867)	12.500000000000274	0.0852692751582615	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.1727084325157213
Porphyromonadaceae (OTU 1222)	12.500000000000274	0.0852692751582615	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.1727084325157213
Desulfovibrio (OTU 1337)	12.500000000000274	0.0852692751582615	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.1727084325157213
Porphyromonadaceae (OTU 2108)	12.500000000000274	0.0852692751582615	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.1727084325157213
Clostridia (OTU 2361)	12.500000000000274	0.0852692751582615	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.1727084325157213
Clostridiales (OTU 5498)	12.500000000000274	0.0852692751582615	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.1727084325157213
Lachnospiraceae (OTU 127)	12.047020800267516	0.09902312869716508	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.1987638162979328
Clostridium (OTU 51)	11.958631136977143	0.10192753983814377	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.20312178802277572
Ruminococcaceae (OTU 60)	11.789735112953222	0.10768904001717254	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.21307045774826283
Porphyromonadaceae (OTU 21)	11.692307692307413	0.11114242779272192	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.21420053009253645
Lachnospiraceae (OTU 149)	11.692307692307413	0.11114242779272192	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.21420053009253645
Acetatifactor (OTU 165)	11.643750000000026	0.11289991838812391	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.21420053009253645
Veillonella (OTU 192)	11.667018284106806	0.11205470619500738	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.21420053009253645
Lachnospiraceae (OTU 225)	11.645569620253191	0.11283361879904152	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.21420053009253645
Bacteroides (OTU 256)	11.645569620253191	0.11283361879904152	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.21420053009253645
Akkermansia (OTU 200)	11.145218417945843	0.13240890345804743	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.2495052126386336
Clostridium (OTU 145)	11.057147978452603	0.1361456065662098	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.2548130609381089
Lachnospiraceae (OTU 77)	10.968716333802963	0.13998943252137802	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.2602488107947766
Clostridiales (OTU 137)	10.769230769230798	0.1490066229097207	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.27516556363995087
Lachnospiraceae (OTU 104)	10.515381233072132	0.1611991391369685	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.2957096790790747
Lachnospiraceae (OTU 68)	10.298931667002671	0.17225666755452598	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3139151112671296
Ruminococcaceae (OTU 118)	10.257233743405369	0.17445887148821615	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.31585037517801223
Lachnospiraceae (OTU 82)	10.22680101135879	0.1760810490977349	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.31671721168878286
Lachnospiraceae (OTU 102)	10.056400118841884	0.18539979206875332	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.33132737034222365
Bacteroides (OTU 178)	9.97501170342921	0.18999396070650834	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.33736107125450515
Lachnospiraceae (OTU 84)	9.713333333333003	0.2054089349566375	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.35785078605653203
Clostridium (OTU 268)	9.713333333333003	0.2054089349566375	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.35785078605653203
Alistipes (OTU 289)	9.713333333333003	0.2054089349566375	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.35785078605653203
Clostridiales (OTU 197)	9.594936708860292	0.2127132702182038	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3659725208102016
Fusobacterium (OTU 350)	9.594936708860292	0.2127132702182038	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3659725208102016
Porphyromonadaceae (OTU 15)	8.9844716961829	0.25377284011760765	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.43392022662084767
Lachnospiraceae (OTU 211)	8.658795749704835	0.2780899513473523	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.47258230995838396
Lachnospiraceae (OTU 144)	8.559808612440255	0.2858226848845634	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.4827614860550248
Ruminococcaceae (OTU 92)	8.508724314798979	0.2898761805933099	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.4866406183293748
Akkermansia (OTU 306)	8.25174825174818	0.31091943973096636	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.5188234024426367
Lachnospiraceae (OTU 181)	8.227848101265812	0.31293205821449505	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.519054970810869
Oscillibacter (OTU 45)	8.041426927502643	0.3289551030651125	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.532868792684422
Oscillibacter (OTU 119)	8.041426927502643	0.3289551030651125	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.532868792684422
Clostridium (OTU 126)	8.044259793396812	0.32870731088105803	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.532868792684422
Bacteroides (OTU 282)	8.041426927502643	0.3289551030651125	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.532868792684422
Acetatifactor (OTU 78)	7.493638920854131	0.3793501433477533	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6039079868237223
Lachnospiraceae (OTU 95)	7.493638920854131	0.3793501433477533	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6039079868237223
