otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	WMC	M1	p.value.adj
Clostridium (OTU 172)	29.01808545732328	1.435923109822179e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.001	0.0022161079994922296
Porphyromonadaceae (OTU 15)	28.526986672027856	1.7642357136324208e-4	7	Kruskal-Wallis rank sum test	0	0.035500000000000004	0	0.037	0.026000000000000002	0.0455	0.001	0.0375	0.002552628548161909
Lachnospiraceae (OTU 24)	28.592341733378046	1.7166100101546986e-4	7	Kruskal-Wallis rank sum test	0	0.003	5e-4	0.003	0.002	0.001	0	0.008	0.002552628548161909
Lachnospiraceae (OTU 47)	28.261422082983234	1.971513464348206e-4	7	Kruskal-Wallis rank sum test	0	0.003	0	0.002	0.0015	0.004	0	0.005	0.002724563208071824
Acetatifactor (OTU 55)	28.16765200240854	2.050287477728497e-4	7	Kruskal-Wallis rank sum test	0	0.0025	0	0.001	0.002	0	0	0.0025	0.002724563208071824
Porphyromonadaceae (OTU 87)	28.156796149516605	2.059605016900947e-4	7	Kruskal-Wallis rank sum test	0	0.0025	0	0.002	0.0045000000000000005	0.003	0	0.001	0.002724563208071824
Ruminococcaceae (OTU 61)	27.863769737500494	2.3274730014007772e-4	7	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0	0.0025	0.002993388887912666
Ruminococcus (OTU 93)	27.561926776600462	2.639222441718457e-4	7	Kruskal-Wallis rank sum test	0	0.002	0	0.001	0.001	0.0015	0	0	0.0033025945689612044
Blautia (OTU 19)	26.863539204782473	3.526613591373858e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.011	0	0.004296900244226569
Clostridiales (OTU 91)	26.69076923076924	3.7879502852899386e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.004496976877151901
Clostridiales (OTU 115)	26.333070479569678	4.3909563843985705e-4	7	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0	0.001	0.005082532014941345
Lachnospiraceae (OTU 26)	25.475947330768417	6.245855194932413e-4	7	Kruskal-Wallis rank sum test	0	0.003	0	0.006	0.0015	0.003	0	0.0025	0.007053246232326115
Lactobacillus (OTU 23)	25.282805372869863	6.759830718459153e-4	7	Kruskal-Wallis rank sum test	0.0075	0.006	0	0.008	0.009	0.006	0.003	0.0075	0.007451908625349018
Ruminococcaceae (OTU 27)	24.53650730072501	9.165051830012652e-4	7	Kruskal-Wallis rank sum test	0	0.001	0	0.001	5e-4	0.002	0	0.003	0.009868416272781065
Turicibacter (OTU 5)	23.59019510581242	0.0013444840961235598	7	Kruskal-Wallis rank sum test	0.0205	0.055	0.009000000000000001	0.064	0.0315	0.033	0	0.022000000000000002	0.01402589077474458
Bacteria (OTU 43)	23.55589104376817	0.0013632075267030368	7	Kruskal-Wallis rank sum test	0	0.0015	0	0.002	0.0015	0	0	0.001	0.01402589077474458
Enterococcus (OTU 187)	23.441851265822724	0.0014273008849235859	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.014366093689556962
Akkermansia (OTU 3)	22.94775718283788	0.00174068451646752	7	Kruskal-Wallis rank sum test	0	0.003	0.1075	0.008	0.0015	5e-4	0.038	0.0025	0.017147594279243866
Oscillibacter (OTU 45)	22.831769893136418	0.0018234633853613643	7	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0.001	0	0.006	0.017588823904631495
Lachnospiraceae (OTU 71)	21.83997084606308	0.0027068781620787964	7	Kruskal-Wallis rank sum test	0	0	0	0.001	0.001	0.001	0	0	0.025577236511071074
Lachnospiraceae (OTU 29)	20.976451509081045	0.003805159662438014	7	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0.0015	0	0.0015	0.035235778474176006
Lactobacillus (OTU 13)	20.811181880110755	0.004059895665491617	7	Kruskal-Wallis rank sum test	0.0085	0.014	0.003	0.017	0.0115	0.0115	0	0.015	0.0361486864062042
