otu	method	C	CWM	RM	FRM	CWM-C	RM-C	RM-CWM	FRM-C	FRM-CWM	FRM-RM
Porphyromonadaceae (OTU 25)	Kruskal-Wallis rank sum test	0	0	0	0.010499999999999999	NA	NA	NA	0.003347540812544509	7.066745782428885e-4	7.066745782428885e-4
Ruminococcaceae (OTU 27)	Kruskal-Wallis rank sum test	0.0095	0	0	0	1.7964556415149964e-4	1.7964556415149964e-4	1	0.0031393538774901254	0.6668277483393535	0.6668277483393535
Lachnospiraceae (OTU 30)	Kruskal-Wallis rank sum test	0.002	0	0	0	0.08668784675855387	0.0028809144821445518	0.3716802510728755	0.08668784675855387	0.6996533915473562	0.6996533915473562
Lachnospiraceae (OTU 31)	Kruskal-Wallis rank sum test	0.001	0	5e-4	0	0.023204690704009746	0.8035135427237842	0.023204690704009746	0.07640464264046926	NA	0.07640464264046926
Lachnospiraceae (OTU 33)	Kruskal-Wallis rank sum test	0.002	0	0.0025	0.002	0.025710179107525228	0.741907377526982	0.012871658946402093	0.741907377526982	0.025710179107525228	0.741907377526982
Clostridiales (OTU 35)	Kruskal-Wallis rank sum test	0.007	0	0	0	3.0504844961435116e-4	2.117483696895439e-4	0.3593173383295708	0.04408496645162373	0.20500055720945137	0.07287439638503765
Lachnospiraceae (OTU 36)	Kruskal-Wallis rank sum test	0.0115	0.0025	5e-4	0	0.04336172789857301	0.008911836512892197	0.48453703873393283	0.008911836512892197	0.12042524984562558	0.24062874094416803
Bacteroidales (OTU 38)	Kruskal-Wallis rank sum test	0	0	0	0.017499999999999998	NA	NA	NA	7.800425598315561e-4	1.1228616169026781e-4	1.1228616169026781e-4
Porphyromonadaceae (OTU 40)	Kruskal-Wallis rank sum test	0	0	0	0.002	NA	NA	NA	0.012194288482674199	0.0037665451753174416	0.0037665451753174416
Lachnospiraceae (OTU 41)	Kruskal-Wallis rank sum test	0.0045000000000000005	0	0	0	0.016980944986376305	0.016980944986376305	1	0.04550395153809724	0.8779207067518817	0.8779207067518817
Bacteria (OTU 43)	Kruskal-Wallis rank sum test	0.0055	0	0	0	8.746975896968171e-5	8.746975896968171e-5	NA	0.02411261467158758	0.19485064860886944	0.19485064860886944
Porphyromonadaceae (OTU 44)	Kruskal-Wallis rank sum test	0	0	0	0.0195	NA	NA	NA	7.800425598315561e-4	1.1228616169026781e-4	1.1228616169026781e-4
Lachnospiraceae (OTU 46)	Kruskal-Wallis rank sum test	0.002	0	0	0	0.12586249440561992	0.046212989484768485	0.5556897902827946	0.08669597990209915	0.518335535146951	0.5556897902827946
Porphyromonadaceae (OTU 48)	Kruskal-Wallis rank sum test	0	0	0	0.010499999999999999	NA	NA	NA	7.800425598315561e-4	1.1228616169026781e-4	1.1228616169026781e-4
Lachnospiraceae (OTU 49)	Kruskal-Wallis rank sum test	0.001	0.005	0	0	0.005704645989860877	0.005486941467706435	2.1426799973624548e-4	0.1377768071252276	0.005486941467706435	0.19485064860886944
Ruminococcaceae (OTU 54)	Kruskal-Wallis rank sum test	0.0075	0	0	0	0.0010202716954844865	0.0031393538774901254	0.5806695263859756	0.0031393538774901254	0.5806695263859756	0.518335535146951
Acetatifactor (OTU 55)	Kruskal-Wallis rank sum test	0.0085	5e-4	0	0	0.01388675858245904	0.001683249470480157	0.3102082667921053	0.005751040353017696	0.20338950189945343	0.40592193445422203
Oscillibacter (OTU 57)	Kruskal-Wallis rank sum test	0.0055	0	0	0	0.0027766299844967624	0.0010162065314978973	0.431180805995485	0.04406992234900531	0.6675665465229991	0.29227597291330415
Lachnospiraceae (OTU 58)	Kruskal-Wallis rank sum test	0.0025	0	0	0	0.04856477325023514	0.013893425340944354	0.44914667291196353	0.04856477325023514	0.5556897902827946	NA
Lachnospiraceae (OTU 63)	Kruskal-Wallis rank sum test	0.005	0	0	0	0.11361655543030678	0.017133241083235613	0.6136721733602646	0.017133241083235613	0.2064573826622742	0.26452366289443435
Lachnospiraceae (OTU 71)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.16801231572759928	0.016251174633589174	0.23382077833064333	0.19112237577306904	1	0.23382077833064333
Lachnospiraceae (OTU 73)	Kruskal-Wallis rank sum test	0.006	0	0	0.001	0.020272173853683975	0.008945362879283523	0.838945577582555	0.20390799447157293	0.2893338069573638	0.2893338069573638
Acetatifactor (OTU 78)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.038175053309607854	0.0035658122197807897	0.2077807389104424	0.029710661851998284	0.3455570234313006	NA
Porphyromonadaceae (OTU 80)	Kruskal-Wallis rank sum test	0	0	0	0.012	NA	NA	NA	7.547595667217149e-4	1.0958481370484528e-4	1.0958481370484528e-4
Lachnospiraceae (OTU 84)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.047230265843909706	0.09288629718085716	0.44914667291196353	0.10413784248380704	NA	0.5556897902827946
Porphyromonadaceae (OTU 87)	Kruskal-Wallis rank sum test	0	0	0	0.003	NA	NA	NA	7.673300100561123e-4	1.1092919635924045e-4	1.1092919635924045e-4
Ruminococcaceae (OTU 92)	Kruskal-Wallis rank sum test	0	0	0	0	0.04456277479090001	0.04456277479090001	NA	0.12597344568258811	NA	NA
Firmicutes (OTU 96)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.023615132921954853	0.023615132921954853	NA	0.40725021970982694	0.2435633107610868	0.2435633107610868
Clostridiales (OTU 97)	Kruskal-Wallis rank sum test	0.003	0	0	0	0.08833172479710728	0.035652794222397935	0.8939127831001539	0.035652794222397935	0.4146684281175607	0.4146684281175607
Ruminococcaceae (OTU 98)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.0010397541652112496	0.0010397541652112496	NA	0.011426285744806239	NA	NA
Ruminococcaceae (OTU 101)	Kruskal-Wallis rank sum test	0.002	0	0	0	0.001887595326583857	8.33706276727457e-4	0.44914667291196353	0.00750859378239333	0.5556897902827946	NA
Bacteria (OTU 108)	Kruskal-Wallis rank sum test	0.001	0	0	0.001	0.014552344839514519	0.014552344839514519	NA	1	0.014552344839514519	0.014552344839514519
Lachnospiraceae (OTU 110)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.005177945994902932	9.467158288606335e-4	0.19898874493999666	0.06521935786083365	0.4750658575616775	0.072290834822517
Porphyromonadaceae (OTU 122)	Kruskal-Wallis rank sum test	0	0	0	5e-4	NA	NA	NA	0.03843019228665296	0.01730998273538846	0.01730998273538846
Firmicutes (OTU 129)	Kruskal-Wallis rank sum test	0.002	0	0	0	0.00109262131829496	0.00109262131829496	NA	0.012233256095954435	NA	NA
Lachnospiraceae (OTU 133)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.01416907975317291	0.01416907975317291	NA	0.06248270549028422	NA	NA
Lachnospiraceae (OTU 135)	Kruskal-Wallis rank sum test	0.0025	0	0	0	0.013542645527990976	0.018994472159347676	0.44914667291196353	0.046969818488544104	NA	0.5556897902827946
Lachnospiraceae (OTU 148)	Kruskal-Wallis rank sum test	0	0	0	5e-4	NA	NA	NA	0.03884480284445574	0.017462813807417425	0.017462813807417425
Firmicutes (OTU 155)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.014086753525693455	0.014086753525693455	NA	0.062029325379484544	NA	NA
Porphyromonadaceae (OTU 175)	Kruskal-Wallis rank sum test	0	0	0	0.001	NA	NA	NA	0.011897855083636973	0.003693823853447519	0.003693823853447519
Firmicutes (OTU 188)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.013922814422405847	0.013922814422405847	NA	0.06112371411237541	NA	NA
Clostridiales (OTU 208)	Kruskal-Wallis rank sum test	0	0	0	0	0.04456277479090001	0.04456277479090001	NA	0.12597344568258811	NA	NA
Bacteria (OTU 223)	Kruskal-Wallis rank sum test	0	0	0	0	0.04456277479090001	0.04456277479090001	NA	0.12597344568258811	NA	NA
