otu	statistic	p.value	parameter	method	WM	C	WMR	WMC	WMN	CN	p.value.adj
Clostridiales (OTU 137)	5.092078410311573	0.4047465686269441	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Acetatifactor (OTU 138)	6.140523755795547	0.2927845458821775	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Alistipes (OTU 139)	4.296054855548656	0.5076249539365627	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Clostridiales (OTU 141)	3.092791372788483	0.685682600509142	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Erysipelotrichaceae (OTU 142)	2.851660401002591	0.7228425563790468	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Clostridium (OTU 145)	2.4151346107201963	0.7892181672493765	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Ruminococcaceae (OTU 147)	2.8285714285714194	0.7263945517677513	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 148)	5.612392021616391	0.34577900755791063	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Ruminococcaceae (OTU 153)	4.767454350161085	0.44491446760824327	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 157)	3.290350877192858	0.6553192793015831	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Coriobacteriaceae (OTU 158)	5.254942131217485	0.38556553836415913	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 164)	3.053688909774512	0.6917087189446209	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Acetatifactor (OTU 165)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Streptococcus (OTU 166)	3.821397243107812	0.5754063101290855	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Clostridiales (OTU 170)	3.1974926524536014	0.6695682686512686	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Clostridiales (OTU 173)	2.9599049599050042	0.706167424478768	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 175)	4.692562174667451	0.4545395942389348	5	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0.917014564994617
Enterobacteriaceae (OTU 176)	6.56259109311724	0.25525510661307904	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 177)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 180)	3.290350877192858	0.6553192793015831	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 184)	4.666155711860286	0.4579646546817586	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 185)	2.2222653407712456	0.8176134424415837	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Clostridium (OTU 186)	4.671603039188804	0.4572567790376014	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 189)	2.5053258145361244	0.7756927801205702	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 190)	6.513303201022476	0.25942375874395934	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Prevotella (OTU 191)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Veillonella (OTU 192)	3.848884115049755	0.5713717645172518	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 193)	5.129186602870709	0.4003185394357243	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 196)	3.456737581100447	0.6299436561040944	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Firmicutes (OTU 198)	5.1316964285710975	0.4000202737698308	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Clostridiales (OTU 199)	4.253490870032239	0.5135261978885198	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Clostridium (OTU 201)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Coriobacteriaceae (OTU 204)	3.240214822771226	0.6630064529068976	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Acetatifactor (OTU 206)	4.144642857142664	0.5287845926782891	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Clostridiales (OTU 208)	3.821746443965445	0.5753549786978671	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Firmicutes (OTU 210)	2.288736357021545	0.8079197678073236	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 211)	3.4666666666667383	0.6284372803194699	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 212)	3.554983800753774	0.6150847014426538	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Clostridiales (OTU 214)	4.151346107203584	0.5278381248107582	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Ruminococcaceae (OTU 216)	4.074064560439534	0.5388025478970382	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Ruminococcaceae (OTU 217)	4.587850912939759	0.46821601639735166	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Ruminococcaceae (OTU 219)	4.44835164835204	0.4868234082901265	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 220)	4.44835164835204	0.4868234082901265	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 222)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Bacteria (OTU 223)	5.011748120300928	0.4144481135722789	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Clostridiales (OTU 224)	5.033985972851538	0.41174659914370115	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Bacteria (OTU 232)	4.3524728487885636	0.49986124064502346	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Firmicutes (OTU 235)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Oscillibacter (OTU 236)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Pseudoflavonifractor (OTU 240)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 241)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 243)	2.2480486931614347	0.8138660531436881	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Parabacteroides (OTU 245)	6.392087912087704	0.2699139254387761	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 246)	4.784248757486994	0.44277420741096307	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Acetatifactor (OTU 247)	4.957154791741266	0.42113145180876316	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Bacteria (OTU 248)	3.2639634801288087	0.65936321176243	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Clostridiales (OTU 251)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 253)	4.544055052886474	0.4740107497150033	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 254)	4.260087719298079	0.512609136298765	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Bacteroides (OTU 256)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 258)	2.338025391347093	0.8006661577650537	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 259)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Coriobacteriaceae (OTU 265)	6.239185059422691	0.28363601616135736	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Acidaminococcus (OTU 267)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Clostridiales (OTU 269)	6.313367545848648	0.27690980979690816	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Firmicutes (OTU 270)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 271)	6.56809119573117	0.25479336410730913	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 272)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Olsenella (OTU 274)	3.4666666666667383	0.6284372803194699	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Parabacteroides (OTU 275)	4.151346107203584	0.5278381248107582	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 276)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Alistipes (OTU 277)	2.851660401002591	0.7228425563790468	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 278)	3.7938394373029443	0.579463249123421	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 280)	4.2980889724310165	0.5073438762738051	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Bacteria (OTU 283)	3.053688909774512	0.6917087189446209	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 285)	2.6595131897539903	0.7523034068628042	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 288)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 290)	2.263217365447461	0.8116538070102364	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 292)	2.851660401002591	0.7228425563790468	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Bacteria (OTU 293)	3.053688909774512	0.6917087189446209	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lactobacillus (OTU 294)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 297)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Turicibacter (OTU 299)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Bacteroidetes (OTU 304)	3.240214822771226	0.6630064529068976	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 305)	3.4666666666667383	0.6284372803194699	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Ruminococcaceae (OTU 308)	3.2639634801288087	0.65936321176243	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Bacteroides (OTU 309)	6.547186147186105	0.2565520503958608	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 311)	5.428744939271464	0.365822532127513	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 312)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 313)	4.253490870032239	0.5135261978885198	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 314)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 318)	5.130364372469531	0.4001785548895162	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Clostridiales (OTU 329)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 330)	4.112312030075003	0.5333618117871226	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Phascolarctobacterium (OTU 331)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Bacteroidales (OTU 334)	3.4666666666667383	0.6284372803194699	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Bacteria (OTU 337)	4.44733044733084	0.486961220445979	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 338)	3.4666666666667383	0.6284372803194699	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Clostridiales (OTU 341)	3.4666666666667383	0.6284372803194699	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Akkermansia (OTU 348)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Akkermansia (OTU 352)	6.361184210526279	0.2726430188771326	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Parasutterella (OTU 356)	5.130364372469531	0.4001785548895162	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Ruminococcaceae (OTU 357)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Enterorhabdus (OTU 358)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Akkermansia (OTU 360)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 362)	3.053688909774512	0.6917087189446209	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 365)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 372)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 373)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 378)	2.8285714285714194	0.7263945517677513	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Clostridiales (OTU 382)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 385)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 387)	5.130364372469531	0.4001785548895162	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Clostridium (OTU 389)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Barnesiella (OTU 396)	2.5053258145361244	0.7756927801205702	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Bacteroides (OTU 400)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 401)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Ruminococcaceae (OTU 407)	3.4666666666667383	0.6284372803194699	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 417)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Blautia (OTU 422)	6.56259109311724	0.25525510661307904	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 425)	2.851660401002591	0.7228425563790468	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Hungatella (OTU 427)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 432)	3.4666666666667383	0.6284372803194699	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Bacteria (OTU 435)	2.5053258145361244	0.7756927801205702	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Bacteroidetes (OTU 442)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Anaerofustis (OTU 443)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 445)	5.906153846154034	0.31545794804910376	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Pasteurellaceae (OTU 446)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Ruminococcaceae (OTU 450)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Barnesiella (OTU 459)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Odoribacter (OTU 465)	6.56259109311724	0.25525510661307904	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Clostridiales (OTU 468)	3.148327962764031	0.6771302151959967	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Subdoligranulum (OTU 469)	5.130364372469531	0.4001785548895162	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Megasphaera (OTU 472)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 475)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Ruminococcus (OTU 477)	6.56259109311724	0.25525510661307904	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Jeotgalicoccus (OTU 481)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 503)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Bacteria (OTU 507)	3.4666666666667383	0.6284372803194699	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 508)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 514)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Clostridiales (OTU 516)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 520)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 537)	3.4666666666667383	0.6284372803194699	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 545)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 547)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 553)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 555)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Bacteria (OTU 567)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Clostridium (OTU 572)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 575)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Firmicutes (OTU 579)	3.4666666666667383	0.6284372803194699	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 581)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Bacteria (OTU 582)	5.130364372469531	0.4001785548895162	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Clostridium (OTU 587)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 589)	3.4666666666667383	0.6284372803194699	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 592)	3.4666666666667383	0.6284372803194699	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 602)	4.44835164835204	0.4868234082901265	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 617)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Sutterella (OTU 629)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 631)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Firmicutes (OTU 649)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 678)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Clostridiales (OTU 680)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Clostridia (OTU 681)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 682)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Veillonella (OTU 683)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 698)	3.4666666666667383	0.6284372803194699	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 700)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 707)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Clostridium_sensu (OTU 713)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 718)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Butyricimonas (OTU 748)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Bacteria (OTU 754)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Acetatifactor (OTU 766)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 790)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Bacteria (OTU 792)	3.4666666666667383	0.6284372803194699	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 797)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 800)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Oscillibacter (OTU 805)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 825)	3.4666666666667383	0.6284372803194699	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Firmicutes (OTU 828)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 836)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Anaerostipes (OTU 840)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 850)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Firmicutes (OTU 865)	3.4666666666667383	0.6284372803194699	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 920)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 923)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 941)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 949)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Bacteroidales (OTU 958)	2.1904761904762253	0.822210427636151	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Corynebacterium (OTU 963)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Ruminococcaceae (OTU 969)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 989)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 1010)	2.5263157894731525	0.7725267508530577	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
